,Concept_ID,cv,te
142,Bulle::N,вӑкӑр,గిత్త
143,Pferd::N,лаша,గుఱ్ఱము
144,Schaf::N,сурӑх,గొఱ్ఱె
145,Schwein::N,сысна,పంది
146,Hund::N,йытӑ,కుక్క
147,Katze::N,кушак,పిల్లి
148,Bär::N,упа,ఎలుగుబంటి
149,Eichhörnchen::N,пакша,ఉడుత
150,Elch::N,пӑши,కణంజు
151,Fuchs::N,тилӗ,గుంటనక్క
152,Hase::N,куян,కుందేలు
153,Hase::N,мулкач,కుందేలు
154,Maus::N,шӑши,చిట్టెలుక
155,Wolf::N,кашкӑр,తోడేలు
156,Vogel::N,кайӑк,పక్షి
157,Vogel::N,вӗҫен кайӑк,పక్షి
158,Schwarm::N,ушкӑн,గుంపు
159,Huhn::N,чӑх,కోడిపిల్ల
160,Huhn::N,чӑхӑ,కోడిపిల్ల
161,Hahn::N,автан,కోడివుంజు
162,Gans::N,хур,ఆడుబాతు
163,Adler::N,ӑмӑрт кайӑк,గ్రద్ద
164,Ente::N,кӑвакал,పాట్టిబాతు
165,Eule::N,тӑмана,గ్రుడ్లగూబ
166,Kranich::N,тӑрна,కొంగ
167,Krähe::N,ула курак,కాకి
168,Kuckuck::N,куккук,కోయల
169,Schwan::N,акӑш,హంస
170,Fisch::N,пулӑ,చేప
171,Barsch::N,уланкӑ,ఒకచేఁప
172,Hecht::N,ҫӑрттан,గండుమీను
173,Schlange[Tier]::N,ҫӗлен,పాము
174,Wurm::N,ӑман,పురుగు
175,Spinne::N,эрешмен,సాలె పురుగు
176,Ameise::N,кӑткӑ,చీమ
177,Laus::N,пыйтӑ,పేను
178,Mücke::N,вӑрӑм туна,చీకటీగ
179,Fliege::N,шӑна,ఈగ
180,Schmetterling::N,лӗпӗш,సీతాకోకచిలుక
181,Beere::N,ҫырла,కాయ
182,Apfel::N,улма,ఆపిల్ పండు
183,Apfel::N,пан улми,ఆపిల్ పండు
184,Pilz::N,кӑмпа,కుక్కగొడుగు
185,Zwiebel::N,сухан,నీరుల్లి
186,Saat::N,вӑрӑ,విత్తనము
187,Korn::N,тӗшӗ,గింజ
188,Korn::N,пӗрчӗ,గింజ
189,Heu::N,утӑ,ఎండుగడ్డి
190,Schale::N,хупӑ,పొట్టు
191,Grube::N,шӑтӑк,గొయ్యి
192,Falle::N,тапӑ,బోను
193,Falle::N,капкӑн,బోను
194,Schlinge::N,йӑлӑ,ఉరి
195,Spur::N,йӗр,జాడ
196,Asche::N,кӗл,బూడిద
197,Dreck::N,пылчӑк,ముఱికి
198,Eisen::N,тимӗр,ఇనుము
199,Gold::N,ылтӑн,బంగారము
200,Silber::N,кӗмӗл,వెండి
201,Kohle::N,кӑмрӑк,నేలబొగ్గు
202,Glas::N,кӗленче,గాజు
203,Lehm::N,тӑм,బంకమన్ను
204,Sand::N,хӑйӑр,ఇసుక
205,Mensch::N,ҫын,నరుడు
206,Mensch::N,этем,నరుడు
207,Mann::N,ар,పురుమడు
208,Frau::N,хӗрарӑм,ఆడుది
209,Kind::N,ача,బిడ్డ
210,Junge::N,ача,బాలుడు
211,Junge::N,ар ҫын ача,బాలుడు
212,Mädchen::N,хӗр ача,బాలిక
213,Familie::N,ҫемье,కుటుంబము
214,Familie::N,кил-йыш,కుటుంబము
215,Großvater::N,кукаҫи,తాత
216,Großmutter::N,кукамай,అయ్యమ్మ
217,Eltern::N,аҫа-ама,తల్లితండ్రులు
218,Vater::N,атте,తండ్రి
219,Mutter::N,анне,తల్లి
220,Sohn::N,ывӑл,కొడుకు
221,Tochter::N,хӗр,కూతురు
222,Bruder::N,ар тӑван,పోదరుడు
223,Schwester::N,аппа,సోదరి
224,Schwester::N,йӑмӑк,సోదరి
225,Onkel::N,мучи,మేనమామ
226,Onkel::N,пичче,మేనమామ
227,Tante::N,аппа,మేనత్త
228,Tante::N,аппа,పినతల్లి
229,Ehemann::N,упӑшка,భర్త
230,Ehefrau::N,арӑм,భార్య
231,Freude::N,савӑнӑҫ,సంతోషము
232,Freude::N,хаваслӑх,సంతోషము
233,Gelächter::N,кулӑ,నవ్వు
234,Glück::N,телей,సంతోషము
235,Glück::N,ӑраскал,సంతోషము
236,Kummer::N,хурлӑх,దుఃఖము
237,Wunsch::N,ӗмӗт,కోరిక
238,Wunsch::N,кӑмӑл,కోరిక
239,Lust::N,кӑмӑл,కోరిక
240,Geist::N,чун-чӗм,ఆత్మ
241,Geist::N,ыр-усал,ఆత్మ
242,Geist::N,чун хавалӗ,ఆత్మ
243,Gedanke::N,шухӑш,ఆలోచన
244,Gedächtnis::N,ас,జ్ఞాపకము
245,Verstand::N,ӑс,మనస్సు
246,Verstand::N,ӑс-тӑн,మనస్సు
247,Verstand::N,ӑс-хакӑл,మనస్సు
248,Sinn::N,тупсӑм,అర్థము
249,Sinn::N,пӗлтерӗш,అర్థము
250,Grund::N,сӑлтав,కారణము
251,Wahrheit::N,чӑнлӑх,సత్యము
252,Gespräch::N,калаҫу,పంభాషణ
253,Märchen::N,юмах,అద్భుతకథ
254,Erzählung::N,акалав,కథ
255,Erzählung::N,каласа пани,కథ
256,Nachricht::N,хыпар,వార్త
257,Neuigkeit::N,ҫӗнӗ хыпар,వార్త
258,Name::N,ят,పేరు
259,Rätsel::N,сутмалли юмах,చిక్కు
260,Rede::N,сӑмах,ఉపన్యాసము
261,Sprache::N,чӗлхе,భాష
262,Stimme::N,сасӑ,కంరథ్సని
263,Wort::N,сӑмах,మాట
264,Zeichen::N,паллӑ,గుర్తు
265,Ruf::N,йыхрав,పిలువు
266,Ruf::N,чӗнӳ,పిలువు
267,Lärm::N,шав,సందడి
268,Laut::N,сасӑ,ధ్వని
269,Ton::N,сасӑ,స్వరము
270,Lied::N,юрӑ,పాట
271,Ruhe::N,канӑҫлӑх,గాలిలేమి
272,Ruhe::N,лӑпкӑлӑх,గాలిలేమి
273,Leute::N,ҫамрӑксем,జనులు
274,Leute::N,ҫамрӑк ҫынсем,జనులు
275,Volk::N,халӑх,జాతి
276,Arbeit::N,ӗҫхӗл,పని
277,Arbeit::N,ӗҫлев,పని
278,Gast::N,хӑна,అతిధి
279,Geschenk::N,парне,దానము
280,Geschenk::N,кучченеҫ,దానము
281,Spiel::N,вӑйӑ,ఆట
282,Gesellschaft::N,общество,జట్టు
283,Hilfe::N,пулӑшу,సాహాయ్యము
284,Freund::N,тус,స్నేహితుడు
285,Kamerad::N,юлташ,చెలికాడు
286,Kamerad::N,тус,చెలికాడు
287,Angelegenheit::N,ӗҫ,విషయము
288,Anzahl::N,йыш,లెక్క
289,Anzahl::N,хисеп,లెక్క
290,Art::N,тӗс,జాతి
291,Stück::N,татӑк,తునుక
292,Teil::N,пай,భాగము
293,Hälfte::N,ҫурӑ,సగము
294,Kreis::N,ункӑ,వృత్తము
295,Kreis::N,ҫавракӑш,వృత్తము
296,Kreuz::N,хӗрес,సిలువ
297,Linie::N,йӗр,గీత
298,Strich::N,йӗр,గీత
299,Abstand::N,хушӑ,సందు
300,Entfernung::N,хушӑ,దూరము
301,Gegend::N,вырӑн,విస్తీర్ణము
302,Platz::N,хутлӑх,ఎడము
303,Ort::N,вырӑн,స్థలము
304,Seite::N,ен,ప్రక్క
305,Seite::N,аяк,ప్రక్క
306,Seite::N,айӑк,ప్రక్క
307,Mitte::N,варӑ,నడిమి
308,Gegenstand::N,япала,పద్దు
309,Sache::N,япала,వస్తువు
310,Rand::N,вӗҫ,అంచు
311,Rand::N,хӗрӗ,అంచు
312,Rand::N,хӗрри,అంచు
313,Kante::N,хайкача,అంచు
314,Kante::N,хысак,అంచు
315,Ecke::N,кӗтес,మూల
316,Spitze::N,вӗҫ,మొన
317,Ende::N,вӗҫ,కొన
318,Loch::N,шӑтӑк,రంధ్రము
319,Winkel::N,кӗтес,కోణము
320,Muster::N,эреш,మాదిరి
321,Größe::N,пысӑкӑш,పరిమాణము
322,Länge::N,вӑрӑмӑш,పొడుగు
323,Höhe::N,ҫӳллӗш,పొడుగు
324,Gewicht::N,виҫе,భారము
325,Gewicht::N,йывӑрӑш,భారము
326,Menge::N,йыш,మొత్తము
327,Haufen::N,купа,రాశి
328,Reihe::N,рет,వరుస
329,Boot::N,кимӗ,పడవ
330,Ruder::N,кӗсмен,అడక
331,Schlitten::N,ҫуна,సరవండ్లు
332,Ski::N,йӗлтӗр,స్కీ
333,Lagerfeuer::N,вут,నెగడు
334,Lagerfeuer::N,кӑвайт,నెగడు
335,Last::N,сулмаклӑх,బరువు
336,Last::N,йывӑр япала,బరువు
337,Gang::N,куҫӑм,నడక
338,Schritt::N,утӑм,అడుగు
339,Schritt::N,пусӑм,అడుగు
340,Norden::N,ҫурҫӗр,ఉత్తరదిక్కు
341,Süden::N,кӑнтӑр,దక్షిణము
342,Westen::N,анӑҫ,పడమర
343,Westen::N,хӗвел анӑҫ,పడమర
344,Osten::N,хӗвел тухӑҫ,తూర్పు
345,Holz::N,йывӑҫ,కొయ్య
346,Brett::N,хӑма,పలక
347,Platte::N,плита,పలక
348,Stütze::N,ура,వాల్సేడ్లు
349,Stange::N,шерте,స్తంభము
350,Stock::N,патак,కఱ్ఱ
351,Stab::N,шӑчӑ,కఱ్ఱ
352,Rohr::N,пӑрӑх,గొట్టము
353,Haus::N,ҫурт,ఇల్లు
354,Heim::N,кил,స్వగృహము
355,Ofen::N,кӑмака,పొయ్యి
356,Fußboden::N,урай,నేల
357,Tisch::N,сӗтел,మేజా
358,Stuhl::N,пукан,కుర్చీ
359,Wiege::N,сӑпка,ఉయ్యాల
360,Bett::N,кравать,పడక
361,Bett::N,кравать,మంచం
362,Regal::N,ҫӳлӗк,అటక
363,Regal::N,сентре,అటక
364,Kiste::N,ещӗк,వెట్టె
365,Kiste::N,сунтӑх,వెట్టె
366,Fenster::N,чӳрече,కిటికి
367,Tür::N,алӑк,ద్వారము
368,Tor::N,хапха,ద్వారము
369,Zaun::N,хӳме,కంచె
370,Dach::N,тӑрӑ,ఇంటివైకప్పు
371,Leiter::N,пусма,నిచ్చెన
372,Besen::N,шӑпӑр,చీపురుకట్ట
373,Spaten::N,кӗреҫе,పాఱ
374,Schaufel::N,кӗреҫе,పాఱ
375,Gabel::N,вилка,ముండ్లగరిటె
376,Löffel::N,кашӑк,గరిటె
377,Messer::N,ҫӗҫӗ,కత్తి
378,Nagel::N,пӑта,మేకు
379,Netz::N,тетел,వల
380,Haken::N,йӑрхах,కొక్కెము
381,Haken::N,ҫекӗл,కొక్కెము
382,Griff::N,хӑлӑп,పిడి
383,Schloss::N,ҫӑра,తాళము
384,Bild::N,сӑн,చిత్రము
385,Bild::N,сӑнлӑх,చిత్రము
386,Bild::N,картина,చిత్రము
387,Figur::N,кӗлетке,రూపము
388,Puppe::N,пукане,బొమ్మ
389,Beutel::N,михӗ,సంచి
390,Bündel::N,ҫыхӑ,మూట
391,Bündel::N,тӗрке,మూట
392,Tasche::N,сумка,సంచి
393,Eimer::N,витре,చేద
394,Deckel::N,хупӑ,మూత
395,Geschirr::N,савӑт-сапа,వంటకాలు
396,Sack::N,михӗ,గోనెసంచి
397,Tasse::N,курка,గిన్నె
398,Topf::N,кастрюль,కుండ
399,Kessel::N,хуран,నీరుకాచుపాత్ర
