,Concept_ID,sl,tt
0,Auge::N,okó,күз
1,Ohr::N,uhó,колак
2,Nase::N,nós,борын
3,Mund::N,ústa,авыз
4,Mund::N,ústa,тамак
5,Zahn::N,zób,теш
6,Zunge::N,jêzik,тел
7,Lippe::N,ústnica,ирен
8,Wange::N,líce,яңак
9,Gesicht::N,oblíčje,йөз
10,Stirn::N,čêlo,маңгай
11,Haar::N,lás,чәч
12,Schnurrbart::N,bŕki,мыек
13,Bart::N,bráda,сакал
14,Kinn::N,bráda,ияк
15,Kiefer[Anatomie]::N,čeljúst,казналык
16,Kehle::N,gŕlo,тамак
17,Hals::N,vrát,бугаз
18,Genick::N,zatílnik,җилкә
19,Kopf::N,gláva,баш
20,Rücken::N,hrbèt,сырт
21,Bauch::N,trébuh,корсак
22,Nabel::N,pópek,кендек
23,Busen::N,nédrja,түш
24,Brust::N,pŕsi,имчәк
25,Brust::N,pŕsi,күкрәк
26,Schulter::N,ráma,иңбаш
27,Schulter::N,ráma,кулбаш
28,Schulter::N,plêče,иңбаш
29,Schulter::N,plêče,кулбаш
30,Arm::N,rôka,кул
31,Ellenbogen::N,komólec,терсәк
32,Hand::N,rôka,кул
33,Handfläche::N,dlán,уч
34,Finger::N,pŕst,бармак
35,Fingernagel::N,nóht na rôki,тырнак
36,Nagel[Anatomie]::N,nóht,тырнак
37,Zeh::N,pŕst na nôgi,бармак
38,Fuß::N,nôga,табан
39,Ferse::N,pêta,үкчә
40,Knie::N,koléno,тез
41,Oberschenkel::N,stêgno,бот
42,Bein::N,nôga,аяк
43,Körper::N,teló,тән
44,Körper::N,teló,җисем
45,Haut::N,kóža,тире
46,Blut::N,krí,кан
47,Ader::N,žíla,тамыр
48,Sehne::N,kíta,сеңер
49,Knochen::N,kóst,сөяк
50,Gehirn::N,možgáni,ми
51,Herz::N,srcé,йөрәк
52,Magen::N,želódec,ашказаны
53,Leber::N,jétra,бавыр
54,Atem::N,díh,сулыш
55,Hunger::N,glád,ачлык
56,Träne::N,sólza,яшь
57,Geschmack::N,okús,тәм
58,Geschmack::N,okús,зәвык
59,Geruch::N,vónj,ис
60,Schlaf::N,sèn,йокы
61,Schlaf::N,spánec,йокы
62,Traum::N,sánje,төш
63,Himmel::N,nebó,күк
64,Sonne::N,sónce,кояш
65,Mond::N,lúna,ай
66,Mond::N,mésec,ай
67,Stern::N,zvézda,йолдыз
68,Luft::N,zràk,һава
69,Wind::N,véter,җил
70,Welle::N,vál,дулкын
71,Wasser::N,vôda,су
72,Stein::N,kámen,таш
73,Boden::N,tlà,туфрак
74,Erde::N,pŕst,җир
75,Erde::N,zêmlja,җир
76,Staub::N,práh,тузан
77,Rauch::N,dìm,төтен
78,Funke::N,ískra,очкын
79,Feuer::N,ôgenj,ут
80,Licht::N,lúč,якты
81,Schatten::N,sénca,күләгә
82,Wetter::N,vrême,һава
83,Nebel::N,meglà,томан
84,Wolke::N,oblák,болыт
85,Regen::N,dèž,яңгыр
86,Schnee::N,snég,кар
87,Eis::N,léd,боз
88,Frost::N,zmrzál,суык
89,Frost::N,zmrzál,салкын
90,Kälte::N,mràz,суык
91,Kälte::N,mràz,салкын
92,Hitze::N,pripéka,эсселек
93,Raureif::N,ívje,бәс
94,Raureif::N,ívje,сыкы
95,Raureif::N,slána,бәс
96,Raureif::N,slána,сыкы
97,Regenbogen::N,mávrica,салават күпере
98,Donner::N,gròm,күкрәү
99,Strömung::N,strúja,агыш'агым
100,Tropfen::N,káplja,тамчы
101,Schaum::N,péna,күбек
102,Schmutz::N,nesnága,пычрак
103,See::N,jézero,күл
104,Sumpf::N,močvírje,саз
105,Moor::N,bárje,торфлык
106,Wiese::N,trávnik,болын
107,Wald::N,lés,урман
108,Wald::N,gòzd,урман
109,Hügel::N,brég,калку
110,Hügel::N,goríca,калку
111,Anhöhe::N,gríč,үр
112,Anhöhe::N,višína,үр
113,Berg::N,gôra,тау
