,Concept_ID,ka,ro
0,Auge::N,თვალი,ochi
1,Ohr::N,ყური,ureche
2,Nase::N,ცხვირი,nas
3,Mund::N,პირი,gură
4,Zahn::N,კბილი,dinte
5,Zunge::N,ენა,limbă
6,Lippe::N,ბაგე,buză
7,Wange::N,ლოყა,bucă
8,Wange::N,ლოყა,obraz
9,Gesicht::N,სახე,față
10,Gesicht::N,სახე,figură
11,Stirn::N,შუბლი,frunte
12,Haar::N,თმა,păr
13,Schnurrbart::N,ულვაში,mustață
14,Bart::N,წვერი,barbă
15,Kinn::N,ნიკაპი,bărbie
16,Kiefer[Anatomie]::N,ყბა,falcă
17,Kehle::N,ყელი,beregată
18,Hals::N,ყელი,gât
19,Hals::N,კისერი,gât
20,Genick::N,კეფა,ceafă
21,Kopf::N,თავი,cap
22,Rücken::N,ზურგი,dos
23,Rücken::N,ზურგი,spate
24,Rücken::N,ზურგი,spinare
25,Bauch::N,მუცელი,burtă
26,Bauch::N,მუცელი,pântece
27,Nabel::N,ჭიპი,buric
28,Busen::N,ძუძუ,sân
29,Brust::N,მკერდი,piept
30,Schulter::N,მხარი,umăr
31,Schulter::N,მხარი,spate
32,Schulter::N,მკლავი,umăr
33,Schulter::N,მკლავი,spate
34,Arm::N,ხელი,braț
35,Ellenbogen::N,იდაყვი,cot
36,Hand::N,ხელი,mână
37,Handfläche::N,ნები,palmă
38,Handfläche::N,ხელისგული,palmă
39,Finger::N,თითი,deget
40,Fingernagel::N,ფრჩხილი,unghie
41,Nagel[Anatomie]::N,ფრჩხილი,unghie
42,Zeh::N,ფეხის თითი,deget de la picior
43,Fuß::N,ტერფი,picior
44,Fuß::N,ფეხისგული,picior
45,Ferse::N,ქუსლი,călcâi
46,Knie::N,მუხლი,genunchi
47,Oberschenkel::N,ბარძაყი,coapsă
48,Bein::N,ფეხი,picior
49,Körper::N,ტანი,corp
50,Körper::N,სხეული,corp
51,Haut::N,კანი,piele
52,Blut::N,სისხლი,sânge
53,Ader::N,ძარღვი,vână
54,Ader::N,ძარღვი,arteră
55,Sehne::N,მყესი,tendon
56,Knochen::N,ძვალი,os
57,Gehirn::N,ტვინი,creier
58,Herz::N,გული,inimă
59,Magen::N,კუჭი,stomac
60,Leber::N,ღვიძლი,ficat
61,Atem::N,სუნთქვა,răsuflare
62,Atem::N,სუნთქვა,respirație
63,Hunger::N,შიმშილი,foame
64,Träne::N,ცრემლი,lacrimă
65,Geschmack::N,გემო,gust
66,Geruch::N,სუნი,miros
67,Schlaf::N,ძილი,somn
68,Traum::N,სიზმარი,vis
69,Himmel::N,ცა,cer
70,Sonne::N,მზე,soare
71,Mond::N,მთვარე,lună
72,Stern::N,ვარსკვლავი,stea
73,Luft::N,ჰაერი,aer
74,Wind::N,ქარი,vânt
75,Welle::N,ტალღა,val
76,Welle::N,ტალღა,undă
77,Wasser::N,წყალი,apă
78,Stein::N,ქვა,piatră
79,Boden::N,მიწა,sol
80,Boden::N,მიწა,pământ
81,Erde::N,ნიადაგი,pământ
82,Staub::N,მტვერი,praf
83,Rauch::N,ბოლი,fum
84,Rauch::N,კვამლი,fum
85,Funke::N,ნაკვესი,scânteie
86,Feuer::N,ცეცხლი,foc
87,Licht::N,შუქი,lumină
88,Licht::N,სინათლე,lumină
89,Schatten::N,ლანდი,umbră
90,Schatten::N,ჩრდილი,umbră
91,Wetter::N,ამინდი,timp
92,Wetter::N,ამინდი,vreme
93,Nebel::N,ნისლი,ceață
94,Nebel::N,ნისლი,negură
95,Wolke::N,ღრუბელი,nor
96,Regen::N,წვიმა,ploaie
97,Schnee::N,თოვლი,zăpadă
98,Eis::N,თოში,gheață
99,Eis::N,ყინული,gheață
100,Frost::N,ყინვა,ger
101,Kälte::N,სიცივე,frig
102,Hitze::N,სიცხე,arșiță
103,Hitze::N,სიცხე,căldură
104,Raureif::N,ჭირხლი,chiciură
105,Raureif::N,თრთვილი,chiciură
106,Regenbogen::N,ცისარტყელა,curcubeu
107,Donner::N,ქუხილი,tunet
108,Strömung::N,დინება,curent
109,Tropfen::N,წვეთი,picătură
110,Schaum::N,ქაფი,spumă
111,Schaum::N,დორბლი,spumă
112,Schmutz::N,ჭუჭყი,murdărie
113,Schmutz::N,ტალახი,murdărie
114,See::N,ტბა,lac
115,Sumpf::N,ჭაობი,mlaștină
116,Moor::N,ტორფნარი,bărăgan
117,Wiese::N,ველი,fânaț
118,Wiese::N,ველი,livadă
119,Wiese::N,მდელო,fânaț
120,Wiese::N,მდელო,livadă
121,Wald::N,ტყე,codru
122,Wald::N,ტყე,pădure
123,Hügel::N,ბორცვი,deal
124,Hügel::N,ბორცვი,movilă
125,Anhöhe::N,მაღლობი,deal
126,Anhöhe::N,მაღლობი,ridicătură
127,Berg::N,მთა,munte
128,Gipfel::N,მწვერვალი,pisc
129,Höhle::N,მღვიმე,peșteră
130,Höhle::N,გამოქვებული,peșteră
131,Abhang::N,ფერდობი,pantă
132,Abhang::N,ფერდობი,versant
133,Quelle::N,წყარო,izvor
134,Quelle::N,სათავე,izvor
135,Bach::N,რუ,gârlă
136,Bach::N,ნაკადული,gârlă
137,Fluss::N,მდინარე,râu
138,Fluss::N,მდინარე,fluviu
139,Ufer::N,კიდე,mal
140,Ufer::N,კიდე,țărm
141,Ufer::N,ნაპირი,mal
142,Ufer::N,ნაპირი,țărm
143,Küste::N,ნაპირი,coastă
144,Festland::N,ხმელეთი,uscat
145,Meer::N,ზღვა,mare
146,Bucht::N,ყურე,golf
147,Insel::N,კუნძული,insulă
148,Blume::N,ყვავილი,floare
149,Gras::N,ბალახი,iarbă
150,Wurzel::N,ძირი,rădăcină
151,Wurzel::N,ფესვი,rădăcină
152,Baum::N,ხე,copac
153,Baum::N,ხე,arbore
154,Stamm::N,ტანი,tulpină
155,Rinde::N,ქერქი,scoarță
156,Ast::N,ტოტი,cracă
157,Ast::N,ტოტი,creangă
158,Zweig::N,შტო,ramură
159,Zweig::N,შტო,creangă
160,Blatt::N,ფოთოლი,frunză
161,Birke::N,არყი,mesteacăn
162,Kiefer[Baum]::N,ფიჭვი,pin
163,Weide[Baum]::N,ტირიფი,salcie
164,Weide[Baum]::N,ტირიფი,răchită
165,Tanne::N,ნაძვი,brad
166,Horn::N,რქა,corn
167,Feder::N,ფრთა,pană
168,Fell::N,ტყავი,piele
169,Flügel::N,ფრთა,aripă
170,Klaue::N,კლანჭი,gheară
171,Kralle::N,ტორი,labă
172,Kralle::N,ტორი,gheară
173,Schwanz::N,კუდი,coadă
174,Ei::N,კვერცხი,ou
175,Nest::N,ბუდე,cuib
176,Bau::N,სორო,bârlog
177,Bau::N,სორო,vizuină
178,Tier::N,ნადირი,animal
179,Tier::N,ცხოველი,animal
180,Herde::N,ფარა,turmă
181,Herde::N,ფარა,cireadă
182,Kuh::N,ფური,vacă
183,Kuh::N,ძროხა,vacă
184,Bulle::N,ხარი,taur
185,Pferd::N,რაში,cal
186,Pferd::N,ცხენი,cal
187,Schaf::N,ცხვარი,oaie
188,Schwein::N,ღორი,porc
189,Hund::N,ძაღლი,câine
190,Katze::N,კატა,pisică
191,Bär::N,დათვი,urs
192,Eichhörnchen::N,ციყვი,veveriță
193,Elch::N,ცხენ-ირემი,elan
