,Concept_ID,sv,lt
0,Auge::N,öga,akis
1,Ohr::N,öra,ausis
2,Nase::N,näsa,nosis
3,Mund::N,mun,burna
4,Zahn::N,tand,dantis
5,Zunge::N,tunga,liežuvis
6,Lippe::N,läpp,lūpa
7,Wange::N,kind,žandas
8,Wange::N,kind,skruostas
9,Gesicht::N,syn,veidas
10,Gesicht::N,ansikte,veidas
11,Stirn::N,panna,kakta
12,Haar::N,hår,plaukai
13,Schnurrbart::N,mustasch,ūsai
14,Bart::N,skägg,barzda
15,Kinn::N,haka,smakras
16,Kiefer[Anatomie]::N,käke,žandikaulis
17,Kehle::N,strupe,gerklė
18,Hals::N,hals,kaklas
19,Genick::N,nacke,sprandas
20,Kopf::N,huvud,galva
21,Rücken::N,rygg,nugara
22,Bauch::N,buk,pilvas
23,Bauch::N,mage,pilvas
24,Nabel::N,navel,bamba
25,Busen::N,barm,krūtinė
26,Brust::N,bröst,krūtis
27,Schulter::N,skuldra,petys
28,Arm::N,arm,ranka
29,Ellenbogen::N,armbåge,alkūnė
30,Hand::N,hand,ranka
31,Hand::N,hand,plaštaka
32,Handfläche::N,handflata,delnas
33,Handfläche::N,handflata,plaštaka
34,Finger::N,finger,pirštas
35,Fingernagel::N,fingernagel,nagas
36,Nagel[Anatomie]::N,nagel,nagas
37,Zeh::N,tå,pirštas
38,Fuß::N,fot,pėda
39,Ferse::N,häl,kulnas
40,Knie::N,knä,kelis
41,Oberschenkel::N,lår,kulšis
42,Oberschenkel::N,lår,šlaunis
43,Bein::N,ben,koja
44,Körper::N,kropp,kūnas
45,Haut::N,hud,oda
46,Haut::N,skinn,oda
47,Blut::N,blod,kraujas
48,Ader::N,åder,kraujagyslė
49,Sehne::N,sena,sausgyslė
50,Knochen::N,ben,kaulas
51,Gehirn::N,hjärna,smegenys
52,Herz::N,hjärta,širdis
53,Magen::N,mage,skrandis
54,Leber::N,lever,kepenys
55,Atem::N,anda,kvapas
56,Atem::N,andedräkt,kvapas
57,Hunger::N,svält,badas
58,Hunger::N,svält,alkis
59,Hunger::N,hunger,badas
60,Hunger::N,hunger,alkis
61,Träne::N,tår,ašara
62,Geschmack::N,smak,skonis
63,Geruch::N,lukt,kvapas
64,Schlaf::N,sömn,miegas
65,Traum::N,dröm,sapnas
66,Himmel::N,himmel,dangus
67,Sonne::N,sol,saulė
68,Mond::N,måne,mėnulis
69,Stern::N,stjärna,žvaigždė
70,Luft::N,luft,oras
71,Wind::N,vind,vėjas
72,Welle::N,våg,banga
73,Welle::N,våg,vilnis
74,Welle::N,bölja,banga
75,Welle::N,bölja,vilnis
76,Wasser::N,vatten,vanduo
77,Stein::N,sten,akmuo
78,Boden::N,mark,žemė
79,Boden::N,mark,dugnas
80,Erde::N,jord,žemė
81,Staub::N,damm,dulkės
82,Rauch::N,rök,dūmai
83,Funke::N,gnista,kibirkštis
84,Feuer::N,eld,ugnis
85,Licht::N,ljus,šviesa
86,Schatten::N,skugga,paūksmė
87,Wetter::N,väder,oras
88,Nebel::N,dimma,migla
89,Nebel::N,dimma,rūkas
90,Nebel::N,töcken,migla
91,Nebel::N,töcken,rūkas
92,Wolke::N,sky,debesis
93,Wolke::N,moln,debesis
94,Regen::N,regn,lietus
95,Schnee::N,snö,sniegas
96,Eis::N,is,ledas
97,Frost::N,frost,šalna
98,Kälte::N,köld,šaltis
99,Hitze::N,hetta,karštis
100,Raureif::N,rimfrost,šerkšnas
101,Regenbogen::N,regnbåge,vaivorykštė
102,Donner::N,åska,perkūnas
103,Donner::N,åska,griaustinis
104,Donner::N,dunder,perkūnas
105,Donner::N,dunder,griaustinis
106,Strömung::N,strömning,tėkmė
107,Tropfen::N,dropper,lašas
108,Schaum::N,skum,putos
109,Schmutz::N,lort,purvas
110,Schmutz::N,smuts,purvas
111,See::N,sjö,ežeras
112,Sumpf::N,träsk,klampynė
113,Sumpf::N,träsk,liūnas
114,Moor::N,myr,pelkė
115,Moor::N,mosse,pelkė
116,Wiese::N,äng,pieva
117,Wald::N,skog,miškas
118,Hügel::N,höjd,kalva
119,Hügel::N,kulle,kalva
120,Anhöhe::N,höjd,kauburys
121,Anhöhe::N,backe,kauburys
122,Berg::N,berg,kalnas
123,Berg::N,fjäll,kalnas
124,Gipfel::N,topp,viršūnė
125,Höhle::N,håla,ola
126,Höhle::N,grotta,ola
127,Abhang::N,slänt,šlaitas
128,Abhang::N,slänt,nuokalnė
129,Abhang::N,sluttning,šlaitas
130,Abhang::N,sluttning,nuokalnė
131,Quelle::N,källa,versmė
132,Quelle::N,källa,šaltinis
133,Bach::N,bäck,upelis
134,Fluss::N,älv,upė
135,Fluss::N,flod,upė
136,Ufer::N,strand,krantas
137,Küste::N,kust,pajūris
138,Festland::N,fastland,sausuma
139,Meer::N,hav,jūra
140,Bucht::N,vik,įlanka
141,Bucht::N,vik,užutekis
142,Bucht::N,bukt,įlanka
143,Bucht::N,bukt,užutekis
144,Insel::N,ö,sala
145,Blume::N,blomma,gėlė
146,Blume::N,blomster,gėlė
147,Gras::N,gräs,žolė
148,Wurzel::N,rot,šaknis
149,Baum::N,träd,medis
150,Stamm::N,stam,kamienas
151,Rinde::N,bark,žievė
152,Ast::N,gren,šaka
153,Zweig::N,kvist,šakelė
154,Blatt::N,löv,lapas
155,Blatt::N,blad,lapas
156,Birke::N,björk,beržas
157,Kiefer[Baum]::N,tall,pušis
158,Weide[Baum]::N,pil,karklas
159,Weide[Baum]::N,vide,karklas
160,Tanne::N,gran,eglė
161,Tanne::N,gran,kėnis
162,Horn::N,horn,ragas
163,Feder::N,fjäder,plunksna
164,Fell::N,fäll,kailis
165,Fell::N,skinn,kailis
166,Flügel::N,vinge,sparnas
167,Klaue::N,klöv,kanopa
168,Kralle::N,klo,nagas
169,Schwanz::N,svans,uodega
170,Schwanz::N,stjärt,uodega
171,Ei::N,ägg,kiaušinis
172,Nest::N,rede,gūžta
173,Nest::N,rede,lizdas
174,Nest::N,näste,gūžta
175,Nest::N,näste,lizdas
176,Bau::N,bo,ola
177,Tier::N,djur,gyvūnas
178,Herde::N,flock,banda
179,Herde::N,flock,kaimenė
180,Kuh::N,ko,karvė
181,Bulle::N,tjur,bulius
182,Pferd::N,häst,arklys
183,Schaf::N,får,avis
184,Schwein::N,svin,kiaulė
185,Hund::N,hund,šuo
186,Katze::N,katt,katė
187,Bär::N,björn,lokys
188,Eichhörnchen::N,ekorre,voveraitė
189,Elch::N,älg,briedis
190,Fuchs::N,räv,lapė
191,Hase::N,hare,kiškas
192,Maus::N,mus,pelė
193,Wolf::N,varg,vilkas
