,Concept_ID,be,ab
0,Auge::N,вока,ала
1,Ohr::N,вуха,алымҳа
2,Nase::N,нос,аҧынҵа
3,Mund::N,рот,аҧышə
4,Zahn::N,зуб,ахаҧыц
5,Zunge::N,язык,абз
6,Lippe::N,губа,ақьышə
7,Wange::N,шчака,аӡамҩа
8,Gesicht::N,твар,аҿы
9,Stirn::N,лоб,алахь
10,Haar::N,волас,ахəыц
11,Haar::N,валасы,ахəыц
12,Schnurrbart::N,вус,аҧаҵа
13,Schnurrbart::N,вусы,аҧаҵа
14,Bart::N,барада,ажакьа
15,Kinn::N,падбародак,ацламкəыгə
16,Kiefer[Anatomie]::N,сківіца,ацламҳəа
17,Kehle::N,горла,ахəда
18,Hals::N,шыя,ахəда
19,Genick::N,патыліца,ахəдаџьал
20,Kopf::N,галава,ахы
21,Rücken::N,спіна,азқəа
22,Bauch::N,жывот,амгəа
23,Nabel::N,пупок,аҷапан
24,Busen::N,грудзі,агəыҧҳəы
25,Brust::N,грудзі,агəышҧы
26,Schulter::N,плячо,ажəҩахыр
27,Arm::N,рука,амахəар
28,Ellenbogen::N,локаць,амашьхəылҵ
29,Hand::N,кісць,анапы
30,Handfläche::N,далонь,анапсаргəыҵа
31,Finger::N,палец,анацəа
32,Fingernagel::N,ногаць,анапхыц
33,Nagel[Anatomie]::N,ногаць,ашьапхыц
34,Zeh::N,палец,ашьацəа
35,Fuß::N,нага,ашьапсыргəыҵа
36,Ferse::N,пята,ашьхəа
37,Ferse::N,пятка,ашьхəа
38,Knie::N,калена,ашьамхы
39,Oberschenkel::N,бядро,ауаҭəа
40,Oberschenkel::N,сцягно,ауаҭəа
41,Bein::N,нага,ашьапы
42,Körper::N,цела,ацəеижь
43,Haut::N,скура,ацəа
44,Blut::N,кроў,ашьа
45,Ader::N,вена,ада
46,Ader::N,сасуд,ада
47,Sehne::N,жыла,адаш
48,Sehne::N,цеціва,адаш
49,Sehne::N,сухажылле,адаш
50,Knochen::N,косць,абаҩ
51,Gehirn::N,мозг,ахшлыбаҩ
52,Gehirn::N,мозг,ахшыбаҩ
53,Herz::N,сэрца,агəы
54,Magen::N,страўнік,аца
