,Concept_ID,fa,cv
0,Auge::N,چشم,куҫ
1,Ohr::N,گوش,хӑлха
2,Nase::N,بینی,сӑмса
3,Mund::N,دهان,ҫӑвар
4,Zahn::N,دندان,шӑл
5,Zunge::N,زبان,чӗлхе
6,Lippe::N,لب,тута
7,Wange::N,لپ,пит ҫӑмарти
8,Gesicht::N,رو,пит
9,Gesicht::N,رو,пит-куҫ
10,Gesicht::N,چهره,пит
11,Gesicht::N,چهره,пит-куҫ
12,Stirn::N,پیشانی,ҫамка
13,Haar::N,مو,ҫӳҫ
14,Schnurrbart::N,سبیل,усси
15,Bart::N,ریش,сухал
16,Kinn::N,چانه,янах
17,Kiefer[Anatomie]::N,فک,янах
18,Kiefer[Anatomie]::N,آرواره,янах
19,Kehle::N,حلق,пыр
20,Kehle::N,حلق,карланкӑ
21,Hals::N,گردن,пыр
22,Genick::N,پشت گردن,ӗнсе
23,Kopf::N,سر,пуҫ
24,Kopf::N,کله,пуҫ
25,Rücken::N,پشت,ҫурӑм
26,Bauch::N,شکم,
27,Nabel::N,ناف,кӑвапа
28,Busen::N,پستان,кӑкӑр
29,Brust::N,سینه,умӗ
30,Schulter::N,دوش,хул пуҫҫи
31,Schulter::N,شانه,хул пуҫҫи
32,Arm::N,بازو,алӑ
33,Ellenbogen::N,آرنج,чавса
34,Hand::N,دست,алӑ сыппи
35,Handfläche::N,کف دست,ал лаппи
36,Finger::N,انگشت,пӳрне
37,Fingernagel::N,ناخن دست,чӗрне
38,Nagel[Anatomie]::N,ناخن,чӗрне
39,Zeh::N,انگشت پا,пӳрне
40,Fuß::N,پا,ура лаппи
41,Ferse::N,پاشنه,кӗле
42,Knie::N,زانو,чӗркуҫҫи
43,Oberschenkel::N,ران,пӗҫӗ
44,Bein::N,پا,ура
45,Bein::N,لنگ,ура
46,Körper::N,تن,ӳт
47,Körper::N,تن,ӳт-пӳ
48,Körper::N,بدن,ӳт
49,Körper::N,بدن,ӳт-пӳ
50,Haut::N,پوست,тир
51,Blut::N,خون,юн
52,Ader::N,رگ,вена
53,Sehne::N,زردپی,шӑнӑр
54,Knochen::N,استخوان,шӑмӑ
55,Gehirn::N,مخ,миме
