,Concept_ID,kk,zh
0,Auge::N,көз,眼睛
1,Ohr::N,құлақ,耳朵
2,Nase::N,мұрын,鼻子
3,Mund::N,ауыз,嘴
4,Zahn::N,тіс,牙齿
5,Zunge::N,тіл,舌头
6,Lippe::N,ерін,嘴唇
7,Wange::N,ұрт,面颊
8,Gesicht::N,бет-аузы,脸
9,Stirn::N,маңдай,额
10,Haar::N,қыл,头发
11,Schnurrbart::N,мұрт,髭须
12,Bart::N,сақал,胡子
13,Kinn::N,иек,下巴
14,Kiefer[Anatomie]::N,жақ,颌
15,Kehle::N,алқым,嗓子
16,Hals::N,мойын,颈
17,Genick::N,желке,后颈
18,Kopf::N,кәллә,头
19,Rücken::N,арқа,背
20,Bauch::N,қарын,肚子
21,Nabel::N,кіндік,肚脐
22,Busen::N,омырау,胸脯
23,Brust::N,кеуде,胸
24,Schulter::N,иық,肩膀
25,Arm::N,қол,臂膀
26,Ellenbogen::N,шынтақ,肘
27,Hand::N,қол,手
28,Handfläche::N,алақан,手掌
29,Finger::N,саусақ,手指
30,Fingernagel::N,тырнақ,指甲
31,Nagel[Anatomie]::N,тырнақ,指甲
32,Zeh::N,тырнақ,脚趾
33,Zeh::N,тұяқ,脚趾
34,Fuß::N,аяқ-басы,脚
35,Ferse::N,өкше,后跟
36,Ferse::N,өкшелік,后跟
37,Knie::N,тізе,膝
38,Oberschenkel::N,жамбас,大腿
39,Bein::N,аяқ,腿
40,Körper::N,дене,身体
41,Haut::N,тері,皮肤
42,Blut::N,қан,血
43,Ader::N,көктамыр,血管
44,Ader::N,күретамыр,血管
45,Sehne::N,сіңір,腱
46,Knochen::N,жілік,骨
47,Gehirn::N,ми,脑
48,Herz::N,жүрек,心
49,Magen::N,асқазан,胃
50,Leber::N,бауыр,肝
51,Atem::N,леп,呼吸
52,Hunger::N,ашаршылық,饿
53,Träne::N,жас,眼泪
54,Geschmack::N,дәм,味道
55,Geschmack::N,татым,味道
56,Geschmack::N,талғам,味道
57,Geruch::N,иіс,气味
58,Schlaf::N,ұйқы,睡眠
59,Schlaf::N,ұйықтау,睡眠
60,Traum::N,түс,梦
61,Himmel::N,аспан,天空
62,Himmel::N,көқ,天空
63,Himmel::N,таңдай,天空
64,Sonne::N,күн,太阳
65,Mond::N,ай,月亮
66,Stern::N,жұлдыз,星
67,Luft::N,әуе,空气
68,Wind::N,жел,风
69,Welle::N,толқын,波
70,Wasser::N,су,水
71,Stein::N,тас,石头
72,Boden::N,қыртыс,地面
73,Erde::N,топырақ,地
74,Staub::N,шаң,灰尘
75,Rauch::N,түтін,烟
76,Funke::N,ұшқын,火花
77,Feuer::N,алау,火
78,Licht::N,шұғыла,光
79,Schatten::N,көлеңке,影子
80,Wetter::N,ауа райы,天气
81,Nebel::N,тұман,雾
82,Wolke::N,бұлт,云
83,Regen::N,жаңбыр,雨
84,Schnee::N,қар,雪
85,Eis::N,мұз,冰
86,Frost::N,суық,霜冻
87,Kälte::N,ызғар,寒冷
88,Kälte::N,суықтық,寒冷
89,Hitze::N,аптап,炎热
90,Raureif::N,қырау,霜
91,Regenbogen::N,кемпірқосақ,虹
92,Donner::N,күн күркіреу,雷
93,Strömung::N,ағын,水流
94,Tropfen::N,тамшы,滴
95,Schaum::N,көбік,泡沫
96,Schmutz::N,кір,赃物
97,See::N,көл,湖
98,Sumpf::N,саз,沼泽
99,Moor::N,саз,沼泽
100,Wiese::N,шалғын,草地
101,Wald::N,орман,森林
102,Hügel::N,төбе,丘陵
103,Hügel::N,белес,丘陵
104,Hügel::N,белес-белес,丘陵
105,Anhöhe::N,дөң,山丘
106,Anhöhe::N,адыр,山丘
107,Anhöhe::N,қырат,山丘
108,Berg::N,тау,山
109,Gipfel::N,төбе,峰
