,Concept_ID,bn,ka
0,Auge::N,চক্ষু,თვალი
1,Ohr::N,কর্ণ,ყური
2,Nase::N,নাক,ცხვირი
3,Mund::N,মুখ,პირი
4,Zahn::N,দাঁত,კბილი
5,Zunge::N,জিহবা,ენა
6,Lippe::N,অধর,ბაგე
7,Wange::N,গণ্ড,ლოყა
8,Gesicht::N,মুখমণ্ডল,სახე
9,Stirn::N,কপাল,შუბლი
10,Haar::N,চুল,თმა
11,Schnurrbart::N,গোঁফ,ულვაში
12,Bart::N,শ্মশ্রু,წვერი
13,Kinn::N,চিবুক,ნიკაპი
14,Kiefer[Anatomie]::N,চোয়াল,ყბა
15,Kehle::N,কণ্ঠ,ყელი
16,Hals::N,গল,ყელი
17,Hals::N,গল,კისერი
18,Genick::N,ঘাড়,კეფა
19,Kopf::N,মাথা,თავი
20,Rücken::N,পৃষ্ঠ,ზურგი
21,Bauch::N,উদর,მუცელი
22,Nabel::N,নাভি,ჭიპი
23,Busen::N,স্তন,ძუძუ
24,Brust::N,বুক,მკერდი
25,Schulter::N,স্কন্ধ,მხარი
26,Schulter::N,স্কন্ধ,მკლავი
27,Arm::N,বাহু,ხელი
28,Ellenbogen::N,কনুই,იდაყვი
29,Hand::N,হাত,ხელი
30,Handfläche::N,করতল,ნები
31,Handfläche::N,করতল,ხელისგული
32,Finger::N,আঙ্গুল,თითი
33,Fingernagel::N,হাতের নখ,ფრჩხილი
34,Nagel[Anatomie]::N,নখ,ფრჩხილი
35,Zeh::N,আঙ্গুল,ფეხის თითი
36,Fuß::N,পা,ტერფი
37,Fuß::N,পা,ფეხისგული
38,Ferse::N,গোড়ালি,ქუსლი
39,Knie::N,হাঁটু,მუხლი
40,Oberschenkel::N,ঊরু,ბარძაყი
41,Bein::N,পা,ფეხი
42,Körper::N,দেহ,ტანი
43,Körper::N,দেহ,სხეული
44,Haut::N,ত্বক,კანი
45,Blut::N,রক্ত,სისხლი
46,Ader::N,শিরা,ძარღვი
47,Sehne::N,কণ্ডরা,მყესი
48,Knochen::N,অস্থি,ძვალი
49,Gehirn::N,মস্তিষ্ক,ტვინი
50,Herz::N,হৃৎপিণ্ড,გული
51,Magen::N,পাকস্থলী,კუჭი
52,Leber::N,যকৃৎ,ღვიძლი
53,Atem::N,শ্বাস,სუნთქვა
54,Hunger::N,ক্ষুধা,შიმშილი
55,Träne::N,অশ্রু,ცრემლი
56,Geschmack::N,স্বাদ,გემო
57,Geruch::N,গন্ধ,სუნი
58,Schlaf::N,ঘুম,ძილი
59,Traum::N,স্বপ্ন,სიზმარი
60,Himmel::N,আকাশ,ცა
61,Sonne::N,সূর্য,მზე
62,Mond::N,চন্দ্র,მთვარე
63,Stern::N,নক্ষত্র,ვარსკვლავი
64,Luft::N,বায়ু,ჰაერი
65,Wind::N,বাতাস,ქარი
66,Welle::N,ঢেউ,ტალღა
67,Welle::N,তরঙ্গ,ტალღა
68,Wasser::N,জল,წყალი
69,Stein::N,ঢিল,ქვა
70,Stein::N,প্রস্তর,ქვა
71,Boden::N,ভূতল,მიწა
72,Erde::N,ভূমি,ნიადაგი
73,Staub::N,ধুলা,მტვერი
74,Rauch::N,ধোঁয়া,ბოლი
75,Rauch::N,ধোঁয়া,კვამლი
76,Funke::N,স্ফুলিঙ্গ,ნაკვესი
77,Feuer::N,অগ্নি,ცეცხლი
78,Licht::N,আলো,შუქი
79,Licht::N,আলো,სინათლე
80,Schatten::N,ছায়া,ლანდი
81,Schatten::N,ছায়া,ჩრდილი
82,Wetter::N,আবহাওয়া,ამინდი
83,Nebel::N,কুহেলিকা,ნისლი
84,Wolke::N,মেঘ,ღრუბელი
85,Regen::N,বৃষ্টি,წვიმა
86,Schnee::N,তুষার,თოვლი
87,Eis::N,বরফ,თოში
88,Eis::N,বরফ,ყინული
89,Frost::N,তুষার,ყინვა
90,Kälte::N,শৈত্য,სიცივე
91,Hitze::N,তাপ,სიცხე
92,Raureif::N,তুহিন,ჭირხლი
93,Raureif::N,তুহিন,თრთვილი
94,Regenbogen::N,রামধনু,ცისარტყელა
95,Donner::N,বজ্রধ্বনি,ქუხილი
96,Strömung::N,স্রোত,დინება
97,Tropfen::N,ফোঁটা,წვეთი
98,Schaum::N,ফেনা,ქაფი
99,Schaum::N,ফেনা,დორბლი
100,Schmutz::N,ধুলা,ჭუჭყი
101,Schmutz::N,ধুলা,ტალახი
102,See::N,হ্রদ,ტბა
103,Sumpf::N,জলা,ჭაობი
104,Moor::N,মাঠ,ტორფნარი
105,Wiese::N,তৃণভূমি,ველი
106,Wiese::N,তৃণভূমি,მდელო
107,Wald::N,বন,ტყე
108,Hügel::N,পাহাড়,ბორცვი
109,Anhöhe::N,টিলা,მაღლობი
110,Berg::N,পর্বত,მთა
111,Gipfel::N,শীর্ষ,მწვერვალი
112,Höhle::N,গুহা,მღვიმე
113,Höhle::N,গুহা,გამოქვებული
114,Abhang::N,ঢাল,ფერდობი
115,Quelle::N,উৎস,წყარო
116,Quelle::N,উৎস,სათავე
117,Bach::N,ক্ষুদ্র নদী,რუ
118,Bach::N,ক্ষুদ্র নদী,ნაკადული
119,Fluss::N,নদী,მდინარე
120,Ufer::N,উপকূল,კიდე
121,Ufer::N,উপকূল,ნაპირი
122,Küste::N,তীর,ნაპირი
123,Festland::N,ভূমি,ხმელეთი
124,Meer::N,সমুদ্র,ზღვა
125,Bucht::N,উপসাগর,ყურე
126,Insel::N,দ্বীপ,კუნძული
127,Blume::N,ফুল,ყვავილი
128,Gras::N,ঘাস,ბალახი
129,Wurzel::N,শিকড়,ძირი
130,Wurzel::N,শিকড়,ფესვი
131,Baum::N,গাছ,ხე
132,Stamm::N,স্কন্ধ,ტანი
133,Rinde::N,বল্কল,ქერქი
134,Ast::N,শাখা,ტოტი
135,Zweig::N,ডাল,შტო
136,Blatt::N,পর্ণ,ფოთოლი
137,Birke::N,ভুর্জ,არყი
138,Kiefer[Baum]::N,পাইন গাছ,ფიჭვი
139,Weide[Baum]::N,উইলো,ტირიფი
140,Tanne::N,দেবদারূ গাছ,ნაძვი
141,Horn::N,শিং,რქა
142,Feder::N,পালক,ფრთა
143,Fell::N,রোম,ტყავი
144,Flügel::N,ডানা,ფრთა
145,Klaue::N,নখর,კლანჭი
146,Kralle::N,নখর,ტორი
147,Schwanz::N,লেজ,კუდი
148,Ei::N,ডিম,კვერცხი
149,Nest::N,কুলায়,ბუდე
150,Bau::N,ডেরা,სორო
151,Tier::N,জন্তু,ნადირი
152,Tier::N,জন্তু,ცხოველი
153,Herde::N,ঝাঁক,ფარა
154,Kuh::N,গোরু,ფური
155,Kuh::N,গোরু,ძროხა
156,Bulle::N,বৃষ,ხარი
157,Pferd::N,ঘোড়া,რაში
158,Pferd::N,ঘোড়া,ცხენი
159,Schaf::N,ভেড়া,ცხვარი
160,Schwein::N,শূকর,ღორი
161,Hund::N,কুকুর,ძაღლი
162,Katze::N,বেড়াল,კატა
163,Bär::N,ভল্লুক,დათვი
164,Eichhörnchen::N,কাঠবিড়াল,ციყვი
165,Elch::N,হরিণবিশেষ,ცხენ-ირემი
166,Fuchs::N,পাঁতিশিয়াল,მელა
167,Hase::N,শশক,კურდღელი
168,Maus::N,নেংটি ইঁদুর,თაგვი
169,Wolf::N,নেকড়ে,მგელი
170,Vogel::N,পক্ষী,ჩიტი
171,Vogel::N,পক্ষী,ფრინველი
172,Schwarm::N,ঝাঁক,გუნდი
173,Huhn::N,মোরগ,დედალი
174,Hahn::N,কুক্কুট,მამალი
175,Gans::N,হংসী,ბატი
176,Adler::N,ইগল,არწივი
177,Ente::N,হংসী,იხვი
178,Eule::N,পেচক,ბუ
179,Kranich::N,সারস,წერო
180,Krähe::N,কাক,ყვავი
181,Kuckuck::N,কোকিল,გუგული
182,Schwan::N,মরাল,გედი
183,Fisch::N,মাছ,თევზი
184,Barsch::N,মৎন্যবিশেষ,ქორჭილა
185,Hecht::N,বানমাছ,ქარიყლაპია
186,Schlange[Tier]::N,সর্প,გველი
187,Wurm::N,কীট,ჭია
188,Spinne::N,মাকড়সা,ობობა
189,Ameise::N,পিপীলিকা,ჭიანჭველა
190,Laus::N,উকুন,ტილი
191,Laus::N,উকুন,მკბენარი
192,Mücke::N,মশা,კოღო
193,Fliege::N,মাছি,ბუზი
194,Schmetterling::N,প্রজাপতি,პეპელა
195,Beere::N,বেরি,კენკრა
196,Apfel::N,আপেল,ვაშლი
197,Pilz::N,ছত্রক,სოკო
198,Zwiebel::N,পিয়াজ,ხახვი
199,Saat::N,বীজ,თესლი
200,Korn::N,শস্য,მარცვალი
201,Heu::N,খড়,თივა
202,Schale::N,খোসা,ჩენჩო
203,Grube::N,গর্ত,ორმო
204,Falle::N,ফাঁদ,ხაფანგი
205,Schlinge::N,পাশ,მახე
206,Spur::N,চিহ্ন,კვალი
207,Asche::N,ভস্ম,ფერფლი
208,Dreck::N,ময়লা,ტალახი
209,Dreck::N,ময়লা,სიბინძურე
210,Eisen::N,লোহা,რკინა
211,Gold::N,স্বর্ণ,ოქრო
212,Silber::N,রৌপ্য,ვერცხლი
213,Kohle::N,অঙ্গার,ნახშირი
214,Glas::N,কাচ,მინა
215,Lehm::N,মৃত্তিকা,თიხა
216,Sand::N,বালি,ქვიშა
217,Mensch::N,নর,ადამიანი
218,Mensch::N,মানুষ,ადამიანი
219,Mann::N,মানুষ,კაცი
