,Concept_ID,ab,lez
0,Auge::N,ала,вил
1,Ohr::N,алымҳа,яб
2,Nase::N,аҧынҵа,нер
3,Mund::N,аҧышə,сив
4,Zahn::N,ахаҧыц,сас
5,Zahn::N,ахаҧыц,свах
6,Zunge::N,абз,мез
7,Lippe::N,ақьышə,пӏуз
8,Wange::N,аӡамҩа,хъвехъ
9,Gesicht::N,аҿы,ччин
10,Stirn::N,алахь,пел
11,Haar::N,ахəыц,чӏар
12,Schnurrbart::N,аҧаҵа,спел
13,Schnurrbart::N,аҧаҵа,спелар
14,Bart::N,ажакьа,ччуру
15,Kinn::N,ацламкəыгə,чене
16,Kiefer[Anatomie]::N,ацламҳəа,чене
17,Kehle::N,ахəда,туьд
18,Hals::N,ахəда,гардан
19,Genick::N,ахəдаџьал,кьам
20,Kopf::N,ахы,кьил
21,Rücken::N,азқəа,далу
22,Bauch::N,амгəа,руфун
23,Nabel::N,аҷапан,пицӏ
24,Busen::N,агəыҧҳəы,мам
25,Brust::N,агəышҧы,хур
26,Schulter::N,ажəҩахыр,къуьн
27,Arm::N,амахəар,гъил
28,Ellenbogen::N,амашьхəылҵ,кьуьнт
29,Hand::N,анапы,капаш
30,Handfläche::N,анапсаргəыҵа,капан юкь
31,Finger::N,анацəа,тӏуб
32,Fingernagel::N,анапхыц,кек
33,Nagel[Anatomie]::N,ашьапхыц,кек
34,Zeh::N,ашьацəа,кул
35,Fuß::N,ашьапсыргəыҵа,кӏвач
36,Ferse::N,ашьхəа,дабан
37,Knie::N,ашьамхы,мет
38,Oberschenkel::N,ауаҭəа,
39,Bein::N,ашьапы,кӏвач
40,Körper::N,ацəеижь,беден
41,Haut::N,ацəа,хам
42,Blut::N,ашьа,иви
43,Ader::N,ада,дамар
44,Sehne::N,адаш,кьуру дамар
45,Knochen::N,абаҩ,кӏараб
46,Gehirn::N,ахшлыбаҩ,мефт
47,Gehirn::N,ахшыбаҩ,мефт
48,Herz::N,агəы,рикӏ
49,Magen::N,аца,хук
50,Magen::N,ацар,хук
51,Leber::N,агəаҵəа,лекь
52,Atem::N,аҧсыҧлагаҩгара,ял
53,Atem::N,аҧсыҧлагаҩгара,нефес
54,Hunger::N,амла,каш
55,Träne::N,алабжыш,вилин нагъв
56,Geschmack::N,агьама,дад
57,Geschmack::N,агьама,тӏям
58,Geruch::N,афҩы,ни
59,Schlaf::N,ацəа,ахвар
60,Traum::N,аҧхыӡ,ахвар
61,Himmel::N,ажəҩан,цав
62,Sonne::N,амра,рагъ
63,Mond::N,амза,варз
64,Stern::N,аеҵəа,гъед
65,Luft::N,аҳаир,гьава
66,Wind::N,аҧша,гар
67,Welle::N,ацəқəырҧа,лепе
68,Wasser::N,аӡы,яд
69,Stein::N,ахаҳə,къван
70,Boden::N,адгьыл,накьв
71,Erde::N,адгьыл,ччил
72,Staub::N,асаба,руг
73,Rauch::N,алҩа,гум
74,Funke::N,акəиц,цӏелхем
75,Funke::N,ацҧхь,цӏелхем
76,Feuer::N,амца,цӏай
77,Licht::N,алашара,экв
