,Concept_ID,kl,ru
0,Auge::N,isi,глаз
1,Ohr::N,siut,ухо
2,Mund::N,paaq,рот
3,Mund::N,qaneq,рот
4,Zahn::N,kigut,зуб
5,Zunge::N,oqaq,язык
6,Lippe::N,qarloq,губа
7,Wange::N,ersaq,щека
8,Gesicht::N,kiinaq,лицо
9,Stirn::N,qaaq,лоб
10,Haar::N,meqqoq,волос
11,Haar::N,meqqoq,волосы
12,Bart::N,umik,борода
13,Kinn::N,talloq,подбородок
14,Kiefer[Anatomie]::N,alleroq,челюсть
15,Kehle::N,malaq,горло
16,Hals::N,qungaseq,шея
17,Genick::N,pukusuk,затылок
18,Kopf::N,niaqoq,голова
19,Rücken::N,qimerlut,спина
20,Bauch::N,naaq,живот
21,Nabel::N,qalaseq,пупок
22,Busen::N,iviangeq,женская грудь
23,Brust::N,iviangeq,грудь
24,Schulter::N,ersik,плечо
25,Schulter::N,assaqqoq,плечо
26,Arm::N,taleq,рука
27,Ellenbogen::N,ikusik,локоть
28,Hand::N,assak,кисть
29,Handfläche::N,itumak,ладонь
30,Finger::N,inuak,палец
31,Fingernagel::N,kikiak,ноготь
32,Nagel[Anatomie]::N,kukik,ноготь
33,Zeh::N,isigak,палец
34,Ferse::N,kimmik,пята
35,Ferse::N,kimmik,пятка
36,Knie::N,seeqqoq,колено
37,Oberschenkel::N,uppat,бедро
38,Oberschenkel::N,quttoraq,бедро
39,Bein::N,isigak,нога
40,Körper::N,timi,тело
41,Haut::N,mattak,кожа
42,Blut::N,aak,кровь
43,Ader::N,taqaq,вена
44,Ader::N,taqaq,сосуд
45,Sehne::N,ujalu,жила
46,Sehne::N,ujalu,тетива
47,Sehne::N,ujalu,сухожилие
48,Sehne::N,ujaloq,жила
49,Sehne::N,ujaloq,тетива
50,Sehne::N,ujaloq,сухожилие
51,Knochen::N,saanikut,кость
52,Gehirn::N,qarasaq,мозг
53,Herz::N,uummat,сердце
54,Magen::N,aqajaroq,желудок
55,Leber::N,tinguk,печень
56,Atem::N,anerneq,дух
57,Atem::N,anerneq,дыхание
58,Hunger::N,kaanneq,голод
59,Träne::N,qia,слеза
60,Träne::N,qiak,слеза
61,Geschmack::N,qilanaartuut,вкус
62,Geruch::N,tipi,запах
63,Geruch::N,tipik,запах
64,Traum::N,sinnattoq,сновидение
65,Traum::N,sinnattugaq,сновидение
66,Himmel::N,qilak,небо
67,Sonne::N,seqineq,солнце
68,Mond::N,qaammat,луна
69,Stern::N,ulloriaq,звезда
70,Luft::N,silaannaq,воздух
71,Wind::N,anori,ветер
72,Wind::N,anorsarik,ветер
73,Welle::N,aalappaa,волна
74,Wasser::N,imeq,вода
75,Stein::N,ujarak,камень
76,Boden::N,nateq,почва
77,Erde::N,issoq,земля
78,Staub::N,pujualanerit,пыль
79,Staub::N,pujoralanerit,пыль
80,Rauch::N,iseq,дым
81,Rauch::N,pujoq,дым
82,Funke::N,illoorneq,искра
83,Feuer::N,inneq,огонь
84,Licht::N,qaamaneq,свет
85,Schatten::N,tarraq,тень
86,Wetter::N,sila,погода
87,Nebel::N,pujoq,туман
88,Wolke::N,nuia,облако
89,Regen::N,sialuk,дождь
90,Schnee::N,aput,снег
91,Eis::N,siku,лед
92,Frost::N,issi,мороз
93,Frost::N,issik,мороз
94,Kälte::N,issi,холод
95,Hitze::N,kianneq,жара
96,Hitze::N,kiassuseq,жара
97,Raureif::N,kaneq,иней
98,Regenbogen::N,neriusaaq,радуга
99,Donner::N,kalleq,гром
100,Tropfen::N,kuseriarneq,капля
101,Schaum::N,qapuk,пена
102,Schmutz::N,minguk,грязь
103,See::N,taseq,озеро
104,Sumpf::N,maqulluk,топь
105,Wiese::N,masarsuk,луг
106,Hügel::N,qattuneq,холм
107,Hügel::N,majuariaq,холм
108,Hügel::N,majorajaaq,холм
109,Hügel::N,qaqqannguaq,холм
110,Berg::N,qaqqaq,гора
111,Höhle::N,qaarusuk,пещера
112,Abhang::N,ippik,склон
113,Abhang::N,sivinganeq,склон
114,Abhang::N,sivingajaaq,склон
115,Abhang::N,kussangajaaq,склон
116,Bach::N,kuunnguaq,ручей
117,Fluss::N,kuuk,река
118,Ufer::N,sissap sinaa,берег
119,Küste::N,sineriak,побережье
120,Meer::N,imaq,море
121,Bucht::N,ikeq,бухта
122,Bucht::N,kangerluk,бухта
123,Bucht::N,kangerliumaneq,бухта
124,Insel::N,qeqertaq,остров
125,Blume::N,naasoq,цветок
126,Gras::N,ivigaq,трава
127,Wurzel::N,niulutaq,корень
128,Baum::N,orpik,дерево
129,Stamm::N,kanaartaq,ствол
130,Rinde::N,ameraq,кора
131,Ast::N,avalequt,сук
132,Zweig::N,avalequt,ветвь
133,Blatt::N,pilutaq,лист
134,Birke::N,patitsit,береза
135,Weide[Baum]::N,palleq,ива
136,Tanne::N,orsuerneq,ель
137,Horn::N,nassuk,рог
138,Feder::N,suluk,перо
139,Fell::N,ameq,шкура
