,Concept_ID,ce,mhr
0,Auge::N,бӏаьрг,шинча́
1,Ohr::N,лерг,пы́лыш
2,Nase::N,мара,нер
3,Mund::N,бага,умша́
4,Zahn::N,церг,пӱй
5,Zunge::N,мотт,йы́лме
6,Lippe::N,балда,тӱ́рвӧ
7,Wange::N,бесни,шӱ́ргӧ
8,Gesicht::N,юьхь,чури́й
9,Stirn::N,хьаж,саҥга́
10,Haar::N,мас,ӱп
11,Schnurrbart::N,мекх,ӧ́рыш
12,Bart::N,маж,понда́ш
13,Kinn::N,чӏениг,оҥыла́ш
14,Kiefer[Anatomie]::N,мочхал,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,мочхал,пӱйората́
16,Kehle::N,къамкъарг,лога́р
17,Hals::N,ворта,шӱй
18,Genick::N,кӏесаркӏаг,шӱйло́дыш
19,Kopf::N,корта,вуй
20,Rücken::N,букъ,туп
21,Bauch::N,кийра,мӱ́шкыр
22,Nabel::N,цӏонга,кы́лымде
23,Busen::N,зударийн накха,чы́зе
24,Brust::N,накха,оҥ
25,Schulter::N,белш,ва́че
26,Arm::N,пхьарс,кид
27,Ellenbogen::N,пхьаьрсан гола,кынерву́й
28,Hand::N,куьг,кид
29,Hand::N,куьг,копа́
30,Handfläche::N,кераюкъ,со́во
31,Finger::N,пӏелг,парня́
32,Fingernagel::N,мӏара,кидкӱ́ч
33,Fingernagel::N,мӏара,парнягӱ́ч
34,Nagel[Anatomie]::N,мӏара,кӱч
35,Zeh::N,кога пӏелг,йолварня́
36,Fuß::N,ког,йол
37,Fuß::N,ког,йолкопа́
38,Ferse::N,кӏажа,тага́н
39,Knie::N,гола,пулву́й
40,Oberschenkel::N,варе,э́рде
41,Bein::N,ког,йол
42,Körper::N,хӏума,кап
43,Haut::N,чкъор,кова́ште
44,Blut::N,цӏий,вӱр
45,Ader::N,пха,шӧн
46,Sehne::N,хьорзам,шӧн
47,Sehne::N,хьорзам,кӱсе́н
48,Knochen::N,даьӏахк,лу
49,Gehirn::N,хье,вем
50,Gehirn::N,хье,вуйве́м
51,Herz::N,дог,шӱм
52,Magen::N,зорх,пага́р
53,Leber::N,доӏах,мокш
54,Atem::N,садеӏар,шӱ́лыш
55,Hunger::N,мацалла,шужыма́ш
56,Träne::N,бӏаьрхи,шинчавӱ́д
57,Geschmack::N,чам,там
58,Geruch::N,хьожа,пуш
59,Schlaf::N,наб,о́мо
60,Traum::N,гӏан,йӱдо́мо
61,Himmel::N,стигал,кава́
62,Sonne::N,малх,ке́че
63,Mond::N,бутт,ты́лзе
64,Stern::N,седа,шӱ́дыр
65,Luft::N,xӏаваъ,юж
66,Wind::N,мох,марде́ж
67,Welle::N,тулгӏе,то́лкын
68,Wasser::N,хи,вӱд
69,Stein::N,тӏулг,кӱ
70,Boden::N,цӏенкъа,рок
71,Erde::N,латта,мла́нде
72,Staub::N,чан,пура́к
73,Rauch::N,кӏур,шикш
74,Funke::N,суй,сеске́м
75,Funke::N,суй,тулйы́п
76,Feuer::N,цӏе,тул
77,Licht::N,серло,со́то
78,Schatten::N,ӏиндагӏ,ӱ́мыл
79,Wetter::N,хенан хӏоттам,иге́че
80,Nebel::N,дохк,тӱтыра́
81,Wolke::N,марха,пыл
82,Regen::N,догӏа,йӱр
83,Schnee::N,ло,лум
84,Eis::N,ша,ий
85,Frost::N,шело,чатлама́
86,Kälte::N,шело,йӱ́штӧ
87,Hitze::N,йовхо,шо́кшо
88,Raureif::N,йис,пӧрш
89,Raureif::N,йис,по́кшым
90,Regenbogen::N,стелаӏад,шонанпы́л
91,Donner::N,ткъес,кӱ́дырчӧ
92,Strömung::N,дӏаэхар,йо́гын
93,Strömung::N,дӏасалелар,йо́гын
94,Tropfen::N,тӏадам,чӱча́лтыш
95,Schaum::N,чопа,шоҥ
96,Schmutz::N,хатт,лавыра́
97,See::N,ӏам,ер
98,Sumpf::N,уьшал,лӱ́кӧ
99,Moor::N,уьшал,куп
100,Wiese::N,бай,о́лык
101,Wald::N,хьун,чодыра́
102,Hügel::N,гу,арка́
103,Hügel::N,шу,арка́
104,Hügel::N,барз,арка́
105,Anhöhe::N,акъари,тӧва́
106,Anhöhe::N,акъари,кӱкшака́
107,Berg::N,лам,ку́рык
108,Gipfel::N,бохь,чаҥга́
109,Gipfel::N,бохь,курыкву́й
110,Höhle::N,хьех,пеще́р
111,Höhle::N,хьех,курыкпо́мыш
