,Concept_ID,kn,ce
0,Auge::N,ಕಣ್ಣು,бӏаьрг
1,Ohr::N,ಕಿವಿ,лерг
2,Nase::N,ಮೂಗು,мара
3,Mund::N,ಬಾಯಿ,бага
4,Zahn::N,ಹಲ್ಲು,церг
5,Zunge::N,ನಾಲಿಗೆ,мотт
6,Lippe::N,ತುಟಿ,балда
7,Wange::N,ಗಲ್ಲ,бесни
8,Gesicht::N,ಮುಖ,юьхь
9,Stirn::N,ಹಣೆ,хьаж
10,Haar::N,ಕೂದಲು,мас
11,Schnurrbart::N,ಮೀಸೆ,мекх
12,Bart::N,ಗಡ್ಡ,маж
13,Kinn::N,ಗದ್ದ,чӏениг
14,Kiefer[Anatomie]::N,ದವಡೆ,мочхал
15,Kehle::N,ಗಂಟಲು,къамкъарг
16,Hals::N,ಕೊರಳು,ворта
17,Genick::N,ಹಿಂಗತ್ತು,кӏесаркӏаг
18,Kopf::N,ತಲೆ,корта
19,Rücken::N,ಬೆನ್ನು,букъ
20,Bauch::N,ಹೊಟ್ಟೆ,кийра
21,Nabel::N,ಹೊಕ್ಕುಳು,цӏонга
22,Busen::N,ಸ್ತನ,зударийн накха
23,Brust::N,ಎದೆ,накха
24,Schulter::N,ಭುಜ,белш
25,Arm::N,ತೋಳು,пхьарс
26,Ellenbogen::N,ಮೊಣಕೈ,пхьаьрсан гола
27,Hand::N,ಕೈ,куьг
28,Handfläche::N,ಅಂಗೈ,кераюкъ
29,Finger::N,ಕೈಬೆರಳು,пӏелг
30,Fingernagel::N,ಉಗುರು,мӏара
31,Nagel[Anatomie]::N,ಉಗುರು,мӏара
32,Zeh::N,ಕಾಲ್ಬೆರಳು,кога пӏелг
33,Fuß::N,ಪಾದ,ког
34,Ferse::N,ಹಿಮ್ಮಡಿ,кӏажа
35,Knie::N,ಮಂಡಿ,гола
36,Oberschenkel::N,ತೊಡೆ,варе
37,Bein::N,ಕಾಲು,ког
38,Körper::N,ದೇಹ,хӏума
