,Concept_ID,kk,et
0,Auge::N,көз,silm
1,Ohr::N,құлақ,kõrv
2,Nase::N,мұрын,nina
3,Mund::N,ауыз,suu
4,Zahn::N,тіс,hammas
5,Zunge::N,тіл,keel
6,Lippe::N,ерін,huul
7,Wange::N,ұрт,põsk
8,Gesicht::N,бет-аузы,nägu
9,Stirn::N,маңдай,otsmik
10,Haar::N,қыл,juus
11,Schnurrbart::N,мұрт,vurrud
12,Schnurrbart::N,мұрт,vuntsid
13,Bart::N,сақал,habe
14,Kinn::N,иек,lõug
15,Kiefer[Anatomie]::N,жақ,lõualuu
16,Kehle::N,алқым,kõri
17,Hals::N,мойын,kael
18,Genick::N,желке,kukal
19,Kopf::N,кәллә,pea
20,Rücken::N,арқа,selg
21,Bauch::N,қарын,kõht
22,Nabel::N,кіндік,naba
23,Busen::N,омырау,rind
24,Brust::N,кеуде,rind
25,Schulter::N,иық,õlg
26,Arm::N,қол,käsivars
27,Ellenbogen::N,шынтақ,küünarnukk
28,Hand::N,қол,käsi
29,Handfläche::N,алақан,pihk
30,Finger::N,саусақ,sõrm
31,Fingernagel::N,тырнақ,küüs
32,Nagel[Anatomie]::N,тырнақ,küüs
33,Zeh::N,тырнақ,varvas
34,Zeh::N,тұяқ,varvas
35,Fuß::N,аяқ-басы,jalg
36,Ferse::N,өкше,kand
37,Ferse::N,өкшелік,kand
38,Knie::N,тізе,põlv
39,Oberschenkel::N,жамбас,reis
40,Bein::N,аяқ,jalg
41,Körper::N,дене,ihu
42,Körper::N,дене,keha
43,Haut::N,тері,nahk
44,Blut::N,қан,veri
45,Ader::N,көктамыр,veen
46,Ader::N,күретамыр,veen
47,Sehne::N,сіңір,kõõlus
48,Knochen::N,жілік,luu
49,Gehirn::N,ми,aju
50,Herz::N,жүрек,süda
51,Magen::N,асқазан,magu
52,Leber::N,бауыр,maks
53,Atem::N,леп,hingeõhk
54,Atem::N,леп,hingamine
55,Hunger::N,ашаршылық,nälg
56,Träne::N,жас,pisar
57,Geschmack::N,дәм,maitse
58,Geschmack::N,татым,maitse
59,Geschmack::N,талғам,maitse
60,Geruch::N,иіс,lõhn
61,Schlaf::N,ұйқы,uni
62,Schlaf::N,ұйықтау,uni
63,Traum::N,түс,unenägu
64,Himmel::N,аспан,taevas
65,Himmel::N,көқ,taevas
66,Himmel::N,таңдай,taevas
67,Sonne::N,күн,päike
68,Mond::N,ай,kuu
69,Stern::N,жұлдыз,täht
70,Luft::N,әуе,õhk
71,Wind::N,жел,tuul
72,Welle::N,толқын,laine
73,Wasser::N,су,vesi
74,Stein::N,тас,kivi
75,Boden::N,қыртыс,maa
76,Boden::N,қыртыс,pinnas
77,Erde::N,топырақ,maa
78,Staub::N,шаң,põrm
79,Rauch::N,түтін,suits
80,Funke::N,ұшқын,säde
81,Feuer::N,алау,tuli
82,Licht::N,шұғыла,valgus
83,Schatten::N,көлеңке,vari
84,Wetter::N,ауа райы,ilm
85,Nebel::N,тұман,udu
86,Wolke::N,бұлт,pilv
87,Regen::N,жаңбыр,sadu
88,Schnee::N,қар,lumi
89,Eis::N,мұз,jää
90,Frost::N,суық,pakane
91,Kälte::N,ызғар,külm
92,Kälte::N,ызғар,külmus
93,Kälte::N,суықтық,külm
94,Kälte::N,суықтық,külmus
95,Hitze::N,аптап,kuumus
96,Hitze::N,аптап,palavus
97,Raureif::N,қырау,härmatis
98,Regenbogen::N,кемпірқосақ,vikerkaar
99,Donner::N,күн күркіреу,kõu
100,Donner::N,күн күркіреу,müristamine
101,Strömung::N,ағын,voolus
102,Strömung::N,ағын,jõevool
103,Tropfen::N,тамшы,tilk
104,Schaum::N,көбік,vaht
105,Schmutz::N,кір,pori
106,Schmutz::N,кір,mustus
107,See::N,көл,järv
108,Sumpf::N,саз,soo
109,Moor::N,саз,raba
110,Wiese::N,шалғын,aas
111,Wiese::N,шалғын,nurm
112,Wald::N,орман,mets
113,Hügel::N,төбе,küngas
114,Hügel::N,белес,küngas
115,Hügel::N,белес-белес,küngas
116,Anhöhe::N,дөң,küngas
117,Anhöhe::N,адыр,küngas
118,Anhöhe::N,қырат,küngas
119,Berg::N,тау,mägi
120,Gipfel::N,төбе,mäetipp
121,Höhle::N,үңгір,koobas
122,Abhang::N,бауыр,nõlvak
123,Quelle::N,қайнар,allikas
124,Bach::N,жылға,oja
125,Fluss::N,өзен,jõgi
126,Ufer::N,жиек,kallas
127,Küste::N,жиегі,rannik
128,Küste::N,жағалау,rannik
129,Festland::N,құрылық,mander
130,Festland::N,құрылық,maismaa
131,Meer::N,теңіз,meri
132,Bucht::N,шығанақ,laht
133,Insel::N,арал,saar
134,Blume::N,гүл,lill
135,Gras::N,от,rohi
136,Wurzel::N,түбір,juur
137,Baum::N,ағаш,puu
138,Baum::N,дарақ,puu
139,Stamm::N,сояу,tüvi
140,Stamm::N,оқпан,tüvi
141,Rinde::N,қабық,koor
142,Ast::N,бұтақ,oks
143,Zweig::N,шыбық,oks
144,Blatt::N,жапырақ,leht
145,Birke::N,қайың,kask
146,Kiefer[Baum]::N,қарағай,mänd
147,Weide[Baum]::N,тал,paju
148,Tanne::N,шырша,nulg
149,Horn::N,мүйіз,sarv
150,Feder::N,қаламұш,sulg
151,Fell::N,тері,karvkate
152,Fell::N,тері,karusnahk
153,Flügel::N,қанат,tiib
154,Flügel::N,қанат,tiivik
155,Klaue::N,тырнақ,küüs
156,Kralle::N,аяқ,küünis
157,Schwanz::N,құйрық,saba
158,Ei::N,жұмыртқа,muna
159,Nest::N,ұя,pesa
160,Bau::N,жатақ,urg
161,Tier::N,айуан,loom
162,Tier::N,жануар,loom
163,Herde::N,пада,kari
164,Kuh::N,сиыр,lehm
165,Bulle::N,өгіз,pull
166,Pferd::N,жылқы,hobune
167,Schaf::N,қой,lammas
168,Schwein::N,шошқа,siga
169,Hund::N,ит,koer
170,Katze::N,мысық,kass
171,Bär::N,аю,karu
172,Eichhörnchen::N,тиін,orav
173,Elch::N,бұғы,põder
174,Fuchs::N,түлкі,rebane
175,Hase::N,қоян,jänes
176,Maus::N,қаптесер,hiir
177,Wolf::N,бөрі,hunt
178,Wolf::N,қасқыр,hunt
179,Vogel::N,құс,lind
180,Schwarm::N,топ,parv
181,Schwarm::N,үйір,parv
182,Huhn::N,тауық,kana
183,Huhn::N,мекиен,kana
184,Hahn::N,әтеш,kukk
185,Hahn::N,қораз,kukk
186,Gans::N,қаз,hani
187,Adler::N,бүркіт,kotkas
188,Ente::N,үйрек,part
189,Eule::N,жапалақ,kakk
190,Eule::N,жапалақ,öökull
191,Kranich::N,тырна,kurg
192,Krähe::N,қарға,vares
193,Kuckuck::N,көкек,kägu
194,Schwan::N,аққу,luik
195,Fisch::N,балық,kala
196,Barsch::N,алабұға,ahven
197,Hecht::N,шортан,haug
198,Schlange[Tier]::N,жылан,uss
199,Wurm::N,шұбалшаң,uss
200,Wurm::N,шұбалшаң,vagel
201,Spinne::N,өрмекші,ämblik
202,Ameise::N,қүмырска,sipelgas
203,Laus::N,бит,täi
204,Mücke::N,маса,sääsk
205,Fliege::N,шыбын,kärbes
206,Schmetterling::N,көбелек,liblikas
207,Beere::N,жидек,mari
208,Apfel::N,алма,õun
209,Pilz::N,қозықұйрық,seen
210,Pilz::N,саңыраукулақ,seen
211,Zwiebel::N,жуа,sibul
212,Saat::N,тұқым,seeme
213,Korn::N,дән,iva
214,Korn::N,дән,tera
215,Heu::N,шөп,hein
216,Schale::N,қабық,koor
217,Schale::N,қабығы,koor
218,Grube::N,ор,kaevand
219,Falle::N,дұзақ,lõks
220,Falle::N,дұзақ,püünis
221,Falle::N,қақпан,lõks
222,Falle::N,қақпан,püünis
223,Schlinge::N,ілмек,aas
224,Spur::N,із,jälg
225,Asche::N,күл,tuhk
226,Dreck::N,былғаныш,saast
227,Dreck::N,былғаныш,mustus
228,Eisen::N,темір,raud
229,Gold::N,алтын,kuld
230,Silber::N,күміс,hõbe
231,Kohle::N,көмір,süsi
232,Glas::N,шыны,klaas
233,Lehm::N,балшық,savi
234,Sand::N,құм,liiv
235,Mensch::N,адам,inimene
236,Mann::N,еркек,mees
237,Mann::N,ер адам,mees
238,Frau::N,бике,naine
239,Frau::N,қатын,naine
240,Kind::N,бала,laps
241,Kind::N,перзент,laps
242,Junge::N,бала,poiss
243,Junge::N,ер бала,poiss
244,Mädchen::N,қыз,tüdruk
245,Familie::N,жанұя,perekond
246,Großvater::N,ата,vanaisa
247,Großmutter::N,әже,vanaema
248,Großmutter::N,әжей,vanaema
249,Eltern::N,ата-аналар,vanemad
250,Vater::N,әке,isa
251,Mutter::N,ана,ema
252,Sohn::N,ұл,poeg
253,Tochter::N,қызым,tütar
254,Bruder::N,бауырым,vend
255,Schwester::N,әпке,õde
256,Onkel::N,көке,onu
257,Tante::N,тәте,tädi
258,Ehemann::N,ер,mees
259,Ehemann::N,ер,abikaasa
260,Ehefrau::N,зайып,naine
261,Ehefrau::N,зайып,abikaasa
262,Freude::N,қуаныш,rõõm
263,Freude::N,сүйініш,rõõm
264,Freude::N,шат-думан,rõõm
265,Freude::N,қуаныштылық,rõõm
266,Gelächter::N,күлу,naer
267,Glück::N,бақыт,õnn
268,Glück::N,бақыттылық,õnn
269,Kummer::N,аза,mure
270,Kummer::N,аза,kurbus
271,Kummer::N,қайғы,mure
272,Kummer::N,қайғы,kurbus
273,Kummer::N,қасырет,mure
274,Kummer::N,қасырет,kurbus
275,Wunsch::N,мүдде,soov
276,Lust::N,тәбет,himu
277,Lust::N,ынтызар,himu
278,Lust::N,құштарлық,himu
279,Geist::N,рух,vaim
280,Gedanke::N,ой,mõte
281,Gedächtnis::N,ес,mälu
282,Gedächtnis::N,жады,mälu
283,Gedächtnis::N,ақыл-ес,mälu
284,Verstand::N,ақыл,aru
285,Verstand::N,ақыл,mõistus
286,Verstand::N,парасат,aru
287,Verstand::N,парасат,mõistus
288,Sinn::N,мән,tähendus
289,Sinn::N,маныз,tähendus
290,Sinn::N,мағына,tähendus
291,Sinn::N,мән-мағына,tähendus
292,Grund::N,себеп,põhjus
293,Wahrheit::N,рас,tõde
294,Gespräch::N,әңгіме,kõne
295,Gespräch::N,әңгіме,vestlus
296,Märchen::N,ертеп,muinasjutt
297,Märchen::N,ертек,muinasjutt
298,Erzählung::N,әңгіме,jutustus
299,Nachricht::N,хабар,teade
300,Neuigkeit::N,жаңалық,uudis
301,Name::N,ат,nimi
302,Name::N,атау,nimi
303,Rätsel::N,жұмбақ,mõistatus
304,Rede::N,сөз,kõne
305,Sprache::N,тіл,keel
306,Stimme::N,үн,hääl
