,Concept_ID,hu,uk
0,Auge::N,szem,око
1,Ohr::N,fül,вухо
2,Nase::N,orr,ніс
3,Mund::N,száj,рот
4,Zahn::N,fog,зуб
5,Zunge::N,nyelv,язик
6,Lippe::N,ajak,губа
7,Wange::N,orca,щока
8,Gesicht::N,arc,обличчя
9,Stirn::N,homlok,лоб
10,Haar::N,haj,волосся
11,Schnurrbart::N,bajusz,вуса
12,Bart::N,szakáll,борода
13,Kinn::N,áll,підборіддя
14,Kiefer[Anatomie]::N,állkapocs,щелепа
15,Kehle::N,gége,горло
16,Kehle::N,torok,горло
17,Hals::N,nyak,шия
18,Genick::N,tarkó,потилиця
19,Kopf::N,fő,голова
20,Kopf::N,fej,голова
21,Rücken::N,hát,спина
22,Bauch::N,has,живіт
23,Nabel::N,köldök,пупок
24,Busen::N,mell,груди
25,Busen::N,kebel,груди
26,Brust::N,mell,груди
27,Schulter::N,váll,плече
28,Arm::N,kar,рука
29,Ellenbogen::N,könyök,лікоть
30,Hand::N,kéz,рука
31,Handfläche::N,tenyér,долоня
32,Finger::N,ujj,палець
33,Fingernagel::N,köröm,ніготь
34,Nagel[Anatomie]::N,köröm,ніготь
35,Zeh::N,lábujj,палець на нозі
36,Fuß::N,láb,нога
37,Ferse::N,sarok,п’ятка
38,Knie::N,térd,коліно
39,Oberschenkel::N,comb,стегно
40,Bein::N,láb,нога
41,Bein::N,lábszár,нога
42,Körper::N,test,тіло
43,Haut::N,bőr,шкіра
44,Blut::N,vér,кров
45,Ader::N,ér,вена
46,Sehne::N,ín,сухожилля
47,Knochen::N,csont,кістка
48,Gehirn::N,agy,мозок
49,Gehirn::N,agyvelő,мозок
50,Herz::N,szív,серце
51,Magen::N,gyomor,шлунок
52,Leber::N,máj,печінка
53,Atem::N,lehelet,дихання
54,Atem::N,lélegzet,дихання
55,Hunger::N,éhség,голод
56,Träne::N,könny,сльоза
57,Geschmack::N,íz,смак
58,Geruch::N,szag,запах
59,Schlaf::N,álom,сон
60,Schlaf::N,álom,сплячка
61,Schlaf::N,alvás,сон
62,Schlaf::N,alvás,сплячка
63,Traum::N,álom,сон
64,Himmel::N,ég,небо
65,Himmel::N,menny,небо
66,Sonne::N,nap,сонце
67,Mond::N,hold,місяць
68,Stern::N,csillag,зірка
69,Luft::N,levegő,повітря
70,Wind::N,szél,вітер
71,Welle::N,hullám,хвиля
72,Wasser::N,víz,вода
73,Stein::N,kő,камінь
74,Boden::N,föld,ґрунт
75,Boden::N,talaj,ґрунт
76,Erde::N,föld,земля
77,Staub::N,por,пил
78,Rauch::N,füst,дим
79,Funke::N,szikra,іскра
80,Feuer::N,tűz,вогонь
81,Licht::N,fény,світло
82,Schatten::N,árnyék,тінь
83,Wetter::N,idő,погода
84,Wetter::N,időjárás,погода
85,Nebel::N,köd,туман
86,Wolke::N,felhő,хмара
87,Regen::N,eső,дощ
88,Schnee::N,hó,сніг
89,Eis::N,jég,лід
90,Frost::N,fagy,мороз
91,Kälte::N,hideg,холод
92,Hitze::N,hő,жар
93,Hitze::N,hőség,жар
94,Raureif::N,zúzmara,іній
95,Regenbogen::N,szivárvány,райдуга
96,Donner::N,dörgés,грім
97,Donner::N,mennydörgés,грім
98,Strömung::N,áramlat,струмина
99,Tropfen::N,csepp,крапля
100,Schaum::N,hab,піна
101,Schaum::N,tajték,піна
102,Schmutz::N,piszok,бруд
103,See::N,tó,озеро
104,Sumpf::N,mocsár,драговина
105,Moor::N,láp,болото
106,Wiese::N,rét,луг
107,Wiese::N,rét,лука
108,Wiese::N,mező,луг
109,Wiese::N,mező,лука
110,Wald::N,erdő,ліс
111,Hügel::N,domb,горб
112,Anhöhe::N,magaslat,височина
113,Berg::N,hegy,гора
114,Gipfel::N,csúcs,вершина
115,Höhle::N,barlang,печера
116,Abhang::N,lejtő,схил
117,Quelle::N,forrás,джерело
118,Bach::N,patak,струмок
