,Concept_ID,cs,ba
0,Auge::N,oko,күҙ
1,Ohr::N,ucho,ҡолаҡ
2,Nase::N,nos,танау
3,Mund::N,pusa,ауыҙ
4,Zahn::N,zub,теш
5,Zunge::N,jazyk,тел
6,Lippe::N,ret,ирен
7,Wange::N,tvář,яцаҡтар
8,Gesicht::N,obličej,бит
9,Stirn::N,čelo,маңлай
10,Haar::N,vlas,сәс
11,Haar::N,vlasy,сәс
12,Schnurrbart::N,kníry,мылтыҡ
13,Bart::N,vousy,һаҡал
14,Kinn::N,brada,эйэк
15,Kiefer[Anatomie]::N,čelist,яңаҡ һөйәге
16,Kehle::N,hrdlo,тамаҡ
17,Hals::N,krk,муйын
18,Genick::N,týl,соңҡа
19,Kopf::N,hlava,баш
20,Rücken::N,záda,арҡа
21,Rücken::N,hřbet,арҡа
22,Bauch::N,břicho,ҡорһаҡ
23,Nabel::N,pupek,кендек
24,Busen::N,ňadra,күкрәк
25,Brust::N,prsa,түш
26,Schulter::N,plece,яурын
27,Schulter::N,rameno,яурын
28,Arm::N,ruka,ҡул
29,Ellenbogen::N,loket,терһәк
30,Hand::N,ruka,ҡул
31,Hand::N,ruka,ҡул суғы
32,Handfläche::N,dlaň,ус төбө
33,Finger::N,prst,бармаҡ
34,Fingernagel::N,nehet,тырнаҡ
35,Nagel[Anatomie]::N,nehet,тырнаҡ
36,Zeh::N,prst u nohy,бармаҡ
37,Fuß::N,noha,табан
38,Ferse::N,pata,үксә
39,Knie::N,koleno,тубыҡ
40,Oberschenkel::N,stehno,сандыр
41,Bein::N,noha,аяҡ
42,Körper::N,tělo,тән
43,Haut::N,kůže,тире
44,Blut::N,krev,ҡан
45,Ader::N,céva,тамыр
46,Sehne::N,šlacha,һеңер
47,Sehne::N,šlacha,тарамыш
48,Knochen::N,kost,һойәк
49,Gehirn::N,mozek,мейе
50,Herz::N,srdce,йорәк
51,Magen::N,žaludek,ашҡаҙан
52,Leber::N,játra,бауыр
53,Atem::N,dech,һулыш
54,Hunger::N,hlad,аслыҡ
55,Träne::N,slza,күҙ иәше
56,Geschmack::N,vkus,тәм
57,Geruch::N,vůně,еҫ
58,Geruch::N,zápach,еҫ
59,Schlaf::N,spánek,йоҡлау
60,Traum::N,sen,төш
61,Himmel::N,nebe,күк
62,Sonne::N,slunce,ҡояш
63,Mond::N,měsíc,ай
64,Stern::N,hvězda,йондоҙ
65,Luft::N,vzduch,һауа
66,Wind::N,vítr,ел
67,Welle::N,vlna,тулҡын
68,Wasser::N,voda,һыу
69,Stein::N,kámen,таш
70,Boden::N,půda,тупраҡ
71,Erde::N,země,балсҡ
72,Staub::N,prach,туҙан
73,Rauch::N,dým,төтөн
74,Rauch::N,kouř,төтөн
75,Funke::N,jiskra,осҡон
76,Feuer::N,oheň,ут
77,Licht::N,světlo,яҡтылыҡ
78,Schatten::N,stín,күләгә
79,Wetter::N,počasí,һауа торошо
80,Nebel::N,mlha,төман
81,Wolke::N,mrak,болот
82,Wolke::N,oblak,болот
83,Regen::N,déšť,ямғыр
84,Schnee::N,sníh,ҡар
85,Eis::N,led,боҙ
86,Frost::N,mráz,һалҡын
87,Kälte::N,chlad,һыуыҡ
88,Hitze::N,horko,томра
89,Hitze::N,horko,эҫелек
90,Raureif::N,jinovatka,ҡырау
91,Regenbogen::N,duha,йәйғор
92,Donner::N,hrom,күк күкрәү
93,Strömung::N,proudění,ағым
94,Tropfen::N,kapka,тамсы
95,Schaum::N,pěna,күбек
96,Schmutz::N,špína,батҡаҡ
97,See::N,jezero,күл
98,Sumpf::N,močál,һаҙлык
99,Sumpf::N,bažina,һаҙлык
100,Moor::N,bažina,һаҙ
101,Moor::N,slatina,һаҙ
102,Wiese::N,louka,болон
103,Wald::N,les,урман
104,Hügel::N,kopec,түбә
105,Anhöhe::N,pahorek,түбә
106,Anhöhe::N,pahorek,ҡалҡыулыҡ
107,Berg::N,hora,тау
108,Gipfel::N,vrchol,түбә
109,Höhle::N,jeskyně,мәмерйә
110,Abhang::N,svah,ипкен
111,Abhang::N,stráň,ипкен
112,Quelle::N,pramen,шишмә
113,Bach::N,potok,шишмә
114,Fluss::N,řeka,йылға
115,Ufer::N,břeh,яр
116,Küste::N,pobřeží,яр буйы
117,Festland::N,souš,ҡоро ер
118,Festland::N,pevnina,ҡоро ер
119,Meer::N,moře,диңгез
120,Bucht::N,záliv,бухта
121,Bucht::N,zátoka,бухта
122,Insel::N,ostrov,үтрау
123,Blume::N,květina,сәскә
124,Gras::N,tráva,үлән
125,Wurzel::N,kořen,тамыр
126,Baum::N,strom,ағас
127,Stamm::N,kmen,олон
128,Stamm::N,kmen,көбәк
129,Rinde::N,kůra,ҡабыҡ
130,Ast::N,větev,ботаҡ
131,Zweig::N,větev,ботаҡ
132,Zweig::N,větev,тармаҡ
133,Blatt::N,lupen,япраҡ
134,Birke::N,bříza,ҡайын
135,Kiefer[Baum]::N,sosna,ҡарғай
136,Kiefer[Baum]::N,borovice,ҡарғай
137,Weide[Baum]::N,vrba,тал
138,Tanne::N,jedle,шыршы
139,Horn::N,roh,мөғөҙ
140,Feder::N,pero,ҡауырһын
141,Fell::N,srst,тире
142,Flügel::N,křídlo,ҡанат
143,Klaue::N,dráp,тырнаҡ
144,Klaue::N,pazneht,тырнаҡ
145,Kralle::N,dráp,аяҡ
146,Schwanz::N,ocas,ҡойроҡ
147,Ei::N,vejce,йомортҡа
148,Nest::N,hnízdo,оя
149,Bau::N,nora,оң
150,Tier::N,zvíře,жайуан
151,Tier::N,zvíře,йыртҡыс
152,Herde::N,stádo,көтөү
153,Kuh::N,kráva,һыйыр
154,Bulle::N,býk,үгеҙ
155,Pferd::N,kůň,ат
156,Schaf::N,ovce,һарыҡ
157,Schwein::N,vepř,сусҡа
158,Schwein::N,prase,сусҡа
159,Hund::N,pes,эт
160,Katze::N,kočka,бесәй
161,Bär::N,medvěd,айыу
162,Eichhörnchen::N,veverka,тейен
163,Elch::N,los,мышы
164,Fuchs::N,liška,төлкө
165,Hase::N,zajíc,ҡуян
166,Maus::N,myš,сысҡан
167,Wolf::N,vlk,бүре
168,Vogel::N,pták,ҡош
169,Schwarm::N,roj,көтөү
170,Schwarm::N,hejno,көтөү
171,Huhn::N,kuře,тауыҡ
172,Huhn::N,slepice,тауыҡ
173,Hahn::N,kohout,әтәс
174,Gans::N,husa,ҡаҙ
175,Adler::N,orel,бөркөт
176,Ente::N,kachna,өйрәк
177,Eule::N,sova,өкө
178,Eule::N,sova,ябалаҡ
179,Kranich::N,jeřáb,торна
180,Krähe::N,vrána,ҡарға
181,Kuckuck::N,kukačka,кәкүк
182,Schwan::N,labuť,аҡҡош
183,Fisch::N,ryba,балыҡ
184,Barsch::N,okoun,алабуға
185,Hecht::N,štika,суртан
186,Schlange[Tier]::N,had,йылан
187,Wurm::N,červ,селяүсен
188,Spinne::N,pavouk,үрмәксе
189,Ameise::N,mravenec,ҡырмыҫҡа
190,Laus::N,veš,бет
191,Mücke::N,komár,серәкәй
192,Fliege::N,moucha,себен
193,Schmetterling::N,motýl,күбәләк
194,Beere::N,bobule,еләк
195,Apfel::N,jablko,алма
196,Pilz::N,houba,бәшмәк
197,Zwiebel::N,cibule,һуган
198,Saat::N,osivo,орлоҡ
199,Korn::N,zrno,иген
200,Heu::N,seno,бесән
201,Schale::N,slupka,ҡабыҡ
202,Schale::N,skořápka,ҡабыҡ
203,Grube::N,jáma,соҡор
204,Falle::N,past,тоҙак
205,Falle::N,past,ҡапҡан
206,Falle::N,léčka,тоҙак
207,Falle::N,léčka,ҡапҡан
208,Schlinge::N,smyčka,тоҙак
209,Spur::N,stopa,әҫер
210,Asche::N,popel,көл
211,Dreck::N,špína,батҡаҡ
212,Eisen::N,železo,тимер
213,Gold::N,zlato,алтын
214,Silber::N,stříbro,көмөш
215,Kohle::N,uhlí,күмер
216,Glas::N,sklo,быяла
217,Lehm::N,jíl,балсыҡ
218,Lehm::N,hlína,балсыҡ
219,Sand::N,písek,ҡом
220,Mensch::N,člověk,кеше
221,Mann::N,muž,ир
222,Frau::N,žena,ҡатын
223,Kind::N,dítě,бала
224,Junge::N,hoch,малай
225,Junge::N,chlapec,малай
226,Mädchen::N,děvče,ҡыҙ
227,Mädchen::N,děvče,ҡыҙыҡай
228,Familie::N,rodina,ғаилә
229,Großvater::N,děd,олатай
230,Großvater::N,dědeček,олатай
231,Großmutter::N,babička,әбәй
232,Eltern::N,rodiče,ата-әсә
233,Vater::N,otec,атай
234,Mutter::N,matka,әсә
235,Sohn::N,syn,ул
236,Tochter::N,dcera,ҡыҙ
237,Bruder::N,bratr,агай
238,Schwester::N,sestra,алай
239,Schwester::N,sestra,һеңле
240,Onkel::N,strýc,ағай
241,Tante::N,teta,апай
242,Ehemann::N,choť,ир
243,Ehemann::N,manžel,ир
244,Ehefrau::N,choť,ҡатын
245,Ehefrau::N,manželka,ҡатын
246,Freude::N,radost,шатлыҡ
247,Freude::N,radost,ҡыуаныс
248,Gelächter::N,smích,көлөү
249,Glück::N,štěstí,бәхет
250,Kummer::N,žal,ҡайғы
251,Kummer::N,trápení,ҡайғы
252,Wunsch::N,přání,теләк
253,Lust::N,chuť,әүәҫлек
254,Geist::N,duch,аң
255,Geist::N,duch,рух
256,Gedanke::N,myšlenka,уй
257,Gedanke::N,myšlenka,фекер
258,Gedächtnis::N,paměť,хәтер
259,Verstand::N,rozum,аҡыл
260,Sinn::N,smysl,мәғәня
261,Grund::N,důvod,сәбәп
262,Wahrheit::N,pravda,дөрөҫлөк
263,Gespräch::N,rozhovor,әңгәмә
264,Märchen::N,pohádka,әкиәт
265,Erzählung::N,povídka,хикәйә
266,Nachricht::N,zpráva,хәбәр
267,Neuigkeit::N,novina,яңылыҡ
268,Neuigkeit::N,novinka,яңылыҡ
269,Name::N,jméno,исем
270,Rätsel::N,hádanka,йомаҡ
271,Rede::N,řeč,телмәр
272,Rede::N,proslov,телмәр
273,Sprache::N,řeč,тел
274,Sprache::N,řeč,телмәр
275,Sprache::N,jazyk,тел
276,Sprache::N,jazyk,телмәр
277,Stimme::N,hlas,тауыш
278,Wort::N,slovo,һүҙ
279,Zeichen::N,znamení,билдә
280,Ruf::N,zavolání,саҡырыу
281,Lärm::N,hluk,шаулау
282,Laut::N,zvuk,тауыш
283,Ton::N,tón,яңғырау
284,Lied::N,píseň,йыр
285,Ruhe::N,klid,ял
286,Ruhe::N,klid,тыныслыҡ
287,Ruhe::N,pokoj,ял
288,Ruhe::N,pokoj,тыныслыҡ
289,Leute::N,lidé,кешеләр
290,Volk::N,národ,халҡ
291,Arbeit::N,práce,эш
292,Gast::N,host,ҡунаҡ
293,Geschenk::N,dar,бүләк
294,Spiel::N,hra,уйын
