,Concept_ID,ps,av
0,Auge::N,سترګه,
1,Ohr::N,غوږ,гӏин
2,Nase::N,پوزه,мегӏер
3,Mund::N,خوله,кӏал
4,Zahn::N,غاښ,гӏус
5,Zunge::N,جبه,мацӏ
6,Lippe::N,شونډه,кӏветӏ
7,Wange::N,باړخو,гӏоно
8,Gesicht::N,مخ,гьумер
9,Stirn::N,تندی,нодо
10,Stirn::N,وچولی,нодо
11,Haar::N,وېښته,рас
12,Schnurrbart::N,برېت,михъ
13,Bart::N,ږیره,мегеж
14,Kinn::N,زنه,нилъу
15,Kiefer[Anatomie]::N,جامه,чанагъ
16,Kehle::N,غاړه,щекъер
17,Hals::N,غاړه,габур
18,Genick::N,ورمېږ,гъванща
19,Kopf::N,سر,бетӏер
20,Rücken::N,شا,мугъ
21,Bauch::N,نس,чехь
22,Bauch::N,ګېډه,чехь
23,Nabel::N,نوم,цӏину
24,Busen::N,تی,керен
25,Brust::N,سینه,керен
26,Schulter::N,اوږه,гъажазубетӏер
27,Arm::N,لاس,гъеж
28,Ellenbogen::N,څنګل,гӏункӏрукь
29,Hand::N,لاس,квер
30,Handfläche::N,ورغوی,огъохъат
31,Handfläche::N,ورغوی,жанисахъат
32,Finger::N,ګوته,килищ
33,Fingernagel::N,نوک,малъ
34,Nagel[Anatomie]::N,نوک,малъ
35,Zeh::N,ګوته,килищ
36,Fuß::N,پښه,хӏетӏ
37,Fuß::N,پښه,хӏетӏе
38,Ferse::N,پونده,эгъе
39,Knie::N,زنګون,наку
40,Oberschenkel::N,پتون,мачӏ
41,Bein::N,پښه,бох
42,Körper::N,ځان,къаркъала
43,Haut::N,پوټکی,тӏом
44,Blut::N,وینه,би
45,Ader::N,رګ,бидурихь
46,Sehne::N,پله,
47,Knochen::N,هډوکی,ракьа
48,Gehirn::N,ماغزه,гӏадалнах
49,Herz::N,زړه,ракӏ
50,Magen::N,معده,кванирукъ
51,Leber::N,ينه,тӏул
52,Leber::N,ځیګر,тӏул
53,Atem::N,نفس,хӏухь
54,Hunger::N,ولږه,ракъи
55,Träne::N,اوښکه,магӏу
56,Geschmack::N,مزه,тату
57,Geschmack::N,خوند,тату
58,Geruch::N,بوی,махӏ
59,Schlaf::N,خوب,макьу
60,Traum::N,خوب,макьу
61,Himmel::N,اسمان,зоб
62,Sonne::N,لمر,бакъ
63,Mond::N,سپوږمۍ,моцӏ
64,Stern::N,ستوری,цӏва
65,Luft::N,هوا,гьава
66,Wind::N,ورښ,гьури
67,Welle::N,موج,карачел
68,Wasser::N,اوبه,лъим
69,Stein::N,ډبره,гьецӏо
70,Boden::N,مځکه,ракь
71,Erde::N,خاوره,ракь
72,Erde::N,خاوره,дуниял
73,Staub::N,ګرد,хӏур
74,Staub::N,خاوره,хӏур
75,Rauch::N,دود,кӏкӏуй
76,Rauch::N,لوګی,кӏкӏуй
77,Funke::N,سپرغۍ,
78,Feuer::N,اور,цӏа
79,Licht::N,رڼا,канлъи
80,Schatten::N,سیوری,рагӏад
81,Wetter::N,هوا,гьава-бакъ
82,Nebel::N,لړه,гӏодобнакӏкӏ
83,Wolke::N,ورېځ,накӏкӏ
84,Regen::N,وریا,цӏад
85,Regen::N,باران,цӏад
86,Schnee::N,واوره,гӏазу
87,Eis::N,یخ,цӏер
88,Eis::N,کنګل,цӏер
89,Frost::N,یخ,замгьари
90,Kälte::N,ساړه,квач
91,Hitze::N,تودوخي,багӏари
92,Raureif::N,سپینه پرخه,мартӏ
93,Regenbogen::N,بوډۍ ټال,нур
94,Regenbogen::N,بوډۍ ټال,чамбара
95,Regenbogen::N,سره زرغونه,нур
96,Regenbogen::N,سره زرغونه,чамбара
97,Donner::N,تالنده,гъугъай
98,Donner::N,تالنده,гъугъади
99,Strömung::N,بهېدنه,чвахи
100,Tropfen::N,قطره,резел
101,Tropfen::N,قطره,тӏинкӏ
102,Tropfen::N,قطره,къатӏра
103,Tropfen::N,قطره,тӏенкӏел
104,Tropfen::N,څاڅکی,резел
105,Tropfen::N,څاڅکی,тӏинкӏ
106,Tropfen::N,څاڅکی,къатӏра
107,Tropfen::N,څاڅکی,тӏенкӏел
108,Schaum::N,ځګ,полоп
109,Schmutz::N,ناپاکي,чороклъи
110,See::N,جهیل,хӏор
111,Sumpf::N,جبه,хьуцӏ
112,Moor::N,جبه,
113,Wiese::N,چمن,мегъ
114,Wiese::N,چمن,гӏурдаллъи
115,Wiese::N,شنېلی,мегъ
116,Wiese::N,شنېلی,гӏурдаллъи
117,Wald::N,ځنګل,рохь
118,Hügel::N,تپه,гохӏ
119,Anhöhe::N,غونډۍ,сийитма
120,Berg::N,غ‍‍‍‍‍ر,мегӏер
121,Gipfel::N,څوکه,тӏогь
122,Höhle::N,کاز,нохъо
123,Abhang::N,لمن,лабаллъи
124,Quelle::N,چینه,ицц
125,Bach::N,واله,лъар
126,Fluss::N,سیند,гӏор
127,Ufer::N,غاړه,рагӏал
128,Küste::N,ساحل,рагӏал
129,Festland::N,وچه,ракь
130,Festland::N,وچه,ракъдаллъи
131,Meer::N,بحر,ралъад
132,Meer::N,سمندر,ралъад
133,Bucht::N,کارۍ,кӏветӏ
134,Insel::N,ټاپو,чӏинкӏиллъи
135,Insel::N,جزيره,чӏинкӏиллъи
136,Blume::N,ګل,тӏегь
137,Gras::N,واښه,хер
138,Wurzel::N,ریښه,кьибил
139,Baum::N,ونه,гъветӏ
140,Stamm::N,ډډ,рохти
141,Rinde::N,پوستکی,макъар
142,Ast::N,ښاخ,ноцӏ
143,Zweig::N,څانګه,гӏаркьел
144,Blatt::N,پاڼه,тӏамах
145,Birke::N,توس,мах
146,Birke::N,توس,махигъветӏ
147,Kiefer[Baum]::N,نښتر,накӏкӏигъветӏ
148,Weide[Baum]::N,وله,рицӏцӏ
149,Weide[Baum]::N,وله,рицӏцӏигъветӏ
150,Tanne::N,ناجو,ёлка
151,Horn::N,ښکر,лълъар
152,Feder::N,بڼکه,хӏули
153,Fell::N,پوستکی,тӏом
154,Fell::N,پوستکی,цӏоко
155,Flügel::N,وزر,кваркьи
156,Klaue::N,پنجه,галъ
157,Klaue::N,منګول,галъ
158,Kralle::N,پنجه,квачӏ
159,Kralle::N,پنجه,катиквачӏ
160,Kralle::N,منګول,квачӏ
161,Kralle::N,منګول,катиквачӏ
162,Schwanz::N,لکۍ,рачӏ
163,Ei::N,وۍ,хоно
164,Ei::N,هګۍ,хоно
165,Nest::N,جاله,бусен
166,Bau::N,کاز,каратӏ
167,Tier::N,ژوی,хӏайван
168,Tier::N,حیوان,хӏайван
169,Herde::N,رمه,рехъен
170,Herde::N,رمه,рехъед
171,Herde::N,غېله,рехъен
172,Herde::N,غېله,рехъед
173,Kuh::N,غوا,гӏака
174,Bulle::N,غوئی,оц
175,Pferd::N,آس,чу
176,Schaf::N,پسه,чахъу
177,Schwein::N,سرکوزی,болъон
178,Hund::N,سپی,гьой
179,Katze::N,پشه,кету
180,Bär::N,خرس,ци
181,Eichhörnchen::N,خړ لمی,гвангва
182,Elch::N,ګوزن,
183,Fuchs::N,سپلم,цер
184,Hase::N,سوی,гӏанкӏ
185,Maus::N,مږک,гӏункӏкӏ
186,Wolf::N,لېوه,бацӏ
187,Vogel::N,مرغه,хӏинчӏ
188,Schwarm::N,سېل,тӏел
189,Huhn::N,چرګه,гӏанкӏу
190,Hahn::N,چرګ,хӏелеко
191,Gans::N,بته,хъаз
192,Adler::N,عقاب,цӏум
193,Ente::N,ایلۍ,ордек
194,Eule::N,ګونګی,беццаруз
195,Kranich::N,کلنګ,къункъра
196,Krähe::N,کارغه,гъеду
197,Kuckuck::N,فاخته,гагу
198,Schwan::N,قو,хӏанкъва
199,Fisch::N,کب,ччугӏа
200,Fisch::N,ماهی,ччугӏа
201,Schlange[Tier]::N,مار,борохь
202,Wurm::N,چینجی,хӏапара
203,Spinne::N,غڼه,хъанхъра
204,Spinne::N,تارکښ,хъанхъра
205,Ameise::N,مېږی,цӏунцӏра
206,Laus::N,سپږه,нацӏ
207,Mücke::N,ماشی,кӏкӏара
208,Fliege::N,مچ,тӏутӏ
209,Schmetterling::N,پتنګ,кӏалкӏучӏ
210,Beere::N,مېوۍ,
211,Apfel::N,مڼه,гӏеч
212,Pilz::N,خرېړی,гӏурдахӏан
213,Zwiebel::N,پیاز,кӏочӏопер
214,Saat::N,تخم,хьон
215,Korn::N,تخم,мугь
216,Korn::N,دانه,мугь
217,Heu::N,بوس,хер
