,Concept_ID,ka,de
0,Auge::N,თვალი,Auge
1,Ohr::N,ყური,Ohr
2,Nase::N,ცხვირი,Nase
3,Mund::N,პირი,Mund
4,Zahn::N,კბილი,Zahn
5,Zunge::N,ენა,Zunge
6,Lippe::N,ბაგე,Lippe
7,Wange::N,ლოყა,Wange
8,Gesicht::N,სახე,Gesicht
9,Stirn::N,შუბლი,Stirn
10,Haar::N,თმა,Haar
11,Schnurrbart::N,ულვაში,Schnurrbart
12,Bart::N,წვერი,Bart
13,Kinn::N,ნიკაპი,Kinn
14,Kiefer[Anatomie]::N,ყბა,Kiefer
15,Kehle::N,ყელი,Kehle
16,Hals::N,ყელი,Hals
17,Hals::N,კისერი,Hals
18,Genick::N,კეფა,Genick
19,Kopf::N,თავი,Kopf
20,Rücken::N,ზურგი,Rücken
21,Bauch::N,მუცელი,Bauch
22,Nabel::N,ჭიპი,Nabel
23,Busen::N,ძუძუ,Busen
24,Brust::N,მკერდი,Brust
25,Schulter::N,მხარი,Schulter
26,Schulter::N,მკლავი,Schulter
27,Arm::N,ხელი,Arm
28,Ellenbogen::N,იდაყვი,Ellenbogen
29,Hand::N,ხელი,Hand
30,Handfläche::N,ნები,Handfläche
31,Handfläche::N,ხელისგული,Handfläche
32,Finger::N,თითი,Finger
33,Fingernagel::N,ფრჩხილი,Fingernagel
34,Nagel[Anatomie]::N,ფრჩხილი,Nagel
35,Zeh::N,ფეხის თითი,Zeh
36,Fuß::N,ტერფი,Fuß
37,Fuß::N,ფეხისგული,Fuß
38,Ferse::N,ქუსლი,Ferse
39,Knie::N,მუხლი,Knie
40,Oberschenkel::N,ბარძაყი,Oberschenkel
41,Bein::N,ფეხი,Bein
42,Körper::N,ტანი,Körper
43,Körper::N,სხეული,Körper
44,Haut::N,კანი,Haut
45,Blut::N,სისხლი,Blut
46,Ader::N,ძარღვი,Ader
47,Sehne::N,მყესი,Sehne
48,Knochen::N,ძვალი,Knochen
49,Gehirn::N,ტვინი,Gehirn
50,Herz::N,გული,Herz
51,Magen::N,კუჭი,Magen
52,Leber::N,ღვიძლი,Leber
53,Atem::N,სუნთქვა,Atem
54,Hunger::N,შიმშილი,Hunger
55,Träne::N,ცრემლი,Träne
56,Geschmack::N,გემო,Geschmack
57,Geruch::N,სუნი,Geruch
58,Schlaf::N,ძილი,Schlaf
59,Traum::N,სიზმარი,Traum
60,Himmel::N,ცა,Himmel
61,Sonne::N,მზე,Sonne
62,Mond::N,მთვარე,Mond
63,Stern::N,ვარსკვლავი,Stern
64,Luft::N,ჰაერი,Luft
65,Wind::N,ქარი,Wind
66,Welle::N,ტალღა,Welle
67,Wasser::N,წყალი,Wasser
68,Stein::N,ქვა,Stein
69,Boden::N,მიწა,Boden
70,Erde::N,ნიადაგი,Erde
71,Staub::N,მტვერი,Staub
72,Rauch::N,ბოლი,Rauch
73,Rauch::N,კვამლი,Rauch
74,Funke::N,ნაკვესი,Funke
75,Feuer::N,ცეცხლი,Feuer
