,Concept_ID,el,bg
0,Auge::N,μάτι,око
1,Auge::N,οφθαλμός,око
2,Ohr::N,αυτί,ухо
3,Nase::N,μύτη,нос
4,Mund::N,στόμα,уста
5,Zahn::N,δόντι,зъб
6,Zunge::N,γλώσσα,език
7,Lippe::N,χείλος,устна
8,Wange::N,παρειά,буза
9,Wange::N,μάγουλο,буза
10,Gesicht::N,πρόσωπο,лице
11,Gesicht::N,πρόσωπο,образ
12,Stirn::N,μέτωπο,чело
13,Haar::N,μαλλιά,коса
14,Haar::N,μαλλιά,косъм
15,Schnurrbart::N,μουστάκι,мустаци
16,Bart::N,γένια,брада
17,Kinn::N,πιγούνι,брада
18,Kinn::N,πιγούνι,брадичка
19,Kiefer[Anatomie]::N,σαγόνι,челюст
20,Kehle::N,λαρύγγι,гърло
21,Hals::N,λαιμός,врат
22,Genick::N,σβέρκος,тил
23,Kopf::N,κεφάλι,глава
24,Rücken::N,ράχη,гръб
25,Bauch::N,κοιλιά,корем
26,Nabel::N,αφαλός,пъп
27,Busen::N,στήθος,бозка
28,Brust::N,στήθος,гръд
29,Schulter::N,ώμος,рамо
30,Schulter::N,ώμος,плещи
31,Arm::N,χέρι,ръка
32,Arm::N,μπράτςο,ръка
33,Ellenbogen::N,αγκώνας,лакът
34,Hand::N,χέρι,ръка
35,Hand::N,χέρι,китка
36,Handfläche::N,παλάμη,длан
37,Finger::N,δάχτυλο,пръст
38,Fingernagel::N,νύχι,нокът
39,Nagel[Anatomie]::N,νύχι,нокът
40,Zeh::N,δάχτυλο του ποδιού,пръст на крак
41,Fuß::N,πόδι,крак
42,Fuß::N,πόδι,нога
43,Ferse::N,φτέρνα,пета
44,Knie::N,γόνατο,коляно
45,Oberschenkel::N,μηρός,бедро
46,Bein::N,πόδι,крак
47,Bein::N,πόδι,нога
48,Körper::N,σώμα,тяло
49,Körper::N,κορμί,тяло
50,Haut::N,πετσί,кожа
51,Blut::N,αίμα,кръв
52,Ader::N,φλέβα,вена
53,Ader::N,φλέβα,артерия
54,Sehne::N,νεύρο,жила
55,Sehne::N,νεύρο,сухожилие
56,Sehne::N,τένοντας,жила
57,Sehne::N,τένοντας,сухожилие
58,Knochen::N,οστό,кост
59,Knochen::N,κόκκαλο,кост
60,Gehirn::N,μυαλό,мозък
61,Gehirn::N,εγκέφαλος,мозък
62,Herz::N,καρδιά,сърце
63,Magen::N,στομάχι,стомах
64,Leber::N,ήπαρ,черен дроб
65,Leber::N,συκωτί,черен дроб
66,Atem::N,αναπνοή,дишане
67,Hunger::N,πείνα,глад
68,Träne::N,δάκρυ,сълза
69,Geschmack::N,γεύση,вкус
70,Geruch::N,οσμή,миризма
71,Geruch::N,μυρωδία,миризма
72,Schlaf::N,ύπνος,сън
73,Traum::N,όνειρο,сън
74,Himmel::N,ουρανός,небе
75,Sonne::N,ήλιος,слънце
76,Mond::N,σελήνη,луна
77,Mond::N,σελήνη,месец
78,Mond::N,φεγγάρι,луна
79,Mond::N,φεγγάρι,месец
80,Stern::N,άστρο,звезда
81,Stern::N,αστέρι,звезда
82,Luft::N,αέρας,въздух
83,Wind::N,αέρας,вятър
84,Wind::N,άνεμος,вятър
85,Welle::N,κύμα,вълна
86,Wasser::N,νερό,вода
87,Stein::N,πέτρα,камък
88,Boden::N,χώμα,земя
89,Boden::N,χώμα,почва
90,Erde::N,γη,земя
91,Erde::N,γη,почва
92,Staub::N,σκόνη,прах
93,Rauch::N,καπνός,дим
94,Rauch::N,καπνός,пушек
95,Funke::N,σπίθα,искра
96,Funke::N,σπινθήρας,искра
97,Feuer::N,φωτιά,огън
98,Licht::N,φως,светлина
99,Schatten::N,σκιά,сянка
100,Schatten::N,ίσκιος,сянка
101,Wetter::N,καιρός,време
102,Nebel::N,ομίχλη,мъгла
103,Wolke::N,σύννεφο,облак
104,Regen::N,βροχή,дъжд
105,Schnee::N,χιόνι,сняг
106,Eis::N,πάγος,лед
107,Frost::N,παγωνία,мраз
108,Kälte::N,κρύο,студ
109,Kälte::N,ψύχος,студ
110,Hitze::N,ζέστη,жега
111,Hitze::N,ζέστη,горещина
112,Raureif::N,πάχνη,скреж
113,Raureif::N,πάχνη,слана
114,Regenbogen::N,ουράνιο τόξο,дъга
115,Donner::N,βροντή,гръм
116,Strömung::N,ρεύμα,течение
117,Tropfen::N,στάλα,капка
118,Schaum::N,αφρός,пяна
119,Schmutz::N,βρωμιά,кал
120,Schmutz::N,βρωμιά,мръсотия
121,See::N,λίμνη,езеро
122,Sumpf::N,βάλτος,блато
123,Moor::N,έλος,мочурище
124,Wiese::N,λιβάδι,ливада
125,Wald::N,δάσος,гора
126,Hügel::N,λόφος,рид
127,Hügel::N,λόφος,хълм
128,Anhöhe::N,ύψωμα,могила
129,Anhöhe::N,ύψωμα,възвишение
130,Berg::N,όρος,планина
131,Berg::N,βουνό,планина
132,Gipfel::N,κορυφή,връх
133,Höhle::N,σπηλιά,пещера
134,Abhang::N,πλαγιά,склон
135,Abhang::N,πλαγιά,стръмнина
136,Quelle::N,πηγή,извор
137,Quelle::N,βρύση,извор
138,Bach::N,ρυάκι,поток
139,Fluss::N,ποτάμι,река
140,Fluss::N,ποταμός,река
141,Ufer::N,όχθη,бряг
142,Küste::N,ακτή,бряг
143,Küste::N,ακτή,крайбрежие
144,Küste::N,ακρογιαλιά,бряг
145,Küste::N,ακρογιαλιά,крайбрежие
146,Festland::N,στεριά,суша
147,Meer::N,θάλασσα,море
148,Bucht::N,κόλπος,залив
149,Insel::N,νησί,остров
150,Insel::N,νήσος,остров
151,Blume::N,άνθος,цвете
152,Blume::N,λουλούδι,цвете
153,Gras::N,χόρτο,трева
154,Gras::N,χορτάρι,трева
155,Wurzel::N,ρίζα,корен
156,Baum::N,δέντρο,дърво
157,Stamm::N,κορμός,стъбло
158,Rinde::N,φλούδα,кора
159,Ast::N,κλαδί,клон
160,Zweig::N,κλαδί,клон
161,Zweig::N,κλάδος,клон
162,Blatt::N,φύλλο,лист
163,Birke::N,σημύδα,бреза
164,Kiefer[Baum]::N,πεύκο,бор
165,Weide[Baum]::N,ιτιά,върба
166,Tanne::N,έλατο,ела
167,Horn::N,κέρας,рог
168,Horn::N,κέρατο,рог
169,Feder::N,φτερό,перо
170,Fell::N,δέρμα,кожа
171,Fell::N,τομάρι,кожа
172,Flügel::N,πτερύγιο,крило
173,Klaue::N,κουλό,нокът
174,Kralle::N,νύχι,нокът
175,Schwanz::N,ουρά,опашка
176,Ei::N,αβγό,яйце
177,Nest::N,φωλιά,гнездо
178,Bau::N,φωλιά,дупка
179,Tier::N,ζώο,животно
180,Herde::N,κοπάδι,стадо
181,Kuh::N,αγελάδα,крава
182,Bulle::N,ταύρος,бик
183,Pferd::N,άλογο,кон
184,Schaf::N,πρόβατο,овца
185,Schwein::N,γουρούνι,свиня
186,Hund::N,σκυλί,куче
187,Hund::N,σκύλος,куче
188,Katze::N,γάτα,котка
189,Bär::N,άρκτος,мечка
190,Bär::N,αρκούδα,мечка
191,Eichhörnchen::N,βερβερίτσα,катерица
192,Elch::N,άλκη,лос
193,Fuchs::N,αλεπού,лисица
194,Hase::N,λαγός,заек
195,Maus::N,ποντικός,мишка
196,Wolf::N,λύκος,вълк
197,Vogel::N,πουλί,птица
198,Schwarm::N,σμήνος,рой
199,Schwarm::N,σμήνος,рояк
200,Huhn::N,κότα,кокошка
201,Huhn::N,όρνιθα,кокошка
202,Hahn::N,πετεινός,петел
203,Gans::N,χήνα,гъска
204,Adler::N,αετός,орел
205,Ente::N,πάπια,патица
206,Eule::N,κουκουβάγια,сова
207,Kranich::N,γερανός,жерав
208,Krähe::N,καρακάξα,врана
209,Kuckuck::N,κούκος,кукувица
210,Schwan::N,κύκνος,лебед
211,Fisch::N,ψάρι,риба
212,Barsch::N,πέρκα,костур
213,Hecht::N,λούτσος,щука
214,Schlange[Tier]::N,φίδι,змия
215,Wurm::N,σκουλήκι,червей
216,Spinne::N,αράχνη,паяк
217,Ameise::N,μυρμήγκι,мравка
218,Laus::N,ψείρα,въшка
219,Mücke::N,κουνούπι,комар
220,Fliege::N,μύγα,муха
221,Schmetterling::N,πεταλούδα,пеперуда
222,Beere::N,ρόγα,плод
223,Apfel::N,μήλο,ябълка
224,Pilz::N,μανιτάρι,гъба
225,Zwiebel::N,κρεμμύδι,лук
226,Zwiebel::N,κρεμμύδι,кромид
227,Saat::N,σπόρος,семе
228,Korn::N,σπυρί,зърно
229,Heu::N,σανός,сено
230,Schale::N,τσόφλι,кора
231,Grube::N,λάκκος,яма
232,Grube::N,λάκκος,дупка
233,Falle::N,παγίδα,примка
234,Schlinge::N,θηλειά,клуп
235,Spur::N,ίχνος,диря
236,Spur::N,ίχνος,следа
237,Asche::N,στάχτη,пепел
238,Dreck::N,βρωμιά,кал
239,Eisen::N,σίδερο,желязо
240,Gold::N,μάλαμα,злато
241,Gold::N,χρυσάφι,злато
242,Silber::N,ασήμι,сребро
243,Silber::N,άργυρος,сребро
244,Kohle::N,κάρβουνο,въглища
245,Glas::N,γυαλί,стъкло
246,Lehm::N,πηλός,глина
247,Sand::N,άμμος,пясък
248,Mensch::N,άνθρωπος,човек
249,Mann::N,άνδρας,мъж
250,Frau::N,γυναίκα,жена
251,Kind::N,παιδί,дете
252,Junge::N,αγόρι,момче
253,Mädchen::N,κοπέλα,момиче
254,Mädchen::N,κορίτσι,момиче
255,Familie::N,οικογένεια,фамилия
256,Familie::N,οικογένεια,семейство
257,Großvater::N,παππούς,дядо
258,Großmutter::N,γιαγιά,баба
259,Eltern::N,γονείς,родители
260,Vater::N,πατέρας,баща
261,Mutter::N,μητέρα,майка
262,Sohn::N,γιος,син
263,Tochter::N,κόρη,дъщеря
264,Bruder::N,αδελφός,брат
265,Schwester::N,αδελφή,сестра
266,Onkel::N,θείος,чичо
267,Onkel::N,θείος,вуйчо
268,Tante::N,θεία,леля
269,Ehemann::N,σύζυγος,съпруг
270,Ehefrau::N,σύζυγος,съпруга
271,Freude::N,χαρά,радост
272,Gelächter::N,γέλια,смях
273,Glück::N,ευτυχία,щастие
274,Kummer::N,έγνοια,тъга
275,Wunsch::N,επιθυμία,желание
276,Lust::N,όρεξη,желание
277,Geist::N,πνέυμα,дух
278,Gedanke::N,σκέψη,мисъл
279,Gedächtnis::N,μνήμη,памет
280,Verstand::N,νους,ум
281,Verstand::N,νους,разум
282,Sinn::N,νόημα,смисъл
283,Grund::N,λόγος,причина
284,Wahrheit::N,αλήθεια,правда
285,Gespräch::N,συνομιλία,разговор
286,Märchen::N,παραμύθι,приказка
287,Erzählung::N,διήγημα,разказ
288,Nachricht::N,είδηση,вест
289,Nachricht::N,είδηση,известие
290,Neuigkeit::N,νέο,новина
291,Name::N,όνομα,име
292,Rätsel::N,αίνιγμα,гатанка
293,Rede::N,λόγος,реч
294,Rede::N,λόγος,слово
295,Rede::N,ομιλία,реч
296,Rede::N,ομιλία,слово
297,Sprache::N,γλώσσα,език
298,Stimme::N,φωνή,глас
299,Wort::N,λέξη,дума
300,Zeichen::N,σημείο,знак
301,Ruf::N,κραυγή,зов
302,Lärm::N,θόρυβος,шум
303,Lärm::N,θόρυβος,глъчка
304,Laut::N,ήχος,звук
305,Ton::N,ήχος,тон
306,Ton::N,τόνος,тон
307,Lied::N,τραγούδι,песен
308,Ruhe::N,ησυχία,тишина
309,Ruhe::N,ησυχία,спокойствие
310,Leute::N,κόσμος,хора
311,Leute::N,άνθρωποι,хора
312,Volk::N,λαός,народ
313,Arbeit::N,εργασία,труд
314,Arbeit::N,εργασία,работа
315,Gast::N,επισκέπτης,гост
316,Geschenk::N,δώρο,дар
317,Geschenk::N,δώρο,подарък
318,Spiel::N,παιχνίδι,игра
319,Gesellschaft::N,κοινωνία,общество
320,Hilfe::N,βοήθεια,помощ
321,Freund::N,φίλος,приятел
322,Kamerad::N,σύντροφος,другар
323,Angelegenheit::N,υπόθεση,работа
324,Anzahl::N,αριθμός,брой
325,Anzahl::N,αριθμός,количество
326,Art::N,είδος,вид
327,Stück::N,κομμάτι,къс
328,Stück::N,κομμάτι,парче
329,Teil::N,μέρος,дял
330,Teil::N,μέρος,част
331,Hälfte::N,μισό,половина
332,Kreis::N,κύκλος,кръг
333,Kreuz::N,σταυρός,кръст
334,Linie::N,γραμμή,черта
335,Strich::N,γραμμή,щрих
336,Strich::N,γραμμή,черта
337,Abstand::N,απόσταση,дистанция
338,Abstand::N,απόσταση,разстояние
339,Entfernung::N,απόσταση,разстояние
340,Gegend::N,περιοχή,местност
341,Gegend::N,τοποθεσία,местност
342,Platz::N,χώρος,място
343,Ort::N,τόπος,място
344,Seite::N,πλευρά,страна
345,Mitte::N,μέση,среда
346,Gegenstand::N,αντικείμενο,предмет
347,Sache::N,πράγμα,вещ
348,Rand::N,άκρη,ръб
349,Rand::N,χείλος,ръб
350,Kante::N,άκρη,ръб
351,Kante::N,άκρη,кант
352,Ecke::N,γωνιά,ъгъл
353,Spitze::N,μύτη,връх
354,Spitze::N,μύτη,острие
355,Ende::N,άκρη,край
356,Loch::N,τρύπα,дупка
357,Winkel::N,γωνία,кът
358,Winkel::N,γωνία,ъгъл
359,Muster::N,σχέδιο,десен
360,Muster::N,σχέδιο,образец
361,Größe::N,μέγεθος,големина
362,Länge::N,μήκος,дължина
363,Höhe::N,ύψος,висота
364,Höhe::N,ύψος,височина
365,Gewicht::N,βάρος,тегло
366,Gewicht::N,βάρος,тежест
367,Menge::N,ποσότητα,количество
368,Haufen::N,σωρός,куп
369,Haufen::N,σωρός,грамада
370,Reihe::N,αράδα,ред
371,Reihe::N,αράδα,редица
372,Boot::N,βάρκα,лодка
373,Ruder::N,κουπί,весло
374,Ruder::N,κουπί,гребло
375,Schlitten::N,έλκηθρο,шейна
376,Ski::N,σκι,ски
377,Lagerfeuer::N,φωτιά,огнище
378,Last::N,φορτίο,товар
379,Gang::N,δρόμος,ход
380,Gang::N,δρόμος,вървеж
381,Schritt::N,βήμα,стъпка
382,Norden::N,βορράς,север
383,Süden::N,νότος,юг
384,Westen::N,δύση,запад
385,Osten::N,ανατολή,изток
386,Holz::N,ξύλο,дърво
387,Brett::N,σανίδι,дъска
388,Platte::N,πλάκα,
389,Stütze::N,στήριγμα,
390,Stange::N,ραβδί,прът
391,Stange::N,ραβδί,върлина
392,Stange::N,κοντός,прът
393,Stange::N,κοντός,върлина
394,Stock::N,ξύλο,прът
395,Stock::N,ξύλο,тояга
396,Stock::N,μπαστούνι,прът
397,Stock::N,μπαστούνι,тояга
398,Stab::N,ραβδί,прът
399,Rohr::N,σωλήνας,цев
400,Rohr::N,σωλήνας,тръба
401,Haus::N,σπίτι,къща
402,Heim::N,σπίτι,дом
403,Ofen::N,σόμπα,печка
404,Ofen::N,θερμάστρα,печка
405,Fußboden::N,πάτωμα,под
406,Tisch::N,τραπέζι,маса
407,Stuhl::N,καρέκλα,стол
408,Wiege::N,κούνια,люлка
409,Bett::N,κρεβάτι,легло
410,Bett::N,κρεβάτι,креват
411,Regal::N,ράφι,рафт
412,Regal::N,ράφι,етажерка
413,Kiste::N,κιβώτιο,кутия
414,Kiste::N,κιβώτιο,сандък
415,Fenster::N,παράθυρο,прозорец
416,Tür::N,πόρτα,врата
417,Tor::N,πύλη,врата
418,Zaun::N,φράχτης,ограда
419,Dach::N,στέγη,покрив
420,Leiter::N,σκάλα,стълба
421,Leiter::N,κλίμακα,стълба
422,Besen::N,σκούπα,метла
423,Spaten::N,φτυάρι,лопата
424,Schaufel::N,φτυάρι,лопата
425,Gabel::N,πιρούνι,вилица
426,Löffel::N,κουτάλι,лъжица
427,Messer::N,μαχαίρι,нож
428,Nagel::N,καρφί,гвоздей
429,Netz::N,δίχτυ,мрежа
430,Haken::N,γάντζος,кука
431,Haken::N,γάντζος,закачалка
432,Haken::N,αγκίστρι,кука
433,Haken::N,αγκίστρι,закачалка
434,Griff::N,λαβή,ръчка
435,Griff::N,λαβή,дръжка
436,Schloss::N,κλειδαριά,брава
437,Schloss::N,κλειδαριά,ключалка
438,Bild::N,εικόνα,картина
439,Figur::N,ανάστημα,фигура
440,Puppe::N,κούκλα,кукла
441,Beutel::N,πουγγί,кесия
442,Bündel::N,δεμάτι,връзка
443,Tasche::N,τσάντα,чанта
444,Eimer::N,κουβάς,кофа
445,Deckel::N,καπάκι,капак
446,Deckel::N,καπάκι,похлупак
447,Geschirr::N,σκεύη,съдове
448,Sack::N,σάκος,чувал
449,Tasse::N,φλιτζάνι,чаша
450,Topf::N,χύτρα,гърне
451,Topf::N,χύτρα,тенджера
452,Kessel::N,καζάνι,котел
453,Essen::N,φαγητό,ядене
454,Nahrung::N,τροφή,храна
455,Speise::N,φαγητό,ястие
456,Fleisch::N,κρέας,месо
457,Getreide::N,σιτάρι,зърнено храни
458,Brei::N,χυλός,каша
