,Concept_ID,mn,mrj
0,Auge::N,нүд,сӹнзӓ
1,Ohr::N,чих,пӹлӹш
2,Nase::N,хамар,нер
3,Mund::N,ам,ышма
4,Zahn::N,шүд,пӱ
5,Zunge::N,хэл,йӹлмӹ
6,Lippe::N,уруул,тӹрвӹ
7,Wange::N,хацар,шӹргӹ
8,Gesicht::N,царай,лицӓ
9,Gesicht::N,нүүр,лицӓ
10,Stirn::N,дух,лепкӓ
11,Haar::N,үс,ӱп
12,Schnurrbart::N,дээд сахал,öрш
13,Schnurrbart::N,живэр сахал,öрш
14,Bart::N,сахал,пандаш
15,Kinn::N,эрүү,онгылаш
16,Kiefer[Anatomie]::N,эрүү,пӱ арата
17,Kehle::N,хоолой,логер
18,Hals::N,хүзүү,шӱ
19,Genick::N,шил,ланга
20,Genick::N,хүзүү,ланга
21,Kopf::N,толгой,вуй
22,Rücken::N,ар,туп
23,Rücken::N,нуруу,туп
24,Bauch::N,хэвлий,мӹшкӹр
25,Bauch::N,гэдэс,мӹшкӹр
26,Nabel::N,хүйс,кӹлӹмдӹ
27,Busen::N,хөх,цӹзӹ
28,Brust::N,цээж,мел
29,Schulter::N,мөр,ӹнгӹжӓ
30,Schulter::N,бугалга,ӹнгӹжӓ
31,Arm::N,гар,кид
32,Ellenbogen::N,тохой,кӹнервуй
33,Hand::N,гар,лапа
34,Hand::N,алга,лапа
35,Handfläche::N,алга,кид лапа
36,Finger::N,хуруу,парня
37,Fingernagel::N,хурууны хумс,кӹч
38,Nagel[Anatomie]::N,хумс,кӹч
39,Zeh::N,хуруу,парня
40,Fuß::N,хөл,ял лапа
41,Ferse::N,өсгий,ялгавал
42,Ferse::N,өсгий,ял кавал
43,Knie::N,өвдөг,пылвуй
44,Oberschenkel::N,гуя,ӓрдӹ
45,Bein::N,хөл,ял
46,Körper::N,бие,монгыр
47,Haut::N,арьс,кавашты
48,Blut::N,цус,вӹр
49,Ader::N,судас,вӹршӓр
50,Sehne::N,бүлх,кукшышӱн
51,Sehne::N,шандас,кукшышӱн
52,Knochen::N,яс,лу
53,Gehirn::N,тархи,вим
54,Herz::N,зүрх,шӱм
55,Magen::N,ходоод,шӱм
56,Leber::N,элэг,мокш
57,Atem::N,амьсгаа,шӱлӹш
58,Hunger::N,өлсгөлөн,шужымаш
59,Träne::N,нулимс,сӹнзӓвӹд
60,Geschmack::N,амт,тот
61,Geruch::N,үнэр,пыш
62,Schlaf::N,нойр,ом
63,Traum::N,зүүд,ом
64,Himmel::N,тэнгэр,пӹлгом
65,Himmel::N,огторгуй,пӹлгом
66,Sonne::N,нар,кечӹ
67,Mond::N,сар,тӹлзӹ
68,Stern::N,од,шӹдӹр
69,Luft::N,агаар,юж
70,Luft::N,агаар,воздух
71,Wind::N,салхи,мардеж
72,Welle::N,долгио,ко
73,Welle::N,долгио,коэ
74,Welle::N,давалгаа,ко
75,Welle::N,давалгаа,коэ
76,Wasser::N,ус,вӹд
77,Stein::N,чулуу,кӱ
78,Boden::N,хөрс,рок
79,Erde::N,газар,свет
80,Erde::N,шороо,свет
81,Staub::N,тоос,пырак
82,Rauch::N,утаа,шӹкш
83,Funke::N,оч,ип
84,Funke::N,оч,тылип
85,Feuer::N,гал,тыл
86,Licht::N,гэрэл,соты
87,Licht::N,гэрэл,валгыды
88,Licht::N,гэгээ,соты
89,Licht::N,гэгээ,валгыды
90,Schatten::N,сүүдэр,ӹмӹл
91,Wetter::N,тэнгэр,игечӹ
92,Wetter::N,цаг уур,игечӹ
93,Nebel::N,будан,тӹтӹрӓ
94,Wolke::N,үүл,пӹл
95,Regen::N,бороо,юр
96,Schnee::N,цас,лым
97,Eis::N,мөс,и
98,Frost::N,хүйт,ӱштӹ
99,Kälte::N,хүйт,ӱштӹ
100,Hitze::N,халуун,шокшы
101,Raureif::N,цан,пöрш
102,Raureif::N,хяруу,пöрш
103,Regenbogen::N,солонго,шанавӹл
104,Donner::N,тэнгэрийн дуу,хӹдӹртӹш
105,Strömung::N,урсгал,йогы
106,Tropfen::N,дусал,капльы
107,Tropfen::N,дусал,капльык
108,Schaum::N,хөөс,шонг
109,Schmutz::N,хир,лявӹрӓ
110,Schmutz::N,шавхай,лявӹрӓ
111,See::N,нуур,йӓр
112,Sumpf::N,намаг,лӱкӹ
113,Sumpf::N,балчиг,лӱкӹ
114,Moor::N,хүлрийн намаг,куп
115,Wiese::N,нуга,алык
116,Wald::N,ой,шӹргӹ
117,Hügel::N,болдог,пӱгӹрикӓ
118,Anhöhe::N,гүвээ,кӱкшикӓ
119,Berg::N,уул,кырык
120,Gipfel::N,орой,неркӓ
121,Gipfel::N,оргил,неркӓ
122,Höhle::N,агуй,ы́раж
123,Abhang::N,хүр,полом
124,Quelle::N,булаг,вӹдсӹнзӓ
125,Bach::N,горхи,ӓнгӹр
126,Fluss::N,гол,вӹд
127,Fluss::N,мөрөн,вӹд
128,Ufer::N,эрэг,сир
129,Küste::N,эрэг,сир
130,Festland::N,хуурай газар,мӱлӓндӹ
131,Meer::N,далай,тангыж
132,Meer::N,тэнгис,тангыж
133,Bucht::N,булан,вӹдъял
134,Bucht::N,далайн тохой,вӹдъял
135,Insel::N,арал,острок
136,Blume::N,цэцэг,пеледӹш
137,Gras::N,өвс,шуды
138,Gras::N,ногоо,шуды
139,Wurzel::N,үндэс,важ
140,Baum::N,мод,пушӓнгӹ
141,Stamm::N,иш,пушӓнгӹ тӹнг
142,Stamm::N,гуалин,пушӓнгӹ тӹнг
143,Rinde::N,холтос,каргыж
144,Ast::N,гишүү,укш
145,Zweig::N,салаа,укш
146,Blatt::N,навч,листӹ
147,Birke::N,хус,куги
148,Kiefer[Baum]::N,нарс,йӓктӹ
149,Weide[Baum]::N,уд,уа
150,Weide[Baum]::N,бургас,уа
151,Tanne::N,гачуур,кож
152,Horn::N,эвэр,шур
153,Feder::N,өд,пын
154,Fell::N,арьс,кавашты
155,Flügel::N,жигүүр,шылдыр
156,Flügel::N,далавч,шылдыр
157,Klaue::N,савар,кӹч
158,Klaue::N,хумс,кӹч
159,Kralle::N,савар,лапа
160,Schwanz::N,сүүл,пач
161,Ei::N,өндөг,мыны
162,Nest::N,үүр,пӹжӓш
163,Bau::N,нүх,ыраж
164,Bau::N,элүү,ыраж
165,Tier::N,амьтан,во́льык
166,Tier::N,адгуус,во́льык
167,Herde::N,сүрэг,кӹтö
168,Kuh::N,үнээ,ышкал
169,Bulle::N,бух,ӱшкӱж
170,Pferd::N,морь,имни
171,Pferd::N,адуу,имни
172,Schaf::N,хонь,шарык
173,Schwein::N,гахай,сасна
174,Hund::N,нохой,пи
175,Katze::N,муур,коти
176,Katze::N,мигуй,коти
177,Bär::N,баавгай,мöскӓ
178,Eichhörnchen::N,хэрэм,ур
179,Elch::N,хандгай,шарды
180,Fuchs::N,үнэг,рӹвӹж
181,Hase::N,туулай,морен
182,Maus::N,хулгана,каля
183,Wolf::N,чоно,пирӹ
184,Vogel::N,шувуу,кек
185,Schwarm::N,сүрэг,цуца
186,Huhn::N,тахиа,цӹвӹ
187,Hahn::N,эр тахиа,ӓптӓн
188,Gans::N,галуу,комбы
189,Adler::N,бүргэд,кучкыж
190,Ente::N,нугас,лыды
191,Eule::N,ууль,тымана
192,Kranich::N,тогоруу,тырня
193,Kranich::N,тогоруу,тыртня
194,Krähe::N,хэрээ,лудыгарак
195,Kuckuck::N,хөхөө,куку
196,Schwan::N,хун,йӱксӹ
197,Fisch::N,загас,кол
198,Barsch::N,алгана,алангы
199,Hecht::N,цурхай,нуж
200,Hecht::N,цурхай,нужгол
201,Schlange[Tier]::N,могой,кӹшкы
202,Wurm::N,өт,шукш
203,Wurm::N,хорхой,шукш
204,Spinne::N,аалз,ӓнгӹремшӹ
205,Ameise::N,шоргоолж,кыткы
206,Laus::N,бөөс,ти
207,Mücke::N,шумуул,кужнер
208,Mücke::N,шумуул,кужынер
209,Fliege::N,ялаа,шӹнгӓ
210,Schmetterling::N,эрвээхэй,лӹпӹ
211,Beere::N,жимсгэнэ,мöр
212,Apfel::N,алим,олма
213,Pilz::N,мөөг,понгы
214,Zwiebel::N,сонгино,охыра
215,Saat::N,тариа,нӱшмӹ
216,Saat::N,тариа,нӱшмӱ
217,Korn::N,үр,пӹрцӹ
218,Korn::N,мөхлөг,пӹрцӹ
219,Heu::N,өвс,шуды
220,Schale::N,хальс,аваха
221,Schale::N,хальс,карлангы
222,Grube::N,алам,йӓм
223,Grube::N,нүх,йӓм
