,Concept_ID,zh,lbe
0,Auge::N,眼睛,я
1,Ohr::N,耳朵,вичӏи
2,Nase::N,鼻子,май
3,Mund::N,嘴,кьацӏ
4,Zahn::N,牙齿,ккарччи
5,Zunge::N,舌头,маз
6,Lippe::N,嘴唇,мурччи
7,Wange::N,面颊,чӏав
8,Gesicht::N,脸,лажин
9,Stirn::N,额,ненттабакӏ
10,Haar::N,头发,чӏара
11,Schnurrbart::N,髭须,ссирссилтту
12,Bart::N,胡子,чӏири
13,Kinn::N,下巴,лунттубакӏ
14,Kiefer[Anatomie]::N,颌,ххинчулул
15,Kehle::N,嗓子,кьакьари
16,Hals::N,颈,ссурссу
17,Genick::N,后颈,махъабакӏ
18,Kopf::N,头,бакӏ
19,Rücken::N,背,ттиликӏ
20,Bauch::N,肚子,лякьа
21,Nabel::N,肚脐,цӏумуккутӏ
22,Busen::N,胸脯,ккукку
23,Brust::N,胸,хъазам
24,Schulter::N,肩膀,хъачӏ
25,Arm::N,臂膀,ка
26,Ellenbogen::N,肘,ссюрхъ
27,Hand::N,手,бартка
28,Handfläche::N,手掌,хъат
29,Handfläche::N,手掌,битӏянхъ
30,Finger::N,手指,кӏисса
31,Fingernagel::N,指甲,михь
32,Nagel[Anatomie]::N,指甲,михь
33,Zeh::N,脚趾,кӏисса
34,Fuß::N,脚,чӏанччан
35,Ferse::N,后跟,никъа
36,Knie::N,膝,ник
37,Oberschenkel::N,大腿,жира
38,Bein::N,腿,ччан
39,Körper::N,身体,чурх
40,Haut::N,皮肤,бурчу
41,Blut::N,血,оь
42,Ader::N,血管,тунну
43,Sehne::N,腱,хьхьа
44,Knochen::N,骨,ттаркӏ
45,Gehirn::N,脑,ня
46,Herz::N,心,дакӏ
47,Herz::N,心,къюкӏ
48,Magen::N,胃,лякьа
49,Leber::N,肝,
50,Atem::N,呼吸,ссихӏ ласаву
51,Atem::N,呼吸,ссихӏ бигьаву
52,Hunger::N,饿,ккаши
53,Träne::N,眼泪,макь
54,Geschmack::N,味道,тӏин
