,Concept_ID,lt,se
0,Auge::N,akis,tjelmie
1,Auge::N,akis,tjalmme
2,Auge::N,akis,čalbmi
3,Auge::N,akis,čalme
4,Auge::N,akis,čâ´lmm
5,Auge::N,akis,ча̄лльм
6,Ohr::N,ausis,bieljie
7,Ohr::N,ausis,biellje
8,Ohr::N,ausis,beallji
9,Ohr::N,ausis,pelji
10,Ohr::N,ausis,pe´llj
11,Ohr::N,ausis,пе̄лльй
12,Nase::N,nosis,njuenie
13,Nase::N,nosis,njunnje
14,Nase::N,nosis,njunni
15,Nase::N,nosis,njuṇe
16,Nase::N,nosis,njuu´nn
17,Nase::N,nosis,нюннҍ
18,Mund::N,burna,njaelmie
19,Mund::N,burna,njálmme
20,Mund::N,burna,njálbmi
21,Mund::N,burna,njälmi
22,Mund::N,burna,njä´lmm
23,Mund::N,burna,ня̄лльм
24,Zahn::N,dantis,baenie
25,Zahn::N,dantis,bádne
26,Zahn::N,dantis,bátni
27,Zahn::N,dantis,pääṇi
28,Zahn::N,dantis,pää´nn
29,Zahn::N,dantis,па̄ннҍ
30,Zunge::N,liežuvis,njoektjeme
31,Zunge::N,liežuvis,njuovtjav
32,Zunge::N,liežuvis,njuovčča
33,Zunge::N,liežuvis,njuovčâ
34,Zunge::N,liežuvis,njuhččâm
35,Zunge::N,liežuvis,нюхчем
36,Lippe::N,lūpa,bangseme
37,Lippe::N,lūpa,njálmmerabdda
38,Lippe::N,lūpa,bavssa
39,Lippe::N,lūpa,poovsâ
40,Lippe::N,lūpa,põõus
41,Lippe::N,lūpa,пэ̄кс
42,Wange::N,žandas,skiehrie
43,Wange::N,žandas,nierra
44,Wange::N,žandas,muohtu
45,Wange::N,žandas,nieṛâ
46,Wange::N,žandas,njiõrr
47,Wange::N,žandas,нӣрр
48,Wange::N,skruostas,skiehrie
49,Wange::N,skruostas,nierra
50,Wange::N,skruostas,muohtu
51,Wange::N,skruostas,nieṛâ
52,Wange::N,skruostas,njiõrr
53,Wange::N,skruostas,нӣрр
54,Gesicht::N,veidas,ååredæjja
55,Gesicht::N,veidas,muohto
56,Gesicht::N,veidas,muođut
57,Gesicht::N,veidas,ámadadju
58,Gesicht::N,veidas,muáđuh
59,Gesicht::N,veidas,muâđ
60,Gesicht::N,veidas,ка̄ссв
61,Stirn::N,kakta,gaalloe
62,Stirn::N,kakta,gállo
63,Stirn::N,kakta,gállu
64,Stirn::N,kakta,kállu
65,Stirn::N,kakta,käll
66,Stirn::N,kakta,вуэххьц
67,Haar::N,plaukai,voepte
68,Haar::N,plaukai,vuoppta
69,Haar::N,plaukai,vuokta
70,Haar::N,plaukai,vuop'tâ
71,Haar::N,plaukai,vuõpt
72,Haar::N,plaukai,вӯппт
73,Schnurrbart::N,ūsai,bijjie-skaavtjoe
74,Schnurrbart::N,ūsai,njunjevuolskávttjá
75,Schnurrbart::N,ūsai,seamu
76,Schnurrbart::N,ūsai,siämu
77,Schnurrbart::N,ūsai,ää´bben
78,Schnurrbart::N,ūsai,о̄а̄бпан
79,Bart::N,barzda,skaavtja
80,Bart::N,barzda,skaavtjoe
81,Bart::N,barzda,skávttjá
82,Bart::N,barzda,seamu
83,Bart::N,barzda,siämu
84,Bart::N,barzda,seäm
85,Bart::N,barzda,ся̄м
86,Kinn::N,smakras,gaejpie
87,Kinn::N,smakras,gájbbe
88,Kinn::N,smakras,gáibi
89,Kinn::N,smakras,käibi
90,Kinn::N,smakras,käi´bb
91,Kinn::N,smakras,ка̄ййп
92,Kiefer[Anatomie]::N,žandikaulis,gaejpie
93,Kiefer[Anatomie]::N,žandikaulis,oalol
94,Kiefer[Anatomie]::N,žandikaulis,oaloldákte
95,Kiefer[Anatomie]::N,žandikaulis,gáibi
96,Kiefer[Anatomie]::N,žandikaulis,uá'lultähti
97,Kiefer[Anatomie]::N,žandikaulis,vuâl'lõš
98,Kiefer[Anatomie]::N,žandikaulis,вуаллнешш
99,Kehle::N,gerklė,gealoe
100,Kehle::N,gerklė,tjåttå
101,Kehle::N,gerklė,njiello
102,Kehle::N,gerklė,čotta
103,Kehle::N,gerklė,čuudâ
104,Kehle::N,gerklė,čoodd
105,Kehle::N,gerklė,чонт
106,Kehle::N,gerklė,кэ̄ҏс
107,Hals::N,kaklas,tjeapohke
108,Hals::N,kaklas,tjiebet
109,Hals::N,kaklas,čeabet
110,Hals::N,kaklas,čiäppát
111,Hals::N,kaklas,čeäppat
112,Hals::N,kaklas,ча̄пэх
113,Genick::N,sprandas,tjovrese
114,Genick::N,sprandas,nisske
115,Genick::N,sprandas,niehkki
116,Genick::N,sprandas,niski
117,Genick::N,sprandas,niek'ki
118,Genick::N,sprandas,nji´šǩǩmaadd
119,Genick::N,sprandas,нышшькмоант
120,Kopf::N,galva,åejjie
121,Kopf::N,galva,oajvve
122,Kopf::N,galva,oaivi
123,Kopf::N,galva,uái'vi
124,Kopf::N,galva,vuei´vv
125,Kopf::N,galva,вуэййв
126,Rücken::N,nugara,rudtje
127,Rücken::N,nugara,hárddo
128,Rücken::N,nugara,tjavelk
129,Rücken::N,nugara,sealgi
130,Rücken::N,nugara,selgi
131,Rücken::N,nugara,čielgi
132,Rücken::N,nugara,seä´lǧǧ
133,Rücken::N,nugara,се̄лльк
134,Bauch::N,pilvas,tjåejjie
135,Bauch::N,pilvas,tjoajvve
136,Bauch::N,pilvas,čoavji
137,Bauch::N,pilvas,čuáv'ji
138,Bauch::N,pilvas,čåu´jj
139,Bauch::N,pilvas,чо̄ввьй
140,Nabel::N,bamba,naepie
141,Nabel::N,bamba,náhpe
142,Nabel::N,bamba,náhpi
143,Nabel::N,bamba,nääpi
144,Nabel::N,bamba,nää´pp
145,Nabel::N,bamba,на̄бпь
146,Busen::N,krūtinė,boenge
147,Busen::N,krūtinė,bållå
148,Busen::N,krūtinė,čižži
149,Busen::N,krūtinė,njamma
150,Busen::N,krūtinė,njižže
151,Busen::N,krūtinė,nje´ǯǯ
152,Busen::N,krūtinė,раннҍт
153,Brust::N,krūtis,mïelke
154,Brust::N,krūtis,radde
155,Brust::N,krūtis,mielgga
156,Brust::N,krūtis,raddi
157,Brust::N,krūtis,radde
158,Brust::N,krūtis,râ´dd
159,Brust::N,krūtis,раннҍт
160,Schulter::N,petys,åelkie
161,Schulter::N,petys,oalgge
162,Schulter::N,petys,hárdu
163,Schulter::N,petys,ärdee
164,Schulter::N,petys,uál'gi
165,Schulter::N,petys,a´rddi
166,Schulter::N,petys,vuä´lǧǧ
167,Schulter::N,petys,вуэллык
168,Arm::N,ranka,gïete
169,Arm::N,ranka,giehta
170,Arm::N,ranka,giehta
171,Arm::N,ranka,kietâ
172,Arm::N,ranka,kie'tâkaaṿâ
173,Arm::N,ranka,ǩiõtt
174,Arm::N,ranka,кӣдт
175,Ellenbogen::N,alkūnė,gernjere
176,Ellenbogen::N,alkūnė,garŋŋel
177,Ellenbogen::N,alkūnė,gargŋil
178,Ellenbogen::N,alkūnė,käŋŋir
179,Ellenbogen::N,alkūnė,kõõnjâr
180,Ellenbogen::N,alkūnė,карьнэль
181,Hand::N,ranka,gïete
182,Hand::N,ranka,giehta
183,Hand::N,ranka,giehta
184,Hand::N,ranka,kietâ
185,Hand::N,ranka,ǩiõtt
186,Hand::N,ranka,кӣдт
187,Hand::N,plaštaka,gïete
188,Hand::N,plaštaka,giehta
189,Hand::N,plaštaka,giehta
190,Hand::N,plaštaka,kietâ
191,Hand::N,plaštaka,ǩiõtt
192,Hand::N,plaštaka,кӣдт
193,Handfläche::N,delnas,gïeten-låapoe
194,Handfläche::N,delnas,giehtavuodo
195,Handfläche::N,delnas,tjårmmåvuodo
196,Handfläche::N,delnas,giehtaloahpu
197,Handfläche::N,delnas,kiämád
198,Handfläche::N,delnas,kuámmir
199,Handfläche::N,delnas,kuä´m'mer
200,Handfläche::N,delnas,ǩiõttǩeä´m'men
201,Handfläche::N,delnas,ко̄а̄ллдэгк
202,Handfläche::N,delnas,кӣдткоалдэгк
203,Handfläche::N,plaštaka,gïeten-låapoe
204,Handfläche::N,plaštaka,giehtavuodo
205,Handfläche::N,plaštaka,tjårmmåvuodo
206,Handfläche::N,plaštaka,giehtaloahpu
207,Handfläche::N,plaštaka,kiämád
208,Handfläche::N,plaštaka,kuámmir
209,Handfläche::N,plaštaka,kuä´m'mer
210,Handfläche::N,plaštaka,ǩiõttǩeä´m'men
211,Handfläche::N,plaštaka,ко̄а̄ллдэгк
212,Handfläche::N,plaštaka,кӣдткоалдэгк
213,Finger::N,pirštas,soerme
214,Finger::N,pirštas,tjuvdde
215,Finger::N,pirštas,suorbma
216,Finger::N,pirštas,čuvde
217,Finger::N,pirštas,suor'mâ
218,Finger::N,pirštas,suõrmm
219,Finger::N,pirštas,це̄ххп
220,Fingernagel::N,nagas,gadtse
221,Fingernagel::N,nagas,guehpere
222,Fingernagel::N,nagas,gadtsa
223,Fingernagel::N,nagas,gazza
224,Fingernagel::N,nagas,kozzâ
225,Fingernagel::N,nagas,kõʒʒ
226,Fingernagel::N,nagas,кэ̄ннц
227,Nagel[Anatomie]::N,nagas,gadtse
228,Nagel[Anatomie]::N,nagas,guehpere
229,Nagel[Anatomie]::N,nagas,gadtsa
230,Nagel[Anatomie]::N,nagas,gazza
231,Nagel[Anatomie]::N,nagas,kozzâ
232,Nagel[Anatomie]::N,nagas,kõʒʒ
233,Nagel[Anatomie]::N,nagas,кэ̄ннц
234,Zeh::N,pirštas,tjiehtjere
235,Zeh::N,pirštas,juolggetjuvdde
236,Zeh::N,pirštas,juolgesuorbma
237,Zeh::N,pirštas,jyel'gisuor'mâ
238,Zeh::N,pirštas,jue´lǧǧsuõrmm
239,Zeh::N,pirštas,ю̄лльк-це̄һп
240,Fuß::N,pėda,juelkie
241,Fuß::N,pėda,juolgge
242,Fuß::N,pėda,juolgi
243,Fuß::N,pėda,jyel'gi
244,Fuß::N,pėda,jue´lǧǧ
245,Fuß::N,pėda,ла̄бпь
246,Ferse::N,kulnas,båetskie
247,Ferse::N,kulnas,boasske
248,Ferse::N,kulnas,šušmi
249,Ferse::N,kulnas,šušme
250,Ferse::N,kulnas,jue´lǧǧkädd
251,Ferse::N,kulnas,ка̄ннт
252,Knie::N,kelis,boelve
253,Knie::N,kelis,buolvva
254,Knie::N,kelis,čibbi
255,Knie::N,kelis,veaŋki
256,Knie::N,kelis,iidâ
257,Knie::N,kelis,puõlvv
258,Knie::N,kelis,пуллв
259,Oberschenkel::N,kulšis,ruaksja
260,Oberschenkel::N,kulšis,tjibbe
261,Oberschenkel::N,kulšis,gassaváhkká
262,Oberschenkel::N,kulšis,badjeváhkáa
263,Oberschenkel::N,kulšis,čuár'bpeeḷi
264,Oberschenkel::N,kulšis,če´bb
265,Oberschenkel::N,kulšis,чуаррбе̄лль
266,Oberschenkel::N,šlaunis,ruaksja
267,Oberschenkel::N,šlaunis,tjibbe
268,Oberschenkel::N,šlaunis,gassaváhkká
269,Oberschenkel::N,šlaunis,badjeváhkáa
270,Oberschenkel::N,šlaunis,čuár'bpeeḷi
271,Oberschenkel::N,šlaunis,če´bb
272,Oberschenkel::N,šlaunis,чуаррбе̄лль
