,Concept_ID,ar,ady
0,Auge::N,عين,нэ
1,Ohr::N,أذن,тхьакӏу́м
2,Nase::N,أنف,пэ
3,Mund::N,فم,жэ
4,Zahn::N,سن,цэ
5,Zunge::N,لسان,бзэгу
6,Lippe::N,شفة,ӏупшӏэ́
7,Wange::N,خد,нэкӏу́шъу
8,Wange::N,وجنة,нэкӏу́шъу
9,Gesicht::N,وجه,нэ́гу
10,Stirn::N,جبين,натӏэ́
11,Haar::N,شعر,шъхьацы́
12,Schnurrbart::N,شارب,
13,Bart::N,لحية,жакӏэ́
14,Kinn::N,ذقن,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,فك,жэпкъы́
16,Kehle::N,حلق,чый
17,Hals::N,عنق,пшъэ
18,Hals::N,رقبة,пшъэ
19,Genick::N,قفا,шъхьэпхэтыку
20,Kopf::N,رأس,шъхьэ́
21,Rücken::N,ظهر,кӏыбы́
22,Bauch::N,بطن,ныбэ́
23,Nabel::N,سرة,
24,Busen::N,ثدي,бгъэ́
25,Brust::N,صدر,бгъэ́
26,Schulter::N,كتف,блыпкъ
27,Arm::N,ذراع,ӏэ
28,Ellenbogen::N,كوع,ӏэнтэ́гъу
29,Hand::N,يد,ӏэтхьэцу
30,Handfläche::N,كف,ӏэ́гу
31,Finger::N,إصبع,ӏэхъуа́мб
32,Fingernagel::N,ظفر,ӏэбжъа́н
33,Nagel[Anatomie]::N,ظفر,ӏэбжъа́н
34,Zeh::N,إصبع القدم,ӏэхъуа́мб
35,Fuß::N,قدم,лъэгу
36,Ferse::N,كعب,лъэдакъэ
37,Knie::N,ركبة,лъагуа́ндж
38,Oberschenkel::N,فخذ,ко
39,Bein::N,ساق,лъакъо́
40,Körper::N,جسم,пкъышъол
41,Haut::N,بشرة,кӏы́шъу
42,Blut::N,دم,лъы
43,Ader::N,عرق,льытф
44,Sehne::N,طنب,фэ
45,Knochen::N,عظم,къупшъхьэ́
46,Gehirn::N,دماغ,куцӏы
47,Herz::N,قلب,гу
48,Magen::N,معدة,мышкӏу
49,Leber::N,كبد,шӏу
50,Atem::N,نفس,къэщэныр
51,Hunger::N,جوع,гъаблэ́
52,Träne::N,دمعة,нэпсы
53,Geschmack::N,طعم,ӏэшӏугъа́кӏ
54,Geschmack::N,مذاق,ӏэшӏугъа́кӏ
55,Geruch::N,رائحة,мэ
56,Schlaf::N,نوم,пчыхьы́пӏ
57,Schlaf::N,منام,пчыхьы́пӏ
58,Traum::N,حلم,пчыхьы́пӏ
59,Himmel::N,سماء,уашъо́
60,Sonne::N,شمس,тыгъэ
61,Mond::N,قمر,мазэ
62,Stern::N,نجم,жъуагъо́
63,Stern::N,كوكب,жъуагъо́
64,Luft::N,هواء,жьы
65,Wind::N,ريح,жьыбгъэ́
66,Welle::N,موجة,ор
67,Welle::N,موجة,оры
68,Wasser::N,ماء,псы
69,Stein::N,حجر,мыжъо́
70,Boden::N,تراب,чӏ́ыгу
71,Erde::N,أرض,чӏ́ыгу
72,Staub::N,غبار,сап
73,Rauch::N,دخان,ӏугъо́
74,Funke::N,شرارة,мэшӏуа́ч
75,Feuer::N,نار,машӏо́
76,Licht::N,نور,нэфы
77,Licht::N,نور,нэфын
78,Licht::N,ضوء,нэфы
79,Licht::N,ضوء,нэфын
80,Schatten::N,ظل,жьау́
81,Schatten::N,ظل,ныбжьыкъу
82,Schatten::N,فيء,жьау́
83,Schatten::N,فيء,ныбжьыкъу
84,Wetter::N,جو,
85,Wetter::N,طقس,
86,Nebel::N,ضباب,пща́гъу
87,Wolke::N,غيمة,ошъуапщэ
88,Wolke::N,سحابة,ошъуапщэ
89,Regen::N,مطر,ощхы
90,Schnee::N,ثلج,осы́
91,Eis::N,جليد,мылы
92,Frost::N,صقيع,
93,Kälte::N,برد,чъыӏэ́
94,Hitze::N,حر,фэба́е
95,Hitze::N,حرارة,фэба́е
96,Raureif::N,صقيع,
97,Regenbogen::N,قوس قزح, лэгъупэкъо́пс
98,Donner::N,رعد,шыблэ́
99,Strömung::N,تيار,ток
100,Tropfen::N,قطرة,ткӏопс
101,Tropfen::N,قطرة,гъуаткӏу
102,Schaum::N,زبد,тхъурбэ
103,Schaum::N,رغوة,тхъурбэ
104,Schmutz::N,وسخ,псынжъы
105,See::N,بحيرة,хыку́м
106,See::N,بحيرة,псыхъура́й
107,Sumpf::N,مستنقع,орыжъ
108,Moor::N,مستنقع,орыжъ
109,Wiese::N,مرج,хъупӏэ́
110,Wiese::N,مرج,мэкъупӏ
111,Wald::N,غابة,мэзы́
112,Hügel::N,تل,ӏуашъхь
113,Anhöhe::N,تل,чӏыӏэтыгъ
114,Berg::N,جبل,къушъхьэ́
115,Gipfel::N,قمة,шыгу
116,Höhle::N,كهف,гъочӏэгъ
117,Abhang::N,منحدر,чапэ
118,Quelle::N,منبع,псынэчэ́чъ
119,Bach::N,مجرى,псышкуашку
120,Fluss::N,نهر,псыхъо́
121,Ufer::N,ضفة,нэпкъы
122,Küste::N,ساحل,ӏушъо
123,Festland::N,بر,чӏл́ыгу
124,Meer::N,بحر,хы
125,Bucht::N,خليج,хыблыгу
126,Insel::N,جزيرة,хыгъэхъу́н
127,Blume::N,زهرة,къэгъа́гь
128,Gras::N,حشيش,уцы́
129,Wurzel::N,أصل,лъапсэ́
130,Baum::N,شجرة,чъыгы́
131,Stamm::N,جذع,пкъы
132,Rinde::N,قشرة,пхъашъо́
133,Ast::N,فرع,куамэ
134,Zweig::N,غصن,къутамэ́
135,Blatt::N,ورقة,тхьап
136,Birke::N,قضبان,пчэн
137,Kiefer[Baum]::N,صنوبرة,сэснэй
138,Weide[Baum]::N,صفصاف,пце́л
139,Tanne::N,شوح,ель
140,Tanne::N,تبوب,ель
141,Horn::N,قرن,бжъэ
142,Feder::N,ريشة,къамӏы́й
143,Fell::N,فرو,шъо
144,Flügel::N,جناح,тамэ́
145,Klaue::N,مخلب,лъэбжъа́н
146,Kralle::N,مخلب,лъакъо
147,Schwanz::N,ذيل,кӏэ
148,Ei::N,بيض,кӏэнкӏэ́
149,Nest::N,عش,набгъо́
150,Bau::N,جحر,гъу
151,Bau::N,جحر,бы
152,Tier::N,حيوان,псэу́шъхь
153,Herde::N,قطيع,ӏэхъогъу
154,Kuh::N,بقرة,чэмы́
155,Bulle::N,ثور,цу
156,Pferd::N,خيل,шы
157,Schaf::N,شاة,мэлы́
158,Schwein::N,خنزير,къо
159,Hund::N,كلب,бьэ
160,Katze::N,قطة,чэты́у
161,Bär::N,دب,мышъэ́
162,Eichhörnchen::N,سنجاب,цызэ́
163,Elch::N,موظ,лось
164,Fuchs::N,ثعلب,баджэ́
165,Hase::N,أرنب,тхьакӏумкӏы́хь
166,Maus::N,فأرة,цыгъо́
167,Wolf::N,ذئب,тыгъу́жъ
168,Vogel::N,طير,бзы́у
169,Schwarm::N,سرب,отэр
170,Huhn::N,دجاجة,чэты́
171,Hahn::N,ديك,атакъэ́
172,Gans::N,وزة,къа́з
173,Adler::N,نسر,
174,Ente::N,بطة,псычэ́т
175,Eule::N,بوم,тыгъурыгъу
176,Kranich::N,كركي,къэрэ́у
177,Krähe::N,غراب,къолэ́жъ
178,Kuckuck::N,وقواق,куку́у
179,Schwan::N,إوز عراقي,
180,Fisch::N,سمك,пцэжъы́й
181,Barsch::N,فرخ أوربي,тхыкъэц
182,Hecht::N,سمك الكراكي,лэнд
183,Schlange[Tier]::N,حية,блэ́
184,Schlange[Tier]::N,ثعبان,блэ́
185,Wurm::N,دودة,хьамлыу
186,Spinne::N,عنكبوت,бэдж
187,Ameise::N,نملة,къамзэ́гу
188,Laus::N,قملة,цӏэ
189,Mücke::N,ناموسة,аргъо́й
190,Fliege::N,ذبابة,бадзэ́
191,Schmetterling::N,فراشة,хьампӏыра́шъу
192,Beere::N,حبة,маткӏо
193,Apfel::N,تفاح,мыӏэры́с
194,Pilz::N,فطر,хьаӏу
195,Zwiebel::N,بصل,бжьыны́
196,Saat::N,زرع,чылапхъ
197,Korn::N,حبة,цэ
198,Heu::N,دريس,мэкъу
199,Schale::N,قشرة,кӏы́шъу
200,Grube::N,نقرة,машэ́
201,Falle::N,فخ,зэраубытырэ́ ӏэмэпсы́м
202,Falle::N,مصيدة,зэраубытырэ́ ӏэмэпсы́м
203,Schlinge::N,عروة,бзыуубыт
204,Spur::N,أثر,ужы
205,Spur::N,أثر,лъэуж
206,Asche::N,رماد,яжьэ́
207,Dreck::N,قذر,псынжъы
208,Eisen::N,حديد,гыучӏы́
209,Eisen::N,حديد,къэнджа́л
210,Gold::N,ذهب,дышъэ́
211,Silber::N,فضة,тыжьы́н
212,Kohle::N,فحم,шӏомыкӏ
213,Glas::N,زجاج,апч
214,Lehm::N,طين,етӏагъо́
215,Sand::N,رمل,пшахъо
216,Mensch::N,إنسان,цӏыфы́
217,Mann::N,رجل,хъулъфы́гъ
218,Frau::N,امرأة,бӏылъфыгъэ́
219,Kind::N,طفل,кӏэлэцӏы́кӏу
220,Junge::N,ولد,кӏэлэцӏы́кӏу
221,Mädchen::N,بنت,пшъэшъэжъый
222,Familie::N,عائلة,быны́
223,Familie::N,عائلة,уна́гъу
224,Großvater::N,جد,тэтэ́жъ
225,Großmutter::N,جدة,нэнэ́жъ
226,Eltern::N,أبوان,ны-тыхэ́р
227,Eltern::N,والدان,ны-тыхэ́р
228,Vater::N,أب,ты
229,Mutter::N,أم,ны
230,Sohn::N,إبن,къо
231,Tochter::N,بنت,пхъу
232,Tochter::N,إبنة,пхъу
233,Bruder::N,أخ,шы
234,Bruder::N,شقيق,шы
235,Schwester::N,أخت,шы́пхъу
236,Onkel::N,عم,янэ́ш
237,Tante::N,عمة,атэшыпхъу
238,Ehemann::N,زوج,лӏы
239,Ehefrau::N,زوجة,шъу́з
240,Freude::N,فرح,гушӏуа́гъу
241,Freude::N,سرور,гушӏуа́гъу
242,Gelächter::N,قهقهة,щхыныр
243,Glück::N,سعادة,насы́п
244,Kummer::N,غم,тхьамыкӏагъу
245,Wunsch::N,منية,шӏонгъоны́гъ
246,Lust::N,شهوة,шӏонгъоны́гъ
247,Geist::N,روح,гу
248,Gedanke::N,فكرة,гупшыс
249,Gedächtnis::N,ذاكرة,память
250,Verstand::N,عقل,акъы́л
251,Sinn::N,معنى,мэхьанэ
252,Grund::N,سبب,ушъхьагъу
253,Wahrheit::N,حقيقة,шъыпкъэ́
254,Gespräch::N,محادثة,гущыӏ
255,Märchen::N,خرافة,пшысэ
256,Erzählung::N,قصة,къэба́р
257,Erzählung::N,حكاية,къэба́р
258,Nachricht::N,خبر,къэба́р
259,Neuigkeit::N,خبر جديد,къэбарыкӏ
260,Name::N,اسم,цӏэ
261,Rätsel::N,لغز,коджэхь-къоджэшх
262,Rede::N,خطبة,гущыӏ
263,Sprache::N,لغة,бзэ
264,Stimme::N,صوت,макъэ́
265,Wort::N,كلمة,гущыӏ
266,Zeichen::N,رمز,тамы́гъ
267,Zeichen::N,إشارة,тамы́гъ
268,Ruf::N,نداء,джэ макъ
269,Lärm::N,صخب,макъэ
270,Lärm::N,ضجة,макъэ
271,Laut::N,صوت,макъэ
272,Ton::N,نغمة,
273,Lied::N,أغنية,орэ́д
274,Ruhe::N,هدوء,самбырыныгъ
275,Leute::N,ناس,цӏыфхэ́р
276,Volk::N,شعب,цӏыф лъэпкъ
277,Arbeit::N,عمل,ӏофшӏакӏэ́н
278,Gast::N,ضيف,хьакӏэ́
279,Geschenk::N,هدية,шӏухьафтын
280,Spiel::N,لعب,еоны́р
281,Spiel::N,لعب,джэгуны́р
282,Spiel::N,لعب,къегъэӏоны́р
283,Gesellschaft::N,صحبة,обществ
284,Hilfe::N,عون,ӏэпыӏэгъу
285,Hilfe::N,مساعدة,ӏэпыӏэгъу
286,Freund::N,صديق,ныбджэгъу
287,Kamerad::N,زميل,ныбджэгъу
288,Angelegenheit::N,أمر,ӏофы́
289,Angelegenheit::N,شأن,ӏофы́
290,Anzahl::N,عدد,пчъагъэ́
291,Art::N,نوع,изэрэщы́т
292,Art::N,نوع,лъэпкъ
293,Stück::N,قطعة,такъы́р
294,Teil::N,قسم,щыщ
295,Teil::N,قسم,ӏахь
296,Hälfte::N,نصف,ныкъо́
