,Concept_ID,ja,lez
0,Auge::N,目,вил
1,Ohr::N,耳,яб
2,Nase::N,鼻,нер
3,Mund::N,口,сив
4,Zahn::N,歯,сас
5,Zahn::N,歯,свах
6,Zunge::N,舌,мез
7,Lippe::N,唇,пӏуз
8,Wange::N,頬,хъвехъ
9,Gesicht::N,顔,ччин
10,Stirn::N,額,пел
11,Haar::N,髪,чӏар
12,Schnurrbart::N,口髭,спел
13,Schnurrbart::N,口髭,спелар
14,Bart::N,髭,ччуру
15,Kinn::N,顎,чене
16,Kiefer[Anatomie]::N,顎,чене
17,Kehle::N,喉,туьд
18,Hals::N,首,гардан
19,Genick::N,首,кьам
20,Kopf::N,頭,кьил
21,Rücken::N,背中,далу
22,Bauch::N,腹,руфун
23,Bauch::N,お腹,руфун
24,Nabel::N,へそ,пицӏ
25,Busen::N,乳房,мам
26,Brust::N,胸,хур
27,Schulter::N,肩,къуьн
28,Arm::N,腕,гъил
29,Ellenbogen::N,肘,кьуьнт
30,Hand::N,手,капаш
31,Handfläche::N,手のひら,капан юкь
32,Finger::N,指,тӏуб
33,Fingernagel::N,爪,кек
34,Nagel[Anatomie]::N,爪,кек
35,Zeh::N,足の指,кул
36,Fuß::N,足,кӏвач
37,Ferse::N,かかと,дабан
38,Knie::N,膝,мет
39,Oberschenkel::N,上腿,
40,Bein::N,足,кӏвач
41,Körper::N,体,беден
42,Haut::N,皮膚,хам
43,Blut::N,血,иви
44,Ader::N,血管,дамар
45,Sehne::N,腱,кьуру дамар
46,Knochen::N,骨,кӏараб
47,Gehirn::N,脳,мефт
48,Herz::N,心,рикӏ
49,Herz::N,心臓,рикӏ
50,Magen::N,胃,хук
51,Leber::N,肝臓,лекь
52,Atem::N,息,ял
53,Atem::N,息,нефес
54,Atem::N,呼吸,ял
55,Atem::N,呼吸,нефес
56,Hunger::N,空腹,каш
57,Träne::N,涙,вилин нагъв
58,Geschmack::N,味,дад
59,Geschmack::N,味,тӏям
60,Geruch::N,匂い,ни
61,Schlaf::N,睡眠,ахвар
62,Traum::N,夢,ахвар
63,Himmel::N,空,цав
64,Sonne::N,太陽,рагъ
65,Mond::N,月,варз
66,Stern::N,星,гъед
67,Luft::N,空気,гьава
68,Wind::N,風,гар
69,Welle::N,波,лепе
70,Wasser::N,水,яд
71,Stein::N,石,къван
72,Boden::N,土地,накьв
73,Erde::N,土,ччил
74,Staub::N,埃,руг
75,Rauch::N,煙,гум
76,Funke::N,火花,цӏелхем
77,Feuer::N,火,цӏай
78,Licht::N,光,экв
79,Schatten::N,陰,серин
80,Wetter::N,天気,гьава
81,Nebel::N,霧,ччилин циф
82,Wolke::N,雲,циф
83,Regen::N,雨,марф
84,Schnee::N,雪,жив
85,Eis::N,氷,мурк
86,Frost::N,霜,аяз
87,Kälte::N,寒さ,мекь
88,Kälte::N,寒さ,мекьивал
89,Hitze::N,暑さ,зегьем
90,Raureif::N,霧氷,къирав
91,Regenbogen::N,虹,яргъируш
92,Donner::N,雷,цавун ван
93,Strömung::N,流れ,
94,Tropfen::N,滴,стӏал
95,Schaum::N,泡,каф
96,Schmutz::N,汚れ,чирк
97,Schmutz::N,汚れ,кьуруш
98,See::N,湖,вир
99,Sumpf::N,沼,уьлен
100,Moor::N,湿原,
101,Wiese::N,草原,векь
102,Wald::N,森,там
103,Hügel::N,丘,кӏунтӏ
104,Anhöhe::N,高み,тепе
105,Anhöhe::N,高み,гьуьндуьрвал
106,Berg::N,山,дагъ
107,Gipfel::N,頂上,кӏукӏ
108,Höhle::N,洞窟,кьветӏ
109,Abhang::N,斜面,гуьне
110,Quelle::N,泉,чешме
111,Bach::N,小川,булах
112,Fluss::N,川,вацӏ
113,Ufer::N,岸,къерех
114,Küste::N,海岸,къерех
115,Festland::N,陸,кьурамат
116,Meer::N,海,гьуьл
117,Bucht::N,湾,бухта
118,Insel::N,島,остров
119,Blume::N,花,цуьк
120,Gras::N,草,хъач
121,Wurzel::N,根,дувул
122,Baum::N,木,ттар
123,Stamm::N,幹,тан
124,Rinde::N,皮層,чкал
125,Ast::N,枝,тӏур
126,Zweig::N,小枝,хел
127,Blatt::N,葉,пеш
128,Birke::N,樺,верх
129,Kiefer[Baum]::N,松,шамагъаж
130,Weide[Baum]::N,柳,цӏвелин ттар
131,Tanne::N,樅,ель
132,Horn::N,角,карч
133,Feder::N,羽根,цӏакул
134,Fell::N,毛皮,хам
135,Flügel::N,羽,лув
136,Klaue::N,鉤爪,къармах
137,Kralle::N,爪,пац
138,Kralle::N,爪,тапас
139,Schwanz::N,尻尾,ттум
140,Ei::N,卵,кака
141,Nest::N,巣,муг
142,Bau::N,穴,тӏеквен
143,Tier::N,動物,гьайван
144,Herde::N,群れ,суьруь
145,Kuh::N,牛,ккал
146,Bulle::N,雄牛,яц
147,Bulle::N,雄牛,бугъа
148,Pferd::N,馬,балкӏан
149,Schaf::N,羊,хеб
150,Schwein::N,豚,вак
151,Hund::N,犬,кицӏ
152,Katze::N,猫,кац
153,Bär::N,熊,сев
154,Eichhörnchen::N,栗鼠,белка
155,Elch::N,ヘラジカ,лось
156,Fuchs::N,狐,сикӏ
157,Hase::N,兎,къуьр
158,Maus::N,鼠,кьиф
159,Wolf::N,狼,жанавур
160,Vogel::N,鳥,луван ничхир
161,Schwarm::N,群れ,луж
162,Huhn::N,鶏,верч
163,Hahn::N,雄鶏,кӏек
164,Gans::N,ガチョウ,къаз
165,Adler::N,鷲,лекь
166,Ente::N,鴨,пӏатӏ
167,Eule::N,フクロウ,тӏиб
168,Kranich::N,鶴,дурна
169,Krähe::N,烏,къаргъа
170,Kuckuck::N,郭公,кукупӏ
171,Schwan::N,白鳥,къугь
172,Fisch::N,魚,гъед
173,Barsch::N,鱸,окунь
174,Hecht::N,川魳,щука
175,Schlange[Tier]::N,蛇,илан
176,Schlange[Tier]::N,蛇,гъуьлягъ
177,Wurm::N,虫,квак
178,Spinne::N,蜘蛛,хуьшрекан
179,Ameise::N,蟻,цегв
180,Laus::N,虱,нет
181,Mücke::N,蚊,ветӏ
182,Fliege::N,蝿,тӏветӏ
183,Schmetterling::N,蝶,чепелукь
184,Beere::N,漿果,куьлуь емиш
185,Apfel::N,林檎,ич
186,Pilz::N,茸,къарникъуз
187,Zwiebel::N,玉葱,чичӏек
188,Saat::N,種,тумар
189,Korn::N,粒,твар
190,Heu::N,干し草,векь
191,Heu::N,干し草,векьер
192,Schale::N,皮,пириш
193,Schale::N,皮,хъуьруьш
194,Grube::N,穴,фур
195,Falle::N,わな,ракьар
196,Schlinge::N,輪,гьалкъа
197,Spur::N,跡,гел
198,Asche::N,灰,руьхъ
199,Dreck::N,泥,чирк
200,Dreck::N,泥,кьуруш
201,Eisen::N,鉄,ракь
202,Gold::N,金,алтун
203,Silber::N,銀,гимиш
204,Kohle::N,炭,цӏивин
205,Glas::N,ガラス,шуьше
206,Lehm::N,ローム,ччеб
207,Sand::N,砂,къум
208,Mensch::N,人,инсан
209,Mann::N,男,итим
210,Mann::N,男性,итим
211,Frau::N,女,паб
212,Frau::N,女,дишегьли
213,Frau::N,女性,паб
214,Frau::N,女性,дишегьли
215,Kind::N,子,аял
216,Kind::N,子供,аял
217,Junge::N,男の子,гада
218,Mädchen::N,女の子,руш
219,Familie::N,家族,хзан
220,Familie::N,家族,килфет
221,Großvater::N,祖父,чӏехи буба
222,Großvater::N,おじいさん,чӏехи буба
223,Großmutter::N,祖母,чӏехи диде
224,Großmutter::N,おばあさん,чӏехи диде
225,Eltern::N,親,диде-буба
226,Eltern::N,両親,диде-буба
227,Vater::N,父,буба
228,Vater::N,お父さん,буба
229,Mutter::N,母,диде
230,Mutter::N,お母さん,диде
231,Sohn::N,息子,хва
232,Sohn::N,息子さん,хва
233,Tochter::N,娘,руш
234,Tochter::N,お嬢さん,руш
235,Bruder::N,弟,стха
236,Schwester::N,妹,вах
237,Onkel::N,伯父,ими
238,Onkel::N,伯父,халу
239,Onkel::N,伯父さん,ими
240,Onkel::N,伯父さん,халу
241,Tante::N,叔母,эме
242,Tante::N,叔母,хала
243,Tante::N,叔母さん,эме
244,Tante::N,叔母さん,хала
245,Ehemann::N,夫,гъуьл
246,Ehemann::N,主人,гъуьл
247,Ehefrau::N,妻,паб
248,Ehefrau::N,奥さん,паб
249,Freude::N,喜び,шадвал
250,Gelächter::N,笑い,хъвер
251,Glück::N,幸せ,бахт
252,Kummer::N,悩み,дерт
253,Kummer::N,悩み,хажалат
254,Wunsch::N,希望,мурад
255,Lust::N,気,гьевес
256,Geist::N,精神,руьгь
257,Gedanke::N,考え,фикир
258,Gedächtnis::N,記憶,
259,Verstand::N,理解力,акьул
260,Sinn::N,意味,мана
261,Grund::N,理由,себеб
262,Wahrheit::N,真実,керчек
263,Wahrheit::N,真実,гьакъикъат
264,Gespräch::N,会話,ихтилат
265,Märchen::N,童話,мах
266,Erzählung::N,物語,кьиса
267,Nachricht::N,報告,хабар
268,Neuigkeit::N,ニュース,цӏийи хабар
269,Name::N,名前,тӏвар
270,Rätsel::N,謎,мискӏал
271,Rede::N,演説,рахун
272,Sprache::N,言語,чӏал
273,Stimme::N,声,ван
274,Wort::N,言葉,гаф
275,Zeichen::N,記号,ишара
276,Ruf::N,呼び声,эвер
277,Lärm::N,騒音,ван-сес
278,Laut::N,音,ван
279,Laut::N,音,сес
280,Ton::N,音,ван-сес
281,Lied::N,歌,мани
282,Ruhe::N,静けさ,ласвал
283,Ruhe::N,静けさ,фаракъат
284,Ruhe::N,静けさ,асайиш
285,Leute::N,人々,инсанар
286,Volk::N,民族,халкь
287,Arbeit::N,仕事,кӏвалах
288,Gast::N,客,мугьман
289,Geschenk::N,贈り物,савкьат
290,Spiel::N,遊び,къугъун
291,Gesellschaft::N,社会,жемят
292,Gesellschaft::N,社会,общество
293,Hilfe::N,援助,куьмек
