,Concept_ID,ce,ba
0,Auge::N,бӏаьрг,күҙ
1,Ohr::N,лерг,ҡолаҡ
2,Nase::N,мара,танау
3,Mund::N,бага,ауыҙ
4,Zahn::N,церг,теш
5,Zunge::N,мотт,тел
6,Lippe::N,балда,ирен
7,Wange::N,бесни,яцаҡтар
8,Gesicht::N,юьхь,бит
9,Stirn::N,хьаж,маңлай
10,Haar::N,мас,сәс
11,Schnurrbart::N,мекх,мылтыҡ
12,Bart::N,маж,һаҡал
13,Kinn::N,чӏениг,эйэк
14,Kiefer[Anatomie]::N,мочхал,яңаҡ һөйәге
15,Kehle::N,къамкъарг,тамаҡ
16,Hals::N,ворта,муйын
17,Genick::N,кӏесаркӏаг,соңҡа
18,Kopf::N,корта,баш
19,Rücken::N,букъ,арҡа
20,Bauch::N,кийра,ҡорһаҡ
21,Nabel::N,цӏонга,кендек
22,Busen::N,зударийн накха,күкрәк
23,Brust::N,накха,түш
24,Schulter::N,белш,яурын
25,Arm::N,пхьарс,ҡул
26,Ellenbogen::N,пхьаьрсан гола,терһәк
27,Hand::N,куьг,ҡул
28,Hand::N,куьг,ҡул суғы
29,Handfläche::N,кераюкъ,ус төбө
30,Finger::N,пӏелг,бармаҡ
31,Fingernagel::N,мӏара,тырнаҡ
32,Nagel[Anatomie]::N,мӏара,тырнаҡ
33,Zeh::N,кога пӏелг,бармаҡ
34,Fuß::N,ког,табан
35,Ferse::N,кӏажа,үксә
36,Knie::N,гола,тубыҡ
37,Oberschenkel::N,варе,сандыр
38,Bein::N,ког,аяҡ
39,Körper::N,хӏума,тән
40,Haut::N,чкъор,тире
41,Blut::N,цӏий,ҡан
42,Ader::N,пха,тамыр
43,Sehne::N,хьорзам,һеңер
44,Sehne::N,хьорзам,тарамыш
45,Knochen::N,даьӏахк,һойәк
46,Gehirn::N,хье,мейе
47,Herz::N,дог,йорәк
48,Magen::N,зорх,ашҡаҙан
49,Leber::N,доӏах,бауыр
50,Atem::N,садеӏар,һулыш
51,Hunger::N,мацалла,аслыҡ
52,Träne::N,бӏаьрхи,күҙ иәше
53,Geschmack::N,чам,тәм
54,Geruch::N,хьожа,еҫ
55,Schlaf::N,наб,йоҡлау
56,Traum::N,гӏан,төш
57,Himmel::N,стигал,күк
58,Sonne::N,малх,ҡояш
59,Mond::N,бутт,ай
60,Stern::N,седа,йондоҙ
61,Luft::N,xӏаваъ,һауа
62,Wind::N,мох,ел
63,Welle::N,тулгӏе,тулҡын
64,Wasser::N,хи,һыу
65,Stein::N,тӏулг,таш
66,Boden::N,цӏенкъа,тупраҡ
67,Erde::N,латта,балсҡ
68,Staub::N,чан,туҙан
69,Rauch::N,кӏур,төтөн
70,Funke::N,суй,осҡон
71,Feuer::N,цӏе,ут
72,Licht::N,серло,яҡтылыҡ
73,Schatten::N,ӏиндагӏ,күләгә
74,Wetter::N,хенан хӏоттам,һауа торошо
75,Nebel::N,дохк,төман
76,Wolke::N,марха,болот
77,Regen::N,догӏа,ямғыр
78,Schnee::N,ло,ҡар
79,Eis::N,ша,боҙ
80,Frost::N,шело,һалҡын
81,Kälte::N,шело,һыуыҡ
82,Hitze::N,йовхо,томра
83,Hitze::N,йовхо,эҫелек
84,Raureif::N,йис,ҡырау
85,Regenbogen::N,стелаӏад,йәйғор
86,Donner::N,ткъес,күк күкрәү
87,Strömung::N,дӏаэхар,ағым
88,Strömung::N,дӏасалелар,ағым
89,Tropfen::N,тӏадам,тамсы
90,Schaum::N,чопа,күбек
91,Schmutz::N,хатт,батҡаҡ
92,See::N,ӏам,күл
93,Sumpf::N,уьшал,һаҙлык
94,Moor::N,уьшал,һаҙ
95,Wiese::N,бай,болон
96,Wald::N,хьун,урман
97,Hügel::N,гу,түбә
98,Hügel::N,шу,түбә
99,Hügel::N,барз,түбә
100,Anhöhe::N,акъари,түбә
101,Anhöhe::N,акъари,ҡалҡыулыҡ
102,Berg::N,лам,тау
103,Gipfel::N,бохь,түбә
104,Höhle::N,хьех,мәмерйә
105,Abhang::N,басе,ипкен
106,Quelle::N,шовда,шишмә
107,Bach::N,татол,шишмә
108,Fluss::N,хи,йылға
109,Ufer::N,хийист,яр
110,Küste::N,йист,яр буйы
111,Festland::N,латта,ҡоро ер
112,Meer::N,xӏорд,диңгез
113,Bucht::N,чож,бухта
114,Insel::N,гӏайре,үтрау
115,Blume::N,зезаг,сәскә
116,Gras::N,буц,үлән
117,Wurzel::N,орам,тамыр
118,Baum::N,дитт,ағас
119,Stamm::N,гӏад,олон
120,Stamm::N,гӏад,көбәк
121,Stamm::N,тайпа,олон
122,Stamm::N,тайпа,көбәк
123,Rinde::N,кевстиг,ҡабыҡ
124,Ast::N,га,ботаҡ
125,Zweig::N,га,ботаҡ
126,Zweig::N,га,тармаҡ
127,Blatt::N,гӏа,япраҡ
128,Birke::N,дакх,ҡайын
129,Kiefer[Baum]::N,бага,ҡарғай
130,Weide[Baum]::N,дак,тал
131,Tanne::N,база,шыршы
132,Horn::N,маӏа,мөғөҙ
133,Feder::N,пелаг,ҡауырһын
134,Fell::N,цӏока,тире
135,Flügel::N,тӏам,ҡанат
136,Klaue::N,мӏара,тырнаҡ
137,Kralle::N,тlод,аяҡ
138,Schwanz::N,цӏога,ҡойроҡ
139,Ei::N,xӏoa,йомортҡа
140,Nest::N,бен,оя
141,Bau::N,lуьрг,оң
142,Tier::N,дийнат,жайуан
143,Tier::N,дийнат,йыртҡыс
144,Herde::N,жа,көтөү
145,Kuh::N,етт,һыйыр
146,Bulle::N,сту,үгеҙ
147,Pferd::N,говр,ат
148,Schaf::N,жий,һарыҡ
149,Schaf::N,уьстагӏ,һарыҡ
150,Schwein::N,хьакха,сусҡа
151,Hund::N,жӏаьла,эт
152,Katze::N,цициг,бесәй
153,Bär::N,ча,айыу
154,Eichhörnchen::N,тарсал,тейен
155,Elch::N,сай,мышы
156,Fuchs::N,цхьогал,төлкө
157,Hase::N,пхьагал,ҡуян
158,Maus::N,дахка,сысҡан
159,Wolf::N,борз,бүре
160,Vogel::N,олхазар,ҡош
161,Huhn::N,котам,тауыҡ
162,Hahn::N,нӏаьна,әтәс
163,Hahn::N,боргӏал,әтәс
164,Gans::N,гӏаз,ҡаҙ
165,Adler::N,aьрзу,бөркөт
166,Ente::N,бад,өйрәк
167,Eule::N,бухӏа,өкө
168,Eule::N,бухӏа,ябалаҡ
169,Kranich::N,гӏаргӏули,торна
170,Krähe::N,къиг,ҡарға
171,Kuckuck::N,aттйокх,кәкүк
172,Schwan::N,гӏургӏаз,аҡҡош
173,Fisch::N,чӏара,балыҡ
174,Barsch::N,окунь,алабуға
175,Hecht::N,гӏазкхийн чӏара,суртан
176,Schlange[Tier]::N,лаьхьа,йылан
177,Wurm::N,нӏаьна,селяүсен
178,Spinne::N,гезг,үрмәксе
179,Ameise::N,зингат,ҡырмыҫҡа
180,Laus::N,меза,бет
181,Laus::N,гӏениг,бет
182,Mücke::N,чуьрк,серәкәй
183,Fliege::N,моза,себен
184,Schmetterling::N,полла,күбәләк
185,Beere::N,цӏазам,еләк
186,Apfel::N,ӏаж,алма
187,Pilz::N,жӏаьлин нускал,бәшмәк
188,Zwiebel::N,xох,һуган
189,Saat::N,чlу,орлоҡ
190,Korn::N,буьртиг,иген
191,Heu::N,йол,бесән
192,Schale::N,пардо,ҡабыҡ
193,Grube::N,ор,соҡор
194,Falle::N,кӏело,тоҙак
195,Falle::N,кӏело,ҡапҡан
196,Spur::N,лар,әҫер
197,Asche::N,чим,көл
198,Dreck::N,мода,батҡаҡ
199,Eisen::N,эчиг,тимер
200,Gold::N,деши,алтын
201,Silber::N,дети,көмөш
202,Kohle::N,кӏора,күмер
203,Glas::N,aнгали,быяла
204,Lehm::N,поппар,балсыҡ
205,Sand::N,гӏум,ҡом
206,Mensch::N,адам,кеше
207,Mann::N,майра,ир
208,Frau::N,зуда,ҡатын
209,Kind::N,бер,бала
210,Junge::N,жимха,малай
211,Mädchen::N,жима йоӏ,ҡыҙ
212,Mädchen::N,жима йоӏ,ҡыҙыҡай
213,Familie::N,доьзал,ғаилә
214,Großvater::N,ненада,олатай
215,Großmutter::N,денана,әбәй
216,Eltern::N,да-нана,ата-әсә
217,Vater::N,да,атай
218,Mutter::N,нана,әсә
219,Sohn::N,кӏант,ул
220,Tochter::N,йоӏ,ҡыҙ
221,Bruder::N,ваша,агай
222,Schwester::N,йиша,алай
223,Schwester::N,йиша,һеңле
224,Onkel::N,деваша,ағай
225,Tante::N,дейиша,апай
226,Ehemann::N,майра,ир
227,Ehefrau::N,зуда,ҡатын
228,Freude::N,самукъа,шатлыҡ
229,Freude::N,самукъа,ҡыуаныс
230,Freude::N,хазахетар,шатлыҡ
231,Freude::N,хазахетар,ҡыуаныс
232,Gelächter::N,белам,көлөү
233,Glück::N,ирс,бәхет
234,Kummer::N,бала,ҡайғы
235,Wunsch::N,лаам,теләк
236,Lust::N,лаам,әүәҫлек
237,Geist::N,са,аң
238,Geist::N,са,рух
239,Gedanke::N,ойла,уй
240,Gedanke::N,ойла,фекер
241,Gedächtnis::N,диццадалар,хәтер
242,Verstand::N,хьекъал,аҡыл
243,Sinn::N,маьӏна,мәғәня
244,Grund::N,бахьана,сәбәп
245,Wahrheit::N,бакъдерг,дөрөҫлөк
246,Gespräch::N,къамел,әңгәмә
247,Märchen::N,туьйра,әкиәт
248,Erzählung::N,дийцар,хикәйә
249,Nachricht::N,хаам,хәбәр
250,Neuigkeit::N,керланиг,яңылыҡ
251,Name::N,цӏе,исем
252,Rätsel::N,хӏетал-метал,йомаҡ
253,Rede::N,къамел,телмәр
254,Sprache::N,мотт,тел
255,Sprache::N,мотт,телмәр
256,Stimme::N,aз,тауыш
257,Wort::N,дош,һүҙ
258,Zeichen::N,билгало,билдә
259,Ruf::N,кхайкхар,саҡырыу
260,Lärm::N,гӏовгӏа,шаулау
261,Laut::N,аз,тауыш
262,Ton::N,aз,яңғырау
263,Lied::N,илли,йыр
264,Ruhe::N,тийналла,ял
265,Ruhe::N,тийналла,тыныслыҡ
266,Leute::N,нах,кешеләр
267,Volk::N,халкъ,халҡ
268,Arbeit::N,болх,эш
269,Gast::N,хьаша,ҡунаҡ
270,Geschenk::N,совгӏат,бүләк
271,Spiel::N,ловзар,уйын
272,Gesellschaft::N,юкъаралла,йәмғиәт
273,Hilfe::N,гӏо,ярҙам
274,Freund::N,доттагl,дуҫ
