,Concept_ID,cv,hu
0,Auge::N,куҫ,szem
1,Ohr::N,хӑлха,fül
2,Nase::N,сӑмса,orr
3,Mund::N,ҫӑвар,száj
4,Zahn::N,шӑл,fog
5,Zunge::N,чӗлхе,nyelv
6,Lippe::N,тута,ajak
7,Wange::N,пит ҫӑмарти,orca
8,Gesicht::N,пит,arc
9,Gesicht::N,пит-куҫ,arc
10,Stirn::N,ҫамка,homlok
11,Haar::N,ҫӳҫ,haj
12,Schnurrbart::N,усси,bajusz
13,Bart::N,сухал,szakáll
14,Kinn::N,янах,áll
15,Kiefer[Anatomie]::N,янах,állkapocs
16,Kehle::N,пыр,gége
17,Kehle::N,пыр,torok
18,Kehle::N,карланкӑ,gége
19,Kehle::N,карланкӑ,torok
20,Hals::N,пыр,nyak
21,Genick::N,ӗнсе,tarkó
22,Kopf::N,пуҫ,fő
23,Kopf::N,пуҫ,fej
24,Rücken::N,ҫурӑм,hát
25,Nabel::N,кӑвапа,köldök
26,Busen::N,кӑкӑр,mell
27,Busen::N,кӑкӑр,kebel
28,Brust::N,умӗ,mell
29,Schulter::N,хул пуҫҫи,váll
30,Arm::N,алӑ,kar
31,Ellenbogen::N,чавса,könyök
32,Hand::N,алӑ сыппи,kéz
33,Handfläche::N,ал лаппи,tenyér
34,Finger::N,пӳрне,ujj
35,Fingernagel::N,чӗрне,köröm
36,Nagel[Anatomie]::N,чӗрне,köröm
37,Zeh::N,пӳрне,lábujj
38,Fuß::N,ура лаппи,láb
39,Ferse::N,кӗле,sarok
40,Knie::N,чӗркуҫҫи,térd
41,Oberschenkel::N,пӗҫӗ,comb
42,Bein::N,ура,láb
43,Bein::N,ура,lábszár
44,Körper::N,ӳт,test
45,Körper::N,ӳт-пӳ,test
46,Haut::N,тир,bőr
47,Blut::N,юн,vér
48,Ader::N,вена,ér
49,Sehne::N,шӑнӑр,ín
50,Knochen::N,шӑмӑ,csont
51,Gehirn::N,миме,agy
52,Gehirn::N,миме,agyvelő
53,Herz::N,чӗре,szív
54,Magen::N,хырӑмлӑх,gyomor
55,Leber::N,пӗвер,máj
56,Atem::N,сывлав,lehelet
57,Atem::N,сывлав,lélegzet
58,Hunger::N,выҫлӑх,éhség
59,Träne::N,куҫҫуль,könny
60,Geschmack::N,техӗм,íz
61,Geruch::N,шӑршӑ,szag
62,Schlaf::N,ыйхӑ,álom
63,Schlaf::N,ыйхӑ,alvás
64,Traum::N,тӗлӗк,álom
65,Himmel::N,пӗлӗт,ég
66,Himmel::N,пӗлӗт,menny
67,Sonne::N,хӗвел,nap
68,Mond::N,уйӑх,hold
69,Stern::N,ҫӑлтӑр,csillag
70,Luft::N,сывлӑш,levegő
71,Wind::N,ҫил,szél
72,Welle::N,хум,hullám
73,Wasser::N,шыв,víz
74,Wasser::N,шыв-шур,víz
75,Stein::N,чул,kő
76,Boden::N,тӑпра,föld
77,Boden::N,тӑпра,talaj
78,Erde::N,ҫӗр,föld
79,Staub::N,тусан,por
80,Rauch::N,тӗтӗм,füst
81,Funke::N,хӗм,szikra
82,Feuer::N,вут,tűz
83,Feuer::N,ҫулӑм,tűz
84,Licht::N,ҫутӑ,fény
85,Schatten::N,сулхӑн,árnyék
86,Wetter::N,ҫанталӑк,idő
87,Wetter::N,ҫанталӑк,időjárás
88,Nebel::N,тӗтре,köd
89,Wolke::N,пӗлӗт,felhő
90,Regen::N,ҫумӑр,eső
91,Schnee::N,юр,hó
92,Eis::N,пӑр,jég
93,Frost::N,сивӗ,fagy
94,Kälte::N,сивӗ,hideg
95,Hitze::N,вӗри,hő
96,Hitze::N,вӗри,hőség
97,Hitze::N,шӑрӑх,hő
98,Hitze::N,шӑрӑх,hőség
99,Raureif::N,пас,zúzmara
100,Regenbogen::N,асамат кӗперӗ,szivárvány
101,Donner::N,аслати,dörgés
102,Donner::N,аслати,mennydörgés
103,Strömung::N,юхӑ,áramlat
104,Tropfen::N,тумлам,csepp
105,Schaum::N,кӑпӑк,hab
106,Schaum::N,кӑпӑк,tajték
107,Schmutz::N,пылчӑк,piszok
108,See::N,кӳлӗ,tó
109,Sumpf::N,шур,mocsár
110,Sumpf::N,шурлӑх,mocsár
111,Moor::N,торфлӑ шурлӑх,láp
112,Wiese::N,улӑх,rét
113,Wiese::N,улӑх,mező
114,Wiese::N,ҫаран,rét
115,Wiese::N,ҫаран,mező
116,Wald::N,вӑрман,erdő
117,Hügel::N,сӑрт,domb
118,Hügel::N,тӗмеске,domb
119,Anhöhe::N,сӑрт,magaslat
120,Berg::N,ту,hegy
121,Gipfel::N,тӳпе,csúcs
122,Höhle::N,ҫӗр хӑвӑлӗ,barlang
123,Abhang::N,тӑвайкки,lejtő
124,Quelle::N,ҫӑл куҫ,forrás
125,Bach::N,пӗчӗк шыв,patak
126,Fluss::N,юхан шыв,folyó
127,Ufer::N,ҫыран,part
128,Küste::N,тинӗс ҫыранӗ,tengerpart
129,Festland::N,тип ҫӗр,szárazföld
130,Meer::N,тинӗс,tenger
131,Bucht::N,тинӗс кукӑрӗ,öböl
132,Insel::N,утрав,sziget
133,Blume::N,чечек,virág
134,Gras::N,курӑк,fű
135,Wurzel::N,тымар,gyökér
136,Baum::N,йывӑҫ,fa
137,Stamm::N,вулӑ,tő
138,Stamm::N,вулӑ,törzs
139,Rinde::N,хуйӑр,kéreg
140,Ast::N,турат,ág
141,Zweig::N,турат,gally
142,Blatt::N,ҫулҫӑ,levél
143,Birke::N,хурӑн,nyír
144,Kiefer[Baum]::N,хыр,fenyő
145,Weide[Baum]::N,хӑва,fűz
146,Tanne::N,чӑрӑш,fenyő
147,Horn::N,мӑйрака,szarv
148,Feder::N,тӗк,toll
149,Fell::N,ҫӑм,szőr
150,Fell::N,ҫӑм,bunda
151,Flügel::N,ҫунат,szárny
152,Klaue::N,чӗрне,köröm
153,Kralle::N,ура,karom
154,Schwanz::N,хӳре,farok
155,Ei::N,ҫӑмарта,tojás
156,Nest::N,йӑва,fészek
157,Bau::N,йӗнӗ,odú
158,Tier::N,выльӑх,állat
159,Herde::N,кӗтӳ,nyáj
160,Herde::N,кӗтӳ,csorda
161,Kuh::N,ӗне,tehén
162,Bulle::N,вӑкӑр,bika
163,Pferd::N,лаша,ló
164,Schaf::N,сурӑх,juh
165,Schaf::N,сурӑх,birka
166,Schwein::N,сысна,sertés
167,Hund::N,йытӑ,eb
168,Hund::N,йытӑ,kutya
169,Katze::N,кушак,macska
170,Bär::N,упа,medve
171,Eichhörnchen::N,пакша,mókus
172,Elch::N,пӑши,jávorszarvas
173,Fuchs::N,тилӗ,róka
174,Hase::N,куян,nyúl
175,Hase::N,мулкач,nyúl
176,Maus::N,шӑши,egér
177,Wolf::N,кашкӑр,farkas
178,Vogel::N,кайӑк,madár
179,Vogel::N,вӗҫен кайӑк,madár
180,Schwarm::N,ушкӑн,raj
181,Huhn::N,чӑх,tyúk
182,Huhn::N,чӑхӑ,tyúk
183,Hahn::N,автан,kakas
184,Gans::N,хур,lúd
185,Gans::N,хур,liba
186,Adler::N,ӑмӑрт кайӑк,sas
187,Ente::N,кӑвакал,kacsa
188,Eule::N,тӑмана,bagoly
189,Kranich::N,тӑрна,daru
190,Krähe::N,ула курак,varjú
191,Kuckuck::N,куккук,kakukk
192,Schwan::N,акӑш,hattyú
193,Fisch::N,пулӑ,hal
194,Barsch::N,уланкӑ,sügér
195,Hecht::N,ҫӑрттан,csuka
196,Schlange[Tier]::N,ҫӗлен,kígyó
197,Wurm::N,ӑман,kukac
198,Spinne::N,эрешмен,pók
199,Ameise::N,кӑткӑ,hangya
200,Laus::N,пыйтӑ,tetű
201,Mücke::N,вӑрӑм туна,szúnyog
202,Fliege::N,шӑна,légy
203,Schmetterling::N,лӗпӗш,lepke
204,Schmetterling::N,лӗпӗш,pillangó
205,Beere::N,ҫырла,bogyó
206,Apfel::N,улма,alma
207,Apfel::N,пан улми,alma
208,Pilz::N,кӑмпа,gomba
209,Zwiebel::N,сухан,hagyma
210,Saat::N,вӑрӑ,vetőmag
211,Korn::N,тӗшӗ,mag
212,Korn::N,тӗшӗ,szem
213,Korn::N,пӗрчӗ,mag
214,Korn::N,пӗрчӗ,szem
215,Heu::N,утӑ,széna
216,Schale::N,хупӑ,héj
217,Grube::N,шӑтӑк,verem
218,Falle::N,тапӑ,csapda
219,Falle::N,капкӑн,csapda
220,Schlinge::N,йӑлӑ,tőr
221,Spur::N,йӗр,nyom
222,Asche::N,кӗл,hamu
223,Dreck::N,пылчӑк,sár
224,Dreck::N,пылчӑк,piszok
225,Eisen::N,тимӗр,vas
226,Gold::N,ылтӑн,arany
227,Silber::N,кӗмӗл,ezüst
228,Kohle::N,кӑмрӑк,szén
229,Glas::N,кӗленче,üveg
230,Lehm::N,тӑм,agyag
231,Lehm::N,тӑм,vályog
232,Sand::N,хӑйӑр,homok
233,Mensch::N,ҫын,ember
234,Mensch::N,этем,ember
235,Mann::N,ар,úr
236,Mann::N,ар,férfi
237,Frau::N,хӗрарӑм,nő
238,Frau::N,хӗрарӑм,asszony
239,Kind::N,ача,gyerek
240,Kind::N,ача,gyermek
241,Junge::N,ача,fiú
242,Junge::N,ар ҫын ача,fiú
243,Mädchen::N,хӗр ача,lány
244,Familie::N,ҫемье,család
245,Familie::N,кил-йыш,család
246,Großvater::N,кукаҫи,nagyapa
247,Großmutter::N,кукамай,nagyanya
248,Eltern::N,аҫа-ама,szülők
249,Vater::N,атте,apa
250,Vater::N,атте,atya
251,Mutter::N,анне,anya
252,Sohn::N,ывӑл,fiú
253,Tochter::N,хӗр,lány
254,Bruder::N,ар тӑван,fivér
255,Bruder::N,ар тӑван,testvér
256,Schwester::N,аппа,nővér
257,Schwester::N,аппа,lánytestvér
258,Schwester::N,йӑмӑк,nővér
259,Schwester::N,йӑмӑк,lánytestvér
260,Onkel::N,мучи,nagybácsi
261,Onkel::N,пичче,nagybácsi
262,Tante::N,аппа,nagynéni
263,Ehemann::N,упӑшка,férj
264,Ehefrau::N,арӑм,feleség
265,Freude::N,савӑнӑҫ,öröm
266,Freude::N,хаваслӑх,öröm
267,Gelächter::N,кулӑ,nevetés
268,Gelächter::N,кулӑ,hahotázás
269,Glück::N,телей,boldogság
270,Glück::N,ӑраскал,boldogság
271,Kummer::N,хурлӑх,bánat
272,Wunsch::N,ӗмӗт,óhaj
273,Wunsch::N,кӑмӑл,óhaj
274,Lust::N,кӑмӑл,kedv
275,Geist::N,чун-чӗм,elme
276,Geist::N,чун-чӗм,szellem
277,Geist::N,ыр-усал,elme
278,Geist::N,ыр-усал,szellem
279,Geist::N,чун хавалӗ,elme
280,Geist::N,чун хавалӗ,szellem
281,Gedanke::N,шухӑш,gondolat
282,Gedächtnis::N,ас,emlékezet
283,Verstand::N,ӑс,ész
284,Verstand::N,ӑс,értelem
285,Verstand::N,ӑс-тӑн,ész
286,Verstand::N,ӑс-тӑн,értelem
287,Verstand::N,ӑс-хакӑл,ész
288,Verstand::N,ӑс-хакӑл,értelem
289,Sinn::N,тупсӑм,értelem
290,Sinn::N,пӗлтерӗш,értelem
291,Grund::N,сӑлтав,ok
292,Grund::N,сӑлтав,alap
293,Wahrheit::N,чӑнлӑх,igaz
294,Wahrheit::N,чӑнлӑх,igazság
295,Gespräch::N,калаҫу,beszélgetés
296,Märchen::N,юмах,mese
297,Erzählung::N,акалав,elbeszélés
298,Erzählung::N,каласа пани,elbeszélés
299,Nachricht::N,хыпар,hír
300,Nachricht::N,хыпар,híradás
301,Neuigkeit::N,ҫӗнӗ хыпар,újság
302,Name::N,ят,név
303,Rätsel::N,сутмалли юмах,rejtvény
304,Rede::N,сӑмах,beszéd
305,Rede::N,сӑмах,szónoklat
306,Sprache::N,чӗлхе,nyelv
307,Stimme::N,сасӑ,hang
308,Wort::N,сӑмах,szó
309,Zeichen::N,паллӑ,jel
310,Ruf::N,йыхрав,kiáltás
311,Ruf::N,чӗнӳ,kiáltás
312,Lärm::N,шав,zaj
313,Laut::N,сасӑ,hang
314,Ton::N,сасӑ,hang
315,Lied::N,юрӑ,dal
316,Lied::N,юрӑ,ének
317,Ruhe::N,канӑҫлӑх,csend
318,Ruhe::N,канӑҫлӑх,nyugalom
319,Ruhe::N,лӑпкӑлӑх,csend
320,Ruhe::N,лӑпкӑлӑх,nyugalom
321,Leute::N,ҫамрӑксем,emberek
322,Leute::N,ҫамрӑк ҫынсем,emberek
323,Volk::N,халӑх,nép
324,Arbeit::N,ӗҫхӗл,dolog
325,Arbeit::N,ӗҫлев,dolog
326,Gast::N,хӑна,vendég
327,Geschenk::N,парне,ajándék
328,Geschenk::N,кучченеҫ,ajándék
329,Spiel::N,вӑйӑ,játék
330,Gesellschaft::N,общество,társaság
331,Hilfe::N,пулӑшу,segítség
332,Freund::N,тус,barát
333,Kamerad::N,юлташ,társ
334,Kamerad::N,тус,társ
335,Angelegenheit::N,ӗҫ,ügy
336,Anzahl::N,йыш,szám
337,Anzahl::N,хисеп,szám
338,Art::N,тӗс,faj
339,Art::N,тӗс,fajta
340,Stück::N,татӑк,darab
341,Teil::N,пай,rész
342,Hälfte::N,ҫурӑ,fél
343,Kreis::N,ункӑ,kör
344,Kreis::N,ҫавракӑш,kör
