,Concept_ID,be,myv
0,Auge::N,вока,сельме
1,Ohr::N,вуха,пиле
2,Nase::N,нос,судо
3,Mund::N,рот,курго
4,Zahn::N,зуб,пей
5,Zunge::N,язык,кель
6,Lippe::N,губа,турва
7,Wange::N,шчака,чамабока
8,Wange::N,шчака,чамаумарь
9,Gesicht::N,твар,чама
10,Stirn::N,лоб,коня
11,Haar::N,волас,черь
12,Haar::N,валасы,черь
13,Schnurrbart::N,вус,ус
14,Schnurrbart::N,вус,муюк
15,Schnurrbart::N,вусы,ус
16,Schnurrbart::N,вусы,муюк
17,Bart::N,барада,сакал
18,Kinn::N,падбародак,уло
19,Kiefer[Anatomie]::N,сківіца,пейпакар
20,Kiefer[Anatomie]::N,сківіца,пейловажа
21,Kehle::N,горла,кирьгапарь
22,Hals::N,шыя,кирьга
23,Genick::N,патыліца,човонь
24,Kopf::N,галава,пря
25,Rücken::N,спіна,копорь
26,Bauch::N,жывот,пеке
27,Nabel::N,пупок,почо
28,Busen::N,грудзі,поте
29,Brust::N,грудзі,меште
30,Schulter::N,плячо,лавтов
31,Arm::N,рука,кедь
32,Ellenbogen::N,локаць,кенерепакарь
33,Hand::N,кісць,кедь
34,Handfläche::N,далонь,кедькуншка
35,Handfläche::N,далонь,кедьлапушка
36,Finger::N,палец,сур
37,Fingernagel::N,ногаць,кенже
38,Nagel[Anatomie]::N,ногаць,кенже
39,Zeh::N,палец,пильге сур
40,Fuß::N,нага,пильге
41,Ferse::N,пята,кочкаря
42,Ferse::N,пятка,кочкаря
43,Knie::N,калена,эле
44,Knie::N,калена,эзне
45,Knie::N,калена,кумажа
46,Oberschenkel::N,бядро,качо
47,Oberschenkel::N,сцягно,качо
48,Bein::N,нага,пильге
49,Körper::N,цела,рунго
50,Haut::N,скура,киське
51,Blut::N,кроў,верь
52,Ader::N,вена,сан
53,Ader::N,сасуд,сан
54,Sehne::N,жыла,коське сан
55,Sehne::N,цеціва,коське сан
56,Sehne::N,сухажылле,коське сан
57,Knochen::N,косць,пакарь
58,Gehirn::N,мозг,удем
59,Herz::N,сэрца,седей
60,Magen::N,страўнік,пеке
61,Leber::N,печань,максо
62,Atem::N,дыханне,лексема
63,Atem::N,дыханне,оймень таргсема
64,Hunger::N,голад,вачочи
65,Träne::N,сляза,селведь
66,Geschmack::N,смак,тансть
67,Geruch::N,пах,чине
68,Schlaf::N,сон,удома
69,Traum::N,сон,он
70,Himmel::N,неба,менель
71,Sonne::N,сонца,чи
72,Mond::N,месяц,ков
73,Stern::N,зорка,теште
74,Luft::N,паветра,кошт
75,Wind::N,вецер,варма
76,Welle::N,хваля,толкун
77,Wasser::N,вада,ведь
78,Stein::N,камень,кев
79,Boden::N,глеба,мода
80,Erde::N,зямля,мастор
81,Staub::N,пыл,пуль
82,Rauch::N,дым,качамо
83,Funke::N,іскра,сятко
84,Feuer::N,агонь,тол
85,Licht::N,святло,валдо
86,Schatten::N,цень,сулей
87,Schatten::N,цень,сулейкс
88,Wetter::N,пагода,ушо
89,Wetter::N,надворʼе,ушо
90,Nebel::N,туман,сув
91,Wolke::N,воблака,пель
92,Regen::N,дождж,пиземс
93,Schnee::N,снег,лов
94,Eis::N,лёд,эй
95,Frost::N,мароз,кельме
96,Kälte::N,холад,якшамо
97,Hitze::N,спёка,пси
98,Raureif::N,іней,лекш
99,Regenbogen::N,вясёлка,пурьгинечирьке
100,Regenbogen::N,вясёлка,пурьгинеёнкс
101,Donner::N,гром,пурьгине
102,Strömung::N,цячэнне,чудема
103,Strömung::N,цячэнне,чудевкс
104,Tropfen::N,кропля,петнявкс
105,Schaum::N,пена,чов
106,Schmutz::N,гразь,рудаз
107,See::N,возера,эрьке
108,Sumpf::N,багна,чей
109,Moor::N,балота,чей
110,Wiese::N,луг,луга
111,Wald::N,лес,вирь
112,Hügel::N,узгорак,губорь
113,Hügel::N,узгорак,пандыне
114,Anhöhe::N,узвышша,губорь
115,Anhöhe::N,узвышша,пандыне
116,Berg::N,гара,пандо
117,Gipfel::N,вяршыня,пря
118,Höhle::N,пячора,пещера
119,Abhang::N,схіл,пандочама
120,Quelle::N,крыніца,ушодкс
121,Bach::N,ручай,чудикерькс
122,Fluss::N,рака,лей
123,Ufer::N,бераг,чире
124,Küste::N,узбярэжжа,лейчире
125,Festland::N,суша,мода
126,Meer::N,мора,моря
127,Bucht::N,бухта,усия
128,Insel::N,востраў,усия
129,Blume::N,кветка,цеця
130,Gras::N,трава,тикше
131,Wurzel::N,корань,юр
132,Wurzel::N,корань,ундокс
133,Baum::N,дрэва,чувто
134,Stamm::N,ствол,рунго
135,Rinde::N,кара,суд
136,Rinde::N,кара,керь
137,Ast::N,сук,морго
138,Zweig::N,галіна,тарад
139,Blatt::N,ліст,лопа
140,Birke::N,бяроза,килей
141,Kiefer[Baum]::N,хвоя,пиче
142,Kiefer[Baum]::N,сасна,пиче
143,Weide[Baum]::N,вярба,каль
144,Tanne::N,яліна,куз
145,Horn::N,рог,сюро
146,Feder::N,пяро,толга
147,Fell::N,шкура,пона
148,Flügel::N,крыло,сёлмо
149,Klaue::N,кіпцюр,кенже
150,Kralle::N,лапа,кенже
151,Schwanz::N,хвост,пуло
152,Ei::N,яйка,ал
153,Nest::N,гняздо,пизэ
154,Bau::N,нара,варя
155,Bau::N,нара,пизе
156,Tier::N,жывёла,ракша
157,Herde::N,статак,стада
158,Kuh::N,карова,скал
159,Bulle::N,бык,бука
160,Pferd::N,конь,лишме
161,Schaf::N,авечка,реве
162,Schwein::N,свіння,туво
163,Hund::N,сабака,пине
164,Hund::N,сабака,киска
165,Katze::N,кошка,псака
166,Bär::N,мядзведзь,овто
167,Eichhörnchen::N,вавёрка,ур
168,Elch::N,лось,сярдо
169,Fuchs::N,ліса,ривезь
170,Hase::N,заяц,нумоло
171,Maus::N,мыш,чеерь
172,Wolf::N,воўк,верьгиз
173,Vogel::N,птах,нармунь
174,Vogel::N,птушка,нармунь
175,Schwarm::N,чарада,полк
176,Schwarm::N,чарада,стада
177,Huhn::N,курыца,сараз
178,Hahn::N,певень,атякш
179,Gans::N,гусь,гала
180,Gans::N,гусь,мацей
181,Adler::N,арол,куцькан
182,Adler::N,арол,тумоатякш
183,Ente::N,качка,яксярго
184,Eule::N,сава,корж
185,Kranich::N,жораў,карго
186,Kranich::N,журавель,карго
187,Krähe::N,варона,варака
188,Kuckuck::N,зязюля,куко
189,Schwan::N,лебедзь,локсей
190,Fisch::N,рыба,кал
191,Barsch::N,акунь,окунь
192,Hecht::N,шчупак,щука
193,Schlange[Tier]::N,змяя,гуй
194,Wurm::N,чарвяк,сукс
195,Spinne::N,павук,шанжав
196,Ameise::N,мурашка,коткудав
197,Laus::N,вош,сий
198,Mücke::N,камар,сеське
199,Fliege::N,муха,карво
200,Schmetterling::N,матыль,нимиляв
201,Beere::N,ягада,умарь
202,Apfel::N,яблык,умарь
203,Pilz::N,грыб,панго
204,Zwiebel::N,цыбуля,чурька
205,Saat::N,семя,видьметь
206,Korn::N,зерне,сюро
207,Heu::N,сена,тикше
208,Schale::N,шалупінне,кедь
209,Schale::N,шалупінне,ваткавкс
210,Grube::N,яма,латко
211,Falle::N,пастка,тувор
212,Falle::N,пастка,кундамка
213,Schlinge::N,сіло,килькш
214,Spur::N,след,челькс
215,Spur::N,след,пильгеки
216,Asche::N,попел,кулов
217,Dreck::N,бруд,рудаз
218,Eisen::N,жалеза,кшни
219,Gold::N,золата,сырне
220,Silber::N,сребра,сия
221,Kohle::N,вугаль,сэдь
222,Kohle::N,вугаль,уголия
223,Glas::N,шкло,сулика
224,Lehm::N,гліна,сёвонь
225,Sand::N,пясок,човар
226,Mensch::N,чалавек,ломань
227,Mann::N,мужчына,аля
228,Mann::N,мужчына,цёраломань
229,Frau::N,жанчына,ава
230,Kind::N,дзіця,эйкакш
231,Junge::N,хлопчык,цёрыне
232,Mädchen::N,дзяўчынка,тейтерне
233,Familie::N,сямʼя,семия
234,Großvater::N,дзядуля,покштя
235,Großmutter::N,бабуля,баба
236,Eltern::N,бацькі,тетят-ават
237,Vater::N,бацька,тетя
238,Mutter::N,маці,ава
239,Sohn::N,сын,цёра
240,Tochter::N,дачка,тейтерь
241,Bruder::N,брат,леля
242,Bruder::N,брат,ялакс
243,Schwester::N,сястра,сазор
244,Onkel::N,дзядзька,леля
245,Tante::N,цётка,патя
246,Ehemann::N,муж,мирде
247,Ehefrau::N,жонка,ни
248,Freude::N,радасць,кеняркс
249,Gelächter::N,смех,ракамо
250,Gelächter::N,смех,пейдема
251,Glück::N,шчасце,уцяска
252,Kummer::N,гора,рискс
253,Kummer::N,гора,мелявкс
254,Wunsch::N,жаданне,мель
255,Wunsch::N,жаданне,бажамо
256,Lust::N,цяга,бажамо
257,Geist::N,дух,ойме
258,Gedanke::N,думка,мель
259,Gedächtnis::N,памяць,мель
260,Verstand::N,розум,прев
261,Sinn::N,сэнс,толк
262,Sinn::N,сэнс,смысла
263,Grund::N,зачэпка,тувтал
264,Wahrheit::N,праўда,видечи
265,Gespräch::N,размова,кортнема
266,Märchen::N,казка,ёвкс
267,Erzählung::N,расказ,ёвтнема
268,Erzählung::N,апавяданне,ёвтнема
269,Nachricht::N,вестка,куля
