,Concept_ID,la,ga
0,Auge::N,oculus,súil
1,Ohr::N,auris,cluas
2,Nase::N,nasus,soc
3,Mund::N,os,béal
4,Zahn::N,dens,fiacail
5,Zunge::N,lingua,teanga
6,Lippe::N,labrum,liopa
7,Wange::N,gena,grua
8,Wange::N,gena,leiceann
9,Gesicht::N,vultus,éadan
10,Gesicht::N,vultus,aghaidh
11,Stirn::N,frons,baithis
12,Stirn::N,frons,clár éadain
13,Haar::N,capillus,gruaig
14,Schnurrbart::N,barba labri superioris,croiméal
15,Bart::N,barba,féasóg
16,Kinn::N,mentum,smig
17,Kiefer[Anatomie]::N,mala,giall
18,Kehle::N,iugulums,scornach
19,Hals::N,collum,muinéal
20,Genick::N,cervices,baic
21,Kopf::N,caput,ceann
22,Rücken::N,tergum,droim
23,Bauch::N,venter,bolg
24,Nabel::N,umbilicus,imleacán
25,Busen::N,sinus,cíoch
26,Brust::N,pectus,brollach
27,Schulter::N,umerus,gualainn
28,Arm::N,bracchium,lámh
29,Ellenbogen::N,cubitum,uillinn
30,Hand::N,manus,lámh
31,Handfläche::N,palma,bos
32,Finger::N,digitus,méar
33,Fingernagel::N,unguiculus,ionga
34,Nagel[Anatomie]::N,unguis,ionga
35,Zeh::N,digitus,ladhar
36,Fuß::N,pes,cos
37,Fuß::N,pes,troigh
38,Ferse::N,calx,sáil
39,Knie::N,genu,glúin
40,Oberschenkel::N,femur,ceathrú
41,Bein::N,crus,cos
42,Körper::N,corpus,corp
43,Körper::N,corpus,colainn
44,Haut::N,cutis,cneas
45,Haut::N,cutis,craiceann
46,Haut::N,pellis,cneas
47,Haut::N,pellis,craiceann
48,Blut::N,sanguis,fuil
49,Ader::N,vena,
50,Sehne::N,nervus,teannán
51,Sehne::N,nervus,féitheog
52,Knochen::N,os,cnámh
53,Gehirn::N,cerebrum,inchinn
54,Herz::N,cor,croí
55,Herz::N,animus,croí
56,Magen::N,stomachus,bolg
57,Magen::N,stomachus,goile
58,Leber::N,iecur,ae
59,Atem::N,spiritus,anáil
60,Hunger::N,fames,ocras
61,Träne::N,lacrima,deoir
62,Geschmack::N,sapor,blas
63,Geschmack::N,gustus,blas
64,Geruch::N,odor,boladh
65,Schlaf::N,somnus,suan
66,Schlaf::N,somnus,codladh
67,Traum::N,somnium,taibhreamh
68,Himmel::N,caelum,spéir
69,Sonne::N,sol,grian
70,Mond::N,luna,ré
71,Mond::N,luna,gealach
72,Stern::N,sidus,rinn
73,Stern::N,sidus,réalta
74,Stern::N,stella,rinn
75,Stern::N,stella,réalta
76,Luft::N,aer,aer
77,Wind::N,ventus,gaoth
78,Welle::N,unda,tonn
79,Wasser::N,aqua,uisce
80,Stein::N,lapis,cloch
81,Boden::N,solum,talamh
82,Erde::N,terra,cré
83,Erde::N,terra,ithir
84,Staub::N,pulvis,dusta
85,Staub::N,pulvis,deannach
86,Rauch::N,fumus,toit
87,Rauch::N,fumus,deatach
88,Funke::N,scintilla,drithle
89,Feuer::N,ignis,tine
90,Licht::N,lux,solas
91,Licht::N,lumen,solas
92,Schatten::N,umbra,scáth
93,Wetter::N,caelum,aimsir
94,Wetter::N,tempestas,aimsir
95,Nebel::N,nebula,ceo
96,Wolke::N,nubes,néal
97,Wolke::N,nubes,scamall
98,Regen::N,imber,báisteach
99,Regen::N,imber,fearthainn
100,Regen::N,pluvia,báisteach
101,Regen::N,pluvia,fearthainn
102,Schnee::N,nix,sneachta
103,Eis::N,glacies,oighear
104,Frost::N,gelu,sioc
105,Kälte::N,frigus,fuacht
106,Hitze::N,calor,teas
107,Hitze::N,calor,teocht
108,Hitze::N,aestus,teas
109,Hitze::N,aestus,teocht
110,Raureif::N,pruina,sioc bán
111,Regenbogen::N,arcus,stua ceatha
112,Regenbogen::N,arcus,bogha báistí
113,Donner::N,tonitrus,toirneach
114,Strömung::N,fluctus,sruth
115,Tropfen::N,gutta,deoir
116,Schaum::N,spuma,cúr
117,Schmutz::N,sordes,salachar
118,Schmutz::N,squalor,salachar
119,See::N,lacus,loch
120,Sumpf::N,palus,portach
121,Moor::N,palus,caorán
122,Moor::N,palus,móinteán
123,Wiese::N,pratum,cluain
124,Wiese::N,pratum,móinéar
125,Wald::N,silva,coill
126,Wald::N,silva,foraois
127,Hügel::N,collis,ard
128,Anhöhe::N,specula,ard
129,Anhöhe::N,specula,ardán
130,Berg::N,mons,sliabh
131,Gipfel::N,vertex,barr
132,Gipfel::N,vertex,mullach
133,Höhle::N,caverna,uaimh
134,Höhle::N,caverna,pluais
135,Höhle::N,spelunca,uaimh
136,Höhle::N,spelunca,pluais
137,Abhang::N,declivum,fána
138,Quelle::N,fons,foinse
139,Bach::N,rivus,sruthán
140,Fluss::N,flumen,abhainn
141,Ufer::N,ripa,bruach
142,Küste::N,litus,cósta
143,Küste::N,litus,cladach
144,Festland::N,continens,míntír
145,Meer::N,mare,muir
146,Meer::N,mare,farraige
147,Bucht::N,sinus,bá
148,Bucht::N,sinus,cuan
149,Insel::N,insula,inis
150,Insel::N,insula,oileán
151,Blume::N,flos,bláth
152,Gras::N,herba,féar
153,Gras::N,gramen,féar
154,Wurzel::N,radix,rúta
155,Wurzel::N,radix,fréamh
156,Baum::N,arbor,crann
157,Stamm::N,truncus,stoc
158,Stamm::N,truncus,tamhan
159,Rinde::N,cortex,coirt
160,Rinde::N,cortex,craiceann
161,Ast::N,ramus,géag
162,Zweig::N,ramus,géag
163,Zweig::N,ramus,craobh
164,Blatt::N,folium,duille
165,Blatt::N,folium,duilleog
166,Birke::N,betulla,beith
167,Birke::N,betulla,crann beithe
168,Kiefer[Baum]::N,pinus,péine
169,Weide[Baum]::N,salix,saileach
170,Tanne::N,abies,giúis
171,Horn::N,cornu,adharc
172,Feder::N,penna,cleite
173,Fell::N,pellis,clúmh
174,Flügel::N,ala,eite
175,Flügel::N,ala,sciathán
176,Klaue::N,unguis,crúb
177,Klaue::N,unguis,crobh
178,Kralle::N,unguis,crobh
179,Schwanz::N,cauda,eireaball
180,Ei::N,ovum,ubh
181,Nest::N,nidus,nead
182,Bau::N,cavum,brocais
183,Bau::N,latibulum,brocais
184,Tier::N,bestia,ainmhí
185,Tier::N,bestia,beithíoch
186,Herde::N,grex,tréad
187,Kuh::N,vacca,bó
188,Bulle::N,taurus,tarbh
189,Pferd::N,equus,each
