,Concept_ID,xal,ka
0,Auge::N,нүдн,თვალი
1,Ohr::N,чикн,ყური
2,Nase::N,хамр,ცხვირი
3,Mund::N,амн,პირი
4,Zahn::N,шүдн,კბილი
5,Zunge::N,келн,ენა
6,Lippe::N,урл,ბაგე
7,Wange::N,халх,ლოყა
8,Gesicht::N,нүр,სახე
9,Stirn::N,маңна,შუბლი
10,Haar::N,үсн,თმა
11,Schnurrbart::N,сахл,ულვაში
12,Bart::N,сахл,წვერი
13,Bart::N,өргнә сахл,წვერი
14,Kinn::N,өргн,ნიკაპი
15,Kiefer[Anatomie]::N,өргн,ყბა
16,Kehle::N,хол,ყელი
17,Hals::N,күзүн,ყელი
18,Hals::N,күзүн,კისერი
19,Genick::N,гиҗг,კეფა
20,Kopf::N,толһа,თავი
21,Rücken::N,нурһн,ზურგი
22,Bauch::N,гесн,მუცელი
23,Nabel::N,киисн,ჭიპი
24,Busen::N,көкн,ძუძუ
25,Brust::N,чееҗ,მკერდი
26,Schulter::N,ээм,მხარი
27,Schulter::N,ээм,მკლავი
28,Arm::N,һар,ხელი
29,Ellenbogen::N,тоха,იდაყვი
30,Hand::N,баһлцг,ხელი
31,Handfläche::N,альхн,ნები
32,Handfläche::N,альхн,ხელისგული
33,Finger::N,хурһн,თითი
34,Finger::N,һарин хурһн,თითი
35,Fingernagel::N,хумсн,ფრჩხილი
36,Nagel[Anatomie]::N,хумсн,ფრჩხილი
37,Zeh::N,хурһн,ფეხის თითი
38,Zeh::N,көлин хурһн,ფეხის თითი
39,Fuß::N,тавг,ტერფი
40,Fuß::N,тавг,ფეხისგული
41,Ferse::N,өскә,ქუსლი
42,Knie::N,өвдг,მუხლი
43,Oberschenkel::N,һуй,ბარძაყი
44,Bein::N,көл,ფეხი
45,Körper::N,махмуд,ტანი
46,Körper::N,махмуд,სხეული
47,Haut::N,арсн,კანი
48,Blut::N,цусн,სისხლი
49,Ader::N,судцн,ძარღვი
50,Sehne::N,шүрүсн,მყესი
51,Knochen::N,ясн,ძვალი
52,Gehirn::N,экн,ტვინი
53,Herz::N,зүркн,გული
54,Magen::N,гесн,კუჭი
55,Leber::N,элкн,ღვიძლი
56,Atem::N,әмсхл,სუნთქვა
57,Hunger::N,харһнлһн,შიმშილი
58,Träne::N,нульмсн,ცრემლი
59,Geschmack::N,амтн,გემო
60,Geruch::N,үнр,სუნი
61,Schlaf::N,нөр,ძილი
62,Traum::N,зүүдн,სიზმარი
63,Himmel::N,теңгр,ცა
64,Sonne::N,нарн,მზე
65,Mond::N,сар,მთვარე
66,Stern::N,одн,ვარსკვლავი
67,Luft::N,аһар,ჰაერი
68,Wind::N,салькн,ქარი
69,Welle::N,дольган,ტალღა
70,Wasser::N,усн,წყალი
71,Stein::N,чолун,ქვა
72,Boden::N,Һазр,მიწა
73,Erde::N,Һазр,ნიადაგი
74,Staub::N,тоосн,მტვერი
75,Rauch::N,утан,ბოლი
76,Rauch::N,утан,კვამლი
77,Funke::N,очн,ნაკვესი
78,Feuer::N,һал,ცეცხლი
79,Licht::N,герл,შუქი
80,Licht::N,герл,სინათლე
81,Schatten::N,сүүдр,ლანდი
82,Schatten::N,сүүдр,ჩრდილი
83,Wetter::N,теңгр,ამინდი
84,Nebel::N,будн,ნისლი
85,Wolke::N,үүлн,ღრუბელი
86,Regen::N,хур,წვიმა
87,Schnee::N,цасн,თოვლი
88,Eis::N,мөсн,თოში
89,Eis::N,мөсн,ყინული
90,Frost::N,киитн,ყინვა
91,Kälte::N,киитн,სიცივე
92,Hitze::N,халун,სიცხე
93,Raureif::N,цаң,ჭირხლი
94,Raureif::N,цаң,თრთვილი
95,Raureif::N,кирү,ჭირხლი
96,Raureif::N,кирү,თრთვილი
97,Regenbogen::N,солңһ,ცისარტყელა
