,Concept_ID,kk,ro
0,Auge::N,көз,ochi
1,Ohr::N,құлақ,ureche
2,Nase::N,мұрын,nas
3,Mund::N,ауыз,gură
4,Zahn::N,тіс,dinte
5,Zunge::N,тіл,limbă
6,Lippe::N,ерін,buză
7,Wange::N,ұрт,bucă
8,Wange::N,ұрт,obraz
9,Gesicht::N,бет-аузы,față
10,Gesicht::N,бет-аузы,figură
11,Stirn::N,маңдай,frunte
12,Haar::N,қыл,păr
13,Schnurrbart::N,мұрт,mustață
14,Bart::N,сақал,barbă
15,Kinn::N,иек,bărbie
16,Kiefer[Anatomie]::N,жақ,falcă
17,Kehle::N,алқым,beregată
18,Hals::N,мойын,gât
19,Genick::N,желке,ceafă
20,Kopf::N,кәллә,cap
21,Rücken::N,арқа,dos
22,Rücken::N,арқа,spate
23,Rücken::N,арқа,spinare
24,Bauch::N,қарын,burtă
25,Bauch::N,қарын,pântece
26,Nabel::N,кіндік,buric
27,Busen::N,омырау,sân
28,Brust::N,кеуде,piept
29,Schulter::N,иық,umăr
30,Schulter::N,иық,spate
31,Arm::N,қол,braț
32,Ellenbogen::N,шынтақ,cot
33,Hand::N,қол,mână
34,Handfläche::N,алақан,palmă
35,Finger::N,саусақ,deget
36,Fingernagel::N,тырнақ,unghie
37,Nagel[Anatomie]::N,тырнақ,unghie
38,Zeh::N,тырнақ,deget de la picior
39,Zeh::N,тұяқ,deget de la picior
40,Fuß::N,аяқ-басы,picior
41,Ferse::N,өкше,călcâi
42,Ferse::N,өкшелік,călcâi
43,Knie::N,тізе,genunchi
44,Oberschenkel::N,жамбас,coapsă
45,Bein::N,аяқ,picior
46,Körper::N,дене,corp
47,Haut::N,тері,piele
48,Blut::N,қан,sânge
49,Ader::N,көктамыр,vână
50,Ader::N,көктамыр,arteră
51,Ader::N,күретамыр,vână
52,Ader::N,күретамыр,arteră
53,Sehne::N,сіңір,tendon
54,Knochen::N,жілік,os
55,Gehirn::N,ми,creier
56,Herz::N,жүрек,inimă
57,Magen::N,асқазан,stomac
58,Leber::N,бауыр,ficat
59,Atem::N,леп,răsuflare
60,Atem::N,леп,respirație
61,Hunger::N,ашаршылық,foame
62,Träne::N,жас,lacrimă
63,Geschmack::N,дәм,gust
64,Geschmack::N,татым,gust
65,Geschmack::N,талғам,gust
66,Geruch::N,иіс,miros
67,Schlaf::N,ұйқы,somn
68,Schlaf::N,ұйықтау,somn
69,Traum::N,түс,vis
70,Himmel::N,аспан,cer
71,Himmel::N,көқ,cer
72,Himmel::N,таңдай,cer
73,Sonne::N,күн,soare
74,Mond::N,ай,lună
75,Stern::N,жұлдыз,stea
76,Luft::N,әуе,aer
77,Wind::N,жел,vânt
78,Welle::N,толқын,val
79,Welle::N,толқын,undă
80,Wasser::N,су,apă
81,Stein::N,тас,piatră
82,Boden::N,қыртыс,sol
83,Boden::N,қыртыс,pământ
84,Erde::N,топырақ,pământ
85,Staub::N,шаң,praf
86,Rauch::N,түтін,fum
87,Funke::N,ұшқын,scânteie
88,Feuer::N,алау,foc
89,Licht::N,шұғыла,lumină
90,Schatten::N,көлеңке,umbră
91,Wetter::N,ауа райы,timp
92,Wetter::N,ауа райы,vreme
93,Nebel::N,тұман,ceață
94,Nebel::N,тұман,negură
95,Wolke::N,бұлт,nor
96,Regen::N,жаңбыр,ploaie
97,Schnee::N,қар,zăpadă
98,Eis::N,мұз,gheață
99,Frost::N,суық,ger
100,Kälte::N,ызғар,frig
101,Kälte::N,суықтық,frig
102,Hitze::N,аптап,arșiță
103,Hitze::N,аптап,căldură
104,Raureif::N,қырау,chiciură
105,Regenbogen::N,кемпірқосақ,curcubeu
106,Donner::N,күн күркіреу,tunet
107,Strömung::N,ағын,curent
108,Tropfen::N,тамшы,picătură
109,Schaum::N,көбік,spumă
110,Schmutz::N,кір,murdărie
111,See::N,көл,lac
112,Sumpf::N,саз,mlaștină
113,Moor::N,саз,bărăgan
114,Wiese::N,шалғын,fânaț
115,Wiese::N,шалғын,livadă
116,Wald::N,орман,codru
117,Wald::N,орман,pădure
118,Hügel::N,төбе,deal
119,Hügel::N,төбе,movilă
120,Hügel::N,белес,deal
121,Hügel::N,белес,movilă
122,Hügel::N,белес-белес,deal
123,Hügel::N,белес-белес,movilă
124,Anhöhe::N,дөң,deal
125,Anhöhe::N,дөң,ridicătură
126,Anhöhe::N,адыр,deal
127,Anhöhe::N,адыр,ridicătură
128,Anhöhe::N,қырат,deal
129,Anhöhe::N,қырат,ridicătură
130,Berg::N,тау,munte
131,Gipfel::N,төбе,pisc
132,Höhle::N,үңгір,peșteră
133,Abhang::N,бауыр,pantă
134,Abhang::N,бауыр,versant
135,Quelle::N,қайнар,izvor
136,Bach::N,жылға,gârlă
137,Fluss::N,өзен,râu
138,Fluss::N,өзен,fluviu
139,Ufer::N,жиек,mal
140,Ufer::N,жиек,țărm
141,Küste::N,жиегі,coastă
142,Küste::N,жағалау,coastă
143,Festland::N,құрылық,uscat
144,Meer::N,теңіз,mare
145,Bucht::N,шығанақ,golf
146,Insel::N,арал,insulă
147,Blume::N,гүл,floare
148,Gras::N,от,iarbă
149,Wurzel::N,түбір,rădăcină
150,Baum::N,ағаш,copac
151,Baum::N,ағаш,arbore
152,Baum::N,дарақ,copac
153,Baum::N,дарақ,arbore
154,Stamm::N,сояу,tulpină
155,Stamm::N,оқпан,tulpină
156,Rinde::N,қабық,scoarță
157,Ast::N,бұтақ,cracă
158,Ast::N,бұтақ,creangă
159,Zweig::N,шыбық,ramură
160,Zweig::N,шыбық,creangă
161,Blatt::N,жапырақ,frunză
162,Birke::N,қайың,mesteacăn
163,Kiefer[Baum]::N,қарағай,pin
164,Weide[Baum]::N,тал,salcie
165,Weide[Baum]::N,тал,răchită
166,Tanne::N,шырша,brad
167,Horn::N,мүйіз,corn
168,Feder::N,қаламұш,pană
169,Fell::N,тері,piele
170,Flügel::N,қанат,aripă
171,Klaue::N,тырнақ,gheară
172,Kralle::N,аяқ,labă
173,Kralle::N,аяқ,gheară
174,Schwanz::N,құйрық,coadă
175,Ei::N,жұмыртқа,ou
176,Nest::N,ұя,cuib
177,Bau::N,жатақ,bârlog
178,Bau::N,жатақ,vizuină
179,Tier::N,айуан,animal
180,Tier::N,жануар,animal
181,Herde::N,пада,turmă
182,Herde::N,пада,cireadă
183,Kuh::N,сиыр,vacă
184,Bulle::N,өгіз,taur
185,Pferd::N,жылқы,cal
186,Schaf::N,қой,oaie
187,Schwein::N,шошқа,porc
188,Hund::N,ит,câine
189,Katze::N,мысық,pisică
190,Bär::N,аю,urs
191,Eichhörnchen::N,тиін,veveriță
192,Elch::N,бұғы,elan
193,Fuchs::N,түлкі,vulpe
194,Hase::N,қоян,iepure
195,Maus::N,қаптесер,șoarece
196,Wolf::N,бөрі,lup
197,Wolf::N,қасқыр,lup
198,Vogel::N,құс,pasăre
199,Schwarm::N,топ,cârd
200,Schwarm::N,үйір,cârd
201,Huhn::N,тауық,găină
202,Huhn::N,мекиен,găină
203,Hahn::N,әтеш,cocoș
204,Hahn::N,қораз,cocoș
205,Gans::N,қаз,gâscă
206,Adler::N,бүркіт,vultur
207,Ente::N,үйрек,rață
208,Eule::N,жапалақ,bufniță
209,Kranich::N,тырна,cocor
210,Krähe::N,қарға,cioară
211,Kuckuck::N,көкек,cuc
212,Schwan::N,аққу,lebădă
213,Fisch::N,балық,pește
214,Barsch::N,алабұға,biban
215,Hecht::N,шортан,știucă
