,Concept_ID,myv,tt
0,Auge::N,сельме,күз
1,Ohr::N,пиле,колак
2,Nase::N,судо,борын
3,Mund::N,курго,авыз
4,Mund::N,курго,тамак
5,Zahn::N,пей,теш
6,Zunge::N,кель,тел
7,Lippe::N,турва,ирен
8,Wange::N,чамабока,яңак
9,Wange::N,чамаумарь,яңак
10,Gesicht::N,чама,йөз
11,Stirn::N,коня,маңгай
12,Haar::N,черь,чәч
13,Schnurrbart::N,ус,мыек
14,Schnurrbart::N,муюк,мыек
15,Bart::N,сакал,сакал
16,Kinn::N,уло,ияк
17,Kiefer[Anatomie]::N,пейпакар,казналык
18,Kiefer[Anatomie]::N,пейловажа,казналык
19,Kehle::N,кирьгапарь,тамак
20,Hals::N,кирьга,бугаз
21,Genick::N,човонь,җилкә
22,Kopf::N,пря,баш
23,Rücken::N,копорь,сырт
24,Bauch::N,пеке,корсак
25,Nabel::N,почо,кендек
26,Busen::N,поте,түш
27,Brust::N,меште,имчәк
28,Brust::N,меште,күкрәк
29,Schulter::N,лавтов,иңбаш
30,Schulter::N,лавтов,кулбаш
31,Arm::N,кедь,кул
32,Ellenbogen::N,кенерепакарь,терсәк
33,Hand::N,кедь,кул
34,Handfläche::N,кедькуншка,уч
35,Handfläche::N,кедьлапушка,уч
36,Finger::N,сур,бармак
37,Fingernagel::N,кенже,тырнак
38,Nagel[Anatomie]::N,кенже,тырнак
39,Zeh::N,пильге сур,бармак
40,Fuß::N,пильге,табан
41,Ferse::N,кочкаря,үкчә
42,Knie::N,эле,тез
43,Knie::N,эзне,тез
44,Knie::N,кумажа,тез
45,Oberschenkel::N,качо,бот
46,Bein::N,пильге,аяк
47,Körper::N,рунго,тән
48,Körper::N,рунго,җисем
49,Haut::N,киське,тире
50,Blut::N,верь,кан
51,Ader::N,сан,тамыр
52,Sehne::N,коське сан,сеңер
53,Knochen::N,пакарь,сөяк
54,Gehirn::N,удем,ми
55,Herz::N,седей,йөрәк
56,Magen::N,пеке,ашказаны
57,Leber::N,максо,бавыр
58,Atem::N,лексема,сулыш
59,Atem::N,оймень таргсема,сулыш
60,Hunger::N,вачочи,ачлык
61,Träne::N,селведь,яшь
62,Geschmack::N,тансть,тәм
63,Geschmack::N,тансть,зәвык
64,Geruch::N,чине,ис
65,Schlaf::N,удома,йокы
66,Traum::N,он,төш
67,Himmel::N,менель,күк
68,Sonne::N,чи,кояш
69,Mond::N,ков,ай
70,Stern::N,теште,йолдыз
71,Luft::N,кошт,һава
72,Wind::N,варма,җил
73,Welle::N,толкун,дулкын
74,Wasser::N,ведь,су
75,Stein::N,кев,таш
76,Boden::N,мода,туфрак
77,Erde::N,мастор,җир
78,Staub::N,пуль,тузан
79,Rauch::N,качамо,төтен
80,Funke::N,сятко,очкын
81,Feuer::N,тол,ут
82,Licht::N,валдо,якты
83,Schatten::N,сулей,күләгә
84,Schatten::N,сулейкс,күләгә
85,Wetter::N,ушо,һава
86,Nebel::N,сув,томан
87,Wolke::N,пель,болыт
88,Regen::N,пиземс,яңгыр
89,Schnee::N,лов,кар
90,Eis::N,эй,боз
91,Frost::N,кельме,суык
92,Frost::N,кельме,салкын
93,Kälte::N,якшамо,суык
94,Kälte::N,якшамо,салкын
95,Hitze::N,пси,эсселек
96,Raureif::N,лекш,бәс
97,Raureif::N,лекш,сыкы
98,Regenbogen::N,пурьгинечирьке,салават күпере
99,Regenbogen::N,пурьгинеёнкс,салават күпере
100,Donner::N,пурьгине,күкрәү
101,Strömung::N,чудема,агыш'агым
102,Strömung::N,чудевкс,агыш'агым
103,Tropfen::N,петнявкс,тамчы
104,Schaum::N,чов,күбек
105,Schmutz::N,рудаз,пычрак
106,See::N,эрьке,күл
107,Sumpf::N,чей,саз
108,Moor::N,чей,торфлык
109,Wiese::N,луга,болын
110,Wald::N,вирь,урман
111,Hügel::N,губорь,калку
112,Hügel::N,пандыне,калку
113,Anhöhe::N,губорь,үр
114,Anhöhe::N,пандыне,үр
115,Berg::N,пандо,тау
116,Gipfel::N,пря,оч
117,Höhle::N,пещера,мәгарә
118,Abhang::N,пандочама,кабырга
119,Quelle::N,ушодкс,чишмә
120,Bach::N,чудикерькс,елга
121,Fluss::N,лей,дәрья
122,Ufer::N,чире,су кырые
123,Küste::N,лейчире,яр буе
124,Festland::N,мода,коры җир
125,Meer::N,моря,диңгез
126,Bucht::N,усия,бухта
127,Bucht::N,усия,култык
128,Insel::N,усия,атау
129,Insel::N,усия,утрау
130,Blume::N,цеця,чәчкә
131,Gras::N,тикше,үлән
132,Wurzel::N,юр,тамыр
133,Wurzel::N,ундокс,тамыр
134,Baum::N,чувто,агач
135,Stamm::N,рунго,кәүсә
136,Rinde::N,суд,кабык
137,Rinde::N,керь,кабык
138,Ast::N,морго,ботак
139,Zweig::N,тарад,ботак
140,Zweig::N,тарад,тармак
141,Blatt::N,лопа,яфрак
142,Birke::N,килей,каен
143,Kiefer[Baum]::N,пиче,нарат
144,Weide[Baum]::N,каль,тал
145,Tanne::N,куз,чыршы
146,Horn::N,сюро,мөгез
147,Feder::N,толга,йон
148,Fell::N,пона,тире
149,Flügel::N,сёлмо,канат
150,Klaue::N,кенже,тырнак
151,Kralle::N,кенже,тырнак
152,Schwanz::N,пуло,койрык
153,Ei::N,ал,күкәй
154,Ei::N,ал,йомырка
155,Nest::N,пизэ,оя
156,Bau::N,варя,өн
157,Bau::N,пизе,өн
158,Tier::N,ракша,хайван
159,Herde::N,стада,көтү
160,Kuh::N,скал,сыер
161,Bulle::N,бука,үгез
162,Pferd::N,лишме,ат
163,Schaf::N,реве,сарык
164,Schwein::N,туво,дуңгыз
165,Hund::N,пине,эт
166,Hund::N,киска,эт
167,Katze::N,псака,песи
168,Bär::N,овто,аю
169,Eichhörnchen::N,ур,тиен
170,Elch::N,сярдо,поши
171,Fuchs::N,ривезь,төлке
172,Hase::N,нумоло,куян
173,Maus::N,чеерь,тычкан
174,Wolf::N,верьгиз,бүре
