,Concept_ID,ca,mhr
0,Auge::N,ull,шинча́
1,Ohr::N,orella,пы́лыш
2,Nase::N,nas,нер
3,Mund::N,boca,умша́
4,Zahn::N,dent,пӱй
5,Zunge::N,llēngua,йы́лме
6,Lippe::N,llavi,тӱ́рвӧ
7,Wange::N,galta,шӱ́ргӧ
8,Gesicht::N,cara,чури́й
9,Stirn::N,front,саҥга́
10,Haar::N,cabēll,ӱп
11,Schnurrbart::N,bigoti,ӧ́рыш
12,Bart::N,barba,понда́ш
13,Kinn::N,mentó,оҥыла́ш
14,Kinn::N,barbeta,оҥыла́ш
15,Kiefer[Anatomie]::N,queix,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,queix,пӱйората́
17,Kiefer[Anatomie]::N,mandíbula,пӱйдӱ́ҥ
18,Kiefer[Anatomie]::N,mandíbula,пӱйората́
19,Kehle::N,gola,лога́р
20,Kehle::N,gorja,лога́р
21,Hals::N,coll,шӱй
22,Genick::N,nuca,шӱйло́дыш
23,Kopf::N,cap,вуй
24,Rücken::N,esquena,туп
25,Bauch::N,panxa,мӱ́шкыр
26,Nabel::N,llombrígol,кы́лымде
27,Busen::N,pit,чы́зе
28,Busen::N,mama,чы́зе
29,Brust::N,pit,оҥ
30,Schulter::N,espatlla,ва́че
31,Arm::N,braç,кид
32,Ellenbogen::N,colze,кынерву́й
33,Hand::N,mà,кид
34,Hand::N,mà,копа́
35,Handfläche::N,palma,со́во
36,Finger::N,dit,парня́
37,Fingernagel::N,ungla,кидкӱ́ч
38,Fingernagel::N,ungla,парнягӱ́ч
39,Nagel[Anatomie]::N,ungla,кӱч
40,Zeh::N,dit del peu,йолварня́
41,Fuß::N,peu,йол
42,Fuß::N,peu,йолкопа́
43,Ferse::N,taló,тага́н
44,Knie::N,genoll,пулву́й
45,Oberschenkel::N,cuixa,э́рде
46,Bein::N,cama,йол
47,Körper::N,cos,кап
48,Haut::N,pell,кова́ште
49,Blut::N,sang,вӱр
50,Ader::N,vena,шӧн
51,Sehne::N,tendó,шӧн
52,Sehne::N,tendó,кӱсе́н
53,Knochen::N,os,лу
54,Gehirn::N,cervell,вем
55,Gehirn::N,cervell,вуйве́м
56,Herz::N,cor,шӱм
57,Magen::N,estómac,пага́р
58,Leber::N,fetge,мокш
59,Atem::N,alè,шӱ́лыш
60,Atem::N,hàlit,шӱ́лыш
61,Hunger::N,fam,шужыма́ш
62,Hunger::N,gana,шужыма́ш
63,Träne::N,llàgrima,шинчавӱ́д
64,Geschmack::N,gust,там
65,Geschmack::N,sabor,там
66,Geruch::N,olor,пуш
67,Schlaf::N,son,о́мо
68,Traum::N,somni,йӱдо́мо
69,Himmel::N,celm,кава́
70,Sonne::N,sol,ке́че
71,Mond::N,lluna,ты́лзе
72,Stern::N,estel,шӱ́дыр
73,Stern::N,estrella,шӱ́дыр
74,Luft::N,aire,юж
75,Wind::N,vent,марде́ж
76,Welle::N,ona,то́лкын
77,Wasser::N,āigua,вӱд
78,Stein::N,pedra,кӱ
79,Boden::N,sòl,рок
80,Erde::N,terra,мла́нде
81,Staub::N,pols,пура́к
82,Rauch::N,fum,шикш
83,Funke::N,guspira,сеске́м
84,Funke::N,guspira,тулйы́п
85,Funke::N,centella,сеске́м
86,Funke::N,centella,тулйы́п
87,Feuer::N,foc,тул
88,Licht::N,llum,со́то
89,Schatten::N,ombra,ӱ́мыл
90,Wetter::N,temps,иге́че
91,Nebel::N,boira,тӱтыра́
92,Wolke::N,núvol,пыл
93,Regen::N,pluja,йӱр
94,Schnee::N,neu,лум
95,Eis::N,gel,ий
96,Eis::N,glaç,ий
97,Frost::N,glaçada,чатлама́
98,Kälte::N,fred,йӱ́штӧ
99,Hitze::N,calor,шо́кшо
100,Raureif::N,gebre,пӧрш
101,Raureif::N,gebre,по́кшым
102,Regenbogen::N,arc iris,шонанпы́л
103,Donner::N,tro,кӱ́дырчӧ
104,Strömung::N,corrent,йо́гын
105,Tropfen::N,gota,чӱча́лтыш
106,Schaum::N,escuma,шоҥ
107,Schmutz::N,brutícia,лавыра́
108,See::N,llac,ер
109,Sumpf::N,pantà,лӱ́кӧ
110,Moor::N,pantà,куп
111,Wiese::N,prat,о́лык
112,Wiese::N,prada,о́лык
113,Wald::N,bosc,чодыра́
114,Hügel::N,puig,арка́
115,Hügel::N,pujol,арка́
116,Anhöhe::N,turó,тӧва́
117,Anhöhe::N,turó,кӱкшака́
118,Berg::N,muntanya,ку́рык
119,Gipfel::N,cim,чаҥга́
120,Gipfel::N,cim,курыкву́й
121,Höhle::N,cova,пеще́р
122,Höhle::N,cova,курыкпо́мыш
123,Abhang::N,coster,та́йыл
124,Quelle::N,font,важ
125,Quelle::N,font,вӱдшинча́
126,Bach::N,riera,изэҥе́р
127,Fluss::N,riu,эҥе́р
128,Ufer::N,riba,сер
129,Küste::N,costa,вӱдтӱ́р
130,Festland::N,terra ferma,мла́нде
131,Meer::N,mar,те́ҥыз
132,Bucht::N,cala,икса́
133,Bucht::N,badia,икса́
134,Insel::N,illa,отро́
135,Blume::N,flor,пеле́дыш
136,Gras::N,herba,шу́до
137,Wurzel::N,rel,вож
138,Wurzel::N,arrel,вож
139,Baum::N,arbre,пуше́ҥге
140,Stamm::N,tronc,йы́тыр
141,Rinde::N,escorça,шӱм
142,Ast::N,branca,укш
143,Zweig::N,ram,торма́к
144,Blatt::N,fulla,лышта́ш
145,Birke::N,bedoll,куэ́
146,Kiefer[Baum]::N,pi,пӱ́нчӧ
147,Weide[Baum]::N,salze,уа́
148,Tanne::N,avet,кож
149,Horn::N,corn,шур
150,Horn::N,banya,шур
151,Feder::N,ploma,пы́стыл
152,Fell::N,pell,кова́ште
153,Flügel::N,ala,шу́лдыр
154,Klaue::N,urpa,кӱч
155,Kralle::N,grapa,ла́па
156,Kralle::N,grapa,копа́
157,Schwanz::N,cua,поч
158,Ei::N,ou,му́но
159,Nest::N,niu,пыжа́ш
160,Bau::N,cau,пыжа́ш
161,Tier::N,animāl,я́нлык
162,Tier::N,animāl,живо́тный
163,Herde::N,ramat,кӱ́тӱ
164,Herde::N,ramat,тӱшка́
165,Kuh::N,vaca,ушка́л
166,Bulle::N,toro,ӱ́шкыж
167,Pferd::N,cavāll,и́мне
168,Schaf::N,be,шо́рык
169,Schaf::N,ovella,шо́рык
170,Schwein::N,bacó,сӧсна́
171,Hund::N,ca,пий
172,Hund::N,gos,пий
173,Katze::N,gat,пы́рыс
174,Bär::N,ós,маска́
175,Eichhörnchen::N,esquirol,ур
176,Elch::N,ant,шо́рдо
177,Fuchs::N,guilla,ры́выж
178,Hase::N,llebre,мера́ҥ
179,Maus::N,ratolí,коля́
180,Wolf::N,llop,пи́ре
181,Vogel::N,au,ка́йык
182,Vogel::N,ocēll,ка́йык
183,Schwarm::N,bandada,каша́к
184,Huhn::N,gallina,чы́ве
185,Hahn::N,gall,агыта́н
186,Gans::N,oca,ко́мбо
187,Adler::N,àguila,карагу́ш
188,Ente::N,ànec,лу́до
189,Eule::N,òliba,тумна́
190,Eule::N,mussol,тумна́
191,Kranich::N,grua,турня́
192,Krähe::N,cornella,кора́к
193,Kuckuck::N,cucut,куку́
194,Schwan::N,cigne,йӱ́ксӧ
195,Fisch::N,peix,кол
196,Barsch::N,perca,ола́ҥге
197,Hecht::N,lluç,нуж
198,Hecht::N,lluç,чорта́н
199,Schlange[Tier]::N,serp,ки́шке
200,Wurm::N,cuc,шукш
201,Spinne::N,aranya,эҥыре́мыш
202,Ameise::N,formiga,ку́тко
203,Laus::N,poll,тий
204,Mücke::N,mosquit,шыҥа́
205,Fliege::N,mosca,ка́рме
206,Schmetterling::N,papallona,лы́ве
207,Beere::N,baia,мӧр
208,Apfel::N,poma,олма́
209,Pilz::N,bolet,по́ҥго
210,Zwiebel::N,ceba,шога́н
211,Saat::N,sembra,нӧ́шмӧ
212,Saat::N,sembra,туш
213,Korn::N,gra,шу́рно
214,Heu::N,fenc,шу́до
215,Schale::N,closca,шӱм
216,Grube::N,sot,выне́м
217,Grube::N,clot,выне́м
218,Falle::N,trampa,лӧ́дӧ
219,Schlinge::N,baga,о́птыш
220,Schlinge::N,baga,шӧрга́лтыш
221,Spur::N,traça,кыша́
222,Asche::N,cendra,ло́мыж
223,Dreck::N,llot,лавыра́
224,Eisen::N,ferro,кӱ́ртньӧ
225,Gold::N,or,шӧ́ртньӧ
226,Silber::N,plata,ший
227,Kohle::N,carbó,мландышӱ́й
228,Glas::N,vidre,янда́
229,Lehm::N,fang,шун
230,Lehm::N,argila,шун
231,Sand::N,arena,ошма́
232,Mensch::N,humà,еҥ
233,Mensch::N,humà,айде́ме
234,Mensch::N,persona,еҥ
235,Mensch::N,persona,айде́ме
236,Mann::N,home,пӧръе́ҥ
237,Frau::N,dona,ӱдырама́ш
238,Kind::N,nen,аза́
239,Junge::N,noi,рве́зе
240,Mädchen::N,noia,ӱдыра́ш
241,Familie::N,família,еш
242,Großvater::N,avi,коча́
243,Großmutter::N,àvia,кова́
244,Eltern::N,pares,ача́-ава́
245,Vater::N,pare,ача́
246,Mutter::N,mare,ава́
247,Sohn::N,fill,э́рге
248,Tochter::N,filla,ӱ́дыр
249,Bruder::N,germà,иза́
250,Bruder::N,germà,шо́льо
251,Schwester::N,germana,ака́
252,Onkel::N,oncle,иза́
253,Tante::N,tia,кока́
254,Ehemann::N,espòs,мари́й
255,Ehefrau::N,muller,ва́те
256,Freude::N,goig,куа́н
257,Freude::N,goig,куаныма́ш
258,Freude::N,alegria,куа́н
259,Freude::N,alegria,куаныма́ш
260,Gelächter::N,riallada,во́штылтыш
261,Glück::N,felicitat,пиа́л
262,Kummer::N,pena,о́йго
263,Wunsch::N,desig,ку́мыл
264,Lust::N,ganes,ку́мыл
265,Geist::N,ment,ӧрт
266,Geist::N,ment,чон
267,Geist::N,esperit,ӧрт
268,Geist::N,esperit,чон
269,Gedanke::N,pensament,ой
270,Gedanke::N,pensament,шоныма́ш
271,Gedächtnis::N,memòria,шарныма́ш
272,Verstand::N,raó,уш
273,Verstand::N,seny,уш
274,Sinn::N,solta,смысл
275,Sinn::N,sentit,смысл
276,Grund::N,raó,ама́л
277,Grund::N,causa,ама́л
278,Wahrheit::N,veritāt,чын
279,Gespräch::N,conversa,мутланыма́ш
280,Märchen::N,conte,йома́к
281,Erzählung::N,narració,ойлыма́ш
282,Nachricht::N,missatge,увертарыма́ш
283,Neuigkeit::N,novetat,уве́р
284,Name::N,nom,лӱм
285,Rätsel::N,endevinalla,ту́што
286,Rede::N,discurs,ойлыма́ш
287,Sprache::N,llēngua,йы́лме
288,Stimme::N,veu,йӱк
289,Wort::N,mot,ой
290,Wort::N,mot,мут
291,Wort::N,paraula,ой
292,Wort::N,paraula,мут
293,Zeichen::N,signe,ти́ште
294,Zeichen::N,signe,знак
295,Zeichen::N,senyal,ти́ште
296,Zeichen::N,senyal,знак
297,Ruf::N,crida,ӱжма́ш
298,Lärm::N,sorōll,лӱшкыма́ш
299,Lärm::N,sorōll,йӱк-йӱа́н
300,Laut::N,so,йӱк
301,Ton::N,to,йӱксе́м
302,Lied::N,cançó,му́ро
303,Ruhe::N,calma,ты́мык
304,Ruhe::N,silenci,ты́мык
305,Leute::N,gent,еҥ-влак
306,Volk::N,poble,ка́лык
307,Arbeit::N,labor,паша́
308,Arbeit::N,treball,паша́
309,Gast::N,hoste,уна́
310,Geschenk::N,regal,пӧле́к
311,Geschenk::N,obsequi,пӧле́к
312,Spiel::N,joc,мо́дыш
313,Spiel::N,joc,модма́ш
314,Gesellschaft::N,companyia,тӱшка́
315,Hilfe::N,ajut,по́лыш
316,Freund::N,amīc,таҥ
317,Freund::N,amīc,йолта́ш
318,Kamerad::N,company,таҥ
319,Kamerad::N,camarada,таҥ
320,Angelegenheit::N,afer,паша́
321,Angelegenheit::N,assumpte,паша́
322,Anzahl::N,nombre,чот
323,Anzahl::N,quantitat,чот
324,Art::N,tipus,вид
325,Art::N,classe,вид
326,Stück::N,peça,ка́тыш
327,Stück::N,peça,ла́стык
328,Teil::N,part,ужа́ш
329,Hälfte::N,meitat,пел
330,Hälfte::N,meitat,пе́ле
331,Kreis::N,cercle,ты́ртыш
332,Kreuz::N,creu,ыре́с
333,Linie::N,línia,ли́ний
334,Strich::N,traç,коре́ш
335,Strich::N,ratlla,коре́ш
336,Abstand::N,distància,кокла́
337,Entfernung::N,distància,тора́
338,Entfernung::N,distància,ку́жыт
339,Gegend::N,regió,кунде́м
340,Gegend::N,contrada,кунде́м
341,Platz::N,cabuda,ку́мдык
342,Ort::N,lloc,вер
343,Ort::N,lloc,о́лмо
344,Seite::N,banda,ӧ́рдыж
345,Seite::N,costāt,ӧ́рдыж
