,Concept_ID,ko,lt
0,Auge::N,눈,akis
1,Ohr::N,귀,ausis
2,Nase::N,코,nosis
3,Mund::N,입,burna
4,Zahn::N,이,dantis
5,Zunge::N,혀,liežuvis
6,Lippe::N,입술,lūpa
7,Wange::N,뺨,žandas
8,Wange::N,뺨,skruostas
9,Gesicht::N,얼굴,veidas
10,Stirn::N,이마,kakta
11,Haar::N,털,plaukai
12,Schnurrbart::N,윗수몀,ūsai
13,Schnurrbart::N,코밑수염,ūsai
14,Bart::N,수엄,barzda
15,Kinn::N,아래턱,smakras
16,Kiefer[Anatomie]::N,턱,žandikaulis
17,Kehle::N,인후,gerklė
18,Hals::N,목,kaklas
19,Genick::N,먹덜이,sprandas
20,Kopf::N,머리,galva
21,Rücken::N,든,nugara
22,Bauch::N,배,pilvas
23,Nabel::N,배꼽,bamba
24,Busen::N,가슴속,krūtinė
25,Brust::N,가슴,krūtis
26,Schulter::N,어깨,petys
27,Arm::N,팔,ranka
28,Ellenbogen::N,팔쿰치,alkūnė
29,Hand::N,손,ranka
30,Hand::N,손,plaštaka
31,Handfläche::N,손바닥,delnas
32,Handfläche::N,손바닥,plaštaka
33,Finger::N,속가락,pirštas
34,Fingernagel::N,손톱,nagas
35,Nagel[Anatomie]::N,손톱,nagas
36,Zeh::N,발가락,pirštas
37,Fuß::N,발,pėda
38,Ferse::N,발꿈치,kulnas
39,Knie::N,무릎,kelis
40,Oberschenkel::N,허벅다리,kulšis
41,Oberschenkel::N,허벅다리,šlaunis
42,Bein::N,다리,koja
43,Körper::N,구간,kūnas
44,Haut::N,살갗,oda
45,Blut::N,피,kraujas
46,Ader::N,정맥,kraujagyslė
47,Sehne::N,현,sausgyslė
48,Knochen::N,뼈,kaulas
49,Gehirn::N,뇌,smegenys
50,Gehirn::N,뇌수,smegenys
51,Herz::N,염통,širdis
52,Magen::N,위,skrandis
53,Leber::N,간,kepenys
54,Atem::N,기식,kvapas
55,Hunger::N,공복,badas
56,Hunger::N,공복,alkis
57,Träne::N,눈물,ašara
58,Geschmack::N,기호,skonis
59,Geruch::N,냄새,kvapas
60,Schlaf::N,수면,miegas
61,Traum::N,쿰,sapnas
62,Himmel::N,하늘,dangus
63,Sonne::N,해,saulė
64,Mond::N,달,mėnulis
65,Stern::N,별,žvaigždė
66,Luft::N,동준,oras
67,Luft::N,가스채,oras
68,Wind::N,바람,vėjas
69,Welle::N,물결,banga
70,Welle::N,물결,vilnis
71,Wasser::N,물,vanduo
72,Stein::N,돌,akmuo
73,Boden::N,바닥,žemė
74,Boden::N,바닥,dugnas
75,Erde::N,흙,žemė
76,Staub::N,먼지,dulkės
77,Rauch::N,연기,dūmai
78,Funke::N,불티,kibirkštis
79,Feuer::N,불,ugnis
80,Licht::N,불,šviesa
81,Schatten::N,어스레함,paūksmė
82,Wetter::N,기상,oras
83,Nebel::N,안개,migla
84,Nebel::N,안개,rūkas
85,Wolke::N,구름,debesis
86,Regen::N,비,lietus
87,Schnee::N,눈,sniegas
88,Eis::N,얼음,ledas
89,Frost::N,혹한,šalna
90,Kälte::N,추위,šaltis
91,Kälte::N,차가움,šaltis
92,Hitze::N,고온,karštis
93,Hitze::N,더위,karštis
