,Concept_ID,tr,cy
0,Auge::N,göz,llygad
1,Ohr::N,kulak,clust
2,Nase::N,burun,trwyn
3,Mund::N,ağız,ceg
4,Zahn::N,diş,dant
5,Zunge::N,dil,tafod
6,Lippe::N,dudak,gwefus
7,Wange::N,yanak,boch
8,Gesicht::N,yüz,wyneb
9,Stirn::N,alın,talcen
10,Haar::N,saç,blew
11,Schnurrbart::N,bıyık,mwstas
12,Bart::N,sakal,barf
13,Kinn::N,çene,gên
14,Kiefer[Anatomie]::N,çene,gên
15,Kehle::N,boğaz,gwddf
16,Hals::N,boyun,gwddf
17,Hals::N,gerdan,gwddf
18,Genick::N,ense,gwar
19,Genick::N,ense,gwegil
20,Kopf::N,baş,pen
21,Kopf::N,kafa,pen
22,Rücken::N,arka,cefn
23,Bauch::N,karın,bol
24,Nabel::N,göbek,bogail
25,Busen::N,koyun,bron
26,Brust::N,göğüs,brest
27,Schulter::N,omuz,ysgwydd
28,Arm::N,kol,braich
29,Ellenbogen::N,dirsek,penelin
30,Hand::N,el,llaw
31,Handfläche::N,avuç,palf
32,Handfläche::N,el ayası,palf
33,Finger::N,parmak,bys
34,Fingernagel::N,el tırnağı,ewin
35,Nagel[Anatomie]::N,tırnak,ewin
36,Zeh::N,ayak parmağı,bys troed
37,Fuß::N,ayak,troed
38,Ferse::N,topuk,sawdl
39,Knie::N,diz,glin
40,Oberschenkel::N,uyluk,clun
41,Bein::N,bacak,coes
42,Körper::N,vücut,corff
43,Haut::N,cilt,croen
44,Blut::N,kan,gwaed
45,Ader::N,damar,gwythïen
46,Sehne::N,kiriş,gewyn
47,Knochen::N,kemik,asgwrn
48,Gehirn::N,beyin,ymennydd
49,Herz::N,kalp,calon
50,Herz::N,yürek,calon
51,Magen::N,mide,cylla
52,Magen::N,mide,stumog
53,Leber::N,karaciğer,iau
54,Atem::N,nefes,anadl
55,Hunger::N,açlık,newyn
56,Träne::N,gözyaşı,deigryn
57,Geschmack::N,tat,cyflas
58,Geschmack::N,lezzet,cyflas
59,Geruch::N,koku,aroglau
60,Schlaf::N,uyku,cwsg
61,Traum::N,düş,breuddwyd
62,Traum::N,rüya,breuddwyd
63,Himmel::N,gök,awyr
64,Sonne::N,güneş,haul
65,Mond::N,ay,lleuad
66,Stern::N,yıldız,seren
67,Luft::N,hava,awyr
68,Wind::N,yel,gwynt
69,Wind::N,rüzgâr,gwynt
70,Welle::N,dalga,ton
71,Wasser::N,su,dŵr
72,Stein::N,taş,carreg
73,Boden::N,yer,llawr
74,Boden::N,zemin,llawr
75,Erde::N,toprak,pridd
76,Staub::N,toz,llwch
77,Rauch::N,duman,mwg
78,Funke::N,kıvılcım,gwreichioni
79,Feuer::N,ateş,tân
80,Licht::N,ışık,golau
81,Schatten::N,gölge,cysgod
82,Wetter::N,hava,tywydd
83,Nebel::N,pus,niwl
84,Wolke::N,bulut,cwmwl
