,Concept_ID,ab,be
0,Auge::N,ала,вока
1,Ohr::N,алымҳа,вуха
2,Nase::N,аҧынҵа,нос
3,Mund::N,аҧышə,рот
4,Zahn::N,ахаҧыц,зуб
5,Zunge::N,абз,язык
6,Lippe::N,ақьышə,губа
7,Wange::N,аӡамҩа,шчака
8,Gesicht::N,аҿы,твар
9,Stirn::N,алахь,лоб
10,Haar::N,ахəыц,волас
11,Haar::N,ахəыц,валасы
12,Schnurrbart::N,аҧаҵа,вус
13,Schnurrbart::N,аҧаҵа,вусы
14,Bart::N,ажакьа,барада
15,Kinn::N,ацламкəыгə,падбародак
16,Kiefer[Anatomie]::N,ацламҳəа,сківіца
17,Kehle::N,ахəда,горла
18,Hals::N,ахəда,шыя
19,Genick::N,ахəдаџьал,патыліца
20,Kopf::N,ахы,галава
21,Rücken::N,азқəа,спіна
22,Bauch::N,амгəа,жывот
23,Nabel::N,аҷапан,пупок
24,Busen::N,агəыҧҳəы,грудзі
25,Brust::N,агəышҧы,грудзі
26,Schulter::N,ажəҩахыр,плячо
27,Arm::N,амахəар,рука
28,Ellenbogen::N,амашьхəылҵ,локаць
29,Hand::N,анапы,кісць
30,Handfläche::N,анапсаргəыҵа,далонь
31,Finger::N,анацəа,палец
32,Fingernagel::N,анапхыц,ногаць
33,Nagel[Anatomie]::N,ашьапхыц,ногаць
34,Zeh::N,ашьацəа,палец
35,Fuß::N,ашьапсыргəыҵа,нага
36,Ferse::N,ашьхəа,пята
37,Ferse::N,ашьхəа,пятка
38,Knie::N,ашьамхы,калена
39,Oberschenkel::N,ауаҭəа,бядро
40,Oberschenkel::N,ауаҭəа,сцягно
41,Bein::N,ашьапы,нага
42,Körper::N,ацəеижь,цела
43,Haut::N,ацəа,скура
44,Blut::N,ашьа,кроў
45,Ader::N,ада,вена
46,Ader::N,ада,сасуд
47,Sehne::N,адаш,жыла
48,Sehne::N,адаш,цеціва
49,Sehne::N,адаш,сухажылле
50,Knochen::N,абаҩ,косць
51,Gehirn::N,ахшлыбаҩ,мозг
52,Gehirn::N,ахшыбаҩ,мозг
53,Herz::N,агəы,сэрца
54,Magen::N,аца,страўнік
55,Magen::N,ацар,страўнік
56,Leber::N,агəаҵəа,печань
57,Atem::N,аҧсыҧлагаҩгара,дыханне
58,Hunger::N,амла,голад
59,Träne::N,алабжыш,сляза
60,Geschmack::N,агьама,смак
61,Geruch::N,афҩы,пах
62,Schlaf::N,ацəа,сон
63,Traum::N,аҧхыӡ,сон
64,Himmel::N,ажəҩан,неба
65,Sonne::N,амра,сонца
66,Mond::N,амза,месяц
67,Stern::N,аеҵəа,зорка
68,Luft::N,аҳаир,паветра
69,Wind::N,аҧша,вецер
70,Welle::N,ацəқəырҧа,хваля
71,Wasser::N,аӡы,вада
72,Stein::N,ахаҳə,камень
73,Boden::N,адгьыл,глеба
74,Erde::N,адгьыл,зямля
75,Staub::N,асаба,пыл
76,Rauch::N,алҩа,дым
77,Funke::N,акəиц,іскра
78,Funke::N,ацҧхь,іскра
79,Feuer::N,амца,агонь
80,Licht::N,алашара,святло
81,Schatten::N,ашəшьыра,цень
82,Wetter::N,амш,пагода
83,Wetter::N,амш,надворʼе
84,Nebel::N,анаҟəа,туман
85,Wolke::N,аҧсҭҳəа,воблака
86,Regen::N,ақəа,дождж
87,Schnee::N,асы,снег
88,Eis::N,аҵаа,лёд
89,Frost::N,аҵаа,мароз
90,Kälte::N,ахьҭа,холад
91,Hitze::N,ашоура,спёка
92,Raureif::N,аҵааҧшқа,іней
93,Regenbogen::N,ацəаҟəа,вясёлка
94,Donner::N,адыд,гром
95,Strömung::N,аиасра,цячэнне
96,Strömung::N,амҩасра,цячэнне
97,Tropfen::N,ацəыкəбар,кропля
98,Schaum::N,ашəах,пена
99,Schmutz::N,алымт,гразь
100,See::N,аӡиа,возера
101,Sumpf::N,аӡмах,багна
102,Wiese::N,адəы,луг
103,Wald::N,абна,лес
104,Hügel::N,ахəы,узгорак
105,Anhöhe::N,аҳаракыра,узвышша
106,Berg::N,ашьха,гара
107,Gipfel::N,ацəқəа,вяршыня
108,Höhle::N,аҳаҧы,пячора
109,Abhang::N,анаара,схіл
110,Quelle::N,аҵҵырҭа,крыніца
111,Bach::N,акəараҷҷа,ручай
112,Fluss::N,аӡиас,рака
113,Ufer::N,ахықə,бераг
114,Küste::N,ахықə,узбярэжжа
115,Festland::N,абарра,суша
116,Meer::N,амшын,мора
117,Bucht::N,аӡбжьахала,бухта
118,Insel::N,адгьылбжьаха,востраў
119,Blume::N,ашəҭ,кветка
120,Gras::N,аҳасакьын,трава
121,Wurzel::N,адац,корань
122,Baum::N,аҵла,дрэва
123,Stamm::N,ашьапы,ствол
124,Rinde::N,ацəа,кара
125,Ast::N,амахə,сук
126,Ast::N,амахəҭа,сук
127,Zweig::N,амахə,галіна
128,Zweig::N,амахəҭа,галіна
129,Blatt::N,абҕьы,ліст
130,Birke::N,аҵааҵла,бяроза
131,Kiefer[Baum]::N,амза,хвоя
132,Kiefer[Baum]::N,амза,сасна
133,Weide[Baum]::N,аҧслыш,вярба
134,Tanne::N,аҧсаӡ,яліна
135,Horn::N,атəыҩа,рог
136,Feder::N,ахӡы,пяро
137,Fell::N,ацəа,шкура
138,Flügel::N,амҵəыжəа,крыло
139,Klaue::N,ашьапхыц,кіпцюр
140,Schwanz::N,аҵыхəа,хвост
141,Ei::N,акəтаӷь,яйка
142,Nest::N,аҭра,гняздо
143,Nest::N,аҵысҭра,гняздо
144,Bau::N,аҭыҩра,нара
145,Tier::N,аҧстəы,жывёла
146,Tier::N,агыгшəыг,жывёла
147,Herde::N,агəарҭа,статак
148,Kuh::N,ажə,карова
149,Bulle::N,ацə,бык
150,Pferd::N,аҽы,конь
151,Schaf::N,ауаса,авечка
152,Schwein::N,аҳəа,свіння
153,Hund::N,ала,сабака
154,Katze::N,ацгəы,кошка
155,Bär::N,амшə,мядзведзь
156,Eichhörnchen::N,аеш,вавёрка
157,Elch::N,аҽаҩа,лось
158,Fuchs::N,абгахəыҷы,ліса
159,Hase::N,ажьа,заяц
160,Maus::N,аҳəынаҧ,мыш
161,Wolf::N,абгаду,воўк
162,Vogel::N,аҧсаатə,птах
163,Vogel::N,аҧсаатə,птушка
164,Huhn::N,акəты,курыца
165,Hahn::N,арбаҕь,певень
166,Gans::N,аҟыз,гусь
167,Adler::N,ауарба,арол
168,Ente::N,акəата,качка
169,Eule::N,аты,сава
170,Kranich::N,апҟа,жораў
171,Kranich::N,апҟа,журавель
172,Krähe::N,аҟəараан,варона
173,Kuckuck::N,акəыкəу,зязюля
174,Schwan::N,агьад,лебедзь
175,Fisch::N,аҧсыӡ,рыба
176,Barsch::N,ацəыбла,акунь
177,Hecht::N,ахиаала,шчупак
178,Schlange[Tier]::N,амаҭ,змяя
179,Wurm::N,ахəа,чарвяк
180,Wurm::N,ахəац,чарвяк
181,Spinne::N,абызкаҭаҳа,павук
182,Ameise::N,ашышкамс,мурашка
183,Laus::N,аҵа,вош
184,Mücke::N,акəыбры,камар
185,Fliege::N,амҵ,муха
186,Schmetterling::N,аҧарҧалыкь,матыль
187,Beere::N,аргуц,ягада
188,Apfel::N,аҵəа,яблык
189,Pilz::N,акəкəбаа,грыб
190,Zwiebel::N,аџьымшьы,цыбуля
191,Zwiebel::N,аџьымшьхы,цыбуля
192,Saat::N,ажəла,семя
193,Korn::N,арыц,зерне
194,Heu::N,аҭəа,сена
195,Schale::N,ацəа,шалупінне
196,Grube::N,ажра,яма
197,Grube::N,атыша,яма
198,Falle::N,арыҧҟьа,пастка
199,Schlinge::N,аҟəараҟəантə,сіло
200,Spur::N,ашьҭа,след
201,Asche::N,ахəа,попел
202,Dreck::N,аҳəынҵəа,бруд
203,Dreck::N,аҟьамсар,бруд
204,Eisen::N,аиха,жалеза
205,Gold::N,ахьы,золата
206,Silber::N,аразны,сребра
207,Kohle::N,арацəа,вугаль
208,Glas::N,асаркьа,шкло
209,Lehm::N,анышəаҧшь,гліна
210,Sand::N,аҧслымӡ,пясок
211,Mensch::N,ауаҩы,чалавек
212,Mann::N,ахаҵа,мужчына
213,Frau::N,аҧҳəыс,жанчына
214,Kind::N,ахəыҷы,дзіця
215,Junge::N,аҷкəын,хлопчык
216,Junge::N,ахаҵарҧыс,хлопчык
217,Mädchen::N,аӡӷаб,дзяўчынка
218,Familie::N,аҭаацəа,сямʼя
219,Großvater::N,абду,дзядуля
220,Großmutter::N,анду,бабуля
221,Eltern::N,ани аби,бацькі
222,Vater::N,аб,бацька
223,Mutter::N,ан,маці
224,Sohn::N,аҧа,сын
225,Tochter::N,аҧҳа,дачка
226,Bruder::N,аиашьа,брат
227,Schwester::N,Аҳəшьа,сястра
228,Onkel::N,абиашьа,дзядзька
229,Onkel::N,аншьа,дзядзька
230,Tante::N,абиаҳəшьа,цётка
231,Ehemann::N,ахаҵа,муж
232,Ehemann::N,аҧшəма,муж
233,Ehefrau::N,аҧҳəыс,жонка
234,Freude::N,агəырӷьара,радасць
235,Gelächter::N,ачча,смех
236,Gelächter::N,аччара,смех
237,Glück::N,аразҟы,шчасце
238,Kummer::N,агəырҩа,гора
239,Wunsch::N,агəхəтəы,жаданне
240,Wunsch::N,аҭахра,жаданне
241,Lust::N,агəазыҳəара,цяга
242,Geist::N,аҧсы,дух
243,Gedanke::N,ахəыцырҭа,думка
244,Gedächtnis::N,агəынкылара,памяць
245,Verstand::N,ахшыҩ,розум
246,Sinn::N,аҵакы,сэнс
247,Grund::N,амзыз,зачэпка
248,Wahrheit::N,аиаша,праўда
249,Gespräch::N,аиҿцәажәара,размова
250,Märchen::N,алакə,казка
251,Erzählung::N,ажәабжь,расказ
252,Erzählung::N,ажәабжь,апавяданне
253,Nachricht::N,адырраҭара,вестка
254,Nachricht::N,адырраҭара,паведамленне
255,Neuigkeit::N,ажәабжь ҿыц,навіна
256,Name::N,ахьӡ,імя
257,Rätsel::N,ацуфара,загадка
258,Rede::N,ажәа,прамова
259,Sprache::N,абызшəа,мова
260,Stimme::N,абжьы,голас
261,Wort::N,ажәа,слова
262,Zeichen::N,адырга,знак
263,Ruf::N,аҿҭы,кліч
264,Lärm::N,ашьҭыбжь,шум
265,Laut::N,ашьҭыбжь,гук
266,Ton::N,атон,гучанне
267,Lied::N,ашəа,песня
