,Concept_ID,da,br
0,Auge::N,øje,lagad
1,Ohr::N,øre,skouarn
2,Nase::N,næse,fri
3,Mund::N,mund,genoù
4,Zahn::N,tand,dant
5,Zunge::N,tunge,teod
6,Lippe::N,læbe,muzell
7,Wange::N,kind,chot
8,Gesicht::N,ansigt,dremm
9,Stirn::N,pande,tal
10,Haar::N,hår,blev
11,Schnurrbart::N,overskæg,mourenn
12,Bart::N,skæg,barv
13,Kinn::N,hage,groñj
14,Kiefer[Anatomie]::N,kæbe,javed
15,Kehle::N,strube,gouzoug
16,Hals::N,hals,gouzoug
17,Genick::N,nakke,choug
18,Kopf::N,hoved,penn
19,Rücken::N,ryg,kein
20,Bauch::N,mave,kof
21,Nabel::N,navle,begel
22,Busen::N,barm,bronn
23,Brust::N,bryst,bruched
24,Schulter::N,skulder,skoaz
25,Arm::N,arm,brec'h
26,Ellenbogen::N,albue,ilin
27,Hand::N,hånd,dorn
28,Handfläche::N,håndflade,palv
29,Finger::N,finger,biz
30,Fingernagel::N,fingernegl,ivin
31,Nagel[Anatomie]::N,negl,ivin
32,Zeh::N,tå,biz-troad
33,Fuß::N,fod,troad
34,Ferse::N,hæl,seul
35,Knie::N,knæ,glin
36,Oberschenkel::N,lår,morzhed
37,Bein::N,ben,gar
38,Körper::N,krop,korf
39,Körper::N,legeme,korf
40,Haut::N,hud,kroc'hen
41,Blut::N,blod,gwad
42,Ader::N,åre,gwazhi
43,Sehne::N,sene,stir
44,Knochen::N,ben,askorn
45,Gehirn::N,hjerne,empenn
46,Herz::N,hjerte,kalon
47,Magen::N,mave,stomog
48,Leber::N,lever,avu
49,Atem::N,ånde,anal
50,Hunger::N,sult,naon
51,Träne::N,tåre,daer
52,Geschmack::N,smag,blaz
53,Geruch::N,lugt,c'hwezh
54,Schlaf::N,søvn,kousked
55,Traum::N,drøm,hune
56,Himmel::N,himmel,oabl
57,Sonne::N,sol,heol
58,Mond::N,måne,loar
59,Stern::N,stjerne,steredenn
60,Luft::N,luft,aer
61,Wind::N,vind,avel
62,Welle::N,bølge,houlenn
63,Wasser::N,vand,dour
64,Stein::N,sten,maen
65,Boden::N,jord,tachenn
66,Erde::N,jord,douar
67,Staub::N,støv,poultr
68,Rauch::N,røg,moged
69,Funke::N,gnist,ful
70,Feuer::N,ild,tan
71,Licht::N,lys,gouloù
72,Schatten::N,skygge,disheol
73,Wetter::N,vejr,amzer
74,Nebel::N,tåge,brumenn
75,Wolke::N,sky,koumoulenn
76,Regen::N,regn,glav
77,Schnee::N,sne,erc'h
78,Eis::N,is,skorn
79,Frost::N,frost,rev
80,Kälte::N,kulde,yen
81,Hitze::N,hede,tommder
82,Raureif::N,rimfrost,frim
83,Regenbogen::N,regnbue,gwareg-ar-glav
84,Donner::N,torden,kurun
85,Strömung::N,strømning,red
86,Tropfen::N,dråbe,bannac'h
87,Tropfen::N,dråbe,takenn
88,Schaum::N,skum,spoum
89,Schmutz::N,snavs,fank
90,See::N,sø,lenn
91,Sumpf::N,sump,gwern
92,Moor::N,mose,taouarc'heg
93,Wiese::N,eng,prad
94,Wald::N,skov,koad
95,Hügel::N,høj,torgenn
96,Hügel::N,bakke,torgenn
97,Anhöhe::N,høj,run
98,Anhöhe::N,bakke,run
99,Berg::N,bjerg,menez
100,Gipfel::N,top,barr
101,Höhle::N,hule,kav
102,Abhang::N,skrænt,naou
103,Abhang::N,skråning,naou
104,Quelle::N,kilde,feunteun
105,Bach::N,bæk,gwazh
106,Fluss::N,flod,stêr
107,Ufer::N,bred,ribl
108,Küste::N,kyst,aod
109,Festland::N,fastland,douar
110,Meer::N,hav,mor
111,Bucht::N,bugt,mor-bihan
112,Insel::N,ø,enez
113,Blume::N,blomst,bleunienn
114,Gras::N,græs,geot
115,Wurzel::N,rod,gwrizienn
116,Baum::N,træ,gwezenn
117,Stamm::N,stamme,kef
118,Rinde::N,bark,rusk
119,Ast::N,gren,barr
120,Zweig::N,kvist,bod
121,Blatt::N,blad,delienn
122,Birke::N,birk,bezvenn
123,Kiefer[Baum]::N,fyrretræ,pinenn
124,Weide[Baum]::N,piletræ,halegenn
125,Tanne::N,gran,sapenn
126,Horn::N,horn,korn
127,Feder::N,fjer,pluñv
