,Concept_ID,ab,el
0,Auge::N,ала,μάτι
1,Auge::N,ала,οφθαλμός
2,Ohr::N,алымҳа,αυτί
3,Nase::N,аҧынҵа,μύτη
4,Mund::N,аҧышə,στόμα
5,Zahn::N,ахаҧыц,δόντι
6,Zunge::N,абз,γλώσσα
7,Lippe::N,ақьышə,χείλος
8,Wange::N,аӡамҩа,παρειά
9,Wange::N,аӡамҩа,μάγουλο
10,Gesicht::N,аҿы,πρόσωπο
11,Stirn::N,алахь,μέτωπο
12,Haar::N,ахəыц,μαλλιά
13,Schnurrbart::N,аҧаҵа,μουστάκι
14,Bart::N,ажакьа,γένια
15,Kinn::N,ацламкəыгə,πιγούνι
16,Kiefer[Anatomie]::N,ацламҳəа,σαγόνι
17,Kehle::N,ахəда,λαρύγγι
18,Hals::N,ахəда,λαιμός
19,Genick::N,ахəдаџьал,σβέρκος
20,Kopf::N,ахы,κεφάλι
21,Rücken::N,азқəа,ράχη
22,Bauch::N,амгəа,κοιλιά
23,Nabel::N,аҷапан,αφαλός
24,Busen::N,агəыҧҳəы,στήθος
25,Brust::N,агəышҧы,στήθος
26,Schulter::N,ажəҩахыр,ώμος
27,Arm::N,амахəар,χέρι
28,Arm::N,амахəар,μπράτςο
29,Ellenbogen::N,амашьхəылҵ,αγκώνας
30,Hand::N,анапы,χέρι
31,Handfläche::N,анапсаргəыҵа,παλάμη
32,Finger::N,анацəа,δάχτυλο
33,Fingernagel::N,анапхыц,νύχι
34,Nagel[Anatomie]::N,ашьапхыц,νύχι
35,Zeh::N,ашьацəа,δάχτυλο του ποδιού
36,Fuß::N,ашьапсыргəыҵа,πόδι
37,Ferse::N,ашьхəа,φτέρνα
38,Knie::N,ашьамхы,γόνατο
39,Oberschenkel::N,ауаҭəа,μηρός
40,Bein::N,ашьапы,πόδι
41,Körper::N,ацəеижь,σώμα
42,Körper::N,ацəеижь,κορμί
43,Haut::N,ацəа,πετσί
44,Blut::N,ашьа,αίμα
45,Ader::N,ада,φλέβα
46,Sehne::N,адаш,νεύρο
47,Sehne::N,адаш,τένοντας
48,Knochen::N,абаҩ,οστό
49,Knochen::N,абаҩ,κόκκαλο
50,Gehirn::N,ахшлыбаҩ,μυαλό
51,Gehirn::N,ахшлыбаҩ,εγκέφαλος
52,Gehirn::N,ахшыбаҩ,μυαλό
53,Gehirn::N,ахшыбаҩ,εγκέφαλος
54,Herz::N,агəы,καρδιά
55,Magen::N,аца,στομάχι
56,Magen::N,ацар,στομάχι
57,Leber::N,агəаҵəа,ήπαρ
58,Leber::N,агəаҵəа,συκωτί
59,Atem::N,аҧсыҧлагаҩгара,αναπνοή
60,Hunger::N,амла,πείνα
61,Träne::N,алабжыш,δάκρυ
62,Geschmack::N,агьама,γεύση
63,Geruch::N,афҩы,οσμή
64,Geruch::N,афҩы,μυρωδία
65,Schlaf::N,ацəа,ύπνος
66,Traum::N,аҧхыӡ,όνειρο
67,Himmel::N,ажəҩан,ουρανός
68,Sonne::N,амра,ήλιος
69,Mond::N,амза,σελήνη
70,Mond::N,амза,φεγγάρι
71,Stern::N,аеҵəа,άστρο
72,Stern::N,аеҵəа,αστέρι
73,Luft::N,аҳаир,αέρας
74,Wind::N,аҧша,αέρας
75,Wind::N,аҧша,άνεμος
76,Welle::N,ацəқəырҧа,κύμα
77,Wasser::N,аӡы,νερό
78,Stein::N,ахаҳə,πέτρα
79,Boden::N,адгьыл,χώμα
80,Erde::N,адгьыл,γη
81,Staub::N,асаба,σκόνη
82,Rauch::N,алҩа,καπνός
83,Funke::N,акəиц,σπίθα
84,Funke::N,акəиц,σπινθήρας
85,Funke::N,ацҧхь,σπίθα
86,Funke::N,ацҧхь,σπινθήρας
87,Feuer::N,амца,φωτιά
88,Licht::N,алашара,φως
89,Schatten::N,ашəшьыра,σκιά
90,Schatten::N,ашəшьыра,ίσκιος
91,Wetter::N,амш,καιρός
92,Nebel::N,анаҟəа,ομίχλη
93,Wolke::N,аҧсҭҳəа,σύννεφο
94,Regen::N,ақəа,βροχή
95,Schnee::N,асы,χιόνι
96,Eis::N,аҵаа,πάγος
97,Frost::N,аҵаа,παγωνία
98,Kälte::N,ахьҭа,κρύο
99,Kälte::N,ахьҭа,ψύχος
100,Hitze::N,ашоура,ζέστη
101,Raureif::N,аҵааҧшқа,πάχνη
102,Regenbogen::N,ацəаҟəа,ουράνιο τόξο
103,Donner::N,адыд,βροντή
104,Strömung::N,аиасра,ρεύμα
105,Strömung::N,амҩасра,ρεύμα
106,Tropfen::N,ацəыкəбар,στάλα
107,Schaum::N,ашəах,αφρός
108,Schmutz::N,алымт,βρωμιά
109,See::N,аӡиа,λίμνη
110,Sumpf::N,аӡмах,βάλτος
111,Wiese::N,адəы,λιβάδι
112,Wald::N,абна,δάσος
113,Hügel::N,ахəы,λόφος
114,Anhöhe::N,аҳаракыра,ύψωμα
115,Berg::N,ашьха,όρος
116,Berg::N,ашьха,βουνό
117,Gipfel::N,ацəқəа,κορυφή
118,Höhle::N,аҳаҧы,σπηλιά
119,Abhang::N,анаара,πλαγιά
120,Quelle::N,аҵҵырҭа,πηγή
121,Quelle::N,аҵҵырҭа,βρύση
122,Bach::N,акəараҷҷа,ρυάκι
123,Fluss::N,аӡиас,ποτάμι
124,Fluss::N,аӡиас,ποταμός
125,Ufer::N,ахықə,όχθη
126,Küste::N,ахықə,ακτή
127,Küste::N,ахықə,ακρογιαλιά
128,Festland::N,абарра,στεριά
129,Meer::N,амшын,θάλασσα
130,Bucht::N,аӡбжьахала,κόλπος
131,Insel::N,адгьылбжьаха,νησί
