,Concept_ID,mdf,mrj
0,Auge::N,сельме,сӹнзӓ
1,Ohr::N,пиле,пӹлӹш
2,Nase::N,шалхка,нер
3,Mund::N,курга,ышма
4,Zahn::N,пей,пӱ
5,Zunge::N,кяль,йӹлмӹ
6,Lippe::N,търва́,тӹрвӹ
7,Wange::N,щёка,шӹргӹ
8,Gesicht::N,шама,лицӓ
9,Stirn::N,коня,лепкӓ
10,Haar::N,шя́ярь,ӱп
11,Schnurrbart::N,уса́,öрш
12,Bart::N,сакал,пандаш
13,Kinn::N,ула,онгылаш
14,Kiefer[Anatomie]::N,саласка,пӱ арата
15,Kehle::N,кълдома,логер
16,Kehle::N,кърга́парь,логер
17,Hals::N,сялдаз,шӱ
18,Genick::N,шовонь,ланга
19,Kopf::N,пря,вуй
20,Rücken::N,копорь,туп
21,Bauch::N,пеке,мӹшкӹр
22,Nabel::N,по́кон,кӹлӹмдӹ
23,Busen::N,потя,цӹзӹ
24,Brust::N,мяште,мел
25,Schulter::N,лафту,ӹнгӹжӓ
26,Arm::N,кядь,кид
27,Ellenbogen::N,кенерьба́карь,кӹнервуй
28,Hand::N,кядь,лапа
29,Handfläche::N,кядьлапш,кид лапа
30,Finger::N,сур,парня
31,Fingernagel::N,кенже,кӹч
32,Nagel[Anatomie]::N,кенже,кӹч
33,Zeh::N,пильгосу́р,парня
34,Fuß::N,пильге,ял лапа
35,Fuß::N,пильгелапа,ял лапа
36,Ferse::N,кочкяря,ялгавал
37,Ferse::N,кочкяря,ял кавал
38,Knie::N,эль,пылвуй
39,Knie::N,пълма́нжа,пылвуй
40,Oberschenkel::N,пильгепукша,ӓрдӹ
41,Bein::N,пильге,ял
42,Körper::N,ро́нга,монгыр
43,Körper::N,по́нда,монгыр
44,Haut::N,киське,кавашты
45,Blut::N,вер,вӹр
46,Ader::N,сан,вӹршӓр
47,Ader::N,верза́н,вӹршӓр
48,Sehne::N,коське сан,кукшышӱн
49,Knochen::N,пакарь,лу
50,Gehirn::N,уй,вим
51,Herz::N,седи,шӱм
52,Magen::N,коткърдазь,шӱм
53,Leber::N,макса,мокш
54,Atem::N,лекома,шӱлӹш
55,Atem::N,ваймонь тарксема,шӱлӹш
56,Hunger::N,вачеши,шужымаш
57,Träne::N,сельмове́дь,сӹнзӓвӹд
58,Geschmack::N,таньф,тот
59,Geruch::N,шине,пыш
60,Schlaf::N,удома́,ом
61,Traum::N,он,ом
62,Himmel::N,менель,пӹлгом
63,Sonne::N,ши,кечӹ
64,Mond::N,ков,тӹлзӹ
65,Stern::N,тяште,шӹдӹр
66,Luft::N,кожф,юж
67,Luft::N,кожф,воздух
68,Wind::N,варма,мардеж
69,Welle::N,тавла,ко
70,Welle::N,тавла,коэ
71,Wasser::N,ведь,вӹд
72,Stein::N,кев,кӱ
73,Boden::N,мода,рок
74,Boden::N,потмакс,рок
75,Erde::N,мода,свет
76,Erde::N,мастор,свет
77,Staub::N,пуль,пырак
78,Rauch::N,качам,шӹкш
79,Funke::N,ця́тка,ип
80,Funke::N,ця́тка,тылип
81,Feuer::N,тол,тыл
82,Licht::N,ва́лда,соты
83,Licht::N,ва́лда,валгыды
84,Schatten::N,цильф,ӹмӹл
85,Wetter::N,уша,игечӹ
86,Nebel::N,тума́н,тӹтӹрӓ
87,Wolke::N,ковол,пӹл
