,Concept_ID,eu,mrj
0,Auge::N,begi,сӹнзӓ
1,Ohr::N,belarri,пӹлӹш
2,Nase::N,sudur,нер
3,Mund::N,aho,ышма
4,Zahn::N,hortz,пӱ
5,Zunge::N,mihi,йӹлмӹ
6,Lippe::N,ezpain,тӹрвӹ
7,Wange::N,masail,шӹргӹ
8,Gesicht::N,aurpegi,лицӓ
9,Stirn::N,bekoki,лепкӓ
10,Haar::N,ile,ӱп
11,Haar::N,bilo,ӱп
12,Schnurrbart::N,bibote,öрш
13,Schnurrbart::N,sudurpeko,öрш
14,Bart::N,bizar,пандаш
15,Kinn::N,kokots,онгылаш
16,Kiefer[Anatomie]::N,masailezur,пӱ арата
17,Kehle::N,eztarri,логер
18,Hals::N,sama,шӱ
19,Genick::N,garondo,ланга
20,Kopf::N,buru,вуй
21,Rücken::N,bizkar,туп
22,Bauch::N,sabel,мӹшкӹр
23,Nabel::N,zilbor,кӹлӹмдӹ
24,Busen::N,titi,цӹзӹ
25,Busen::N,ugatz,цӹзӹ
26,Brust::N,bular,мел
27,Schulter::N,besaburu,ӹнгӹжӓ
28,Arm::N,beso,кид
29,Ellenbogen::N,ukondo,кӹнервуй
30,Hand::N,esku,лапа
31,Handfläche::N,ahur,кид лапа
32,Finger::N,hatz,парня
33,Fingernagel::N,azazkal,кӹч
34,Nagel[Anatomie]::N,azazkal,кӹч
35,Zeh::N,behatz,парня
36,Fuß::N,oin,ял лапа
37,Ferse::N,orpo,ялгавал
38,Ferse::N,orpo,ял кавал
39,Ferse::N,oinburu,ялгавал
40,Ferse::N,oinburu,ял кавал
41,Knie::N,belaun,пылвуй
42,Oberschenkel::N,izter,ӓрдӹ
43,Bein::N,zango,ял
44,Körper::N,soin,монгыр
45,Haut::N,azal,кавашты
46,Blut::N,odol,вӹр
47,Ader::N,zain,вӹршӓр
48,Sehne::N,gihar-zain,кукшышӱн
49,Knochen::N,hezur,лу
50,Gehirn::N,garun,вим
51,Gehirn::N,burmuin,вим
52,Herz::N,bihotz,шӱм
53,Magen::N,urdail,шӱм
54,Leber::N,gibel,мокш
55,Atem::N,hats,шӱлӹш
56,Atem::N,arnasa,шӱлӹш
57,Hunger::N,gose,шужымаш
58,Träne::N,malko,сӹнзӓвӹд
59,Geschmack::N,dasta,тот
60,Geruch::N,usain,пыш
61,Schlaf::N,lo,ом
62,Traum::N,amets,ом
63,Himmel::N,zeru,пӹлгом
64,Sonne::N,eguzki,кечӹ
65,Mond::N,ilargi,тӹлзӹ
66,Stern::N,izar,шӹдӹр
67,Luft::N,aire,юж
68,Luft::N,aire,воздух
69,Wind::N,haize,мардеж
70,Welle::N,uhin,ко
71,Welle::N,uhin,коэ
72,Welle::N,olatu,ко
73,Welle::N,olatu,коэ
74,Wasser::N,ur,вӹд
75,Stein::N,harri,кӱ
76,Boden::N,lur,рок
77,Boden::N,zoru,рок
78,Erde::N,lur,свет
79,Staub::N,hauts,пырак
80,Rauch::N,ke,шӹкш
81,Funke::N,zirta,ип
82,Funke::N,zirta,тылип
83,Funke::N,txinparta,ип
84,Funke::N,txinparta,тылип
85,Feuer::N,su,тыл
86,Licht::N,argi,соты
87,Licht::N,argi,валгыды
88,Schatten::N,itzal,ӹмӹл
89,Schatten::N,geriza,ӹмӹл
90,Wetter::N,eguraldi,игечӹ
91,Nebel::N,laino,тӹтӹрӓ
92,Wolke::N,hodei,пӹл
93,Regen::N,euri,юр
94,Schnee::N,elur,лым
95,Eis::N,horma,и
96,Frost::N,izotzaldi,ӱштӹ
97,Kälte::N,hotz,ӱштӹ
