,Concept_ID,av,tt
0,Ohr::N,гӏин,колак
1,Nase::N,мегӏер,борын
2,Mund::N,кӏал,авыз
3,Mund::N,кӏал,тамак
4,Zahn::N,гӏус,теш
5,Zunge::N,мацӏ,тел
6,Lippe::N,кӏветӏ,ирен
7,Wange::N,гӏоно,яңак
8,Gesicht::N,гьумер,йөз
9,Stirn::N,нодо,маңгай
10,Haar::N,рас,чәч
11,Schnurrbart::N,михъ,мыек
12,Bart::N,мегеж,сакал
13,Kinn::N,нилъу,ияк
14,Kiefer[Anatomie]::N,чанагъ,казналык
15,Kehle::N,щекъер,тамак
16,Hals::N,габур,бугаз
17,Genick::N,гъванща,җилкә
18,Kopf::N,бетӏер,баш
19,Rücken::N,мугъ,сырт
20,Bauch::N,чехь,корсак
21,Nabel::N,цӏину,кендек
22,Busen::N,керен,түш
23,Brust::N,керен,имчәк
24,Brust::N,керен,күкрәк
25,Schulter::N,гъажазубетӏер,иңбаш
26,Schulter::N,гъажазубетӏер,кулбаш
27,Arm::N,гъеж,кул
28,Ellenbogen::N,гӏункӏрукь,терсәк
29,Hand::N,квер,кул
30,Handfläche::N,огъохъат,уч
31,Handfläche::N,жанисахъат,уч
32,Finger::N,килищ,бармак
33,Fingernagel::N,малъ,тырнак
34,Nagel[Anatomie]::N,малъ,тырнак
35,Zeh::N,килищ,бармак
36,Fuß::N,хӏетӏ,табан
37,Fuß::N,хӏетӏе,табан
38,Ferse::N,эгъе,үкчә
39,Knie::N,наку,тез
40,Oberschenkel::N,мачӏ,бот
41,Bein::N,бох,аяк
42,Körper::N,къаркъала,тән
43,Körper::N,къаркъала,җисем
44,Haut::N,тӏом,тире
45,Blut::N,би,кан
46,Ader::N,бидурихь,тамыр
47,Knochen::N,ракьа,сөяк
48,Gehirn::N,гӏадалнах,ми
49,Herz::N,ракӏ,йөрәк
50,Magen::N,кванирукъ,ашказаны
51,Leber::N,тӏул,бавыр
52,Atem::N,хӏухь,сулыш
53,Hunger::N,ракъи,ачлык
54,Träne::N,магӏу,яшь
55,Geschmack::N,тату,тәм
56,Geschmack::N,тату,зәвык
57,Geruch::N,махӏ,ис
58,Schlaf::N,макьу,йокы
59,Traum::N,макьу,төш
60,Himmel::N,зоб,күк
61,Sonne::N,бакъ,кояш
62,Mond::N,моцӏ,ай
63,Stern::N,цӏва,йолдыз
64,Luft::N,гьава,һава
65,Wind::N,гьури,җил
66,Welle::N,карачел,дулкын
67,Wasser::N,лъим,су
68,Stein::N,гьецӏо,таш
69,Boden::N,ракь,туфрак
70,Erde::N,ракь,җир
71,Erde::N,дуниял,җир
72,Staub::N,хӏур,тузан
73,Rauch::N,кӏкӏуй,төтен
74,Feuer::N,цӏа,ут
75,Licht::N,канлъи,якты
76,Schatten::N,рагӏад,күләгә
77,Wetter::N,гьава-бакъ,һава
78,Nebel::N,гӏодобнакӏкӏ,томан
79,Wolke::N,накӏкӏ,болыт
80,Regen::N,цӏад,яңгыр
81,Schnee::N,гӏазу,кар
82,Eis::N,цӏер,боз
83,Frost::N,замгьари,суык
84,Frost::N,замгьари,салкын
85,Kälte::N,квач,суык
86,Kälte::N,квач,салкын
87,Hitze::N,багӏари,эсселек
88,Raureif::N,мартӏ,бәс
89,Raureif::N,мартӏ,сыкы
90,Regenbogen::N,нур,салават күпере
91,Regenbogen::N,чамбара,салават күпере
92,Donner::N,гъугъай,күкрәү
93,Donner::N,гъугъади,күкрәү
94,Strömung::N,чвахи,агыш'агым
95,Tropfen::N,резел,тамчы
96,Tropfen::N,тӏинкӏ,тамчы
97,Tropfen::N,къатӏра,тамчы
98,Tropfen::N,тӏенкӏел,тамчы
99,Schaum::N,полоп,күбек
100,Schmutz::N,чороклъи,пычрак
101,See::N,хӏор,күл
102,Sumpf::N,хьуцӏ,саз
103,Wiese::N,мегъ,болын
104,Wiese::N,гӏурдаллъи,болын
105,Wald::N,рохь,урман
106,Hügel::N,гохӏ,калку
107,Anhöhe::N,сийитма,үр
108,Berg::N,мегӏер,тау
109,Gipfel::N,тӏогь,оч
110,Höhle::N,нохъо,мәгарә
111,Abhang::N,лабаллъи,кабырга
112,Quelle::N,ицц,чишмә
113,Bach::N,лъар,елга
114,Fluss::N,гӏор,дәрья
115,Ufer::N,рагӏал,су кырые
116,Küste::N,рагӏал,яр буе
117,Festland::N,ракь,коры җир
118,Festland::N,ракъдаллъи,коры җир
119,Meer::N,ралъад,диңгез
120,Bucht::N,кӏветӏ,бухта
121,Bucht::N,кӏветӏ,култык
122,Insel::N,чӏинкӏиллъи,атау
123,Insel::N,чӏинкӏиллъи,утрау
124,Blume::N,тӏегь,чәчкә
125,Gras::N,хер,үлән
126,Wurzel::N,кьибил,тамыр
127,Baum::N,гъветӏ,агач
128,Stamm::N,рохти,кәүсә
129,Rinde::N,макъар,кабык
130,Ast::N,ноцӏ,ботак
131,Zweig::N,гӏаркьел,ботак
132,Zweig::N,гӏаркьел,тармак
133,Blatt::N,тӏамах,яфрак
134,Birke::N,мах,каен
135,Birke::N,махигъветӏ,каен
136,Kiefer[Baum]::N,накӏкӏигъветӏ,нарат
137,Weide[Baum]::N,рицӏцӏ,тал
138,Weide[Baum]::N,рицӏцӏигъветӏ,тал
139,Tanne::N,ёлка,чыршы
140,Horn::N,лълъар,мөгез
141,Feder::N,хӏули,йон
142,Fell::N,тӏом,тире
143,Fell::N,цӏоко,тире
144,Flügel::N,кваркьи,канат
145,Klaue::N,галъ,тырнак
146,Kralle::N,квачӏ,тырнак
147,Kralle::N,катиквачӏ,тырнак
148,Schwanz::N,рачӏ,койрык
149,Ei::N,хоно,күкәй
150,Ei::N,хоно,йомырка
151,Nest::N,бусен,оя
152,Bau::N,каратӏ,өн
153,Tier::N,хӏайван,хайван
154,Herde::N,рехъен,көтү
155,Herde::N,рехъед,көтү
156,Kuh::N,гӏака,сыер
157,Bulle::N,оц,үгез
158,Pferd::N,чу,ат
159,Schaf::N,чахъу,сарык
160,Schwein::N,болъон,дуңгыз
161,Hund::N,гьой,эт
162,Katze::N,кету,песи
163,Bär::N,ци,аю
164,Eichhörnchen::N,гвангва,тиен
165,Fuchs::N,цер,төлке
166,Hase::N,гӏанкӏ,куян
167,Maus::N,гӏункӏкӏ,тычкан
168,Wolf::N,бацӏ,бүре
169,Vogel::N,хӏинчӏ,кош
170,Schwarm::N,тӏел,көтү
171,Huhn::N,гӏанкӏу,тавык
172,Hahn::N,хӏелеко,әтәч
173,Gans::N,хъаз,каз
174,Adler::N,цӏум,каракош
175,Ente::N,ордек,үрдәк
176,Eule::N,беццаруз,ябалак
177,Kranich::N,къункъра,торна
178,Krähe::N,гъеду,карга
179,Kuckuck::N,гагу,күке
180,Kuckuck::N,гагу,кәккүк
181,Schwan::N,хӏанкъва,аккош
182,Fisch::N,ччугӏа,балык
183,Barsch::N,окунь,алабуга
184,Hecht::N,щука,чуртан
185,Schlange[Tier]::N,борохь,елан
186,Wurm::N,хӏапара,корт
187,Spinne::N,хъанхъра,үрмәкүч
188,Ameise::N,цӏунцӏра,кырмыска
189,Laus::N,нацӏ,бет
190,Mücke::N,кӏкӏара,черки
191,Mücke::N,кӏкӏара,озынборын
192,Fliege::N,тӏутӏ,чебен
193,Schmetterling::N,кӏалкӏучӏ,күбәләк
194,Apfel::N,гӏеч,алма
195,Pilz::N,гӏурдахӏан,гөмбә
196,Zwiebel::N,кӏочӏопер,суган
197,Zwiebel::N,кӏочӏопер,суганбаш
198,Saat::N,хьон,орлык
199,Korn::N,мугь,иген
200,Korn::N,мугь,орлык
201,Heu::N,хер,печән
202,Schale::N,хъал,кабык
203,Grube::N,гвенд,баз
204,Grube::N,гвенд,чокыр
205,Falle::N,къор,тозак
206,Falle::N,къор,капкын
207,Falle::N,къотен,тозак
208,Falle::N,къотен,капкын
209,Schlinge::N,кӏичӏ,элмәк
210,Spur::N,лъалкӏ,эз
211,Asche::N,рахъу,көл
212,Dreck::N,гъиз,пычрак
213,Dreck::N,хӏарщ,пычрак
214,Eisen::N,махх,тимер
215,Gold::N,месед,алтын
216,Silber::N,гӏарац,көмеш
217,Kohle::N,тӏурччи,күмер
218,Glas::N,цӏер,пыяла
219,Lehm::N,хӏатӏ,балчык
220,Sand::N,сали,ком
221,Mensch::N,чи,адәм
222,Mensch::N,чи,инсан
223,Mann::N,бихьинчи,ир
224,Frau::N,гӏадан,хатын
225,Kind::N,лъимер,бала
226,Junge::N,вас,малай
227,Mädchen::N,яс,кыз
228,Familie::N,хъизан,гаилә
229,Großvater::N,кӏудада,бабай
230,Großmutter::N,кӏодо,әби
231,Eltern::N,эбел-эмен,ата-ана
232,Vater::N,эмен,ата
233,Mutter::N,эбел,ана
234,Sohn::N,вас,ул
235,Tochter::N,яс,кыз
236,Bruder::N,вац,кардәш
237,Schwester::N,яц,апа
238,Schwester::N,яц,сеңел
239,Onkel::N,даци,дәдә
240,Onkel::N,даци,дәдәй
241,Tante::N,ада,түти
242,Tante::N,ада,тәтәй
243,Ehemann::N,рос,ир
244,Ehefrau::N,чӏужу,хатын
245,Freude::N,ракӏбохи,сөенеч
246,Gelächter::N,релъи,көлү
