,Concept_ID,ady,cv
0,Auge::N,нэ,куҫ
1,Ohr::N,тхьакӏу́м,хӑлха
2,Nase::N,пэ,сӑмса
3,Mund::N,жэ,ҫӑвар
4,Zahn::N,цэ,шӑл
5,Zunge::N,бзэгу,чӗлхе
6,Lippe::N,ӏупшӏэ́,тута
7,Wange::N,нэкӏу́шъу,пит ҫӑмарти
8,Gesicht::N,нэ́гу,пит
9,Gesicht::N,нэ́гу,пит-куҫ
10,Stirn::N,натӏэ́,ҫамка
11,Haar::N,шъхьацы́,ҫӳҫ
12,Bart::N,жакӏэ́,сухал
13,Kinn::N,жэкӏэпэпкъ,янах
14,Kiefer[Anatomie]::N,жэпкъы́,янах
15,Kehle::N,чый,пыр
16,Kehle::N,чый,карланкӑ
17,Hals::N,пшъэ,пыр
18,Genick::N,шъхьэпхэтыку,ӗнсе
19,Kopf::N,шъхьэ́,пуҫ
20,Rücken::N,кӏыбы́,ҫурӑм
21,Bauch::N,ныбэ́,
22,Busen::N,бгъэ́,кӑкӑр
23,Brust::N,бгъэ́,умӗ
24,Schulter::N,блыпкъ,хул пуҫҫи
25,Arm::N,ӏэ,алӑ
26,Ellenbogen::N,ӏэнтэ́гъу,чавса
27,Hand::N,ӏэтхьэцу,алӑ сыппи
28,Handfläche::N,ӏэ́гу,ал лаппи
29,Finger::N,ӏэхъуа́мб,пӳрне
30,Fingernagel::N,ӏэбжъа́н,чӗрне
31,Nagel[Anatomie]::N,ӏэбжъа́н,чӗрне
32,Zeh::N,ӏэхъуа́мб,пӳрне
33,Fuß::N,лъэгу,ура лаппи
34,Ferse::N,лъэдакъэ,кӗле
35,Knie::N,лъагуа́ндж,чӗркуҫҫи
36,Oberschenkel::N,ко,пӗҫӗ
37,Bein::N,лъакъо́,ура
38,Körper::N,пкъышъол,ӳт
39,Körper::N,пкъышъол,ӳт-пӳ
40,Haut::N,кӏы́шъу,тир
41,Blut::N,лъы,юн
42,Ader::N,льытф,вена
43,Sehne::N,фэ,шӑнӑр
44,Knochen::N,къупшъхьэ́,шӑмӑ
45,Gehirn::N,куцӏы,миме
46,Herz::N,гу,чӗре
47,Magen::N,мышкӏу,хырӑмлӑх
48,Leber::N,шӏу,пӗвер
49,Atem::N,къэщэныр,сывлав
50,Hunger::N,гъаблэ́,выҫлӑх
51,Träne::N,нэпсы,куҫҫуль
52,Geschmack::N,ӏэшӏугъа́кӏ,техӗм
53,Geruch::N,мэ,шӑршӑ
