,Concept_ID,ga,da
0,Auge::N,súil,øje
1,Ohr::N,cluas,øre
2,Nase::N,soc,næse
3,Mund::N,béal,mund
4,Zahn::N,fiacail,tand
5,Zunge::N,teanga,tunge
6,Lippe::N,liopa,læbe
7,Wange::N,grua,kind
8,Wange::N,leiceann,kind
9,Gesicht::N,éadan,ansigt
10,Gesicht::N,aghaidh,ansigt
11,Stirn::N,baithis,pande
12,Stirn::N,clár éadain,pande
13,Haar::N,gruaig,hår
14,Schnurrbart::N,croiméal,overskæg
15,Bart::N,féasóg,skæg
16,Kinn::N,smig,hage
17,Kiefer[Anatomie]::N,giall,kæbe
18,Kehle::N,scornach,strube
19,Hals::N,muinéal,hals
20,Genick::N,baic,nakke
21,Kopf::N,ceann,hoved
22,Rücken::N,droim,ryg
23,Bauch::N,bolg,mave
24,Nabel::N,imleacán,navle
25,Busen::N,cíoch,barm
26,Brust::N,brollach,bryst
27,Schulter::N,gualainn,skulder
28,Arm::N,lámh,arm
29,Ellenbogen::N,uillinn,albue
30,Hand::N,lámh,hånd
31,Handfläche::N,bos,håndflade
32,Finger::N,méar,finger
33,Fingernagel::N,ionga,fingernegl
34,Nagel[Anatomie]::N,ionga,negl
35,Zeh::N,ladhar,tå
36,Fuß::N,cos,fod
37,Fuß::N,troigh,fod
38,Ferse::N,sáil,hæl
39,Knie::N,glúin,knæ
40,Oberschenkel::N,ceathrú,lår
41,Bein::N,cos,ben
42,Körper::N,corp,krop
43,Körper::N,corp,legeme
44,Körper::N,colainn,krop
45,Körper::N,colainn,legeme
46,Haut::N,cneas,hud
47,Haut::N,craiceann,hud
48,Blut::N,fuil,blod
49,Sehne::N,teannán,sene
50,Sehne::N,féitheog,sene
51,Knochen::N,cnámh,ben
52,Gehirn::N,inchinn,hjerne
53,Herz::N,croí,hjerte
54,Magen::N,bolg,mave
55,Magen::N,goile,mave
56,Leber::N,ae,lever
57,Atem::N,anáil,ånde
58,Hunger::N,ocras,sult
59,Träne::N,deoir,tåre
60,Geschmack::N,blas,smag
61,Geruch::N,boladh,lugt
62,Schlaf::N,suan,søvn
63,Schlaf::N,codladh,søvn
64,Traum::N,taibhreamh,drøm
65,Himmel::N,spéir,himmel
66,Sonne::N,grian,sol
67,Mond::N,ré,måne
68,Mond::N,gealach,måne
69,Stern::N,rinn,stjerne
70,Stern::N,réalta,stjerne
71,Luft::N,aer,luft
72,Wind::N,gaoth,vind
73,Welle::N,tonn,bølge
74,Wasser::N,uisce,vand
75,Stein::N,cloch,sten
76,Boden::N,talamh,jord
77,Erde::N,cré,jord
78,Erde::N,ithir,jord
79,Staub::N,dusta,støv
80,Staub::N,deannach,støv
81,Rauch::N,toit,røg
82,Rauch::N,deatach,røg
83,Funke::N,drithle,gnist
84,Feuer::N,tine,ild
85,Licht::N,solas,lys
86,Schatten::N,scáth,skygge
87,Wetter::N,aimsir,vejr
88,Nebel::N,ceo,tåge
89,Wolke::N,néal,sky
90,Wolke::N,scamall,sky
91,Regen::N,báisteach,regn
92,Regen::N,fearthainn,regn
93,Schnee::N,sneachta,sne
94,Eis::N,oighear,is
95,Frost::N,sioc,frost
96,Kälte::N,fuacht,kulde
97,Hitze::N,teas,hede
98,Hitze::N,teocht,hede
99,Raureif::N,sioc bán,rimfrost
100,Regenbogen::N,stua ceatha,regnbue
101,Regenbogen::N,bogha báistí,regnbue
102,Donner::N,toirneach,torden
103,Strömung::N,sruth,strømning
104,Tropfen::N,deoir,dråbe
105,Schaum::N,cúr,skum
106,Schmutz::N,salachar,snavs
107,See::N,loch,sø
108,Sumpf::N,portach,sump
109,Moor::N,caorán,mose
110,Moor::N,móinteán,mose
111,Wiese::N,cluain,eng
112,Wiese::N,móinéar,eng
113,Wald::N,coill,skov
114,Wald::N,foraois,skov
115,Hügel::N,ard,høj
116,Hügel::N,ard,bakke
117,Anhöhe::N,ard,høj
118,Anhöhe::N,ard,bakke
119,Anhöhe::N,ardán,høj
120,Anhöhe::N,ardán,bakke
121,Berg::N,sliabh,bjerg
122,Gipfel::N,barr,top
123,Gipfel::N,mullach,top
124,Höhle::N,uaimh,hule
125,Höhle::N,pluais,hule
126,Abhang::N,fána,skrænt
127,Abhang::N,fána,skråning
128,Quelle::N,foinse,kilde
129,Bach::N,sruthán,bæk
130,Fluss::N,abhainn,flod
131,Ufer::N,bruach,bred
132,Küste::N,cósta,kyst
133,Küste::N,cladach,kyst
134,Festland::N,míntír,fastland
135,Meer::N,muir,hav
136,Meer::N,farraige,hav
137,Bucht::N,bá,bugt
138,Bucht::N,cuan,bugt
139,Insel::N,inis,ø
140,Insel::N,oileán,ø
141,Blume::N,bláth,blomst
142,Gras::N,féar,græs
143,Wurzel::N,rúta,rod
144,Wurzel::N,fréamh,rod
145,Baum::N,crann,træ
146,Stamm::N,stoc,stamme
147,Stamm::N,tamhan,stamme
148,Rinde::N,coirt,bark
149,Rinde::N,craiceann,bark
150,Ast::N,géag,gren
151,Zweig::N,géag,kvist
152,Zweig::N,craobh,kvist
153,Blatt::N,duille,blad
154,Blatt::N,duilleog,blad
155,Birke::N,beith,birk
156,Birke::N,crann beithe,birk
157,Kiefer[Baum]::N,péine,fyrretræ
158,Weide[Baum]::N,saileach,piletræ
159,Tanne::N,giúis,gran
160,Horn::N,adharc,horn
161,Feder::N,cleite,fjer
162,Fell::N,clúmh,skind
163,Flügel::N,eite,vinge
164,Flügel::N,sciathán,vinge
