,Concept_ID,da,ko
0,Auge::N,øje,눈
1,Ohr::N,øre,귀
2,Nase::N,næse,코
3,Mund::N,mund,입
4,Zahn::N,tand,이
5,Zunge::N,tunge,혀
6,Lippe::N,læbe,입술
7,Wange::N,kind,뺨
8,Gesicht::N,ansigt,얼굴
9,Stirn::N,pande,이마
10,Haar::N,hår,털
11,Schnurrbart::N,overskæg,윗수몀
12,Schnurrbart::N,overskæg,코밑수염
13,Bart::N,skæg,수엄
14,Kinn::N,hage,아래턱
15,Kiefer[Anatomie]::N,kæbe,턱
16,Kehle::N,strube,인후
17,Hals::N,hals,목
18,Genick::N,nakke,먹덜이
19,Kopf::N,hoved,머리
20,Rücken::N,ryg,든
21,Bauch::N,mave,배
22,Nabel::N,navle,배꼽
23,Busen::N,barm,가슴속
24,Brust::N,bryst,가슴
25,Schulter::N,skulder,어깨
26,Arm::N,arm,팔
27,Ellenbogen::N,albue,팔쿰치
28,Hand::N,hånd,손
29,Handfläche::N,håndflade,손바닥
30,Finger::N,finger,속가락
31,Fingernagel::N,fingernegl,손톱
32,Nagel[Anatomie]::N,negl,손톱
33,Zeh::N,tå,발가락
34,Fuß::N,fod,발
35,Ferse::N,hæl,발꿈치
36,Knie::N,knæ,무릎
37,Oberschenkel::N,lår,허벅다리
38,Bein::N,ben,다리
39,Körper::N,krop,구간
40,Körper::N,legeme,구간
41,Haut::N,hud,살갗
42,Blut::N,blod,피
43,Ader::N,åre,정맥
44,Sehne::N,sene,현
45,Knochen::N,ben,뼈
46,Gehirn::N,hjerne,뇌
47,Gehirn::N,hjerne,뇌수
48,Herz::N,hjerte,염통
49,Magen::N,mave,위
50,Leber::N,lever,간
51,Atem::N,ånde,기식
52,Hunger::N,sult,공복
53,Träne::N,tåre,눈물
54,Geschmack::N,smag,기호
55,Geruch::N,lugt,냄새
56,Schlaf::N,søvn,수면
57,Traum::N,drøm,쿰
58,Himmel::N,himmel,하늘
59,Sonne::N,sol,해
60,Mond::N,måne,달
61,Stern::N,stjerne,별
62,Luft::N,luft,동준
63,Luft::N,luft,가스채
64,Wind::N,vind,바람
65,Welle::N,bølge,물결
66,Wasser::N,vand,물
67,Stein::N,sten,돌
68,Boden::N,jord,바닥
69,Erde::N,jord,흙
70,Staub::N,støv,먼지
71,Rauch::N,røg,연기
72,Funke::N,gnist,불티
73,Feuer::N,ild,불
74,Licht::N,lys,불
75,Schatten::N,skygge,어스레함
76,Wetter::N,vejr,기상
77,Nebel::N,tåge,안개
78,Wolke::N,sky,구름
79,Regen::N,regn,비
80,Schnee::N,sne,눈
81,Eis::N,is,얼음
82,Frost::N,frost,혹한
83,Kälte::N,kulde,추위
84,Kälte::N,kulde,차가움
85,Hitze::N,hede,고온
86,Hitze::N,hede,더위
87,Raureif::N,rimfrost,
88,Regenbogen::N,regnbue,무지개
89,Donner::N,torden,뇌명
90,Strömung::N,strømning,유동
91,Tropfen::N,dråbe,물방울
92,Schaum::N,skum,포말
93,Schmutz::N,snavs,때
94,See::N,sø,호수
95,Sumpf::N,sump,습지
96,Moor::N,mose,저습지
97,Wiese::N,eng,목초지
98,Wald::N,skov,숲
99,Hügel::N,høj,언덕
100,Hügel::N,bakke,언덕
101,Anhöhe::N,høj,언덕
102,Anhöhe::N,bakke,언덕
103,Berg::N,bjerg,산
104,Gipfel::N,top,졀졍
105,Höhle::N,hule,공동
106,Abhang::N,skrænt,몰매
107,Abhang::N,skråning,몰매
108,Quelle::N,kilde,근원
109,Bach::N,bæk,내
110,Fluss::N,flod,강
111,Ufer::N,bred,강변
112,Ufer::N,bred,바닷가
113,Küste::N,kyst,해변
114,Küste::N,kyst,해변가
115,Festland::N,fastland,본토
116,Meer::N,hav,바다
117,Bucht::N,bugt,협만
118,Insel::N,ø,섬
119,Blume::N,blomst,꽃
120,Gras::N,græs,풀
121,Wurzel::N,rod,뿌리
122,Baum::N,træ,나무
123,Stamm::N,stamme,대
124,Rinde::N,bark,나무껍질
125,Ast::N,gren,가지
126,Zweig::N,kvist,가지
127,Blatt::N,blad,잎
128,Birke::N,birk,자작나무
129,Kiefer[Baum]::N,fyrretræ,소나무
130,Weide[Baum]::N,piletræ,쉬양버들
131,Tanne::N,gran,전나무
132,Horn::N,horn,뿔
133,Feder::N,fjer,깃털
134,Fell::N,skind,피혁모피
135,Flügel::N,vinge,날개
136,Klaue::N,klov,갈고리 발톺
137,Kralle::N,klo,발툭
138,Schwanz::N,hale,꼬리
139,Ei::N,æg,알
140,Nest::N,rede,보금자리
141,Bau::N,bo,굴
142,Tier::N,dyr,짐승
143,Herde::N,flok,가축의떼
144,Kuh::N,ko,암소
145,Bulle::N,tyr,황소
146,Pferd::N,hest,말
147,Schaf::N,får,양
148,Schwein::N,gris,돼지
149,Hund::N,hund,개
150,Katze::N,kat,고양이
151,Bär::N,bjørn,콤
152,Eichhörnchen::N,egern,다람쥐
153,Elch::N,elg,고라니
154,Fuchs::N,ræv,여우
155,Hase::N,hare,토끼
156,Maus::N,mus,쥐
157,Wolf::N,ulv,늑대
158,Vogel::N,fugl,새
159,Schwarm::N,sværm,뗴
160,Huhn::N,høne,암탉
161,Hahn::N,hane,수탉
162,Gans::N,gås,거위
163,Adler::N,ørn,수리
164,Ente::N,and,오리
165,Eule::N,ugle,부엉이
166,Kranich::N,trane,두루미
167,Krähe::N,krage,까마귀
168,Kuckuck::N,gøg,뻐꾸기
169,Schwan::N,svane,배조
170,Fisch::N,fisk,물고기
171,Barsch::N,aborre,농어
172,Hecht::N,gedde,에속스
173,Schlange[Tier]::N,slange,뱀
174,Wurm::N,orm,벌레
175,Spinne::N,edderkop,거미
176,Ameise::N,myre,개미
177,Laus::N,lus,이
178,Mücke::N,myg,모기
179,Fliege::N,flue,날기
180,Schmetterling::N,sommerfugl,나비
181,Beere::N,bær,장과
182,Apfel::N,æble,사과
183,Pilz::N,svamp,고방이
184,Zwiebel::N,løg,양파
185,Saat::N,sæd,씨
186,Korn::N,korn,알맹이
187,Heu::N,hø,건초
188,Schale::N,skræl,피상
189,Grube::N,grav,
190,Falle::N,fælde,함정
191,Schlinge::N,snare,올가미
192,Schlinge::N,snare,멜빵붕대
193,Spur::N,spor,발지국
194,Asche::N,aske,재
195,Dreck::N,snavs,똥
196,Dreck::N,snavs,오물
197,Eisen::N,jern,쇠
198,Eisen::N,jern,철
199,Gold::N,guld,항금
200,Silber::N,sølv,은
201,Kohle::N,kul,슻
202,Glas::N,glas,유리
203,Lehm::N,ler,찰흙
204,Sand::N,sand,모래
205,Mensch::N,mennesge,사람
206,Mann::N,mand,남자
207,Frau::N,kvinde,여자
208,Kind::N,barn,아이
209,Junge::N,dreng,소녁
210,Mädchen::N,pige,소녀
211,Familie::N,familie,가족
212,Großvater::N,bedstefar,할아버지
213,Großmutter::N,bedstemor,할머니
214,Eltern::N,forældre,어버오
215,Vater::N,far,아버지
216,Mutter::N,mor,어머니
217,Sohn::N,søn,아들
218,Tochter::N,datter,딸기
219,Bruder::N,bror,형제
220,Schwester::N,søster,누이
221,Onkel::N,onkel,백부
222,Tante::N,tante,아주머니
223,Ehemann::N,ægtemand,남편
224,Ehefrau::N,hustru,아내
225,Freude::N,glæde,기쁨
226,Gelächter::N,latter,웃음
227,Glück::N,lykke,즐거움
228,Kummer::N,sorg,슬픔
229,Wunsch::N,ønske,소망
230,Lust::N,lyst,
231,Geist::N,ånd,할기
232,Gedanke::N,tanke,상념
233,Gedächtnis::N,hukommelse,기억
234,Verstand::N,forstand,분별
235,Verstand::N,forstand,지능
236,Sinn::N,mening,센스
237,Sinn::N,betydning,센스
238,Grund::N,grund,까닭
239,Wahrheit::N,sandhed,참
240,Wahrheit::N,sandhed,진실
241,Gespräch::N,samtale,대화
242,Märchen::N,eventyr,동화
243,Erzählung::N,fortælling,이야기
244,Nachricht::N,efterretning,
245,Neuigkeit::N,nyhed,뉴스
246,Name::N,navn,이름
247,Rätsel::N,gåde,수수께끼
248,Rede::N,tale,연설
249,Sprache::N,sprog,말
250,Stimme::N,stemme,목소리
251,Wort::N,ord,낱말
252,Zeichen::N,tegn,신호
253,Ruf::N,råb,부름
254,Lärm::N,larm,소동
255,Laut::N,lyd,음성
256,Ton::N,tone,목소리
257,Lied::N,sang,노래
258,Ruhe::N,ro,쉼
259,Ruhe::N,hvile,쉼
260,Leute::N,folk,사람들
261,Leute::N,mennesker,사람들
262,Volk::N,folk,국중
263,Arbeit::N,arbejde,근로
264,Arbeit::N,arbejde,너무
265,Gast::N,gæst,손님
266,Geschenk::N,gave,행하
267,Spiel::N,leg,무리
268,Gesellschaft::N,selskab,교제
269,Hilfe::N,hjælp,거들음
270,Hilfe::N,hjælp,보좌
271,Freund::N,ven,친구
272,Kamerad::N,kammerat,동실자
273,Angelegenheit::N,sag,용무
