,Concept_ID,fi,ba
0,Auge::N,silmä,күҙ
1,Ohr::N,korva,ҡолаҡ
2,Nase::N,nenä,танау
3,Mund::N,suu,ауыҙ
4,Zahn::N,hammas,теш
5,Zunge::N,kieli,тел
6,Lippe::N,huuli,ирен
7,Wange::N,poski,яцаҡтар
8,Gesicht::N,naama,бит
9,Gesicht::N,kasvot,бит
10,Stirn::N,otsa,маңлай
11,Haar::N,hius,сәс
12,Haar::N,tukka,сәс
13,Schnurrbart::N,viikset,мылтыҡ
14,Bart::N,parta,һаҡал
15,Kinn::N,leuka,эйэк
16,Kiefer[Anatomie]::N,leukaluu,яңаҡ һөйәге
17,Kehle::N,kurkku,тамаҡ
18,Hals::N,kaula,муйын
19,Genick::N,niska,соңҡа
20,Kopf::N,pää,баш
21,Rücken::N,selkä,арҡа
22,Bauch::N,maha,ҡорһаҡ
23,Bauch::N,vatsa,ҡорһаҡ
24,Nabel::N,napa,кендек
25,Busen::N,rinta,күкрәк
26,Brust::N,rinta,түш
27,Schulter::N,olka,яурын
28,Schulter::N,hartia,яурын
29,Schulter::N,olkapää,яурын
30,Arm::N,käsivarsi,ҡул
31,Ellenbogen::N,kyynärpää,терһәк
32,Hand::N,käsi,ҡул
33,Hand::N,käsi,ҡул суғы
34,Handfläche::N,kämmen,ус төбө
35,Finger::N,sormi,бармаҡ
36,Fingernagel::N,kynsi,тырнаҡ
37,Nagel[Anatomie]::N,kynsi,тырнаҡ
38,Zeh::N,varvas,бармаҡ
39,Fuß::N,jalka,табан
40,Ferse::N,kantapää,үксә
41,Knie::N,polvi,тубыҡ
42,Oberschenkel::N,reisi,сандыр
43,Bein::N,jalka,аяҡ
44,Körper::N,keho,тән
45,Körper::N,ruumis,тән
46,Haut::N,iho,тире
47,Blut::N,veri,ҡан
48,Ader::N,suoni,тамыр
49,Sehne::N,jänne,һеңер
50,Sehne::N,jänne,тарамыш
51,Knochen::N,luu,һойәк
52,Gehirn::N,aivot,мейе
53,Herz::N,sydän,йорәк
54,Magen::N,maha,ашҡаҙан
55,Magen::N,vatsa,ашҡаҙан
56,Leber::N,maksa,бауыр
57,Atem::N,henki,һулыш
58,Atem::N,hengitys,һулыш
59,Hunger::N,nälkä,аслыҡ
60,Träne::N,kyynel,күҙ иәше
61,Geschmack::N,maku,тәм
62,Geruch::N,haju,еҫ
63,Schlaf::N,uni,йоҡлау
64,Traum::N,uni,төш
65,Himmel::N,taivas,күк
66,Sonne::N,aurinko,ҡояш
67,Mond::N,kuu,ай
68,Stern::N,tähti,йондоҙ
69,Luft::N,ilma,һауа
70,Wind::N,tuuli,ел
71,Welle::N,aalto,тулҡын
72,Wasser::N,vesi,һыу
73,Stein::N,kivi,таш
74,Boden::N,maa,тупраҡ
75,Boden::N,maaperä,тупраҡ
76,Erde::N,maa,балсҡ
77,Staub::N,pöly,туҙан
78,Rauch::N,savu,төтөн
79,Funke::N,kipinä,осҡон
80,Feuer::N,tuli,ут
81,Licht::N,valo,яҡтылыҡ
