,Concept_ID,cs,ko
0,Auge::N,oko,눈
1,Ohr::N,ucho,귀
2,Nase::N,nos,코
3,Mund::N,pusa,입
4,Zahn::N,zub,이
5,Zunge::N,jazyk,혀
6,Lippe::N,ret,입술
7,Wange::N,tvář,뺨
8,Gesicht::N,obličej,얼굴
9,Stirn::N,čelo,이마
10,Haar::N,vlas,털
11,Haar::N,vlasy,털
12,Schnurrbart::N,kníry,윗수몀
13,Schnurrbart::N,kníry,코밑수염
14,Bart::N,vousy,수엄
15,Kinn::N,brada,아래턱
16,Kiefer[Anatomie]::N,čelist,턱
17,Kehle::N,hrdlo,인후
18,Hals::N,krk,목
19,Genick::N,týl,먹덜이
20,Kopf::N,hlava,머리
21,Rücken::N,záda,든
22,Rücken::N,hřbet,든
23,Bauch::N,břicho,배
24,Nabel::N,pupek,배꼽
25,Busen::N,ňadra,가슴속
26,Brust::N,prsa,가슴
27,Schulter::N,plece,어깨
28,Schulter::N,rameno,어깨
29,Arm::N,ruka,팔
30,Ellenbogen::N,loket,팔쿰치
31,Hand::N,ruka,손
32,Handfläche::N,dlaň,손바닥
33,Finger::N,prst,속가락
34,Fingernagel::N,nehet,손톱
35,Nagel[Anatomie]::N,nehet,손톱
36,Zeh::N,prst u nohy,발가락
37,Fuß::N,noha,발
38,Ferse::N,pata,발꿈치
39,Knie::N,koleno,무릎
40,Oberschenkel::N,stehno,허벅다리
41,Bein::N,noha,다리
42,Körper::N,tělo,구간
43,Haut::N,kůže,살갗
44,Blut::N,krev,피
45,Ader::N,céva,정맥
46,Sehne::N,šlacha,현
47,Knochen::N,kost,뼈
48,Gehirn::N,mozek,뇌
49,Gehirn::N,mozek,뇌수
50,Herz::N,srdce,염통
51,Magen::N,žaludek,위
52,Leber::N,játra,간
53,Atem::N,dech,기식
54,Hunger::N,hlad,공복
55,Träne::N,slza,눈물
56,Geschmack::N,vkus,기호
57,Geruch::N,vůně,냄새
58,Geruch::N,zápach,냄새
59,Schlaf::N,spánek,수면
60,Traum::N,sen,쿰
61,Himmel::N,nebe,하늘
62,Sonne::N,slunce,해
63,Mond::N,měsíc,달
64,Stern::N,hvězda,별
65,Luft::N,vzduch,동준
66,Luft::N,vzduch,가스채
67,Wind::N,vítr,바람
68,Welle::N,vlna,물결
69,Wasser::N,voda,물
70,Stein::N,kámen,돌
