,Concept_ID,lez,nl
0,Auge::N,вил,oog
1,Ohr::N,яб,oor
2,Nase::N,нер,neus
3,Mund::N,сив,mond
4,Zahn::N,сас,tand
5,Zahn::N,свах,tand
6,Zunge::N,мез,tong
7,Lippe::N,пӏуз,lip
8,Wange::N,хъвехъ,wang
9,Gesicht::N,ччин,gelaat
10,Gesicht::N,ччин,gezicht
11,Stirn::N,пел,voorhoofd
12,Haar::N,чӏар,haar
13,Schnurrbart::N,спел,snor
14,Schnurrbart::N,спелар,snor
15,Bart::N,ччуру,baard
16,Kinn::N,чене,kin
17,Kiefer[Anatomie]::N,чене,kaak
18,Kehle::N,туьд,keel
19,Kehle::N,туьд,strot
20,Hals::N,гардан,hals
21,Genick::N,кьам,nek
22,Kopf::N,кьил,hoofd
23,Rücken::N,далу,rug
24,Bauch::N,руфун,buik
25,Nabel::N,пицӏ,navel
26,Busen::N,мам,boezem
27,Brust::N,хур,borst
28,Schulter::N,къуьн,schouder
29,Arm::N,гъил,arm
30,Ellenbogen::N,кьуьнт,elleboog
31,Hand::N,капаш,hand
32,Handfläche::N,капан юкь,handpalm
33,Finger::N,тӏуб,vinger
34,Fingernagel::N,кек,nagel
35,Nagel[Anatomie]::N,кек,nagel
36,Zeh::N,кул,teen
37,Fuß::N,кӏвач,voet
38,Ferse::N,дабан,hak
39,Ferse::N,дабан,hiel
40,Knie::N,мет,knie
41,Bein::N,кӏвач,been
42,Körper::N,беден,lichaam
43,Haut::N,хам,huid
44,Blut::N,иви,bloed
45,Ader::N,дамар,ader
46,Sehne::N,кьуру дамар,pees
47,Knochen::N,кӏараб,bot
48,Knochen::N,кӏараб,been
49,Knochen::N,кӏараб,knook
50,Gehirn::N,мефт,hersenen
51,Herz::N,рикӏ,hart
52,Magen::N,хук,maag
53,Leber::N,лекь,lever
54,Atem::N,ял,adem
55,Atem::N,нефес,adem
56,Hunger::N,каш,honger
57,Träne::N,вилин нагъв,traan
58,Geschmack::N,дад,smaak
59,Geschmack::N,тӏям,smaak
