,Concept_ID,mrj,hy
0,Auge::N,сӹнзӓ,աչք
1,Ohr::N,пӹлӹш,ականջ
2,Nase::N,нер,քիթ
3,Mund::N,ышма,բերան
4,Zahn::N,пӱ,ատամ
5,Zunge::N,йӹлмӹ,լեզու
6,Lippe::N,тӹрвӹ,շրթունք
7,Wange::N,шӹргӹ,այտ
8,Wange::N,шӹргӹ,թուշ
9,Gesicht::N,лицӓ,դեմք
10,Stirn::N,лепкӓ,ճակատ
11,Haar::N,ӱп,մազ
12,Schnurrbart::N,öрш,բեղ
13,Bart::N,пандаш,մորուք
14,Kinn::N,онгылаш,կզակ
15,Kiefer[Anatomie]::N,пӱ арата,ծնոտ
16,Kehle::N,логер,կոկորդ
17,Hals::N,шӱ,վիզ
18,Hals::N,шӱ,պարանոց
19,Genick::N,ланга,ծոծրակ
20,Kopf::N,вуй,գլուխ
21,Rücken::N,туп,մեջք
22,Bauch::N,мӹшкӹр,փոր
23,Bauch::N,мӹшкӹр,որովայն
24,Nabel::N,кӹлӹмдӹ,պորտ
25,Busen::N,цӹзӹ,ծոց
26,Brust::N,мел,կուրծք
27,Schulter::N,ӹнгӹжӓ,ուս
28,Arm::N,кид,թեւ
29,Arm::N,кид,բազուկ
30,Ellenbogen::N,кӹнервуй,արմունկ
31,Hand::N,лапа,ձեռք
32,Handfläche::N,кид лапа,ափ
33,Finger::N,парня,մատ
34,Fingernagel::N,кӹч,եղունգ
35,Nagel[Anatomie]::N,кӹч,եղունգ
36,Zeh::N,парня,ոտքի մատ
37,Fuß::N,ял лапа,ոտք
38,Ferse::N,ялгавал,գարշապար
39,Ferse::N,ял кавал,գարշապար
40,Knie::N,пылвуй,ծունկ
41,Oberschenkel::N,ӓрдӹ,ազդր
42,Bein::N,ял,ոտք
43,Körper::N,монгыр,մարմին
44,Haut::N,кавашты,մաշկ
45,Blut::N,вӹр,արյուն
46,Ader::N,вӹршӓр,երակ
47,Sehne::N,кукшышӱн,ջիղ
48,Sehne::N,кукшышӱн,ձգտան
49,Knochen::N,лу,ոսկոր
50,Gehirn::N,вим,խելք
51,Herz::N,шӱм,սիրտ
52,Magen::N,шӱм,ստամոքս
53,Leber::N,мокш,լյարդ
54,Atem::N,шӱлӹш,շունչ
55,Hunger::N,шужымаш,քաղց
56,Träne::N,сӹнзӓвӹд,արտասուք
57,Geschmack::N,тот,համ
58,Geschmack::N,тот,բուրմունք
59,Geruch::N,пыш,հոտ
60,Geruch::N,пыш,բուրում
61,Schlaf::N,ом,քուն
62,Traum::N,ом,երազ
63,Himmel::N,пӹлгом,երկինք
64,Sonne::N,кечӹ,արեւ
65,Mond::N,тӹлзӹ,լուսին
66,Stern::N,шӹдӹр,աստղ
67,Luft::N,юж,օդ
68,Luft::N,воздух,օդ
69,Wind::N,мардеж,քամի
70,Welle::N,ко,ալիք
71,Welle::N,коэ,ալիք
72,Wasser::N,вӹд,ջուր
73,Stein::N,кӱ,քար
74,Boden::N,рок,գետին
75,Erde::N,свет,հող
76,Staub::N,пырак,փոշի
77,Rauch::N,шӹкш,ծուխ
78,Funke::N,ип,կայծ
79,Funke::N,тылип,կայծ
80,Feuer::N,тыл,կրակ
81,Feuer::N,тыл,հրդեհ
82,Licht::N,соты,լույս
83,Licht::N,валгыды,լույս
84,Schatten::N,ӹмӹл,ստվեր
85,Wetter::N,игечӹ,եղանակ
86,Nebel::N,тӹтӹрӓ,մեգ
87,Nebel::N,тӹтӹрӓ,մառախուղ
88,Wolke::N,пӹл,ամպ
89,Regen::N,юр,անձրև
90,Schnee::N,лым,ձյուն
91,Eis::N,и,սառույց
92,Frost::N,ӱштӹ,սառնամանիք
93,Kälte::N,ӱштӹ,դող
94,Hitze::N,шокшы,շոգ
95,Raureif::N,пöрш,ցօղեղեամ
96,Regenbogen::N,шанавӹл,ծիածան
97,Donner::N,хӹдӹртӹш,որոտ
98,Strömung::N,йогы,հոսանք
99,Tropfen::N,капльы,կաթիլ
100,Tropfen::N,капльык,կաթիլ
101,Schaum::N,шонг,փրփուր
102,Schmutz::N,лявӹрӓ,կեղտ
103,See::N,йӓр,լիճ
104,Sumpf::N,лӱкӹ,ճահիճ
105,Moor::N,куп,ճահիճ
106,Wiese::N,алык,մարգագետին
107,Wald::N,шӹргӹ,անտառ
108,Hügel::N,пӱгӹрикӓ,բլուր
109,Anhöhe::N,кӱкшикӓ,բարձունք
110,Berg::N,кырык,լեռ
111,Gipfel::N,неркӓ,գագաթ
112,Gipfel::N,неркӓ,կատար
113,Höhle::N,ы́раж,քարայր
114,Abhang::N,полом,լանջ
115,Abhang::N,полом,զառիվայր
116,Quelle::N,вӹдсӹнзӓ,աղբյուր
117,Bach::N,ӓнгӹр,վտակ
118,Fluss::N,вӹд,գետ
119,Ufer::N,сир,ծովափ
120,Küste::N,сир,ափ
121,Küste::N,сир,ծովափ
122,Festland::N,мӱлӓндӹ,ցամաք
123,Meer::N,тангыж,ծով
124,Bucht::N,вӹдъял,հաչիւն
125,Insel::N,острок,վղզի
126,Blume::N,пеледӹш,ծաղիկ
127,Gras::N,шуды,խոտ
128,Wurzel::N,важ,արմատ
129,Baum::N,пушӓнгӹ,ծառ
130,Stamm::N,пушӓнгӹ тӹнг,իրան
131,Rinde::N,каргыж,կեղեւ
132,Rinde::N,каргыж,հաչոց
133,Ast::N,укш,ճյուղ
134,Zweig::N,укш,ճյուղ
135,Blatt::N,листӹ,տերեւ
136,Birke::N,куги,ցարասի
137,Kiefer[Baum]::N,йӓктӹ,սոճի
138,Weide[Baum]::N,уа,ուռենի
139,Tanne::N,кож,եղեւին
140,Horn::N,шур,
141,Feder::N,пын,փետուր
142,Fell::N,кавашты,մորթի
143,Flügel::N,шылдыр,թեւ
144,Klaue::N,кӹч,չանչ
145,Kralle::N,лапа,ճանկ
146,Schwanz::N,пач,պոչ
147,Ei::N,мыны,ձու
