,Concept_ID,ady,mn
0,Auge::N,нэ,нүд
1,Ohr::N,тхьакӏу́м,чих
2,Nase::N,пэ,хамар
3,Mund::N,жэ,ам
4,Zahn::N,цэ,шүд
5,Zunge::N,бзэгу,хэл
6,Lippe::N,ӏупшӏэ́,уруул
7,Wange::N,нэкӏу́шъу,хацар
8,Gesicht::N,нэ́гу,царай
9,Gesicht::N,нэ́гу,нүүр
10,Stirn::N,натӏэ́,дух
11,Haar::N,шъхьацы́,үс
12,Bart::N,жакӏэ́,сахал
13,Kinn::N,жэкӏэпэпкъ,эрүү
14,Kiefer[Anatomie]::N,жэпкъы́,эрүү
15,Kehle::N,чый,хоолой
16,Hals::N,пшъэ,хүзүү
17,Genick::N,шъхьэпхэтыку,шил
18,Genick::N,шъхьэпхэтыку,хүзүү
19,Kopf::N,шъхьэ́,толгой
20,Rücken::N,кӏыбы́,ар
21,Rücken::N,кӏыбы́,нуруу
22,Bauch::N,ныбэ́,хэвлий
23,Bauch::N,ныбэ́,гэдэс
24,Busen::N,бгъэ́,хөх
25,Brust::N,бгъэ́,цээж
26,Schulter::N,блыпкъ,мөр
27,Schulter::N,блыпкъ,бугалга
28,Arm::N,ӏэ,гар
29,Ellenbogen::N,ӏэнтэ́гъу,тохой
30,Hand::N,ӏэтхьэцу,гар
31,Hand::N,ӏэтхьэцу,алга
32,Handfläche::N,ӏэ́гу,алга
33,Finger::N,ӏэхъуа́мб,хуруу
34,Fingernagel::N,ӏэбжъа́н,хурууны хумс
35,Nagel[Anatomie]::N,ӏэбжъа́н,хумс
36,Zeh::N,ӏэхъуа́мб,хуруу
37,Fuß::N,лъэгу,хөл
38,Ferse::N,лъэдакъэ,өсгий
39,Knie::N,лъагуа́ндж,өвдөг
40,Oberschenkel::N,ко,гуя
41,Bein::N,лъакъо́,хөл
42,Körper::N,пкъышъол,бие
43,Haut::N,кӏы́шъу,арьс
44,Blut::N,лъы,цус
45,Ader::N,льытф,судас
46,Sehne::N,фэ,бүлх
47,Sehne::N,фэ,шандас
48,Knochen::N,къупшъхьэ́,яс
49,Gehirn::N,куцӏы,тархи
50,Herz::N,гу,зүрх
51,Magen::N,мышкӏу,ходоод
52,Leber::N,шӏу,элэг
53,Atem::N,къэщэныр,амьсгаа
54,Hunger::N,гъаблэ́,өлсгөлөн
55,Träne::N,нэпсы,нулимс
56,Geschmack::N,ӏэшӏугъа́кӏ,амт
57,Geruch::N,мэ,үнэр
58,Schlaf::N,пчыхьы́пӏ,нойр
59,Traum::N,пчыхьы́пӏ,зүүд
60,Himmel::N,уашъо́,тэнгэр
61,Himmel::N,уашъо́,огторгуй
62,Sonne::N,тыгъэ,нар
63,Mond::N,мазэ,сар
64,Stern::N,жъуагъо́,од
65,Luft::N,жьы,агаар
66,Wind::N,жьыбгъэ́,салхи
67,Welle::N,ор,долгио
68,Welle::N,ор,давалгаа
69,Welle::N,оры,долгио
70,Welle::N,оры,давалгаа
71,Wasser::N,псы,ус
72,Stein::N,мыжъо́,чулуу
73,Boden::N,чӏ́ыгу,хөрс
74,Erde::N,чӏ́ыгу,газар
75,Erde::N,чӏ́ыгу,шороо
76,Staub::N,сап,тоос
77,Rauch::N,ӏугъо́,утаа
78,Funke::N,мэшӏуа́ч,оч
79,Feuer::N,машӏо́,гал
80,Licht::N,нэфы,гэрэл
81,Licht::N,нэфы,гэгээ
82,Licht::N,нэфын,гэрэл
83,Licht::N,нэфын,гэгээ
84,Schatten::N,жьау́,сүүдэр
85,Schatten::N,ныбжьыкъу,сүүдэр
86,Nebel::N,пща́гъу,будан
87,Wolke::N,ошъуапщэ,үүл
88,Regen::N,ощхы,бороо
89,Schnee::N,осы́,цас
90,Eis::N,мылы,мөс
91,Kälte::N,чъыӏэ́,хүйт
92,Hitze::N,фэба́е,халуун
93,Regenbogen::N, лэгъупэкъо́пс,солонго
94,Donner::N,шыблэ́,тэнгэрийн дуу
95,Strömung::N,ток,урсгал
96,Tropfen::N,ткӏопс,дусал
97,Tropfen::N,гъуаткӏу,дусал
