,Concept_ID,ar,hy
0,Auge::N,عين,աչք
1,Ohr::N,أذن,ականջ
2,Nase::N,أنف,քիթ
3,Mund::N,فم,բերան
4,Zahn::N,سن,ատամ
5,Zunge::N,لسان,լեզու
6,Lippe::N,شفة,շրթունք
7,Wange::N,خد,այտ
8,Wange::N,خد,թուշ
9,Wange::N,وجنة,այտ
10,Wange::N,وجنة,թուշ
11,Gesicht::N,وجه,դեմք
12,Stirn::N,جبين,ճակատ
13,Haar::N,شعر,մազ
14,Schnurrbart::N,شارب,բեղ
15,Bart::N,لحية,մորուք
16,Kinn::N,ذقن,կզակ
17,Kiefer[Anatomie]::N,فك,ծնոտ
18,Kehle::N,حلق,կոկորդ
19,Hals::N,عنق,վիզ
20,Hals::N,عنق,պարանոց
21,Hals::N,رقبة,վիզ
22,Hals::N,رقبة,պարանոց
23,Genick::N,قفا,ծոծրակ
24,Kopf::N,رأس,գլուխ
25,Rücken::N,ظهر,մեջք
26,Bauch::N,بطن,փոր
27,Bauch::N,بطن,որովայն
28,Nabel::N,سرة,պորտ
29,Busen::N,ثدي,ծոց
30,Brust::N,صدر,կուրծք
31,Schulter::N,كتف,ուս
32,Arm::N,ذراع,թեւ
33,Arm::N,ذراع,բազուկ
34,Ellenbogen::N,كوع,արմունկ
35,Hand::N,يد,ձեռք
36,Handfläche::N,كف,ափ
37,Finger::N,إصبع,մատ
38,Fingernagel::N,ظفر,եղունգ
39,Nagel[Anatomie]::N,ظفر,եղունգ
40,Zeh::N,إصبع القدم,ոտքի մատ
41,Fuß::N,قدم,ոտք
42,Ferse::N,كعب,գարշապար
43,Knie::N,ركبة,ծունկ
44,Oberschenkel::N,فخذ,ազդր
45,Bein::N,ساق,ոտք
46,Körper::N,جسم,մարմին
47,Haut::N,بشرة,մաշկ
48,Blut::N,دم,արյուն
49,Ader::N,عرق,երակ
50,Sehne::N,طنب,ջիղ
51,Sehne::N,طنب,ձգտան
52,Knochen::N,عظم,ոսկոր
53,Gehirn::N,دماغ,խելք
54,Herz::N,قلب,սիրտ
55,Magen::N,معدة,ստամոքս
56,Leber::N,كبد,լյարդ
57,Atem::N,نفس,շունչ
