,Concept_ID,he,ja
0,Auge::N,עין,目
1,Ohr::N,אזן,耳
2,Nase::N,אף,鼻
3,Nase::N,חטם,鼻
4,Mund::N,פה,口
5,Zahn::N,שן,歯
6,Zunge::N,לשון,舌
7,Lippe::N,שפה,唇
8,Wange::N,לחי,頬
9,Gesicht::N,פנים,顔
10,Stirn::N,מצח,額
11,Haar::N,שערה,髪
12,Schnurrbart::N,שפם,口髭
13,Bart::N,זקן,髭
14,Kinn::N,סנטר,顎
15,Kiefer[Anatomie]::N,לסת,顎
16,Kehle::N,גרון,喉
17,Hals::N,צואר,首
18,Genick::N,ערף,首
19,Kopf::N,ראש,頭
20,Rücken::N,גב,背中
21,Bauch::N,בטן,腹
22,Bauch::N,בטן,お腹
23,Nabel::N,טבור,へそ
24,Busen::N,שד,乳房
25,Brust::N,חזה,胸
26,Schulter::N,כתף,肩
27,Arm::N,זרוע,腕
28,Ellenbogen::N,מרפק,肘
29,Hand::N,יד,手
30,Handfläche::N,כף יד,手のひら
31,Finger::N,אצבע,指
32,Fingernagel::N,צפרן,爪
33,Nagel[Anatomie]::N,צפרן,爪
34,Zeh::N,אצבע,足の指
35,Fuß::N,רגל,足
36,Ferse::N,עקב,かかと
37,Knie::N,ברך,膝
38,Oberschenkel::N,ירך,上腿
39,Bein::N,רגל,足
40,Körper::N,גוף,体
41,Haut::N,עור,皮膚
42,Blut::N,דם,血
43,Ader::N,וריד,血管
44,Sehne::N,גיד,腱
45,Knochen::N,עצם,骨
46,Gehirn::N,מוח,脳
47,Herz::N,לב,心
48,Herz::N,לב,心臓
49,Magen::N,קבה,胃
50,Leber::N,כבד,肝臓
51,Atem::N,נשימה,息
52,Atem::N,נשימה,呼吸
53,Hunger::N,רעב,空腹
54,Träne::N,דמעה,涙
55,Geschmack::N,טעם,味
56,Geruch::N,ריח,匂い
57,Schlaf::N,שנה,睡眠
58,Traum::N,חלום,夢
59,Himmel::N,שמים,空
60,Sonne::N,שמש,太陽
61,Mond::N,ירח,月
62,Stern::N,כוכב,星
63,Luft::N,אויר,空気
64,Wind::N,רוח,風
65,Welle::N,גל,波
66,Wasser::N,מים,水
67,Stein::N,אבן,石
68,Boden::N,קרקע,土地
69,Erde::N,אדמה,土
70,Staub::N,אבק,埃
71,Rauch::N,עשן,煙
72,Funke::N,ניצוץ,火花
73,Feuer::N,אש,火
74,Licht::N,אור,光
75,Schatten::N,צל,陰
76,Wetter::N,מזג אויר,天気
77,Nebel::N,ערפל,霧
78,Wolke::N,ענן,雲
79,Regen::N,גשם,雨
80,Schnee::N,שלג,雪
81,Eis::N,קרח,氷
82,Frost::N,צנה,霜
83,Kälte::N,קר,寒さ
84,Hitze::N,חם,暑さ
85,Raureif::N,כפור,霧氷
86,Regenbogen::N,קשת,虹
87,Donner::N,רעם,雷
88,Strömung::N,זרימה,流れ
89,Tropfen::N,טפה,滴
90,Schaum::N,קצף,泡
91,Schmutz::N,לכלוך,汚れ
92,See::N,אגם,湖
93,Sumpf::N,בצה,沼
94,Moor::N,בצה,湿原
95,Wiese::N,מרעה,草原
96,Wald::N,יער,森
97,Hügel::N,תל,丘
98,Anhöhe::N,מעלה,高み
99,Berg::N,הר,山
100,Gipfel::N,פסגה,頂上
101,Höhle::N,מערה,洞窟
102,Abhang::N,מדרון,斜面
103,Abhang::N,שפוע,斜面
104,Quelle::N,מעין,泉
105,Bach::N,נחל,小川
106,Fluss::N,נהר,川
107,Ufer::N,גדה,岸
108,Küste::N,חוף,海岸
109,Festland::N,יבשה,陸
110,Meer::N,ים,海
111,Bucht::N,מפרץ,湾
112,Insel::N,אי,島
113,Blume::N,פרח,花
114,Gras::N,דשא,草
115,Wurzel::N,שרש,根
116,Baum::N,עץ,木
117,Stamm::N,גזע,幹
118,Rinde::N,קלפת עץ,皮層
