,Concept_ID,et,hy
0,Auge::N,silm,աչք
1,Ohr::N,kõrv,ականջ
2,Nase::N,nina,քիթ
3,Mund::N,suu,բերան
4,Zahn::N,hammas,ատամ
5,Zunge::N,keel,լեզու
6,Lippe::N,huul,շրթունք
7,Wange::N,põsk,այտ
8,Wange::N,põsk,թուշ
9,Gesicht::N,nägu,դեմք
10,Stirn::N,otsmik,ճակատ
11,Haar::N,juus,մազ
12,Schnurrbart::N,vurrud,բեղ
13,Schnurrbart::N,vuntsid,բեղ
14,Bart::N,habe,մորուք
15,Kinn::N,lõug,կզակ
16,Kiefer[Anatomie]::N,lõualuu,ծնոտ
17,Kehle::N,kõri,կոկորդ
18,Hals::N,kael,վիզ
19,Hals::N,kael,պարանոց
20,Genick::N,kukal,ծոծրակ
21,Kopf::N,pea,գլուխ
22,Rücken::N,selg,մեջք
23,Bauch::N,kõht,փոր
24,Bauch::N,kõht,որովայն
25,Nabel::N,naba,պորտ
26,Busen::N,rind,ծոց
27,Brust::N,rind,կուրծք
28,Schulter::N,õlg,ուս
29,Arm::N,käsivars,թեւ
30,Arm::N,käsivars,բազուկ
31,Ellenbogen::N,küünarnukk,արմունկ
32,Hand::N,käsi,ձեռք
33,Handfläche::N,pihk,ափ
34,Finger::N,sõrm,մատ
35,Fingernagel::N,küüs,եղունգ
36,Nagel[Anatomie]::N,küüs,եղունգ
37,Zeh::N,varvas,ոտքի մատ
38,Fuß::N,jalg,ոտք
39,Ferse::N,kand,գարշապար
40,Knie::N,põlv,ծունկ
41,Oberschenkel::N,reis,ազդր
42,Bein::N,jalg,ոտք
43,Körper::N,ihu,մարմին
44,Körper::N,keha,մարմին
45,Haut::N,nahk,մաշկ
46,Blut::N,veri,արյուն
47,Ader::N,veen,երակ
48,Sehne::N,kõõlus,ջիղ
49,Sehne::N,kõõlus,ձգտան
50,Knochen::N,luu,ոսկոր
51,Gehirn::N,aju,խելք
52,Herz::N,süda,սիրտ
53,Magen::N,magu,ստամոքս
54,Leber::N,maks,լյարդ
55,Atem::N,hingeõhk,շունչ
56,Atem::N,hingamine,շունչ
57,Hunger::N,nälg,քաղց
58,Träne::N,pisar,արտասուք
59,Geschmack::N,maitse,համ
60,Geschmack::N,maitse,բուրմունք
61,Geruch::N,lõhn,հոտ
62,Geruch::N,lõhn,բուրում
63,Schlaf::N,uni,քուն
64,Traum::N,unenägu,երազ
65,Himmel::N,taevas,երկինք
66,Sonne::N,päike,արեւ
67,Mond::N,kuu,լուսին
68,Stern::N,täht,աստղ
69,Luft::N,õhk,օդ
70,Wind::N,tuul,քամի
71,Welle::N,laine,ալիք
72,Wasser::N,vesi,ջուր
73,Stein::N,kivi,քար
74,Boden::N,maa,գետին
75,Boden::N,pinnas,գետին
76,Erde::N,maa,հող
77,Staub::N,põrm,փոշի
78,Rauch::N,suits,ծուխ
79,Funke::N,säde,կայծ
80,Feuer::N,tuli,կրակ
81,Feuer::N,tuli,հրդեհ
82,Licht::N,valgus,լույս
83,Schatten::N,vari,ստվեր
84,Wetter::N,ilm,եղանակ
85,Nebel::N,udu,մեգ
86,Nebel::N,udu,մառախուղ
87,Wolke::N,pilv,ամպ
88,Regen::N,sadu,անձրև
89,Schnee::N,lumi,ձյուն
90,Eis::N,jää,սառույց
91,Frost::N,pakane,սառնամանիք
92,Kälte::N,külm,դող
93,Kälte::N,külmus,դող
94,Hitze::N,kuumus,շոգ
95,Hitze::N,palavus,շոգ
96,Raureif::N,härmatis,ցօղեղեամ
97,Regenbogen::N,vikerkaar,ծիածան
98,Donner::N,kõu,որոտ
99,Donner::N,müristamine,որոտ
100,Strömung::N,voolus,հոսանք
101,Strömung::N,jõevool,հոսանք
102,Tropfen::N,tilk,կաթիլ
103,Schaum::N,vaht,փրփուր
104,Schmutz::N,pori,կեղտ
105,Schmutz::N,mustus,կեղտ
106,See::N,järv,լիճ
107,Sumpf::N,soo,ճահիճ
108,Moor::N,raba,ճահիճ
109,Wiese::N,aas,մարգագետին
110,Wiese::N,nurm,մարգագետին
111,Wald::N,mets,անտառ
112,Hügel::N,küngas,բլուր
113,Anhöhe::N,küngas,բարձունք
114,Berg::N,mägi,լեռ
115,Gipfel::N,mäetipp,գագաթ
116,Gipfel::N,mäetipp,կատար
117,Höhle::N,koobas,քարայր
118,Abhang::N,nõlvak,լանջ
119,Abhang::N,nõlvak,զառիվայր
120,Quelle::N,allikas,աղբյուր
121,Bach::N,oja,վտակ
