,Concept_ID,uk,br
0,Auge::N,око,lagad
1,Ohr::N,вухо,skouarn
2,Nase::N,ніс,fri
3,Mund::N,рот,genoù
4,Zahn::N,зуб,dant
5,Zunge::N,язик,teod
6,Lippe::N,губа,muzell
7,Wange::N,щока,chot
8,Gesicht::N,обличчя,dremm
9,Stirn::N,лоб,tal
10,Haar::N,волосся,blev
11,Schnurrbart::N,вуса,mourenn
12,Bart::N,борода,barv
13,Kinn::N,підборіддя,groñj
14,Kiefer[Anatomie]::N,щелепа,javed
15,Kehle::N,горло,gouzoug
16,Hals::N,шия,gouzoug
17,Genick::N,потилиця,choug
18,Kopf::N,голова,penn
19,Rücken::N,спина,kein
20,Bauch::N,живіт,kof
21,Nabel::N,пупок,begel
22,Busen::N,груди,bronn
23,Brust::N,груди,bruched
24,Schulter::N,плече,skoaz
25,Arm::N,рука,brec'h
26,Ellenbogen::N,лікоть,ilin
27,Hand::N,рука,dorn
28,Handfläche::N,долоня,palv
29,Finger::N,палець,biz
30,Fingernagel::N,ніготь,ivin
31,Nagel[Anatomie]::N,ніготь,ivin
32,Zeh::N,палець на нозі,biz-troad
33,Fuß::N,нога,troad
34,Ferse::N,п’ятка,seul
35,Knie::N,коліно,glin
36,Oberschenkel::N,стегно,morzhed
37,Bein::N,нога,gar
38,Körper::N,тіло,korf
39,Haut::N,шкіра,kroc'hen
40,Blut::N,кров,gwad
41,Ader::N,вена,gwazhi
42,Sehne::N,сухожилля,stir
43,Knochen::N,кістка,askorn
44,Gehirn::N,мозок,empenn
45,Herz::N,серце,kalon
46,Magen::N,шлунок,stomog
47,Leber::N,печінка,avu
48,Atem::N,дихання,anal
49,Hunger::N,голод,naon
50,Träne::N,сльоза,daer
51,Geschmack::N,смак,blaz
52,Geruch::N,запах,c'hwezh
53,Schlaf::N,сон,kousked
54,Schlaf::N,сплячка,kousked
55,Traum::N,сон,hune
56,Himmel::N,небо,oabl
57,Sonne::N,сонце,heol
58,Mond::N,місяць,loar
59,Stern::N,зірка,steredenn
60,Luft::N,повітря,aer
61,Wind::N,вітер,avel
62,Welle::N,хвиля,houlenn
63,Wasser::N,вода,dour
64,Stein::N,камінь,maen
65,Boden::N,ґрунт,tachenn
66,Erde::N,земля,douar
67,Staub::N,пил,poultr
68,Rauch::N,дим,moged
69,Funke::N,іскра,ful
70,Feuer::N,вогонь,tan
71,Licht::N,світло,gouloù
72,Schatten::N,тінь,disheol
73,Wetter::N,погода,amzer
74,Nebel::N,туман,brumenn
75,Wolke::N,хмара,koumoulenn
76,Regen::N,дощ,glav
77,Schnee::N,сніг,erc'h
78,Eis::N,лід,skorn
79,Frost::N,мороз,rev
80,Kälte::N,холод,yen
81,Hitze::N,жар,tommder
82,Raureif::N,іній,frim
83,Regenbogen::N,райдуга,gwareg-ar-glav
84,Donner::N,грім,kurun
85,Strömung::N,струмина,red
86,Tropfen::N,крапля,bannac'h
87,Tropfen::N,крапля,takenn
88,Schaum::N,піна,spoum
89,Schmutz::N,бруд,fank
90,See::N,озеро,lenn
91,Sumpf::N,драговина,gwern
92,Moor::N,болото,taouarc'heg
93,Wiese::N,луг,prad
94,Wiese::N,лука,prad
95,Wald::N,ліс,koad
96,Hügel::N,горб,torgenn
97,Anhöhe::N,височина,run
98,Berg::N,гора,menez
99,Gipfel::N,вершина,barr
100,Höhle::N,печера,kav
101,Abhang::N,схил,naou
102,Quelle::N,джерело,feunteun
103,Bach::N,струмок,gwazh
104,Fluss::N,річка,stêr
105,Ufer::N,берег,ribl
106,Küste::N,узбережжя,aod
107,Festland::N,суша,douar
108,Meer::N,море,mor
109,Bucht::N,бухта,mor-bihan
110,Bucht::N,затока,mor-bihan
111,Insel::N,острів,enez
112,Blume::N,квітка,bleunienn
113,Gras::N,трава,geot
114,Wurzel::N,корінь,gwrizienn
115,Baum::N,дерево,gwezenn
116,Stamm::N,стовбур,kef
117,Rinde::N,кора,rusk
118,Ast::N,гілка,barr
119,Zweig::N,галузь,bod
120,Blatt::N,лист,delienn
121,Birke::N,береза,bezvenn
122,Kiefer[Baum]::N,сосна,pinenn
123,Weide[Baum]::N,верба,halegenn
124,Tanne::N,ялиця,sapenn
125,Horn::N,ріг,korn
126,Feder::N,перо,pluñv
127,Fell::N,хутро,kreoñ
128,Flügel::N,крило,askell
129,Klaue::N,кіготь,skilf
130,Kralle::N,лапа,skilf
131,Schwanz::N,хвіст,lost
132,Ei::N,яйце,vi
133,Nest::N,гніздо,neizh
134,Bau::N,лігво,douarenn
135,Tier::N,тварина,loen
136,Herde::N,стадо,tropell
137,Kuh::N,корова,buoc'h
138,Bulle::N,бик,tarv
139,Bulle::N,бугай,tarv
140,Pferd::N,кінь,marc'h
141,Schaf::N,вівця,dañvad
142,Schwein::N,свиня,pemoc'h
143,Hund::N,собака,ki
144,Katze::N,кішка,kazh
145,Bär::N,ведмідь,arzh
146,Eichhörnchen::N,білка,gwiñver
147,Elch::N,лось,karv-dour
148,Fuchs::N,лисиця,louarn
149,Hase::N,заєць,gad
150,Maus::N,миша,logodenn
151,Wolf::N,вовк,bleiz
152,Vogel::N,птах,labous
153,Schwarm::N,зграя,nijad
154,Huhn::N,курка,yar
155,Hahn::N,півень,kilhog
156,Gans::N,гуска,gwazenn
157,Adler::N,орел,erer
158,Ente::N,качка,houad
159,Eule::N,сова,toud
160,Kranich::N,журавель,garan
161,Krähe::N,ворона,bran
162,Kuckuck::N,зозуля,koukoug
163,Schwan::N,лебідь,alarc'h
164,Fisch::N,риба,pesk
165,Barsch::N,окунь,brell
166,Hecht::N,щука,beked
167,Schlange[Tier]::N,змія,naer
168,Wurm::N,черв’як,preñv
169,Spinne::N,павук,kevnidenn
170,Ameise::N,мурашка,merion
171,Laus::N,воша,laouenn
172,Mücke::N,комар,moustik
173,Fliege::N,муха,kelienenn
174,Schmetterling::N,метелик,balafenn
175,Beere::N,ягода,hog
176,Apfel::N,яблуко,aval
177,Pilz::N,гриб,kabell-touseg
178,Zwiebel::N,цибуля,ognonenn
179,Saat::N,сім’я,had
180,Korn::N,зерно,ed
181,Heu::N,сіно,foenn
182,Schale::N,шкірка,peliadur
183,Grube::N,яма,
184,Falle::N,пастка,pech
185,Schlinge::N,петля,krouglas
186,Spur::N,слід,
187,Asche::N,зола,ludu
188,Asche::N,попіл,ludu
189,Dreck::N,бруд,fank
190,Eisen::N,залізо,houarn
191,Gold::N,золото,aour
192,Silber::N,срібло,arc'hant
193,Kohle::N,вугілля,glaou
194,Glas::N,скло,gwer
195,Lehm::N,глина,
196,Sand::N,пісок,traezh
197,Mensch::N,людина,den
198,Mann::N,чоловік,den
199,Frau::N,жінка,maouez
200,Kind::N,дитина,bugel
201,Junge::N,хлопець,paotr
202,Mädchen::N,дівчина,plac'h
203,Familie::N,сім’я,familh
204,Familie::N,родина,familh
205,Großvater::N,дідусь,tad-kozh
206,Großmutter::N,бабуся,mamm-gozh
207,Eltern::N,батьки,kerent
208,Vater::N,батько,tad
209,Mutter::N,мати,mamm
210,Sohn::N,син,mab
211,Tochter::N,дочка,merc'h
212,Bruder::N,брат,breur
213,Schwester::N,сестра,c'hoar
214,Onkel::N,дядько,eontr
215,Tante::N,тітка,moereb
216,Ehemann::N,чоловік,gwaz
217,Ehefrau::N,жінка,gwreg
218,Ehefrau::N,дружина,gwreg
219,Freude::N,радощі,levenez
220,Gelächter::N,сміх,c'hoarzherezh
221,Glück::N,щастя,chañs
222,Kummer::N,горе,doan
223,Wunsch::N,бажання,c'hoant
224,Lust::N,бажання,c'hoant
225,Geist::N,дух,spered
226,Gedanke::N,думка,soñj
227,Gedächtnis::N,пам’ять,eñvor
228,Verstand::N,розум,skiant
229,Sinn::N,зміст,ster
230,Sinn::N,значення,ster
231,Grund::N,причина,kaoz
232,Wahrheit::N,правда,gwirionez
233,Gespräch::N,розмова,kaozeadenn
234,Märchen::N,байка,kaoz korriganez
235,Erzählung::N,повість,kontadenn
236,Erzählung::N,оповідання,kontadenn
237,Nachricht::N,повідомлення,keloù
238,Neuigkeit::N,новина,kelaouenn
239,Name::N,ім’я,anv
240,Rätsel::N,загадка,divinatez
241,Rede::N,промова,diskour
242,Sprache::N,мова,yezh
243,Stimme::N,голос,mouezh
244,Wort::N,слово,ger
245,Zeichen::N,знак,sin
246,Ruf::N,оклик,galv
247,Lärm::N,шум,trouz
248,Laut::N,звук,
249,Ton::N,тон,ton
250,Lied::N,пісня,kanaouenn
251,Ruhe::N,спокій,sioulded
252,Leute::N,люди,tud
253,Volk::N,народ,pobl
254,Arbeit::N,робота,labour
255,Gast::N,гість,kouviad
256,Geschenk::N,подарунок,prof
257,Spiel::N,гра,c'hoari
258,Gesellschaft::N,товариство,kompagnunezh
259,Gesellschaft::N,товариство,kavandad
260,Hilfe::N,допомога,sikour
261,Freund::N,друг,mignon
262,Freund::N,приятель,mignon
263,Kamerad::N,товариш,kamarad
264,Angelegenheit::N,справа,afer
265,Anzahl::N,число,niver
266,Art::N,рід,sort
267,Stück::N,кусок,tamm
268,Teil::N,частина,pezh
269,Hälfte::N,половина,hanterenn
270,Kreis::N,круг,kelc'h
271,Kreis::N,коло,kelc'h
272,Kreuz::N,хрест,kroaz
273,Linie::N,лінія,linenn
274,Strich::N,штрих,tenn
275,Abstand::N,проміжок,distok
276,Entfernung::N,відстань,keid
277,Entfernung::N,відстань,kehid
278,Gegend::N,місцевість,korn-bro
279,Platz::N,площа,plasenn
280,Ort::N,місце,lec'h
281,Seite::N,сторона,tu
282,Mitte::N,середина,kreiz
283,Gegenstand::N,предмет,tra
284,Sache::N,річ,tra
285,Rand::N,край,kantenn
286,Kante::N,ребро,kantenn
287,Ecke::N,ріг,korn
288,Spitze::N,кінчик,begell
289,Ende::N,кінець,dibenn
290,Loch::N,діра,toull
291,Winkel::N,куток,
292,Muster::N,узор,tresadenn
293,Größe::N,розмір,ment
294,Länge::N,довжина,hirder
295,Höhe::N,висота,uhelder
296,Gewicht::N,вага,pouez
297,Menge::N,кількість,bern
298,Haufen::N,купа,bern
299,Reihe::N,ряд,steud
300,Boot::N,човен,bag
301,Ruder::N,весло,roeñv
302,Schlitten::N,сани,trainell
303,Ski::N,лижа,ski
304,Lagerfeuer::N,вогнище,
305,Last::N,тягар,karg
306,Last::N,вантаж,karg
307,Gang::N,хід,kerzh
308,Schritt::N,крок,paz
309,Norden::N,північ,norzh
310,Norden::N,північ,hanternoz
311,Süden::N,південь,su
312,Süden::N,південь,kreisteiz
313,Westen::N,захід,kuzh-heol
314,Osten::N,схід,reter
315,Osten::N,схід,sav-heol
316,Holz::N,дрова,koad
317,Brett::N,дошка,plankenn
318,Platte::N,плита,plakenn
319,Stütze::N,підпірка,harp
320,Stange::N,жердина,sparl
321,Stock::N,палиця,bazh
322,Stab::N,палиця,bazh
323,Rohr::N,труба,tub
324,Rohr::N,труба,korz
325,Haus::N,дім,ti
326,Haus::N,хата,ti
327,Heim::N,житло,kêr
328,Ofen::N,піч,forn
329,Fußboden::N,підлога,plañchod
330,Tisch::N,стіл,taol
331,Stuhl::N,стілець,kador
332,Wiege::N,колиска,kavell
333,Bett::N,ліжко,gwele
334,Bett::N,постіль,gwele
335,Regal::N,полиця,estajerenn
336,Kiste::N,ящик,kased
337,Fenster::N,вікно,prenestr
338,Tür::N,двері,dor
339,Tor::N,ворота,portal
340,Zaun::N,паркан,sklotur
341,Zaun::N,огорожа,sklotur
342,Dach::N,дах,toenn
343,Leiter::N,драбина,skeul
344,Besen::N,мітла,skubell
345,Spaten::N,заступ,pal
346,Schaufel::N,совок,pal
347,Schaufel::N,лопата,pal
348,Gabel::N,виделка,fourchetez
349,Löffel::N,ложка,loa
350,Messer::N,ніж,kontell
351,Nagel::N,цвях,tach
352,Netz::N,сіть,roued
353,Haken::N,крюк,krog
354,Griff::N,ручка,kemer
355,Griff::N,держак,kemer
356,Schloss::N,замок,potenn
357,Bild::N,картина,skeudenn
358,Figur::N,фігура,skeud
359,Figur::N,фігура,figur
360,Puppe::N,лялька,merc'hodenn
361,Beutel::N,мішечок,sac'h
362,Beutel::N,торбинка,sac'h
363,Bündel::N,в’язка,feskenn
364,Tasche::N,сумка,sac'h
365,Eimer::N,відро,sailh
366,Deckel::N,кришка,pallenn
367,Geschirr::N,посуд,listriaj
368,Sack::N,мішок,sac'h
369,Tasse::N,чашка,tas
370,Topf::N,горщик,pod
371,Kessel::N,котел,chaodouron
372,Essen::N,їжа,pred
373,Nahrung::N,харч,boued
374,Speise::N,страва,meuz
375,Fleisch::N,м’ясо,kig
376,Getreide::N,хліб,ed
377,Getreide::N,збіжжя,ed
378,Brei::N,каша,yod
379,Brot::N,хліб,bara
380,Scheibe::N,скибочка,tailhenn
381,Fett::N,жир,lard
382,Butter::N,масло,amann
383,Öl::N,олія,eoul
384,Salz::N,сіль,holen
385,Suppe::N,суп,soubenn
386,Honig::N,мед,mel
387,Milch::N,молоко,laezh
388,Tee::N,чай,te
389,Leder::N,шкіра,lêr
390,Wolle::N,шерсть,gloan
391,Stoff::N,тканина,danvez
392,Nadel::N,голка,nadoz
393,Faden::N,нитка,neudenn
394,Knopf::N,ґудзик,bouton
395,Knoten::N,вузол,skoulm
396,Farbe::N,фарба,liv
397,Kleidung::N,одяг,dilhad
398,Kleidung::N,убрання,dilhad
399,Hemd::N,сорочка,roc'hed
400,Kragen::N,комір,gouzoug
401,Ärmel::N,рукав,milgin
402,Hose::N,брюки,bragoù
403,Gürtel::N,пояс,gouriz
404,Mütze::N,шапка,boned
405,Schuh::N,ботинок,botez
406,Stiefel::N,чобіт,botez
407,Ring::N,кільце,gwalenn
408,Band::N,стрічка,bagad
409,Kamm::N,гребінець,krib
410,Spiegel::N,дзеркало,melezour
411,Riemen::N,ремінь,lerenn
412,Schnur::N,вірьовка,kordenn
413,Leine::N,шворка,roll
414,Decke::N,ковдра,golo
415,Kissen::N,подушка,goubenner
416,Tuch::N,хустка,mezher
417,Handtuch::N,рушник,toailhon
418,Kraft::N,сила,nerzh
419,Stärke::N,сила,nerzhder
420,Gesundheit::N,здоров’я,yec'hed
421,Krankheit::N,хвороба,klañved
422,Schmerz::N,біль,poan
423,Schmerz::N,біль,droug
424,Wunde::N,рана,gloazadenn
425,Fieber::N,гарячка,terzhienn
426,Arznei::N,ліки,louzoù
427,Brücke::N,міст,pont
428,Brunnen::N,колодязь,puñs
429,Weide::N,пасовище,prad
430,Pfad::N,стежка,gwenodenn
431,Weg::N,шлях,hent
432,Weg::N,дорога,hent
433,Straße::N,вулиця,ru
434,Straße::N,вулиця,hent
435,Dorf::N,село,kêr
436,Dorf::N,село,kêriadenn
437,Stadt::N,місто,kêr
438,Brief::N,лист,lizher
439,Buch::N,книга,levr
440,Buch::N,книжка,levr
441,Buchstabe::N,буква,lizherenn
442,Buchstabe::N,літера,lizherenn
443,Zeitung::N,газета,kazetenn
444,Leben::N,життя,buhez
445,Tod::N,смерть,marv
446,Grab::N,могила,bez
447,Kirche::N,церква,iliz
448,Sünde::N,гріх,pec'hed
449,Gott::N,бог,doue
450,Arbeiter::N,робітник,labourer
451,Arbeiter::N,робітник,micherour
452,Chef::N,хазяїн,penn
453,Meister::N,умілець,mestr
454,Arzt::N,лікар,mezeg
455,Arzt::N,лікар,medisin
456,Lehrer::N,вчитель,skolaer
457,Lehrer::N,вчитель,kelenner
458,Geld::N,гроші,arc'hant
459,Geschäft::N,заняття,stal
460,Laden::N,магазин,stal
461,Laden::N,крамниця,stal
462,Preis::N,ціна,priz
463,Ware::N,товар,marc'hadourezh
464,Nutzen::N,вигода,gounidegezh
465,Nutzen::N,вигода,lañs
466,Nutzen::N,вигода,profit
467,Nutzen::N,вигода,spleit
468,Nutzen::N,користь,gounidegezh
469,Nutzen::N,користь,lañs
470,Nutzen::N,користь,profit
471,Nutzen::N,користь,spleit
472,Reichtum::N,багатство,pinvidigezh
473,Welt::N,світ,douar
474,Land::N,країна,bro
475,Staat::N,держава,stad
476,König::N,король,roue
477,Macht::N,влада,galloud
478,Grenze::N,кордон,harzoù
479,Krieg::N,війна,brezel
480,Feind::N,ворог,eneber
481,Gewalt::N,насильство,tâerder
482,Kampf::N,бій,kann
483,Kampf::N,боротьба,kann
484,Bogen[Waffe]::N,лук,gwareg
485,Pfeil::N,стріла,saezh
486,Gewehr::N,рушниця,fuzuilh
487,Gewehr::N,гвинтівка,fuzuilh
488,Fehler::N,помилка,fazi
489,Lüge::N,брехня,gaou
490,Schaden::N,шкода,gwall
491,Schaden::N,збиток,gwall
492,Unglück::N,нещастя,gwalleur
493,Schuld::N,провина,kablusted
494,Schuld::N,провина,pec'hedigezh
495,Alter::N,вік,oad
496,Alter::N,літа,oad
497,Schluss::N,кінець,diwezh
498,Zeit::N,час,amzer
499,Tag::N,день,deizh
500,Morgen::N,ранок,beure
501,Morgen::N,ранок,mintin
502,Mittag::N,південь,kreisteiz
503,Abend::N,вечір,abardaez
504,Nacht::N,ніч,noz
505,Woche::N,тиждень,sizhun
506,Monat::N,місяць,miz
507,Jahr::N,рік,bloaz
508,Frühling::N,весна,nevezamzer
509,Sommer::N,літо,hañv
510,Herbst::N,осінь,diskaramzer
511,Winter::N,зима,goañv
512,Januar::N,січень,Genver
513,Februar::N,лютий,C'hwevrer
514,März::N,березень,Meurzh
515,April::N,квітень,Ebrel
516,Mai::N,травень,Mae
517,Juni::N,червень,Mezheven
518,Juli::N,липень,Gouhere
519,August::N,серпень,Eost
520,September::N,вересень,Gwengolo
521,Oktober::N,жовтень,Here
522,November::N,листопад,Du
523,Dezember::N,грудень,Kerzu
524,Montag::N,понеділок,Lun
525,Dienstag::N,вівторок,Meurzh
526,Mittwoch::N,середа,Merc'her
527,Donnerstag::N,четвер,Yaou
528,Freitag::N,п’ятниця,Gwener
529,Samstag::N,субота,Sadorn
530,Sonntag::N,неділя,Sul
531,groß::A,великий,bras
532,klein::A,малий,bihan
533,klein::A,маленький,bihan
534,lang::A,довгий,hir
535,kurz::A,короткий,berr
536,breit::A,широкий,ledan
537,schmal::A,вузький,strizh
538,dicht::A,густий,stank
539,dick[Gegenstand]::A,товстий,tev
540,dünn::A,тонкий,moan
541,fein::A,дрібний,munut
542,fest::A,міцний,start
543,flach::A,плоский,plaen
544,glatt::A,рівний,lintr
545,glatt::A,рівний,levn
546,glatt::A,гладенький,lintr
547,glatt::A,гладенький,levn
548,hart::A,твердий,kalet
549,weich::A,м’який,blot
550,rund::A,круглий,ront
551,spitz::A,гострокінцевий,poentet
552,scharf::A,гострий,dremm
553,stumpf::A,тупий,talsoc'h
554,schwer::A,важкий,pounner
555,schön::A,вродливий,kaer
556,heiß::A,жаркий,tomm
557,heiß::A,гарячий,tomm
558,warm::A,теплий,tomm
559,kalt::A,холодний,yen
560,kühl::A,прохолодний,yen
561,frisch::A,свіжий,fresk
562,feucht::A,вогкий,gleb
563,nass::A,мокрий,gleb
564,trocken::A,сухий,sec'h
565,voll::A,повний,leun
566,leer::A,пустий,goullo
567,offen::A,відкритий,digor
568,geschlossen::A,закритий,serr
569,geschlossen::A,зачинений,serr
570,sauber::A,чистий,naet
571,sauber::A,охайний,naet
572,schmutzig::A,брудний,lous
573,roh::A,сирий,kriz
574,reif::A,зрілий,darev
575,lecker::A,смачний,lipous
576,lecker::A,смачний,saourus
577,süß::A,солодкий,dous
578,bitter::A,гіркий,c'hwerv
579,sauer::A,кислий,trenk
580,hell::A,світлий,sklaer
581,dunkel::A,темний,teñval
582,schwarz::A,чорний,du
583,weiß::A,сивий,gwenn
584,rot::A,червоний,ruz
585,gelb::A,жовтий,melen
586,blau::A,синій,glas
587,grün::A,зелений,gwer
588,grau::A,сірий,louet
589,bunt::A,барвистий,liesliv
590,billig::A,дешевий,marc'had-mat
591,teuer::A,дорогий,ker
592,wertvoll::A,цінний,prizius
593,blind::A,сліпий,dall
594,taub::A,глухий,bouzar
595,kräftig::A,могутній,start
596,stark::A,сильний,kreñv
597,schwach::A,слабкий,gwan
598,fett::A,жирний,lard
599,fett::A,товстий,lard
600,schlank::A,тонкий,sinkl
601,schlank::A,стрункий,sinkl
602,hübsch::A,чарівний,koant
603,böse::A,злий,gwall
604,böse::A,лихий,gwall
605,dumm::A,дурний,glep
606,faul::A,ледачий,lezirek
607,fleißig::A,старанний,studius
608,geizig::A,скупий,tost
609,klug::A,мудрий,speredek
610,klug::A,розумний,speredek
611,geschickt::A,умілий,dornet
612,lieb::A,милий,koant
613,lustig::A,веселий,laouen
614,sanft::A,лагідний,flour
615,hungrig::A,голодний,marnaon
616,krank::A,слабий,klañv
617,nackt::A,голий,noazh
618,traurig::A,сумний,trist
619,lebendig::A,живий,bev
620,gut::A,добрий,mad
621,schlecht::A,поганий,fall
622,schlecht::A,поганий,gwall
623,schlecht::A,кепський,fall
624,schlecht::A,кепський,gwall
625,richtig::A,правильний,reizh
626,schlimm::A,бридкий,gwall
627,wahr::A,справжній,gwir
628,alt::A,старий,kozh
629,neu::A,новий,nevez
630,ehemalig::A,колишній,kozh
631,alt[Lebewesen]::A,старий,kozh
632,jung::A,молодий,yaouank
633,arm::A,бідний,paour
634,reich::A,багатий,pinvidik
635,bekannt::A,знайомий,anavezet
636,berühmt::A,славетний,brudet
637,fremd::A,чужий,dizanav
638,verschieden::A,різний,disheñel
639,nah::A,близький,nes
640,fern::A,далекий,diabell
641,linker::A,лівий,kleiz
642,rechter::A,правий,dehoù
643,anderer::A,інакший,all
644,erster::A,перший,kentañ
645,zweiter::A,другий,eil
646,dritter::A,третій,trede
647,letzter::A,останній,diwezhañ
648,allein::ADV,сам,e-unan
649,allein::ADV,один,e-unan
650,auf einmal::ADV,відразу,ar un dro
651,zusammen::ADV,разом,asambles
652,zusammen::ADV,спільно,asambles
653,lange::ADV,довго,pell
654,plötzlich::ADV,раптом,en un taol
655,sofort::ADV,зараз,diouzhtu
656,später::ADV,пізніше,diwezhatoc'h
657,jetzt::ADV,тепер,bremañ
658,heute::ADV,сьогодні,hiziv
659,morgen::ADV,завтра,arc'hoazh
660,bald::ADV,незабаром,hepdale
661,dann::ADV,потім,a-c'houde
662,gestern::ADV,вчора,dec'h
663,einst::ADV,колись,gwechall
664,damals::ADV,тоді,neuze
665,danach::ADV,згодом,goude
666,vorher::ADV,раніше,diagent
667,zuerst::ADV,спершу,da gentañ
668,zuerst::ADV,спочатку,da gentañ
669,einmal::ADV,один раз,ur wech
670,manchmal::ADV,іноді,a-wechoù
671,manchmal::ADV,інколи,a-wechoù
672,oft::ADV,часто,alies
673,immer::ADV,завжди,atav
674,immer::ADV,завжди,bepred
675,niemals::ADV,ніколи,gwech ebet
676,hier::ADV,тут,amañ
677,hierhin::ADV,сюди,dre amañ
678,von hier::ADV,звідси,alemañ
679,dort::ADV,там,aze
680,dort::ADV,там,ahont
681,dorthin::ADV,туди,di
682,dorthin::ADV,туди,aze
683,dorthin::ADV,туди,ahont
684,geradeaus::ADV,прямо,war-eeun
685,vorwärts::ADV,вперед,war-raok
686,rückwärts::ADV,назад,war-lerc'h
687,zurück::ADV,назад,war-dreñv
688,unten::ADV,внизу,en traoñ
689,hinab::ADV,вниз,a-izel
690,oben::ADV,вгорі,en nec'h
691,hinauf::ADV,вгору,e-krec'h
692,überall::ADV,скрізь,dre-holl
693,nicht::ADV,не,ne ... ket
694,ein wenig::ADV,трохи,un tammig
695,ein wenig::ADV,небагато,un tammig
696,kaum::ADV,ледве,a-boan
697,sehr::ADV,дуже,-tre
698,sehr::ADV,дуже,-kenañ
699,so::ADV,так,evel-se
700,noch::ADV,ще,c'hoazh
701,nur::ADV,лише,hepken
702,nur::ADV,тільки,hepken
703,schon::ADV,вже,dija
704,wieder::ADV,знову,adarre
705,vergebens::ADV,дарма,
706,vor::PRP,перед,dirak
707,hinter::PRP,ззаду,a-drek
708,hinter::PRP,ззаду,a-dreñv
709,hinter::PRP,позаду,a-drek
710,hinter::PRP,позаду,a-dreñv
711,unter::PRP,під,dindan
712,durch::PRP,крізь,dre
713,neben::PRP,біля,e-kichen
714,zwischen::PRP,між,etre
715,wegen::PRP,з-за,abalamour da
716,wegen::PRP,через,abalamour da
717,dies::PRN,це,hemañ
718,das::PRN,то,se
719,das::PRN,то,hennezh
720,alles::PRN,все,pep tra
721,ich::PRN,я,me
722,du::PRN,ти,te
723,er::PRN,він,eñ
724,wir::PRN,ми,ni
725,ihr::PRN,ви,c'hwi
726,sie::PRN,вони,int
727,was::FPRN,що,petra
728,wer::FPRN,хто,piv
729,wo::FADV,де,pelec'h
730,wohin::FADV,куди,da belec'h
731,wie::FADV,як,penaos
732,warum::FADV,чому,perak
