,Concept_ID,ce,xal
0,Auge::N,бӏаьрг,нүдн
1,Ohr::N,лерг,чикн
2,Nase::N,мара,хамр
3,Mund::N,бага,амн
4,Zahn::N,церг,шүдн
5,Zunge::N,мотт,келн
6,Lippe::N,балда,урл
7,Wange::N,бесни,халх
8,Gesicht::N,юьхь,нүр
9,Stirn::N,хьаж,маңна
10,Haar::N,мас,үсн
11,Schnurrbart::N,мекх,сахл
12,Bart::N,маж,сахл
13,Bart::N,маж,өргнә сахл
14,Kinn::N,чӏениг,өргн
15,Kiefer[Anatomie]::N,мочхал,өргн
16,Kehle::N,къамкъарг,хол
17,Hals::N,ворта,күзүн
18,Genick::N,кӏесаркӏаг,гиҗг
19,Kopf::N,корта,толһа
20,Rücken::N,букъ,нурһн
21,Bauch::N,кийра,гесн
22,Nabel::N,цӏонга,киисн
23,Busen::N,зударийн накха,көкн
24,Brust::N,накха,чееҗ
25,Schulter::N,белш,ээм
26,Arm::N,пхьарс,һар
27,Ellenbogen::N,пхьаьрсан гола,тоха
28,Hand::N,куьг,баһлцг
29,Handfläche::N,кераюкъ,альхн
30,Finger::N,пӏелг,хурһн
31,Finger::N,пӏелг,һарин хурһн
32,Fingernagel::N,мӏара,хумсн
33,Nagel[Anatomie]::N,мӏара,хумсн
34,Zeh::N,кога пӏелг,хурһн
35,Zeh::N,кога пӏелг,көлин хурһн
36,Fuß::N,ког,тавг
37,Ferse::N,кӏажа,өскә
38,Knie::N,гола,өвдг
39,Oberschenkel::N,варе,һуй
40,Bein::N,ког,көл
41,Körper::N,хӏума,махмуд
42,Haut::N,чкъор,арсн
43,Blut::N,цӏий,цусн
44,Ader::N,пха,судцн
45,Sehne::N,хьорзам,шүрүсн
46,Knochen::N,даьӏахк,ясн
47,Gehirn::N,хье,экн
48,Herz::N,дог,зүркн
49,Magen::N,зорх,гесн
50,Leber::N,доӏах,элкн
51,Atem::N,садеӏар,әмсхл
52,Hunger::N,мацалла,харһнлһн
53,Träne::N,бӏаьрхи,нульмсн
54,Geschmack::N,чам,амтн
55,Geruch::N,хьожа,үнр
56,Schlaf::N,наб,нөр
57,Traum::N,гӏан,зүүдн
58,Himmel::N,стигал,теңгр
59,Sonne::N,малх,нарн
60,Mond::N,бутт,сар
61,Stern::N,седа,одн
62,Luft::N,xӏаваъ,аһар
63,Wind::N,мох,салькн
64,Welle::N,тулгӏе,дольган
65,Wasser::N,хи,усн
66,Stein::N,тӏулг,чолун
67,Boden::N,цӏенкъа,Һазр
68,Erde::N,латта,Һазр
69,Staub::N,чан,тоосн
70,Rauch::N,кӏур,утан
71,Funke::N,суй,очн
72,Feuer::N,цӏе,һал
73,Licht::N,серло,герл
74,Schatten::N,ӏиндагӏ,сүүдр
75,Wetter::N,хенан хӏоттам,теңгр
76,Nebel::N,дохк,будн
77,Wolke::N,марха,үүлн
78,Regen::N,догӏа,хур
79,Schnee::N,ло,цасн
80,Eis::N,ша,мөсн
81,Frost::N,шело,киитн
82,Kälte::N,шело,киитн
83,Hitze::N,йовхо,халун
84,Raureif::N,йис,цаң
85,Raureif::N,йис,кирү
86,Regenbogen::N,стелаӏад,солңһ
87,Donner::N,ткъес,оһтрһун дун
88,Strömung::N,дӏаэхар,урсхл
89,Strömung::N,дӏасалелар,урсхл
90,Tropfen::N,тӏадам,дусал
91,Schaum::N,чопа,көөсн
92,Schmutz::N,хатт,кир
93,See::N,ӏам,нур
94,Sumpf::N,уьшал,унул
95,Moor::N,уьшал,улм
96,Wiese::N,бай,хадлһн
97,Wald::N,хьун,ө-модн
98,Hügel::N,гу,толһа
99,Hügel::N,шу,толһа
100,Hügel::N,барз,толһа
101,Anhöhe::N,акъари,хамр
102,Berg::N,лам,уул
103,Gipfel::N,бохь,ора
104,Höhle::N,хьех,хадин көндә
105,Abhang::N,басе,ташу
106,Quelle::N,шовда,булг
107,Bach::N,татол,һооҗур
108,Fluss::N,хи,һол
109,Ufer::N,хийист,көвә
110,Küste::N,йист,көвә
111,Küste::N,йист,теңгсин көвә
112,Festland::N,латта,хүүрә һазр
113,Meer::N,xӏорд,теңгс
