,Concept_ID,fi,ku
0,Auge::N,silmä,çav
1,Ohr::N,korva,guh
2,Nase::N,nenä,bêvil
3,Mund::N,suu,dev
4,Zahn::N,hammas,didan
5,Zunge::N,kieli,ziman
6,Lippe::N,huuli,lêv
7,Wange::N,poski,dêm
8,Wange::N,poski,hinarik
9,Gesicht::N,naama,rû
10,Gesicht::N,kasvot,rû
11,Stirn::N,otsa,enî
12,Haar::N,hius,por
13,Haar::N,tukka,por
14,Schnurrbart::N,viikset,simbêl
15,Bart::N,parta,rih
16,Kinn::N,leuka,zenî
17,Kiefer[Anatomie]::N,leukaluu,arguşk
18,Kehle::N,kurkku,qirik
19,Hals::N,kaula,stû
20,Hals::N,kaula,qirik
21,Genick::N,niska,stû
22,Kopf::N,pää,serî
23,Rücken::N,selkä,pişt
24,Bauch::N,maha,ûr
25,Bauch::N,maha,zik
26,Bauch::N,vatsa,ûr
27,Bauch::N,vatsa,zik
28,Nabel::N,napa,navik
29,Busen::N,rinta,sîng
30,Brust::N,rinta,sîng
31,Schulter::N,olka,mil
32,Schulter::N,hartia,mil
33,Schulter::N,olkapää,mil
34,Arm::N,käsivarsi,çepil
35,Ellenbogen::N,kyynärpää,enîşk
36,Hand::N,käsi,dest
37,Handfläche::N,kämmen,kefadest
38,Finger::N,sormi,tilî
39,Fingernagel::N,kynsi,neynuk
40,Nagel[Anatomie]::N,kynsi,bizmar
41,Zeh::N,varvas,tilî linga
42,Fuß::N,jalka,ling
43,Ferse::N,kantapää,pahnî
44,Knie::N,polvi,kabok
45,Oberschenkel::N,reisi,rahn
46,Bein::N,jalka,çip
47,Körper::N,keho,laş
48,Körper::N,keho,gowde
49,Körper::N,ruumis,laş
50,Körper::N,ruumis,gowde
51,Haut::N,iho,çerm
52,Blut::N,veri,xwîn
53,Ader::N,suoni,reh
54,Sehne::N,jänne,reh
55,Knochen::N,luu,hestî
56,Gehirn::N,aivot,mêjî
57,Herz::N,sydän,dil
58,Magen::N,maha,navêş
59,Magen::N,vatsa,navêş
60,Leber::N,maksa,kezeb
61,Atem::N,henki,hilm
62,Atem::N,hengitys,hilm
63,Hunger::N,nälkä,birçîtî
64,Träne::N,kyynel,hêstir
65,Geschmack::N,maku,tam
66,Geruch::N,haju,bêhn
67,Schlaf::N,uni,xew
68,Traum::N,uni,xewn
69,Himmel::N,taivas,ezman
70,Sonne::N,aurinko,roj
71,Mond::N,kuu,heyv
72,Stern::N,tähti,stêrk
73,Luft::N,ilma,ba
74,Wind::N,tuuli,ba
75,Welle::N,aalto,şewl
76,Wasser::N,vesi,av
77,Stein::N,kivi,kevir
78,Boden::N,maa,herd
79,Boden::N,maaperä,herd
80,Erde::N,maa,ax
81,Staub::N,pöly,toz
