,Concept_ID,en,cy
0,Auge::N,eye,llygad
1,Ohr::N,ear,clust
2,Nase::N,nose,trwyn
3,Mund::N,mouth,ceg
4,Zahn::N,tooth,dant
5,Zunge::N,tongue,tafod
6,Lippe::N,lip,gwefus
7,Wange::N,cheek,boch
8,Gesicht::N,face,wyneb
9,Stirn::N,forehead,talcen
10,Haar::N,hair,blew
11,Schnurrbart::N,moustache,mwstas
12,Bart::N,beard,barf
13,Kinn::N,chin,gên
14,Kiefer[Anatomie]::N,jaw,gên
15,Kehle::N,throat,gwddf
16,Hals::N,neck,gwddf
17,Genick::N,nape,gwar
18,Genick::N,nape,gwegil
19,Kopf::N,head,pen
20,Rücken::N,back,cefn
21,Rücken::N,spine,cefn
22,Bauch::N,belly,bol
23,Nabel::N,navel,bogail
24,Busen::N,bosom,bron
25,Brust::N,chest,brest
26,Brust::N,breast,brest
27,Schulter::N,shoulder,ysgwydd
28,Arm::N,arm,braich
29,Ellenbogen::N,elbow,penelin
30,Hand::N,hand,llaw
31,Handfläche::N,palm,palf
32,Finger::N,finger,bys
33,Fingernagel::N,fingernail,ewin
34,Nagel[Anatomie]::N,nail,ewin
35,Zeh::N,toe,bys troed
36,Fuß::N,foot,troed
37,Ferse::N,heel,sawdl
38,Knie::N,knee,glin
39,Oberschenkel::N,thigh,clun
40,Bein::N,leg,coes
41,Körper::N,body,corff
42,Haut::N,skin,croen
43,Blut::N,blood,gwaed
44,Ader::N,vein,gwythïen
45,Sehne::N,sinew,gewyn
46,Knochen::N,bone,asgwrn
47,Gehirn::N,brain,ymennydd
48,Herz::N,heart,calon
49,Magen::N,stomach,cylla
50,Magen::N,stomach,stumog
51,Leber::N,liver,iau
52,Atem::N,breath,anadl
53,Hunger::N,hunger,newyn
54,Träne::N,tear,deigryn
55,Geschmack::N,flavour,cyflas
56,Geschmack::N,flavor,cyflas
57,Geruch::N,odour,aroglau
58,Geruch::N,odor,aroglau
59,Schlaf::N,sleep,cwsg
60,Traum::N,dream,breuddwyd
61,Himmel::N,sky,awyr
62,Sonne::N,sun,haul
63,Mond::N,moon,lleuad
64,Stern::N,star,seren
65,Luft::N,air,awyr
66,Wind::N,wind,gwynt
67,Welle::N,wave,ton
68,Wasser::N,water,dŵr
69,Stein::N,stone,carreg
70,Boden::N,soil,llawr
71,Boden::N,ground,llawr
72,Erde::N,earth,pridd
73,Staub::N,dust,llwch
74,Rauch::N,smoke,mwg
75,Funke::N,spark,gwreichioni
76,Feuer::N,fire,tân
77,Licht::N,light,golau
78,Schatten::N,shadow,cysgod
79,Wetter::N,weather,tywydd
80,Nebel::N,fog,niwl
81,Wolke::N,cloud,cwmwl
82,Regen::N,rain,glaw
83,Schnee::N,snow,ôd
84,Schnee::N,snow,eira
85,Eis::N,ice,iâ
86,Frost::N,frost,rhew
87,Kälte::N,chill,oerni
88,Kälte::N,chill,annwyd
89,Hitze::N,heat,gwres
90,Raureif::N,hoarfrost,barrug
91,Regenbogen::N,rainbow,enfys
92,Donner::N,thunder,tyrfau
93,Strömung::N,current,cerrynt
94,Tropfen::N,drop,dafn
95,Tropfen::N,drop,diferyn
96,Schaum::N,foam,ewyn
97,Schmutz::N,dirt,baw
98,Schmutz::N,dirt,budreddi
99,See::N,lake,llyn
100,Sumpf::N,swamp,cors
101,Moor::N,moor,rhos
102,Wiese::N,meadow,dôl
103,Wald::N,forest,coedwig
104,Hügel::N,hill,bryn
105,Anhöhe::N,elevation,bryn
106,Berg::N,mountain,mynydd
107,Gipfel::N,summit,copa
108,Höhle::N,cave,ogof
109,Abhang::N,slope,llethr
110,Quelle::N,source,tarddiad
111,Quelle::N,source,ffynhonnell
112,Bach::N,brook,nant
113,Bach::N,brook,afonig
114,Bach::N,brook,cornant
115,Fluss::N,river,afon
116,Ufer::N,shore,glan
117,Küste::N,coast,traeth
118,Küste::N,coast,arfordir
119,Festland::N,land,tir
120,Meer::N,sea,môr
121,Bucht::N,cove,bae
122,Insel::N,island,ynys
123,Blume::N,flower,blodyn
124,Gras::N,grass,glaswellt
125,Wurzel::N,root,gwreiddyn
126,Baum::N,tree,coeden
127,Stamm::N,trunk,colfen
128,Stamm::N,trunk,boncyff
129,Rinde::N,bark,rhisgl
130,Ast::N,limb,cangen
131,Zweig::N,branch,cainc
132,Zweig::N,branch,cangen
133,Blatt::N,leaf,deilen
134,Birke::N,birch,bedwen
135,Kiefer[Baum]::N,pine,pinwydden
136,Weide[Baum]::N,willow,helygen
137,Tanne::N,fir,ffynidwydden
138,Horn::N,horn,corn
139,Feder::N,feather,plufyn
140,Fell::N,fur,ffwr
141,Flügel::N,wing,adain
142,Klaue::N,claw,crafanc
143,Kralle::N,claw,ewin
144,Schwanz::N,tail,cwt
145,Schwanz::N,tail,cynffon
146,Ei::N,egg,wy
147,Nest::N,nest,nyth
148,Bau::N,lair,ffau
149,Tier::N,animal,anifail
150,Herde::N,flock,praidd
151,Herde::N,flock,diadell
152,Kuh::N,cow,buwch
153,Bulle::N,bull,tarw
154,Pferd::N,horse,ceffyl
155,Schaf::N,sheep,dafad
156,Schwein::N,pig,mochyn
157,Hund::N,dog,ci
158,Katze::N,cat,cath
159,Bär::N,bear,arth
160,Eichhörnchen::N,squirrel,gwiwer
161,Elch::N,elk,elc
162,Fuchs::N,fox,cadno
163,Hase::N,hare,ysgyfarnog
164,Maus::N,mouse,llygoden
165,Wolf::N,wolf,blaidd
166,Vogel::N,bird,aderyn
167,Schwarm::N,swarm,haid
168,Huhn::N,chicken,cyw
169,Hahn::N,cock,ceiliog
170,Gans::N,goose,gŵydd
171,Adler::N,eagle,eryr
172,Ente::N,duck,hwyad
173,Eule::N,owl,tylluan
174,Kranich::N,crane,garan
175,Kranich::N,crane,crychydd
176,Krähe::N,crow,brân
177,Kuckuck::N,cuckoo,cog
178,Kuckuck::N,cuckoo,cwcw
179,Schwan::N,swan,alarch
180,Fisch::N,fish,pysgod
181,Barsch::N,perch,draenog
182,Hecht::N,pike,penhwyad
183,Schlange[Tier]::N,snake,neidr
184,Wurm::N,worm,abwydyn
185,Wurm::N,worm,pryf genwair
186,Spinne::N,spider,cor
187,Spinne::N,spider,pryf copyn
188,Ameise::N,ant,morgrugyn
189,Laus::N,louse,lleuen
