,Concept_ID,en,mrj
0,Auge::N,eye,сӹнзӓ
1,Ohr::N,ear,пӹлӹш
2,Nase::N,nose,нер
3,Mund::N,mouth,ышма
4,Zahn::N,tooth,пӱ
5,Zunge::N,tongue,йӹлмӹ
6,Lippe::N,lip,тӹрвӹ
7,Wange::N,cheek,шӹргӹ
8,Gesicht::N,face,лицӓ
9,Stirn::N,forehead,лепкӓ
10,Haar::N,hair,ӱп
11,Schnurrbart::N,moustache,öрш
12,Bart::N,beard,пандаш
13,Kinn::N,chin,онгылаш
14,Kiefer[Anatomie]::N,jaw,пӱ арата
15,Kehle::N,throat,логер
16,Hals::N,neck,шӱ
17,Genick::N,nape,ланга
18,Kopf::N,head,вуй
19,Rücken::N,back,туп
20,Rücken::N,spine,туп
21,Bauch::N,belly,мӹшкӹр
22,Nabel::N,navel,кӹлӹмдӹ
23,Busen::N,bosom,цӹзӹ
24,Brust::N,chest,мел
25,Brust::N,breast,мел
26,Schulter::N,shoulder,ӹнгӹжӓ
27,Arm::N,arm,кид
28,Ellenbogen::N,elbow,кӹнервуй
29,Hand::N,hand,лапа
30,Handfläche::N,palm,кид лапа
31,Finger::N,finger,парня
32,Fingernagel::N,fingernail,кӹч
33,Nagel[Anatomie]::N,nail,кӹч
34,Zeh::N,toe,парня
35,Fuß::N,foot,ял лапа
36,Ferse::N,heel,ялгавал
37,Ferse::N,heel,ял кавал
38,Knie::N,knee,пылвуй
39,Oberschenkel::N,thigh,ӓрдӹ
40,Bein::N,leg,ял
41,Körper::N,body,монгыр
42,Haut::N,skin,кавашты
43,Blut::N,blood,вӹр
44,Ader::N,vein,вӹршӓр
45,Sehne::N,sinew,кукшышӱн
46,Knochen::N,bone,лу
47,Gehirn::N,brain,вим
48,Herz::N,heart,шӱм
49,Magen::N,stomach,шӱм
50,Leber::N,liver,мокш
51,Atem::N,breath,шӱлӹш
52,Hunger::N,hunger,шужымаш
53,Träne::N,tear,сӹнзӓвӹд
54,Geschmack::N,flavour,тот
55,Geschmack::N,flavor,тот
56,Geruch::N,odour,пыш
57,Geruch::N,odor,пыш
58,Schlaf::N,sleep,ом
59,Traum::N,dream,ом
60,Himmel::N,sky,пӹлгом
61,Sonne::N,sun,кечӹ
62,Mond::N,moon,тӹлзӹ
63,Stern::N,star,шӹдӹр
64,Luft::N,air,юж
65,Luft::N,air,воздух
66,Wind::N,wind,мардеж
67,Welle::N,wave,ко
68,Welle::N,wave,коэ
69,Wasser::N,water,вӹд
70,Stein::N,stone,кӱ
71,Boden::N,soil,рок
72,Boden::N,ground,рок
73,Erde::N,earth,свет
74,Staub::N,dust,пырак
75,Rauch::N,smoke,шӹкш
76,Funke::N,spark,ип
77,Funke::N,spark,тылип
78,Feuer::N,fire,тыл
79,Licht::N,light,соты
80,Licht::N,light,валгыды
81,Schatten::N,shadow,ӹмӹл
82,Wetter::N,weather,игечӹ
83,Nebel::N,fog,тӹтӹрӓ
84,Wolke::N,cloud,пӹл
85,Regen::N,rain,юр
86,Schnee::N,snow,лым
87,Eis::N,ice,и
88,Frost::N,frost,ӱштӹ
89,Kälte::N,chill,ӱштӹ
90,Hitze::N,heat,шокшы
91,Raureif::N,hoarfrost,пöрш
92,Regenbogen::N,rainbow,шанавӹл
93,Donner::N,thunder,хӹдӹртӹш
94,Strömung::N,current,йогы
95,Tropfen::N,drop,капльы
96,Tropfen::N,drop,капльык
97,Schaum::N,foam,шонг
98,Schmutz::N,dirt,лявӹрӓ
99,See::N,lake,йӓр
100,Sumpf::N,swamp,лӱкӹ
101,Moor::N,moor,куп
102,Wiese::N,meadow,алык
103,Wald::N,forest,шӹргӹ
104,Hügel::N,hill,пӱгӹрикӓ
105,Anhöhe::N,elevation,кӱкшикӓ
106,Berg::N,mountain,кырык
107,Gipfel::N,summit,неркӓ
108,Höhle::N,cave,ы́раж
109,Abhang::N,slope,полом
110,Quelle::N,source,вӹдсӹнзӓ
111,Bach::N,brook,ӓнгӹр
112,Fluss::N,river,вӹд
113,Ufer::N,shore,сир
114,Küste::N,coast,сир
115,Festland::N,land,мӱлӓндӹ
116,Meer::N,sea,тангыж
117,Bucht::N,cove,вӹдъял
118,Insel::N,island,острок
119,Blume::N,flower,пеледӹш
120,Gras::N,grass,шуды
121,Wurzel::N,root,важ
122,Baum::N,tree,пушӓнгӹ
123,Stamm::N,trunk,пушӓнгӹ тӹнг
124,Rinde::N,bark,каргыж
125,Ast::N,limb,укш
126,Zweig::N,branch,укш
127,Blatt::N,leaf,листӹ
128,Birke::N,birch,куги
129,Kiefer[Baum]::N,pine,йӓктӹ
130,Weide[Baum]::N,willow,уа
131,Tanne::N,fir,кож
132,Horn::N,horn,шур
133,Feder::N,feather,пын
134,Fell::N,fur,кавашты
135,Flügel::N,wing,шылдыр
136,Klaue::N,claw,кӹч
137,Kralle::N,claw,лапа
138,Schwanz::N,tail,пач
139,Ei::N,egg,мыны
