,Concept_ID,lv,pl
0,Auge::N,син,oko
1,Auge::N,acs,oko
2,Ohr::N,пель,ucho
3,Ohr::N,auss,ucho
4,Nase::N,ныр,nos
5,Nase::N,deguns,nos
6,Mund::N,вом,usta
7,Mund::N,mute,usta
8,Zahn::N,пинь,ząb
9,Zahn::N,zobs,ząb
10,Zunge::N,кыв,język
11,Zunge::N,mēle,język
12,Lippe::N,вом дор,warga
13,Lippe::N,lūpa,warga
14,Wange::N,бан,policzek
15,Wange::N,vaigs,policzek
16,Gesicht::N,чужӧм,twarz
17,Gesicht::N,seja,twarz
18,Gesicht::N,ģīmis,twarz
19,Stirn::N,плеш,czoło
20,Stirn::N,кымӧс,czoło
21,Stirn::N,piere,czoło
22,Haar::N,си,włos
23,Haar::N,си,włosy
24,Haar::N,юрси,włos
25,Haar::N,юрси,włosy
26,Haar::N,mats,włos
27,Haar::N,mats,włosy
28,Schnurrbart::N,ус,wąsy
29,Schnurrbart::N,пыртсим,wąsy
30,Schnurrbart::N,ūsas,wąsy
31,Bart::N,тош,broda
32,Bart::N,bārda,broda
33,Kinn::N,тшӧка,podbródek
34,Kinn::N,zods,podbródek
35,Kinn::N,smakrs,podbródek
36,Kiefer[Anatomie]::N,черлы,czeluść
37,Kiefer[Anatomie]::N,алака лы,czeluść
38,Kiefer[Anatomie]::N,вомкӧтш лы,czeluść
39,Kiefer[Anatomie]::N,žoklis,czeluść
40,Kehle::N,голя,gardło
41,Kehle::N,rīkle,gardło
42,Hals::N,сьылі,szyja
43,Hals::N,kakls,szyja
44,Genick::N,юрбӧр,kark
45,Genick::N,балябӧж,kark
46,Genick::N,sprands,kark
47,Kopf::N,юр,głowa
48,Kopf::N,galva,głowa
49,Rücken::N,мыш,plecy
50,Rücken::N,мыш,grzbiet
51,Rücken::N,mugura,plecy
52,Rücken::N,mugura,grzbiet
53,Bauch::N,рушку,brzuch
54,Bauch::N,vēders,brzuch
55,Nabel::N,гӧг,pępek
56,Nabel::N,naba,pępek
57,Busen::N,морӧс,biust
58,Busen::N,krūts,biust
59,Brust::N,морӧс,pierś
60,Brust::N,krūts,pierś
61,Schulter::N,пельпом,bark
62,Schulter::N,пельпом,ramię
63,Schulter::N,plecs,bark
64,Schulter::N,plecs,ramię
65,Arm::N,ки,ręka
66,Arm::N,ки,ramię
67,Arm::N,roka,ręka
68,Arm::N,roka,ramię
69,Arm::N,delms,ręka
70,Arm::N,delms,ramię
71,Ellenbogen::N,гырддза,łokieć
72,Ellenbogen::N,elkonis,łokieć
73,Hand::N,ки,dłoń
74,Hand::N,roka,dłoń
75,Hand::N,plauksta,dłoń
76,Handfläche::N,ки пыдӧс,dłoń
77,Handfläche::N,delna,dłoń
78,Handfläche::N,plauksta,dłoń
79,Finger::N,чунь,palec
80,Finger::N,pirksts,palec
81,Fingernagel::N,гыж,paznokieć
82,Fingernagel::N,nags,paznokieć
83,Nagel[Anatomie]::N,гыж,paznokieć
84,Nagel[Anatomie]::N,nags,paznokieć
85,Zeh::N,кок чунь,palec
86,Zeh::N,pirksts,palec
87,Fuß::N,кок,stopa
88,Fuß::N,kāja,stopa
89,Ferse::N,кокбӧр,pięta
90,Ferse::N,papēdis,pięta
91,Knie::N,пидзӧс,kolano
92,Knie::N,celis,kolano
93,Oberschenkel::N,лядьвей,udo
94,Oberschenkel::N,бек,udo
95,Oberschenkel::N,ciska,udo
96,Oberschenkel::N,augšstilbs,udo
97,Bein::N,кок,noga
98,Bein::N,kāja,noga
99,Körper::N,туша,ciało
100,Körper::N,вывтыр,ciało
101,Körper::N,miesa,ciało
102,Körper::N,ķermenis,ciało
103,Haut::N,ку,skóra
104,Haut::N,āda,skóra
105,Blut::N,вир,krew
106,Blut::N,asins,krew
107,Ader::N,сӧн,żyła
108,Ader::N,asinsvads,żyła
109,Sehne::N,вез,ścięgno
110,Sehne::N,dzīsla,ścięgno
111,Knochen::N,лы,kość
112,Knochen::N,kauls,kość
113,Gehirn::N,вем,mózg
114,Gehirn::N,smadzenes,mózg
115,Herz::N,сьӧлӧм,serce
116,Herz::N,sirds,serce
117,Magen::N,кынӧм,żołądek
118,Magen::N,kuņģis,żołądek
119,Leber::N,мус,wątroba
120,Leber::N,aknas,wątroba
121,Atem::N,лов,dech
122,Atem::N,лов,oddech
123,Atem::N,elpa,dech
124,Atem::N,elpa,oddech
125,Hunger::N,тшыг,głód
126,Hunger::N,bads,głód
127,Hunger::N,izsalkums,głód
128,Träne::N,синва,łza
129,Träne::N,asara,łza
130,Geschmack::N,кӧр,smak
131,Geschmack::N,чӧсмӧс,smak
132,Geschmack::N,garša,smak
133,Geruch::N,зын,woń
134,Geruch::N,зын,zapach
135,Geruch::N,дук,woń
136,Geruch::N,дук,zapach
137,Geruch::N,smaka,woń
138,Geruch::N,smaka,zapach
139,Schlaf::N,узьӧм,sen
140,Schlaf::N,miegs,sen
141,Traum::N,вӧт,sen
142,Traum::N,вӧтасьӧм,sen
143,Traum::N,sapnis,sen
144,Himmel::N,енэж,niebo
145,Himmel::N,debess,niebo
146,Sonne::N,шонді,słońce
147,Sonne::N,saule,słońce
148,Mond::N,тӧлысь,księżyc
149,Mond::N,mēness,księżyc
150,Stern::N,кодзув,gwiazda
151,Stern::N,zvaigzne,gwiazda
152,Luft::N,сынӧд,powietrze
153,Luft::N,gaiss,powietrze
154,Wind::N,тӧв,wiatr
155,Wind::N,vējš,wiatr
156,Welle::N,гы,fala
157,Welle::N,vilnis,fala
158,Wasser::N,ва,woda
159,Wasser::N,ūdens,woda
160,Stein::N,из,kamień
161,Stein::N,akmens,kamień
162,Boden::N,му,grunt
163,Boden::N,augsne,grunt
164,Erde::N,му,ziemia
165,Erde::N,му-ва,ziemia
166,Erde::N,zeme,ziemia
167,Staub::N,бус,pył
168,Staub::N,бус,kurz
169,Staub::N,putekļi,pył
170,Staub::N,putekļi,kurz
171,Rauch::N,тшын,dym
172,Rauch::N,dūmi,dym
173,Funke::N,кинь,iskra
174,Funke::N,би кинь,iskra
175,Funke::N,dzirkstele,iskra
176,Feuer::N,би,ogień
177,Feuer::N,uguns,ogień
178,Licht::N,югӧр,światło
179,Licht::N,gaisma,światło
180,Schatten::N,вуджӧр,cień
181,Schatten::N,ēna,cień
182,Wetter::N,поводдя,pogoda
183,Wetter::N,laiks,pogoda
184,Nebel::N,ру,mgła
185,Nebel::N,онь,mgła
186,Nebel::N,migla,mgła
187,Wolke::N,кымӧр,obłok
188,Wolke::N,кымӧр,chmura
189,Wolke::N,mākonis,obłok
190,Wolke::N,mākonis,chmura
191,Regen::N,зэр,deszcz
192,Regen::N,lietus,deszcz
193,Schnee::N,лым,śnieg
194,Schnee::N,sniegs,śnieg
195,Eis::N,йи,lód
196,Eis::N,ledus,lód
197,Frost::N,кӧдзыд,mróz
198,Frost::N,sals,mróz
199,Kälte::N,кӧдзыд,chłód
200,Kälte::N,saltums,chłód
201,Kälte::N,aukstums,chłód
202,Hitze::N,пӧсь,gorąco
203,Hitze::N,гожӧд,gorąco
204,Hitze::N,karstums,gorąco
205,Raureif::N,пуж,szron
206,Raureif::N,гыӧр,szron
207,Raureif::N,sarma,szron
208,Regenbogen::N,ӧшкамӧшка,tęcza
209,Regenbogen::N,varavīksne,tęcza
210,Donner::N,гым,grzmot
211,Donner::N,pērkons,grzmot
212,Strömung::N,ва ныр,nurt
213,Strömung::N,визувтӧм,nurt
214,Strömung::N,straume,nurt
215,Strömung::N,strāvojums,nurt
216,Tropfen::N,войт,kropla
217,Tropfen::N,lāse,kropla
218,Schaum::N,быг,piana
219,Schaum::N,быгзьӧм,piana
220,Schaum::N,putas,piana
221,Schmutz::N,няйт,brud
222,Schmutz::N,dubļi,brud
223,See::N,ты,jezioro
224,See::N,ezers,jezioro
225,Sumpf::N,гыбад,bagno
226,Sumpf::N,кад,bagno
227,Sumpf::N,dumbrājs,bagno
