,Concept_ID,lbe,mhr
0,Auge::N,я,шинча́
1,Ohr::N,вичӏи,пы́лыш
2,Nase::N,май,нер
3,Mund::N,кьацӏ,умша́
4,Zahn::N,ккарччи,пӱй
5,Zunge::N,маз,йы́лме
6,Lippe::N,мурччи,тӱ́рвӧ
7,Wange::N,чӏав,шӱ́ргӧ
8,Gesicht::N,лажин,чури́й
9,Stirn::N,ненттабакӏ,саҥга́
10,Haar::N,чӏара,ӱп
11,Schnurrbart::N,ссирссилтту,ӧ́рыш
12,Bart::N,чӏири,понда́ш
13,Kinn::N,лунттубакӏ,оҥыла́ш
14,Kiefer[Anatomie]::N,ххинчулул,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,ххинчулул,пӱйората́
16,Kehle::N,кьакьари,лога́р
17,Hals::N,ссурссу,шӱй
18,Genick::N,махъабакӏ,шӱйло́дыш
19,Kopf::N,бакӏ,вуй
20,Rücken::N,ттиликӏ,туп
21,Bauch::N,лякьа,мӱ́шкыр
22,Nabel::N,цӏумуккутӏ,кы́лымде
23,Busen::N,ккукку,чы́зе
24,Brust::N,хъазам,оҥ
25,Schulter::N,хъачӏ,ва́че
26,Arm::N,ка,кид
27,Ellenbogen::N,ссюрхъ,кынерву́й
28,Hand::N,бартка,кид
29,Hand::N,бартка,копа́
30,Handfläche::N,хъат,со́во
31,Handfläche::N,битӏянхъ,со́во
32,Finger::N,кӏисса,парня́
33,Fingernagel::N,михь,кидкӱ́ч
34,Fingernagel::N,михь,парнягӱ́ч
35,Nagel[Anatomie]::N,михь,кӱч
36,Zeh::N,кӏисса,йолварня́
37,Fuß::N,чӏанччан,йол
38,Fuß::N,чӏанччан,йолкопа́
39,Ferse::N,никъа,тага́н
40,Knie::N,ник,пулву́й
41,Oberschenkel::N,жира,э́рде
42,Bein::N,ччан,йол
43,Körper::N,чурх,кап
44,Haut::N,бурчу,кова́ште
45,Blut::N,оь,вӱр
46,Ader::N,тунну,шӧн
47,Sehne::N,хьхьа,шӧн
48,Sehne::N,хьхьа,кӱсе́н
49,Knochen::N,ттаркӏ,лу
50,Gehirn::N,ня,вем
51,Gehirn::N,ня,вуйве́м
52,Herz::N,дакӏ,шӱм
53,Herz::N,къюкӏ,шӱм
54,Magen::N,лякьа,пага́р
55,Atem::N,ссихӏ ласаву,шӱ́лыш
56,Atem::N,ссихӏ бигьаву,шӱ́лыш
57,Hunger::N,ккаши,шужыма́ш
58,Träne::N,макь,шинчавӱ́д
59,Geschmack::N,тӏин,там
60,Geschmack::N,тӏааьн,там
61,Geruch::N,кьанкь,пуш
62,Schlaf::N,шану,о́мо
63,Traum::N,макӏру,йӱдо́мо
64,Himmel::N,ссав,кава́
65,Sonne::N,баргъ,ке́че
66,Mond::N,барз,ты́лзе
67,Stern::N,цӏуку,шӱ́дыр
68,Luft::N,гьава,юж
69,Wind::N,марч,марде́ж
70,Welle::N,щатӏи,то́лкын
71,Wasser::N,щин,вӱд
72,Stein::N,чару,кӱ
73,Boden::N,аьрщи,рок
74,Erde::N,аьрщи,мла́нде
75,Staub::N,ххит,пура́к
76,Rauch::N,пуркӏу,шикш
77,Funke::N,пиягь,сеске́м
78,Funke::N,пиягь,тулйы́п
79,Feuer::N,цӏу,тул
80,Licht::N,чани,со́то
81,Schatten::N,ххют,ӱ́мыл
82,Wetter::N,гьава,иге́че
83,Nebel::N,шархь ттурлу,тӱтыра́
84,Wolke::N,ттурлу,пыл
85,Regen::N,гъарал,йӱр
86,Schnee::N,марххала,лум
87,Eis::N,микӏ,ий
88,Frost::N,дяркъу,чатлама́
89,Frost::N,замгьар,чатлама́
90,Kälte::N,дяркъу,йӱ́штӧ
91,Hitze::N,кӏиришиву,шо́кшо
92,Raureif::N,сил,пӧрш
93,Raureif::N,сил,по́кшым
94,Raureif::N,бурса,пӧрш
95,Raureif::N,бурса,по́кшым
96,Regenbogen::N,ссурул ккуртта,шонанпы́л
97,Donner::N,къув,кӱ́дырчӧ
98,Strömung::N,экьинанаву,йо́гын
99,Tropfen::N,кӏунтӏ,чӱча́лтыш
100,Schaum::N,хьама,шоҥ
101,Schmutz::N,кьяркьи,лавыра́
102,See::N,бяр,ер
103,Sumpf::N,кунцӏа,лӱ́кӧ
104,Wiese::N,кьан,о́лык
105,Wald::N,вацӏа,чодыра́
106,Hügel::N,бакӏу,арка́
107,Berg::N,зунтту,ку́рык
108,Gipfel::N,мицӏ,чаҥга́
