,Concept_ID,ca,az
0,Auge::N,ull,göz
1,Ohr::N,orella,qulaq
2,Nase::N,nas,burun
3,Mund::N,boca,ağız
4,Zahn::N,dent,diş
5,Zunge::N,llēngua,dil
6,Lippe::N,llavi,dodaq
7,Wange::N,galta,yanaq
8,Gesicht::N,cara,üz
9,Stirn::N,front,alın
10,Haar::N,cabēll,saç
11,Schnurrbart::N,bigoti,bığ
12,Bart::N,barba,saqqal
13,Kinn::N,mentó,çənə
14,Kinn::N,barbeta,çənə
15,Kiefer[Anatomie]::N,queix,çənə
16,Kiefer[Anatomie]::N,mandíbula,çənə
17,Kehle::N,gola,boğaz
18,Kehle::N,gorja,boğaz
19,Hals::N,coll,boyun
20,Genick::N,nuca,ənsə
21,Kopf::N,cap,baş
22,Rücken::N,esquena,bel
23,Bauch::N,panxa,qarın
24,Nabel::N,llombrígol,göbək
25,Busen::N,pit,məmə
26,Busen::N,mama,məmə
27,Brust::N,pit,döş
28,Schulter::N,espatlla,çiyin
29,Arm::N,braç,qol
30,Ellenbogen::N,colze,dirsək
31,Hand::N,mà,əl
32,Handfläche::N,palma,ovuc
33,Finger::N,dit,barmaq
34,Fingernagel::N,ungla,barmaq dırnağı
35,Nagel[Anatomie]::N,ungla,dırnak
36,Zeh::N,dit del peu,ayaq barmağı
37,Fuß::N,peu,ayaq
38,Ferse::N,taló,daban
39,Knie::N,genoll,diz
40,Oberschenkel::N,cuixa,bud
41,Bein::N,cama,qıç
42,Körper::N,cos,əndam
43,Haut::N,pell,dəri
44,Blut::N,sang,qan
45,Ader::N,vena,damar
46,Sehne::N,tendó,vətər
47,Knochen::N,os,sümük
48,Gehirn::N,cervell,beyin
49,Herz::N,cor,ürək
50,Magen::N,estómac,mədə
51,Leber::N,fetge,qara ciyər
52,Atem::N,alè,nəfəs
53,Atem::N,hàlit,nəfəs
54,Hunger::N,fam,aclıq
55,Hunger::N,gana,aclıq
56,Träne::N,llàgrima,göz yaşı
57,Geschmack::N,gust,tam
58,Geschmack::N,gust,ləzzət
59,Geschmack::N,sabor,tam
60,Geschmack::N,sabor,ləzzət
61,Geruch::N,olor,qoxu
62,Schlaf::N,son,yuxu
63,Traum::N,somni,röya
64,Himmel::N,celm,göy
65,Himmel::N,celm,səma
66,Sonne::N,sol,günəş
67,Mond::N,lluna,ay
68,Stern::N,estel,ulduz
69,Stern::N,estrella,ulduz
70,Luft::N,aire,hava
71,Wind::N,vent,yel
72,Wind::N,vent,külək
73,Welle::N,ona,dalğa
74,Wasser::N,āigua,su
75,Stein::N,pedra,daş
76,Boden::N,sòl,yer
77,Boden::N,sòl,zəmin
78,Erde::N,terra,yer torpaq
79,Staub::N,pols,toz
80,Rauch::N,fum,tüstü
81,Funke::N,guspira,qığılcım
82,Funke::N,centella,qığılcım
83,Feuer::N,foc,od
84,Licht::N,llum,işıq
85,Schatten::N,ombra,kölgə
86,Wetter::N,temps,hava
87,Nebel::N,boira,duman
88,Wolke::N,núvol,bulud
89,Regen::N,pluja,yağış
90,Regen::N,pluja,yağmur
91,Schnee::N,neu,qar
92,Eis::N,gel,buz
93,Eis::N,glaç,buz
94,Frost::N,glaçada,ayaz
95,Kälte::N,fred,soyuq
96,Hitze::N,calor,coşğunluq
97,Raureif::N,gebre,qırov
98,Regenbogen::N,arc iris,göy qurşağı
99,Donner::N,tro,göy gurultusu
100,Strömung::N,corrent,axın
101,Tropfen::N,gota,damcı
102,Schaum::N,escuma,köpük
103,Schmutz::N,brutícia,çamır
104,See::N,llac,göl
105,Sumpf::N,pantà,bataqlıq
106,Moor::N,pantà,bataqlıq
107,Wiese::N,prat,çəmən
108,Wiese::N,prada,çəmən
109,Wald::N,bosc,meşə
110,Hügel::N,puig,təpə
111,Hügel::N,pujol,təpə
112,Anhöhe::N,turó,təpə
113,Berg::N,muntanya,dağ
114,Gipfel::N,cim,zirvə
115,Höhle::N,cova,mağara
116,Abhang::N,coster,yamac
117,Quelle::N,font,bulaq
118,Bach::N,riera,kiçik çay
119,Fluss::N,riu,çay
120,Ufer::N,riba,kənar
121,Küste::N,costa,sahil
122,Festland::N,terra ferma,materik
123,Meer::N,mar,dəniz
124,Bucht::N,cala,körfəz
125,Bucht::N,badia,körfəz
126,Insel::N,illa,ada
127,Blume::N,flor,çiçək
128,Gras::N,herba,ot
129,Wurzel::N,rel,kök
130,Wurzel::N,arrel,kök
131,Baum::N,arbre,ağac
132,Stamm::N,tronc,gövdə
133,Rinde::N,escorça,qabıq
134,Ast::N,branca,şax
135,Zweig::N,ram,budaq
136,Blatt::N,fulla,yarpaq
137,Birke::N,bedoll,tozağacı
138,Kiefer[Baum]::N,pi,şam
139,Weide[Baum]::N,salze,söyüd
140,Tanne::N,avet,küknar
141,Horn::N,corn,buynuz
142,Horn::N,banya,buynuz
143,Feder::N,ploma,tük
144,Feder::N,ploma,lələk
145,Fell::N,pell,xəz
146,Flügel::N,ala,qanad
147,Klaue::N,urpa,pəncə
148,Kralle::N,grapa,dırnaq
149,Schwanz::N,cua,quyruq
150,Ei::N,ou,yumurta
151,Nest::N,niu,yuva
152,Bau::N,cau,yuva
153,Tier::N,animāl,heyvan
154,Herde::N,ramat,sürü
155,Kuh::N,vaca,inək
156,Bulle::N,toro,öküz
157,Pferd::N,cavāll,at
158,Schaf::N,be,qoyun
159,Schaf::N,ovella,qoyun
160,Schwein::N,bacó,donuz
161,Hund::N,ca,it
162,Hund::N,ca,köpək
163,Hund::N,gos,it
164,Hund::N,gos,köpək
165,Katze::N,gat,pişik
166,Bär::N,ós,ayı
167,Eichhörnchen::N,esquirol,dələ
168,Elch::N,ant,sığın
169,Fuchs::N,guilla,tülkü
170,Hase::N,llebre,dovşan
171,Maus::N,ratolí,siçan
172,Wolf::N,llop,qurd
173,Vogel::N,au,quş
174,Vogel::N,ocēll,quş
175,Schwarm::N,bandada,sürü
176,Huhn::N,gallina,toyuq
177,Hahn::N,gall,xoruz
178,Gans::N,oca,qaz
179,Adler::N,àguila,qartal
180,Adler::N,àguila,qaraquş
181,Ente::N,ànec,ördək
182,Eule::N,òliba,bayquş
183,Eule::N,mussol,bayquş
184,Kranich::N,grua,durna
185,Krähe::N,cornella,qarğa
186,Kuckuck::N,cucut,ququ
187,Schwan::N,cigne,qu quşu
188,Fisch::N,peix,balıq
189,Barsch::N,perca,tar
190,Hecht::N,lluç,durnabalığı
191,Schlange[Tier]::N,serp,ilan
192,Wurm::N,cuc,qurd
193,Spinne::N,aranya,hörümçək
194,Ameise::N,formiga,qarışqa
195,Laus::N,poll,bit
196,Mücke::N,mosquit,ağcaqanad
197,Fliege::N,mosca,milçək
198,Schmetterling::N,papallona,kəpənək
199,Beere::N,baia,gilə
200,Apfel::N,poma,alma
201,Pilz::N,bolet,göbələk
202,Zwiebel::N,ceba,soğan
203,Saat::N,sembra,əkin
204,Korn::N,gra,taxıl
205,Heu::N,fenc,quru ot
206,Schale::N,closca,qabıq
207,Grube::N,sot,çuxur
208,Grube::N,clot,çuxur
209,Falle::N,trampa,tələ
210,Falle::N,trampa,duzaq
211,Schlinge::N,baga,ilmək
212,Spur::N,traça,iz
213,Asche::N,cendra,kül
214,Dreck::N,llot,kir
215,Eisen::N,ferro,dəmir
216,Gold::N,or,altun
217,Silber::N,plata,gümüş
218,Kohle::N,carbó,kömür
219,Glas::N,vidre,şüşə
220,Lehm::N,fang,gil
221,Lehm::N,fang,palçıq
222,Lehm::N,argila,gil
223,Lehm::N,argila,palçıq
224,Sand::N,arena,qum
225,Mensch::N,humà,adam
226,Mensch::N,humà,insan
227,Mensch::N,persona,adam
228,Mensch::N,persona,insan
229,Mann::N,home,kişi
230,Frau::N,dona,qadın
231,Kind::N,nen,uşaq
232,Junge::N,noi,oğlan
233,Mädchen::N,noia,qız
234,Familie::N,família,ailə
235,Großvater::N,avi,baba
236,Großmutter::N,àvia,nənə
237,Eltern::N,pares,valideyn
238,Vater::N,pare,ata
239,Mutter::N,mare,ana
240,Sohn::N,fill,oğul
241,Tochter::N,filla,qız
242,Bruder::N,germà,qardaş
243,Schwester::N,germana,bacı
244,Onkel::N,oncle,əmi
245,Onkel::N,oncle,dayı
246,Tante::N,tia,bibi
247,Ehemann::N,espòs,ər
248,Ehefrau::N,muller,arvad
249,Freude::N,goig,nəşə
250,Freude::N,goig,sevinc
251,Freude::N,alegria,nəşə
252,Freude::N,alegria,sevinc
253,Gelächter::N,riallada,gülüş
254,Gelächter::N,riallada,qəhqəhə
255,Glück::N,felicitat,səadət
256,Glück::N,felicitat,xoşbəxtlik
257,Kummer::N,pena,qəm
258,Kummer::N,pena,kədər
259,Wunsch::N,desig,arzu
260,Lust::N,ganes,həvəs
261,Geist::N,ment,ruh
262,Geist::N,esperit,ruh
263,Gedanke::N,pensament,fikir
264,Gedanke::N,pensament,düşüncə
265,Gedächtnis::N,memòria,xatir
266,Gedächtnis::N,memòria,hafizə
267,Verstand::N,raó,ağıl
268,Verstand::N,seny,ağıl
269,Sinn::N,solta,məna
270,Sinn::N,sentit,məna
271,Grund::N,raó,səbəb
272,Grund::N,causa,səbəb
273,Wahrheit::N,veritāt,haqq
274,Wahrheit::N,veritāt,doğruluq
275,Gespräch::N,conversa,söhbət
276,Gespräch::N,conversa,qonuşma
277,Märchen::N,conte,nağıl
278,Erzählung::N,narració,hekayə
279,Nachricht::N,missatge,xəbər
280,Neuigkeit::N,novetat,xəbər
281,Neuigkeit::N,novetat,yenilik
282,Name::N,nom,ad
283,Rätsel::N,endevinalla,tapmaca
284,Rede::N,discurs,nitq
285,Sprache::N,llēngua,dil
286,Stimme::N,veu,səs
287,Wort::N,mot,söz
288,Wort::N,mot,kəlmə
289,Wort::N,paraula,söz
290,Wort::N,paraula,kəlmə
291,Zeichen::N,signe,nişan
292,Zeichen::N,senyal,nişan
293,Ruf::N,crida,çığırtı
294,Lärm::N,sorōll,gurultu
295,Laut::N,so,səs
296,Ton::N,to,ton
297,Lied::N,cançó,mahnı
298,Ruhe::N,calma,sakitlik
299,Ruhe::N,silenci,sakitlik
300,Leute::N,gent,xalq
301,Volk::N,poble,millət
302,Arbeit::N,labor,iş
303,Arbeit::N,labor,əmək
304,Arbeit::N,treball,iş
305,Arbeit::N,treball,əmək
306,Gast::N,hoste,qonaq
307,Gast::N,hoste,müsafir
308,Geschenk::N,regal,hədiyyə
309,Geschenk::N,obsequi,hədiyyə
310,Spiel::N,joc,oyun
311,Spiel::N,joc,tamaşa
312,Gesellschaft::N,companyia,cəmiyyet
313,Hilfe::N,ajut,kömək
314,Hilfe::N,ajut,yardım
315,Freund::N,amīc,dost
316,Kamerad::N,company,yoldaş
317,Kamerad::N,camarada,yoldaş
318,Angelegenheit::N,afer,iş
319,Angelegenheit::N,assumpte,iş
320,Anzahl::N,nombre,say
321,Anzahl::N,quantitat,say
322,Art::N,tipus,çeşid
323,Art::N,classe,çeşid
324,Stück::N,peça,dənə
325,Stück::N,peça,parça
326,Teil::N,part,qisim
327,Hälfte::N,meitat,yarım
328,Kreis::N,cercle,dairə
329,Kreuz::N,creu,xaç
330,Linie::N,línia,xətt
331,Strich::N,traç,cızıq
332,Strich::N,ratlla,cızıq
333,Abstand::N,distància,məsafə
334,Entfernung::N,distància,məsafə
335,Entfernung::N,distància,uzaqlıq
