,Concept_ID,sk,uk
0,Auge::N,oko,око
1,Ohr::N,ucho,вухо
2,Nase::N,nos,ніс
3,Mund::N,ústa,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jazyk,язик
6,Lippe::N,pera,губа
7,Wange::N,líce,щока
8,Gesicht::N,tvár,обличчя
9,Gesicht::N,obličaj,обличчя
10,Stirn::N,čelo,лоб
11,Haar::N,vlas,волосся
12,Schnurrbart::N,fúzy,вуса
13,Bart::N,brada,борода
14,Kinn::N,brada,підборіддя
15,Kiefer[Anatomie]::N,čeľusť,щелепа
16,Kehle::N,hrdlo,горло
17,Hals::N,krk,шия
18,Genick::N,väzy,потилиця
19,Kopf::N,hlava,голова
20,Rücken::N,chrbát,спина
21,Bauch::N,brucho,живіт
22,Nabel::N,pupok,пупок
23,Busen::N,prsia,груди
24,Brust::N,hruď,груди
25,Schulter::N,plece,плече
26,Arm::N,rameno,рука
27,Ellenbogen::N,lakeť,лікоть
28,Hand::N,ruka,рука
29,Handfläche::N,dlaň,долоня
30,Finger::N,prst,палець
31,Fingernagel::N,necht,ніготь
32,Nagel[Anatomie]::N,necht,ніготь
33,Zeh::N,prst na nohe,палець на нозі
34,Fuß::N,noha,нога
35,Ferse::N,päta,п’ятка
36,Knie::N,koleno,коліно
37,Oberschenkel::N,stehno,стегно
38,Bein::N,noha,нога
39,Körper::N,telo,тіло
40,Haut::N,koža,шкіра
41,Blut::N,krv,кров
42,Ader::N,žila,вена
43,Sehne::N,šľacha,сухожилля
44,Knochen::N,kosť,кістка
45,Gehirn::N,mozog,мозок
46,Herz::N,srdce,серце
47,Magen::N,žalúdok,шлунок
48,Leber::N,pečeň,печінка
49,Atem::N,dych,дихання
50,Hunger::N,hlad,голод
51,Träne::N,slza,сльоза
52,Geschmack::N,chuť,смак
53,Geruch::N,pach,запах
54,Schlaf::N,spánok,сон
55,Schlaf::N,spánok,сплячка
56,Traum::N,sen,сон
57,Himmel::N,nebo,небо
58,Sonne::N,slnko,сонце
59,Mond::N,mesiac,місяць
60,Stern::N,hviezda,зірка
61,Luft::N,vzduch,повітря
62,Wind::N,vietor,вітер
63,Welle::N,vlna,хвиля
64,Wasser::N,voda,вода
65,Stein::N,kameň,камінь
66,Boden::N,zem,ґрунт
67,Boden::N,pôda,ґрунт
68,Erde::N,zem,земля
69,Staub::N,prach,пил
70,Rauch::N,dym,дим
71,Funke::N,iskra,іскра
