,Concept_ID,ab,hi
0,Auge::N,ала,आँख
1,Auge::N,ала,चक्षु
2,Ohr::N,алымҳа,कान
3,Ohr::N,алымҳа,कर्ण
4,Nase::N,аҧынҵа,नाक
5,Nase::N,аҧынҵа,नासा
6,Mund::N,аҧышə,मुख
7,Mund::N,аҧышə,मुँह
8,Zahn::N,ахаҧыц,दंत
9,Zahn::N,ахаҧыц,दाँत
10,Zunge::N,абз,जीभ
11,Zunge::N,абз,ज़बान
12,Zunge::N,абз,जिह्वा
13,Lippe::N,ақьышə,ओंठ
14,Lippe::N,ақьышə,होंठ
15,Wange::N,аӡамҩа,गाल
16,Wange::N,аӡамҩа,कपोल
17,Gesicht::N,аҿы,मुँह
18,Gesicht::N,аҿы,चेहरा
19,Stirn::N,алахь,माथा
20,Stirn::N,алахь,मस्तक
21,Haar::N,ахəыц,बाल
22,Schnurrbart::N,аҧаҵа,मूँछें
23,Bart::N,ажакьа,दाढ़ी
24,Kinn::N,ацламкəыгə,चिबुक
25,Kiefer[Anatomie]::N,ацламҳəа,जबड़ा
26,Kehle::N,ахəда,गला
27,Hals::N,ахəда,गला
28,Hals::N,ахəда,गरदन
29,Genick::N,ахəдаџьал,गरदन
30,Genick::N,ахəдаџьал,ग्रीवा
31,Kopf::N,ахы,सिर
32,Kopf::N,ахы,शीर्ष
33,Rücken::N,азқəа,पीठ
34,Bauch::N,амгəа,उदर
35,Nabel::N,аҷапан,नाभि
36,Nabel::N,аҷапан,ढोंढी
37,Busen::N,агəыҧҳəы,कुच
38,Busen::N,агəыҧҳəы,स्तन
39,Brust::N,агəышҧы,वक्ष
40,Schulter::N,ажəҩахыр,कंधा
41,Schulter::N,ажəҩахыр,स्कंध
42,Arm::N,амахəар,बाँह
43,Arm::N,амахəар,बाज़ू
44,Ellenbogen::N,амашьхəылҵ,कुहनी
45,Hand::N,анапы,हाथ
46,Hand::N,анапы,हस्त
47,Handfläche::N,анапсаргəыҵа,हथेली
48,Finger::N,анацəа,उँगली
49,Finger::N,анацəа,अँगुली
50,Fingernagel::N,анапхыц,नख
51,Fingernagel::N,анапхыц,नाख़ून
52,Nagel[Anatomie]::N,ашьапхыц,नख
53,Nagel[Anatomie]::N,ашьапхыц,नाख़ून
54,Zeh::N,ашьацəа,उँगली
55,Zeh::N,ашьацəа,पाँव की उँगली
56,Fuß::N,ашьапсыргəыҵа,चरण
57,Fuß::N,ашьапсыргəыҵа,पाँव
58,Ferse::N,ашьхəа,एड़ी
59,Knie::N,ашьамхы,जानु
60,Knie::N,ашьамхы,घुटना
61,Oberschenkel::N,ауаҭəа,उरु
62,Bein::N,ашьапы,टाँग
63,Körper::N,ацəеижь,तन
64,Körper::N,ацəеижь,देह
65,Körper::N,ацəеижь,शरीर
66,Haut::N,ацəа,चर्म
67,Haut::N,ацəа,त्वचा
68,Blut::N,ашьа,लहू
69,Blut::N,ашьа,ख़ून
70,Ader::N,ада,रग
71,Ader::N,ада,शिरा
72,Sehne::N,адаш,कंडरा
73,Sehne::N,адаш,स्नायु
74,Knochen::N,абаҩ,अस्थि
75,Gehirn::N,ахшлыбаҩ,दिमाग़
76,Gehirn::N,ахшлыбаҩ,मस्तिष्क
77,Gehirn::N,ахшыбаҩ,दिमाग़
78,Gehirn::N,ахшыбаҩ,मस्तिष्क
79,Herz::N,агəы,दिल
80,Herz::N,агəы,हृदय
81,Magen::N,аца,मेदा
82,Magen::N,аца,अमाशय
83,Magen::N,ацар,मेदा
84,Magen::N,ацар,अमाशय
85,Leber::N,агəаҵəа,जिगर
86,Leber::N,агəаҵəа,यकृत्
87,Atem::N,аҧсыҧлагаҩгара,दम
88,Atem::N,аҧсыҧлагаҩгара,साँस
89,Atem::N,аҧсыҧлагаҩгара,श्वास
90,Hunger::N,амла,भूख
91,Hunger::N,амла,क्षुधा
92,Träne::N,алабжыш,आँसू
93,Träne::N,алабжыш,अश्रु
94,Geschmack::N,агьама,स्वाद
95,Geschmack::N,агьама,ज़ायक़ा
96,Geruch::N,афҩы,बू
97,Geruch::N,афҩы,गंध
98,Schlaf::N,ацəа,नींद
99,Schlaf::N,ацəа,निद्रा
100,Traum::N,аҧхыӡ,सपना
101,Traum::N,аҧхыӡ,स्वप्न
102,Himmel::N,ажəҩан,आकाश
103,Himmel::N,ажəҩан,आसमान
104,Sonne::N,амра,रवि
105,Sonne::N,амра,सूरज
106,Sonne::N,амра,सूर्य
107,Mond::N,амза,चाँद
108,Mond::N,амза,चंद्र
109,Stern::N,аеҵəа,तारा
110,Stern::N,аеҵəа,सितारा
111,Luft::N,аҳаир,हवा
112,Luft::N,аҳаир,वायु
113,Wind::N,аҧша,पाद
114,Welle::N,ацəқəырҧа,लहर
115,Welle::N,ацəқəырҧа,तरंग
116,Wasser::N,аӡы,जल
117,Wasser::N,аӡы,पानी
118,Stein::N,ахаҳə,पत्थर
119,Boden::N,адгьыл,मिट्टी
120,Erde::N,адгьыл,भूमि
121,Erde::N,адгьыл,ज़मीन
122,Staub::N,асаба,धूल
123,Rauch::N,алҩа,धूआँ
124,Rauch::N,алҩа,धुम्र
125,Funke::N,акəиц,चिनगारी
126,Funke::N,акəиц,स्फुलिंग
127,Funke::N,ацҧхь,चिनगारी
128,Funke::N,ацҧхь,स्फुलिंग
129,Feuer::N,амца,आग
130,Feuer::N,амца,आतिश
131,Feuer::N,амца,अग्नि
132,Licht::N,алашара,रोशनी
133,Licht::N,алашара,प्रकाश
134,Schatten::N,ашəшьыра,छाया
135,Schatten::N,ашəшьыра,परछाई
136,Wetter::N,амш,ऋतु
137,Wetter::N,амш,मौसम
138,Nebel::N,анаҟəа,धुँध
139,Nebel::N,анаҟəа,कुहरा
140,Wolke::N,аҧсҭҳəа,मेघ
141,Wolke::N,аҧсҭҳəа,अभ्र
142,Regen::N,ақəа,मेंह
143,Regen::N,ақəа,बारिश
144,Schnee::N,асы,हिम
145,Schnee::N,асы,बर्फ़
146,Eis::N,аҵаа,हिम
147,Eis::N,аҵаа,बर्फ़
148,Frost::N,аҵаа,ठंड
149,Kälte::N,ахьҭа,सर्दी
