,Concept_ID,ta,mn
0,Auge::N,கண்,нүд
1,Ohr::N,காது,чих
2,Nase::N,மூக்கு,хамар
3,Mund::N,வாய்,ам
4,Zahn::N,பல்,шүд
5,Zunge::N,நாக்கு,хэл
6,Lippe::N,உதடு,уруул
7,Wange::N,கன்னம்,хацар
8,Gesicht::N,முகம்,царай
9,Gesicht::N,முகம்,нүүр
10,Stirn::N,முன்னெற்றி,дух
11,Haar::N,முடி,үс
12,Schnurrbart::N,மீசை,дээд сахал
13,Schnurrbart::N,மீசை,живэр сахал
14,Bart::N,தாடி,сахал
15,Kinn::N,கீழதாடை,эрүү
16,Kiefer[Anatomie]::N,தாடை,эрүү
17,Kehle::N,தொண்டை,хоолой
18,Hals::N,கழுத்து,хүзүү
19,Genick::N,கழுத்து,шил
20,Genick::N,கழுத்து,хүзүү
21,Kopf::N,தலை,толгой
22,Rücken::N,முதுகு,ар
23,Rücken::N,முதுகு,нуруу
24,Bauch::N,வயிறு,хэвлий
25,Bauch::N,வயிறு,гэдэс
26,Nabel::N,தொப்புள்,хүйс
27,Busen::N,மார்பகம்,хөх
28,Brust::N, மார்பு,цээж
29,Schulter::N,தோள்பட்டை,мөр
30,Schulter::N,தோள்பட்டை,бугалга
31,Arm::N,கரம்,гар
32,Ellenbogen::N,முழங்கை,тохой
33,Hand::N,கை,гар
34,Hand::N,கை,алга
35,Handfläche::N,உள்ளங்கை,алга
36,Finger::N,விரல்,хуруу
37,Fingernagel::N,விரல் நகம்,хурууны хумс
38,Nagel[Anatomie]::N,நகம்,хумс
39,Zeh::N,கால்விரல்,хуруу
40,Fuß::N,கால்,хөл
41,Ferse::N,குதிகால்,өсгий
42,Knie::N,முழங்கால்,өвдөг
43,Oberschenkel::N,தொடை,гуя
44,Bein::N,கால்,хөл
45,Körper::N,உடல்,бие
46,Haut::N,சருமம்,арьс
47,Blut::N,இரத்தம்,цус
48,Ader::N,நாளம்,судас
49,Sehne::N,தசைநார்,бүлх
50,Sehne::N,தசைநார்,шандас
51,Knochen::N,எலுமபு,яс
52,Gehirn::N,மூனை,тархи
