,Concept_ID,ru,br
0,Auge::N,глаз,lagad
1,Ohr::N,ухо,skouarn
2,Nase::N,нос,fri
3,Mund::N,рот,genoù
4,Zahn::N,зуб,dant
5,Zunge::N,язык,teod
6,Lippe::N,губа,muzell
7,Wange::N,щека,chot
8,Gesicht::N,лицо,dremm
9,Stirn::N,лоб,tal
10,Haar::N,волос,blev
11,Haar::N,волосы,blev
12,Schnurrbart::N,ус,mourenn
13,Schnurrbart::N,усы,mourenn
14,Bart::N,борода,barv
15,Kinn::N,подбородок,groñj
16,Kiefer[Anatomie]::N,челюсть,javed
17,Kehle::N,горло,gouzoug
18,Hals::N,шея,gouzoug
19,Genick::N,затылок,choug
20,Kopf::N,голова,penn
21,Rücken::N,спина,kein
22,Bauch::N,живот,kof
23,Nabel::N,пупок,begel
24,Busen::N,женская грудь,bronn
25,Brust::N,грудь,bruched
26,Schulter::N,плечо,skoaz
27,Arm::N,рука,brec'h
28,Ellenbogen::N,локоть,ilin
29,Hand::N,кисть,dorn
30,Handfläche::N,ладонь,palv
31,Finger::N,палец,biz
32,Fingernagel::N,ноготь,ivin
33,Nagel[Anatomie]::N,ноготь,ivin
34,Zeh::N,палец,biz-troad
35,Fuß::N,ступня,troad
36,Ferse::N,пята,seul
37,Ferse::N,пятка,seul
38,Knie::N,колено,glin
39,Oberschenkel::N,бедро,morzhed
40,Bein::N,нога,gar
41,Körper::N,тело,korf
42,Haut::N,кожа,kroc'hen
43,Blut::N,кровь,gwad
44,Ader::N,вена,gwazhi
45,Ader::N,сосуд,gwazhi
46,Sehne::N,жила,stir
47,Sehne::N,тетива,stir
48,Sehne::N,сухожилие,stir
49,Knochen::N,кость,askorn
50,Gehirn::N,мозг,empenn
51,Herz::N,сердце,kalon
52,Magen::N,желудок,stomog
53,Leber::N,печень,avu
54,Atem::N,дух,anal
55,Atem::N,дыхание,anal
56,Hunger::N,голод,naon
57,Träne::N,слеза,daer
58,Geschmack::N,вкус,blaz
59,Geruch::N,запах,c'hwezh
60,Schlaf::N,сон,kousked
61,Traum::N,сновидение,hune
62,Himmel::N,небо,oabl
63,Sonne::N,солнце,heol
64,Mond::N,луна,loar
65,Stern::N,звезда,steredenn
66,Luft::N,воздух,aer
67,Wind::N,ветер,avel
68,Welle::N,волна,houlenn
69,Wasser::N,вода,dour
70,Stein::N,камень,maen
71,Boden::N,почва,tachenn
72,Erde::N,земля,douar
73,Staub::N,пыль,poultr
74,Rauch::N,дым,moged
75,Funke::N,искра,ful
76,Feuer::N,огонь,tan
77,Licht::N,свет,gouloù
78,Schatten::N,тень,disheol
79,Wetter::N,погода,amzer
80,Nebel::N,туман,brumenn
81,Wolke::N,облако,koumoulenn
82,Regen::N,дождь,glav
83,Schnee::N,снег,erc'h
84,Eis::N,лед,skorn
85,Frost::N,мороз,rev
86,Kälte::N,холод,yen
87,Hitze::N,жара,tommder
88,Raureif::N,иней,frim
89,Regenbogen::N,радуга,gwareg-ar-glav
90,Donner::N,гром,kurun
91,Strömung::N,течение,red
92,Tropfen::N,капля,bannac'h
93,Tropfen::N,капля,takenn
94,Schaum::N,пена,spoum
95,Schmutz::N,грязь,fank
96,See::N,озеро,lenn
97,Sumpf::N,топь,gwern
98,Moor::N,болото,taouarc'heg
99,Wiese::N,луг,prad
100,Wald::N,лес,koad
101,Hügel::N,холм,torgenn
102,Anhöhe::N,возвышенность,run
103,Berg::N,гора,menez
104,Gipfel::N,вершина,barr
105,Höhle::N,пещера,kav
106,Abhang::N,склон,naou
107,Quelle::N,источник,feunteun
108,Bach::N,ручей,gwazh
109,Fluss::N,река,stêr
110,Ufer::N,берег,ribl
111,Küste::N,побережье,aod
112,Festland::N,суша,douar
113,Meer::N,море,mor
114,Bucht::N,бухта,mor-bihan
115,Insel::N,остров,enez
116,Blume::N,цветок,bleunienn
117,Gras::N,трава,geot
118,Wurzel::N,корень,gwrizienn
119,Baum::N,дерево,gwezenn
120,Stamm::N,ствол,kef
121,Rinde::N,кора,rusk
122,Ast::N,сук,barr
123,Zweig::N,ветвь,bod
124,Blatt::N,лист,delienn
125,Birke::N,береза,bezvenn
126,Kiefer[Baum]::N,сосна,pinenn
127,Weide[Baum]::N,ива,halegenn
128,Tanne::N,ель,sapenn
129,Horn::N,рог,korn
130,Feder::N,перо,pluñv
131,Fell::N,шкура,kreoñ
132,Flügel::N,крыло,askell
133,Klaue::N,коготь,skilf
134,Kralle::N,лапа,skilf
135,Schwanz::N,хвост,lost
136,Ei::N,яйцо,vi
137,Nest::N,гнездо,neizh
138,Bau::N,нора,douarenn
139,Tier::N,животное,loen
140,Herde::N,стадо,tropell
141,Kuh::N,корова,buoc'h
142,Bulle::N,бык,tarv
143,Pferd::N,лошадь,marc'h
144,Schaf::N,овца,dañvad
145,Schwein::N,свинья,pemoc'h
146,Hund::N,собака,ki
147,Katze::N,кошка,kazh
148,Bär::N,медведь,arzh
149,Eichhörnchen::N,белка,gwiñver
150,Elch::N,лось,karv-dour
151,Fuchs::N,лиса,louarn
152,Hase::N,заяц,gad
153,Maus::N,мышь,logodenn
154,Wolf::N,волк,bleiz
155,Vogel::N,птица,labous
156,Schwarm::N,стая,nijad
157,Huhn::N,курица,yar
158,Hahn::N,петух,kilhog
159,Gans::N,гусь,gwazenn
160,Adler::N,орел,erer
161,Ente::N,утка,houad
162,Eule::N,сова,toud
163,Kranich::N,журавль,garan
164,Krähe::N,ворона,bran
165,Kuckuck::N,кукушка,koukoug
166,Schwan::N,лебедь,alarc'h
167,Fisch::N,рыба,pesk
168,Barsch::N,окунь,brell
169,Hecht::N,щука,beked
170,Schlange[Tier]::N,змея,naer
171,Wurm::N,червяк,preñv
172,Spinne::N,паук,kevnidenn
173,Ameise::N,муравей,merion
174,Laus::N,вошь,laouenn
175,Mücke::N,комар,moustik
176,Fliege::N,муха,kelienenn
177,Schmetterling::N,бабочка,balafenn
178,Beere::N,ягода,hog
179,Apfel::N,яблоко,aval
180,Pilz::N,гриб,kabell-touseg
181,Zwiebel::N,луковица,ognonenn
182,Saat::N,семя,had
183,Korn::N,зерно,ed
184,Heu::N,сено,foenn
185,Schale::N,шелуха,peliadur
186,Grube::N,яма,
187,Falle::N,ловушка,pech
188,Schlinge::N,силок,krouglas
189,Spur::N,след,
190,Asche::N,зола,ludu
191,Asche::N,пепел,ludu
192,Dreck::N,грязь,fank
193,Eisen::N,железо,houarn
194,Gold::N,золото,aour
195,Silber::N,серебро,arc'hant
196,Kohle::N,уголь,glaou
197,Glas::N,стекло,gwer
198,Lehm::N,глина,
199,Sand::N,песок,traezh
200,Mensch::N,человек,den
201,Mann::N,мужчина,den
202,Frau::N,женщина,maouez
203,Kind::N,ребенок,bugel
204,Junge::N,мальчик,paotr
205,Mädchen::N,девочка,plac'h
206,Familie::N,семья,familh
207,Großvater::N,дедушка,tad-kozh
208,Großmutter::N,бабушка,mamm-gozh
209,Eltern::N,родители,kerent
210,Vater::N,отец,tad
211,Mutter::N,мать,mamm
212,Sohn::N,сын,mab
213,Tochter::N,дочь,merc'h
214,Bruder::N,брат,breur
215,Schwester::N,сестра,c'hoar
216,Onkel::N,дядя,eontr
217,Tante::N,тетя,moereb
218,Ehemann::N,муж,gwaz
219,Ehefrau::N,жена,gwreg
220,Freude::N,радость,levenez
221,Gelächter::N,смех,c'hoarzherezh
222,Glück::N,счастье,chañs
223,Kummer::N,горе,doan
224,Wunsch::N,желание,c'hoant
225,Lust::N,влечение,c'hoant
226,Geist::N,дух,spered
227,Gedanke::N,мысль,soñj
228,Gedächtnis::N,память,eñvor
229,Verstand::N,ум,skiant
230,Sinn::N,смысл,ster
231,Grund::N,повод,kaoz
232,Wahrheit::N,правда,gwirionez
233,Gespräch::N,беседа,kaozeadenn
234,Märchen::N,сказка,kaoz korriganez
235,Erzählung::N,рассказ,kontadenn
236,Nachricht::N,сообщение,keloù
237,Neuigkeit::N,новость,kelaouenn
238,Name::N,имя,anv
239,Rätsel::N,загадка,divinatez
240,Rede::N,речь,diskour
241,Sprache::N,язык,yezh
242,Stimme::N,голос,mouezh
243,Wort::N,слово,ger
244,Zeichen::N,знак,sin
245,Ruf::N,зов,galv
246,Lärm::N,шум,trouz
247,Laut::N,звук,
248,Ton::N,звучание,ton
249,Lied::N,песня,kanaouenn
250,Ruhe::N,покой,sioulded
251,Leute::N,люди,tud
252,Volk::N,народ,pobl
253,Arbeit::N,работа,labour
254,Gast::N,гость,kouviad
255,Geschenk::N,подарок,prof
256,Spiel::N,игра,c'hoari
257,Gesellschaft::N,общество,kompagnunezh
258,Gesellschaft::N,общество,kavandad
259,Hilfe::N,помощь,sikour
260,Freund::N,друг,mignon
261,Kamerad::N,приятель,kamarad
262,Angelegenheit::N,дело,afer
263,Anzahl::N,количество,niver
264,Art::N,вид,sort
265,Stück::N,кусок,tamm
266,Teil::N,часть,pezh
267,Hälfte::N,половина,hanterenn
268,Kreis::N,круг,kelc'h
269,Kreuz::N,крест,kroaz
270,Linie::N,линия,linenn
271,Strich::N,черта,tenn
272,Abstand::N,промежуток,distok
273,Entfernung::N,расстояние,keid
274,Entfernung::N,расстояние,kehid
275,Gegend::N,местность,korn-bro
276,Platz::N,пространство,plasenn
277,Ort::N,место,lec'h
278,Seite::N,сторона,tu
279,Mitte::N,середина,kreiz
280,Gegenstand::N,предмет,tra
281,Sache::N,вещь,tra
282,Rand::N,край,kantenn
283,Kante::N,ребро,kantenn
284,Ecke::N,угол,korn
285,Spitze::N,кончик,begell
286,Ende::N,конец,dibenn
287,Loch::N,дыра,toull
288,Winkel::N,угол,
289,Muster::N,узор,tresadenn
290,Größe::N,размер,ment
291,Länge::N,длина,hirder
292,Höhe::N,высота,uhelder
293,Gewicht::N,вес,pouez
294,Menge::N,количество,bern
295,Haufen::N,куча,bern
296,Reihe::N,ряд,steud
297,Boot::N,лодка,bag
298,Ruder::N,весло,roeñv
299,Schlitten::N,сани,trainell
300,Ski::N,лыжа,ski
301,Lagerfeuer::N,костер,
302,Last::N,тяжесть,karg
303,Gang::N,ход,kerzh
304,Schritt::N,шаг,paz
305,Norden::N,север,norzh
306,Norden::N,север,hanternoz
307,Süden::N,юг,su
308,Süden::N,юг,kreisteiz
309,Westen::N,запад,kuzh-heol
310,Osten::N,восток,reter
311,Osten::N,восток,sav-heol
312,Holz::N,древесина,koad
313,Brett::N,доска,plankenn
314,Platte::N,плита,plakenn
315,Stütze::N,подпорка,harp
316,Stange::N,жердь,sparl
317,Stock::N,палка,bazh
318,Stab::N,шест,bazh
319,Rohr::N,труба,tub
320,Rohr::N,труба,korz
321,Haus::N,дом,ti
322,Heim::N,дом,kêr
