,Concept_ID,ko,lez
0,Auge::N,눈,вил
1,Ohr::N,귀,яб
2,Nase::N,코,нер
3,Mund::N,입,сив
4,Zahn::N,이,сас
5,Zahn::N,이,свах
6,Zunge::N,혀,мез
7,Lippe::N,입술,пӏуз
8,Wange::N,뺨,хъвехъ
9,Gesicht::N,얼굴,ччин
10,Stirn::N,이마,пел
11,Haar::N,털,чӏар
12,Schnurrbart::N,윗수몀,спел
13,Schnurrbart::N,윗수몀,спелар
14,Schnurrbart::N,코밑수염,спел
15,Schnurrbart::N,코밑수염,спелар
16,Bart::N,수엄,ччуру
17,Kinn::N,아래턱,чене
18,Kiefer[Anatomie]::N,턱,чене
19,Kehle::N,인후,туьд
20,Hals::N,목,гардан
21,Genick::N,먹덜이,кьам
22,Kopf::N,머리,кьил
23,Rücken::N,든,далу
24,Bauch::N,배,руфун
25,Nabel::N,배꼽,пицӏ
26,Busen::N,가슴속,мам
27,Brust::N,가슴,хур
28,Schulter::N,어깨,къуьн
29,Arm::N,팔,гъил
30,Ellenbogen::N,팔쿰치,кьуьнт
31,Hand::N,손,капаш
32,Handfläche::N,손바닥,капан юкь
33,Finger::N,속가락,тӏуб
34,Fingernagel::N,손톱,кек
35,Nagel[Anatomie]::N,손톱,кек
36,Zeh::N,발가락,кул
37,Fuß::N,발,кӏвач
38,Ferse::N,발꿈치,дабан
39,Knie::N,무릎,мет
40,Oberschenkel::N,허벅다리,
41,Bein::N,다리,кӏвач
42,Körper::N,구간,беден
43,Haut::N,살갗,хам
44,Blut::N,피,иви
45,Ader::N,정맥,дамар
46,Sehne::N,현,кьуру дамар
47,Knochen::N,뼈,кӏараб
48,Gehirn::N,뇌,мефт
49,Gehirn::N,뇌수,мефт
50,Herz::N,염통,рикӏ
51,Magen::N,위,хук
52,Leber::N,간,лекь
53,Atem::N,기식,ял
54,Atem::N,기식,нефес
55,Hunger::N,공복,каш
56,Träne::N,눈물,вилин нагъв
57,Geschmack::N,기호,дад
58,Geschmack::N,기호,тӏям
59,Geruch::N,냄새,ни
60,Schlaf::N,수면,ахвар
61,Traum::N,쿰,ахвар
62,Himmel::N,하늘,цав
63,Sonne::N,해,рагъ
64,Mond::N,달,варз
65,Stern::N,별,гъед
66,Luft::N,동준,гьава
67,Luft::N,가스채,гьава
68,Wind::N,바람,гар
69,Welle::N,물결,лепе
70,Wasser::N,물,яд
71,Stein::N,돌,къван
72,Boden::N,바닥,накьв
73,Erde::N,흙,ччил
74,Staub::N,먼지,руг
75,Rauch::N,연기,гум
76,Funke::N,불티,цӏелхем
77,Feuer::N,불,цӏай
78,Licht::N,불,экв
79,Schatten::N,어스레함,серин
80,Wetter::N,기상,гьава
81,Nebel::N,안개,ччилин циф
82,Wolke::N,구름,циф
83,Regen::N,비,марф
84,Schnee::N,눈,жив
85,Eis::N,얼음,мурк
86,Frost::N,혹한,аяз
87,Kälte::N,추위,мекь
88,Kälte::N,추위,мекьивал
89,Kälte::N,차가움,мекь
90,Kälte::N,차가움,мекьивал
91,Hitze::N,고온,зегьем
92,Hitze::N,더위,зегьем
93,Regenbogen::N,무지개,яргъируш
94,Donner::N,뇌명,цавун ван
95,Strömung::N,유동,
96,Tropfen::N,물방울,стӏал
97,Schaum::N,포말,каф
98,Schmutz::N,때,чирк
99,Schmutz::N,때,кьуруш
100,See::N,호수,вир
101,Sumpf::N,습지,уьлен
102,Moor::N,저습지,
103,Wiese::N,목초지,векь
104,Wald::N,숲,там
105,Hügel::N,언덕,кӏунтӏ
106,Anhöhe::N,언덕,тепе
107,Anhöhe::N,언덕,гьуьндуьрвал
108,Berg::N,산,дагъ
