,Concept_ID,kv,se
0,Auge::N,син,tjelmie
1,Auge::N,син,tjalmme
2,Auge::N,син,čalbmi
3,Auge::N,син,čalme
4,Auge::N,син,čâ´lmm
5,Auge::N,син,ча̄лльм
6,Ohr::N,пель,bieljie
7,Ohr::N,пель,biellje
8,Ohr::N,пель,beallji
9,Ohr::N,пель,pelji
10,Ohr::N,пель,pe´llj
11,Ohr::N,пель,пе̄лльй
12,Nase::N,ныр,njuenie
13,Nase::N,ныр,njunnje
14,Nase::N,ныр,njunni
15,Nase::N,ныр,njuṇe
16,Nase::N,ныр,njuu´nn
17,Nase::N,ныр,нюннҍ
18,Mund::N,ӧм,njaelmie
19,Mund::N,ӧм,njálmme
20,Mund::N,ӧм,njálbmi
21,Mund::N,ӧм,njälmi
22,Mund::N,ӧм,njä´lmm
23,Mund::N,ӧм,ня̄лльм
24,Zahn::N,пинь,baenie
25,Zahn::N,пинь,bádne
26,Zahn::N,пинь,bátni
27,Zahn::N,пинь,pääṇi
28,Zahn::N,пинь,pää´nn
29,Zahn::N,пинь,па̄ннҍ
30,Zunge::N,кыв,njoektjeme
31,Zunge::N,кыв,njuovtjav
32,Zunge::N,кыв,njuovčča
33,Zunge::N,кыв,njuovčâ
34,Zunge::N,кыв,njuhččâm
35,Zunge::N,кыв,нюхчем
36,Lippe::N,тырп,bangseme
37,Lippe::N,тырп,njálmmerabdda
38,Lippe::N,тырп,bavssa
39,Lippe::N,тырп,poovsâ
40,Lippe::N,тырп,põõus
41,Lippe::N,тырп,пэ̄кс
42,Wange::N,рожабан,skiehrie
43,Wange::N,рожабан,nierra
44,Wange::N,рожабан,muohtu
45,Wange::N,рожабан,nieṛâ
46,Wange::N,рожабан,njiõrr
47,Wange::N,рожабан,нӣрр
48,Gesicht::N,бан,ååredæjja
49,Gesicht::N,бан,muohto
50,Gesicht::N,бан,muođut
51,Gesicht::N,бан,ámadadju
52,Gesicht::N,бан,muáđuh
53,Gesicht::N,бан,muâđ
54,Gesicht::N,бан,ка̄ссв
55,Stirn::N,кымӧс,gaalloe
56,Stirn::N,кымӧс,gállo
57,Stirn::N,кымӧс,gállu
58,Stirn::N,кымӧс,kállu
59,Stirn::N,кымӧс,käll
60,Stirn::N,кымӧс,вуэххьц
61,Haar::N,юрси,voepte
62,Haar::N,юрси,vuoppta
63,Haar::N,юрси,vuokta
64,Haar::N,юрси,vuop'tâ
65,Haar::N,юрси,vuõpt
66,Haar::N,юрси,вӯппт
67,Schnurrbart::N,уссэз,bijjie-skaavtjoe
68,Schnurrbart::N,уссэз,njunjevuolskávttjá
69,Schnurrbart::N,уссэз,seamu
70,Schnurrbart::N,уссэз,siämu
71,Schnurrbart::N,уссэз,ää´bben
72,Schnurrbart::N,уссэз,о̄а̄бпан
73,Bart::N,тош,skaavtja
74,Bart::N,тош,skaavtjoe
75,Bart::N,тош,skávttjá
76,Bart::N,тош,seamu
77,Bart::N,тош,siämu
78,Bart::N,тош,seäm
79,Bart::N,тош,ся̄м
80,Kinn::N,тшӧка,gaejpie
81,Kinn::N,тшӧка,gájbbe
82,Kinn::N,тшӧка,gáibi
83,Kinn::N,тшӧка,käibi
84,Kinn::N,тшӧка,käi´bb
85,Kinn::N,тшӧка,ка̄ййп
86,Kiefer[Anatomie]::N,ан,gaejpie
87,Kiefer[Anatomie]::N,ан,oalol
88,Kiefer[Anatomie]::N,ан,oaloldákte
89,Kiefer[Anatomie]::N,ан,gáibi
90,Kiefer[Anatomie]::N,ан,uá'lultähti
91,Kiefer[Anatomie]::N,ан,vuâl'lõš
92,Kiefer[Anatomie]::N,ан,вуаллнешш
93,Kehle::N,юан,gealoe
94,Kehle::N,юан,tjåttå
95,Kehle::N,юан,njiello
96,Kehle::N,юан,čotta
97,Kehle::N,юан,čuudâ
98,Kehle::N,юан,čoodd
99,Kehle::N,юан,чонт
100,Kehle::N,юан,кэ̄ҏс
101,Hals::N,юан,tjeapohke
102,Hals::N,юан,tjiebet
103,Hals::N,юан,čeabet
104,Hals::N,юан,čiäppát
105,Hals::N,юан,čeäppat
106,Hals::N,юан,ча̄пэх
107,Genick::N,юр бӧр,tjovrese
108,Genick::N,юр бӧр,nisske
109,Genick::N,юр бӧр,niehkki
110,Genick::N,юр бӧр,niski
111,Genick::N,юр бӧр,niek'ki
